,Average number of sentences
English,567.2258064516129
Afrikaans,196.74193548387098
Arabic,303.7903225806452
Belarusian,152.03225806451613
Bulgarian,233.19354838709677
Catalan,270.5967741935484
Czech,317.98387096774195
Welsh,75.79032258064517
Danish,187.66129032258064
North Sami,13.523809523809524
German,599.9032258064516
Estonian,167.38709677419354
Greek,178.43548387096774
Spanish,362.1290322580645
Basque,188.56451612903226
Persian,260.83870967741933
French,552.0322580645161
Irish,62.90163934426229
Scottish Gaelic,14.03448275862069
Galician,179.74193548387098
Gothic,10.028571428571428
Korean,236.1451612903226
Armenian,251.69354838709677
Hindi,165.50819672131146
Croatian,175.91935483870967
Indonesian,260.7096774193548
Italian,378.73333333333335
Hebrew,213.32258064516128
Kazakh,152.13333333333333
Latin,89.83870967741936
Latvian,120.53225806451613
Lithuanian,119.91935483870968
Hungarian,317.2096774193548
Maltese,88.96
Marathi,115.68852459016394
Dutch,314.5
Japanese,377.0806451612903
Polish,304.16129032258067
Portuguese,365.69354838709677
Romanian,227.09677419354838
Russian,371.3709677419355
Sanskrit,160.56
Slovak,178.32258064516128
Slovenian,183.53225806451613
Serbian,218.66129032258064
Finnish,299.66129032258067
Swedish,269.7741935483871
Tamil,150.20967741935485
Telugu,237.0677966101695
Turkish,290.51612903225805
Ukrainian,277.03225806451616
Urdu,113.1774193548387
Uyghur,73.44897959183673
Vietnamese,359.51612903225805
Classical Chinese,133.27450980392157
Wolof,19.473684210526315
Chinese,277.5483870967742
Old Church Slavonic,28.551724137931036
