Structure	Frequency	% of Lang
NOUN()	57	98.28%
NOUN(ADJ-amod)	45	77.59%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct)	45	77.59%
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct)	43	74.14%
NOUN(NOUN-nmod)	40	68.97%
VERB(NOUN-nsubj, NOUN-obj, NOUN-obl, PUNCT-punct)	37	63.79%
NOUN(NOUN-conj)	36	62.07%
VERB(NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct)	28	48.28%
PROPN()	27	46.55%
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-conj)	22	37.93%
VERB(NOUN-nsubj, PUNCT-punct, VERB-ccomp)	21	36.21%
VERB(NOUN-obj, PROPN-nsubj, PUNCT-punct)	20	34.48%
VERB(NOUN-nsubj, PUNCT-punct)	19	32.76%
PUNCT()	19	32.76%
VERB(NOUN-obj, NOUN-obl, PROPN-nsubj, PUNCT-punct)	18	31.03%
VERB(ADV-advmod, NOUN-nsubj, NOUN-obj, PUNCT-punct)	16	27.59%
VERB(ADV-advmod, NOUN-nsubj, NOUN-obl, PUNCT-punct)	15	25.86%
VERB(NOUN-obj, NOUN-obl, PUNCT-punct)	15	25.86%
VERB(NOUN-nsubj, PUNCT-punct, VERB-xcomp)	13	22.41%
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	12	20.69%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-conj)	11	18.97%
VERB(AUX-aux:pass, NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	10	17.24%
VERB(AUX-aux, NOUN-nsubj, NOUN-obj, PUNCT-punct)	10	17.24%
NOUN(PUNCT-punct)	10	17.24%
NOUN(PROPN-nmod)	10	17.24%
VERB()	9	15.52%
VERB(AUX-aux, NOUN-nsubj, NOUN-obj, NOUN-obl, PUNCT-punct)	8	13.79%
ADJ()	8	13.79%
ADJ(AUX-cop, NOUN-nsubj, NOUN-obl, PUNCT-punct)	8	13.79%
VERB(ADV-advmod)	7	12.07%
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct)	7	12.07%
VERB(ADV-advmod, NOUN-nsubj, PUNCT-punct)	7	12.07%
NOUN(NOUN-nmod:poss)	7	12.07%
NOUN(NOUN-compound)	6	10.34%
VERB(NOUN-obj, PRON-nsubj, PUNCT-punct)	6	10.34%
VERB(NOUN-nsubj, NOUN-obl:arg, PUNCT-punct)	6	10.34%
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-advcl)	6	10.34%
