,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7029532615680811,0.718480283710369,0.6824872003334708,0.8632080527363885,0.9153986726652291,0.92661423296321,0.5498456325632061,0.46767240568585966,0.8894733989742278,0.884594910353511,0.9226930165117712,0.9417133234073964,0.9243430926100098,0.7238102335555601,0.6837950835079817,0.8799002153529648,0.8521515029561997,0.9454583518628018,0,0.8698577226326488,0.6067702756538832,0.856775939023059,0.5307544764542405,0.7717263472032893,0.8875613978234778,0.9027258302155498,0.6552370368489732,0.6021750970096135,0.4819484816115856,0.7792802342431098,0.7847610083506852,0.6643419439277086,0.8103246589785952,0.6985286207334248,0.5981552482363435,0,0.784382382985156,0.8352445578366184,0.8455565770942222,0.9078037300177342,0.8585312153035812,0.3835777524037654,0.7768412203675226,0.8924859727724342,0.8817506054620162,0.882151550044308,0.9278148404223062,0.8888706373280001,0.6606283756016631,0.6623913251437357,0.7261194026761901,0.8709761364546817,0.8328692803475348,0,0.653339332334348,0.8938142290515789,0
arabic,0.7029532615680811,1.0,0.5359866344669714,0.6669016706096231,0.8191180989073171,0.8183786187254767,0.6797546332399921,0.669646785456092,0.4422408166553921,0.7452840808887814,0.7841963536944391,0.7329145272321059,0.7036745373106462,0.7143700379847043,0.7057134871249727,0.5247790654969084,0.7343017421210217,0.803750663501247,0.7291618988525035,0,0.6680971100291457,0.758010336085439,0.7912894031710979,0.32422556424496957,0.6352712068676057,0.7686073349622753,0.7723719648670092,0.5930159050656398,0.4304526210272266,0.45509770660828935,0.6844312324256665,0.7928014537481713,0.7988155965120797,0.566569350047944,0.504387012610007,0.45431314768690645,0,0.6999911143024616,0.7418332748751575,0.845719981886055,0.7791299496008137,0.8152730513896321,0.34760135115141994,0.6232146667854223,0.7592650730095418,0.8199486475860139,0.7570984009768226,0.6935878746674279,0.716703262698958,0.8384223746459586,0.5756268600209509,0.6439177850792653,0.8178440731753116,0.774094879431159,0,0.5471321598580718,0.8437878336272493,0
armenian,0.718480283710369,0.5359866344669714,1.0,0.7980739492528424,0.7987558163716416,0.7309412604666216,0.6666606495695513,0.6072280633195223,0.5223552424962251,0.8306139970476393,0.8303764548549751,0.821227871353043,0.7471393773498624,0.7903893760143946,0.8438780580225143,0.958064265285104,0.5624853270007033,0.49057054524920923,0.7403131223788568,0,0.6260123707477865,0.6109298223911992,0.6705251700777108,0.5629734670164217,0.7857968048667386,0.7026505555008556,0.6219212926141434,0.4998890052814713,0.9079463993727532,0.5974791810094467,0.859992749935383,0.7914684195459558,0.7051027631755421,0.8548318548870346,0.8261166944115719,0.939624325782983,0,0.8314623130769586,0.8080811150733122,0.53253380963216,0.7571759378951382,0.7982409137565161,0.5194291633300061,0.7707227813841289,0.8408928966224362,0.8027479368800176,0.8289496438300147,0.6736022037840086,0.8432862021891073,0.6908035246586236,0.8017623739453362,0.9109727054314223,0.7938988041661567,0.5972063674764805,0,0.6465103847650662,0.7148979870750091,0
basque,0.6824872003334708,0.6669016706096231,0.7980739492528424,1.0,0.8522136822054935,0.7610843186473704,0.7029072845734964,0.7726950487364854,0.5133561275175021,0.8608613696828901,0.8371541511168187,0.7886955967476393,0.724500073030995,0.7461237010296716,0.9429999596409324,0.8144777965365424,0.6067416415767155,0.5610942104292408,0.7735215537365143,0,0.7162080278154321,0.5440143326118211,0.7194687448962303,0.5496640652580548,0.7672424282396382,0.7368599635922772,0.6551073816381627,0.571578068462526,0.6688008777656969,0.7240896168467753,0.8718636625969057,0.9064886572125965,0.8756254123542504,0.7231011445703898,0.7052515612974594,0.7802968678095726,0,0.635823937468161,0.8101002847739702,0.6538724731011007,0.8256380762071812,0.8471927177560308,0.47668204555446486,0.7304029536171982,0.8801645370479452,0.8298607940756788,0.8852049114737782,0.6852717083515055,0.7701667284771178,0.8781466206675022,0.7472636413792028,0.7796388974244168,0.8574313073905017,0.6409421629527637,0,0.6369604139594898,0.784894842624096,0
belarusian,0.8632080527363885,0.8191180989073171,0.7987558163716416,0.8522136822054935,1.0,0.9515408562727616,0.8078239460143346,0.7285005312423535,0.5382144238688109,0.9217522278597788,0.9695578755763417,0.910917221819749,0.8618959113096093,0.8924511225026021,0.9114331673833707,0.8009004439190848,0.7857810732816534,0.7358477165540874,0.9092975880473012,0,0.7781826738179166,0.6627859075774984,0.8653920404712679,0.5339435275275541,0.8310077669724408,0.8854354887486788,0.810220458820287,0.6251806594648398,0.7064688992941341,0.6056018494355209,0.920676335994775,0.9615178988677453,0.8886154057525354,0.7899499965610922,0.7244427774249343,0.7260423944810793,0,0.8146455313457768,0.9479590620378406,0.8154730338819876,0.9289967290633652,0.9798755538216462,0.48775290488921963,0.8157553111740455,0.9375748834456367,0.9771602638361698,0.9399334459027804,0.8264487783904001,0.8886448154673627,0.8449048548376307,0.7660406958825784,0.8129125887116113,0.9927145423536546,0.8211900255279826,0,0.6867622208231486,0.9159771320065352,0
bulgarian,0.9153986726652291,0.8183786187254767,0.7309412604666216,0.7610843186473704,0.9515408562727616,1.0,0.8623195395957838,0.6645400141602857,0.5110585450684461,0.9270033458076292,0.9457945474402517,0.9214733770059709,0.8890072989635373,0.9093967519650805,0.8007375680880077,0.7009948700568633,0.8372899633139788,0.7931762779721578,0.9073748901625736,0,0.7769281134127135,0.6474597926850906,0.8972487314175915,0.48559295987684575,0.8286316672208068,0.8888343467339541,0.8427487737750641,0.6997063576123129,0.6095395783992432,0.5493865862762244,0.8483209009557835,0.8935635529854973,0.8040663603878366,0.7635404941442439,0.679939003651387,0.6191748155012481,0,0.8441141137102414,0.9281391738046477,0.8646059355392806,0.9462227472497396,0.9418368745965866,0.407346881373426,0.7926355619465136,0.931816567273716,0.9514005288718844,0.9313881232933343,0.8725790958093602,0.8887151973887406,0.7568968846515123,0.6860985150417036,0.7536160411226485,0.9537977642010197,0.8764619647500596,0,0.674898745839949,0.917302059189349,0
catalan,0.92661423296321,0.6797546332399921,0.6666606495695513,0.7029072845734964,0.8078239460143346,0.8623195395957838,1.0,0.625775103207343,0.4570672494916151,0.83623393005463,0.8225387097001421,0.9227357701875831,0.9663315558527201,0.9394357977905899,0.7042163848119344,0.6452850274377598,0.9446914780900969,0.8895402959105472,0.952940313199295,0,0.9249824352108585,0.5898597269290136,0.8313170797882036,0.6165360305152267,0.8088635254966099,0.9284064623070795,0.9395408722305679,0.7023574240628462,0.4967265178257809,0.5375225602289164,0.7457614452242354,0.7608605991626228,0.6611992396859283,0.8261891975204757,0.6650829332751682,0.5791184009968405,0,0.749261147619497,0.8019875194535345,0.901752777989902,0.9214414900264917,0.8105132506558509,0.3333208909185821,0.8023428713227441,0.8524307287956117,0.8196701698805946,0.8409784798474669,0.9927909120327353,0.8851444304684626,0.6336461873508173,0.673718919969689,0.7008194005503761,0.821640882111114,0.7906553781069358,0,0.6819524370207259,0.9086729909722766,0
chinese,0.5498456325632061,0.669646785456092,0.6072280633195223,0.7726950487364854,0.7285005312423535,0.6645400141602857,0.625775103207343,1.0,0.5329751886393289,0.679583527040306,0.7133598281387035,0.7000993342701062,0.6370551364295624,0.7234768788246557,0.7720385942386397,0.645930902938733,0.5951753228337427,0.5601009331452563,0.673477706007437,0,0.6094413684008462,0.4766510614258197,0.7323732289480239,0.47656710767236554,0.7681958792231772,0.6921093714604838,0.5808006477867262,0.6132270543389934,0.4464709654861391,0.8252203808699332,0.753237732561235,0.7929917563744816,0.7879649870345716,0.6110705487329743,0.6154300591686283,0.6415296869324896,0,0.575549622020654,0.67321626020648,0.656969274455681,0.7054702484485023,0.7416709698256347,0.4018217072365986,0.6087537788584678,0.6830870200577269,0.7333059795072402,0.7106101577590923,0.6443753918680613,0.7128573052255922,0.7950296736672043,0.7369665758236837,0.6750011994467933,0.750035998413221,0.6588423485263599,0,0.8260896057508343,0.72789012705518,0
classical_chinese,0.46767240568585966,0.4422408166553921,0.5223552424962251,0.5133561275175021,0.5382144238688109,0.5110585450684461,0.4570672494916151,0.5329751886393289,1.0,0.5619081827002611,0.5421796211815856,0.5663608682167944,0.5053041239544223,0.47009671666851705,0.5721792107675902,0.5990300330553543,0.4013931413389352,0.358819496845415,0.5235909233332015,0,0.41092459952648386,0.3276193815271411,0.49106754755285253,0.380868277577131,0.5299824084583491,0.4667672107478777,0.3703814578366,0.23403982355746417,0.31564009294636797,0.5548858578280882,0.609900259560045,0.5541072302462583,0.5316924059835724,0.4981660941762842,0.6466116947367463,0.5814116258788546,0,0.44492807524602346,0.48393097407099717,0.44231939366551476,0.4603794025393731,0.5233187536225027,0.8411502775028454,0.5390572955528262,0.513436096360065,0.5375167478764769,0.5353486662136666,0.47283004407813894,0.5806373232501222,0.5619028571451249,0.564538697874374,0.5390892446881199,0.5210211383573324,0.40730073662705646,0,0.5086234335930634,0.5660987016770952,0
croatian,0.8894733989742278,0.7452840808887814,0.8306139970476393,0.8608613696828901,0.9217522278597788,0.9270033458076292,0.83623393005463,0.679583527040306,0.5619081827002611,1.0,0.9337182942385449,0.9190933263212909,0.8527897119092392,0.868804194844102,0.8641461391206342,0.8027214913809546,0.743905644305804,0.6868176499645341,0.8769917140675676,0,0.7520892702730702,0.6274674179438946,0.8554229958980273,0.5136237549333172,0.8186683846941144,0.8211503749958124,0.7757620762863993,0.6947854400918361,0.6635292948294276,0.6336827594349802,0.8714670802434363,0.8862148542103765,0.7897760161917898,0.8006651098509155,0.7883729867469556,0.7284254041250854,0,0.7897457398714256,0.8924328785501784,0.756146837129482,0.9172355758427316,0.9039552515151303,0.47937116653912193,0.7778645325891104,0.9826011798887805,0.9253824846204868,0.982647995869157,0.8263045334025164,0.8967366944418745,0.7887303733017939,0.7281216413073904,0.782066580528032,0.9243203618404251,0.8205096055844938,0,0.6918684212038638,0.8724778230344253,0
czech,0.884594910353511,0.7841963536944391,0.8303764548549751,0.8371541511168187,0.9695578755763417,0.9457945474402517,0.8225387097001421,0.7133598281387035,0.5421796211815856,0.9337182942385449,1.0,0.9227093038028877,0.8789401273219748,0.9042188953827462,0.9022675392880203,0.8145003901880579,0.7970150810775094,0.7151514809736303,0.9067601287977055,0,0.7923824086742965,0.6609442787017883,0.8346734380543976,0.5599405657353148,0.8649390135753038,0.8684560690424356,0.8127964615180914,0.6006225033953007,0.7109492429306521,0.6091223124394634,0.9397521080550999,0.9376005606091536,0.8868038356115517,0.819898354984653,0.7636112431884402,0.7545275340218425,0,0.8199302138318167,0.9569278850507851,0.8027484971513009,0.9354938187656326,0.9635577598515778,0.46708967907713705,0.8344192632473644,0.9420844000518318,0.9905831017983623,0.9451415740861564,0.8407899245106178,0.9011137946241886,0.814986452127592,0.7501646751196513,0.8211170426827857,0.9709711945170922,0.788087872497163,0,0.7089038035892258,0.8926631701644361,0
danish,0.9226930165117712,0.7329145272321059,0.821227871353043,0.7886955967476393,0.910917221819749,0.9214733770059709,0.9227357701875831,0.7000993342701062,0.5663608682167944,0.9190933263212909,0.9227093038028877,1.0,0.9609243989955036,0.9471197459358303,0.8460554894378526,0.8246888878883666,0.8636414502966986,0.7919540352043055,0.9532062853466848,0,0.8510728767143516,0.6656997728189245,0.8744281692887805,0.6026307372451735,0.8590469490640527,0.931249207512491,0.8778036534503774,0.6839397747449762,0.6668618327976655,0.5886277841833548,0.8659167155580977,0.8672923166309134,0.7657190162303018,0.8688275419301187,0.8100172302287882,0.7749719411332658,0,0.8478089985299129,0.8811247724620105,0.8353112776231203,0.9306443232839523,0.9073446598436333,0.5119715206583312,0.8451976207390545,0.9328734166045181,0.9214742422023349,0.9297579186316759,0.9308358685483857,0.9817596835788778,0.7595784502575074,0.8195702651690572,0.8013532648639464,0.9196212937854166,0.8237491279049067,0,0.7260682029071244,0.9323122581356306,0
dutch,0.9417133234073964,0.7036745373106462,0.7471393773498624,0.724500073030995,0.8618959113096093,0.8890072989635373,0.9663315558527201,0.6370551364295624,0.5053041239544223,0.8527897119092392,0.8789401273219748,0.9609243989955036,1.0,0.9585082667610313,0.7794004570283805,0.7375740637771216,0.9303758301605557,0.8572345224575008,0.9727416657529755,0,0.9266233443417121,0.626088163449464,0.8440809723987277,0.6192737419589626,0.8347305690291908,0.9557723787303699,0.9361669925439239,0.6497298694786734,0.6130092247771222,0.5375038626353149,0.8131570402160317,0.8150665852638236,0.7173376950065662,0.871347521664441,0.7248430068218854,0.6822932578699725,0,0.8137529512211279,0.835287429361769,0.8870406415656373,0.9299585872554892,0.8685212481082821,0.45897898428964684,0.8522754071141969,0.8771371207054787,0.871968872128952,0.8605033500895456,0.9712815433020472,0.9386865944381739,0.6855071656653404,0.7364586975535334,0.7748033649715355,0.8692136009802677,0.7930941161850419,0,0.6909793960941761,0.9327083802405876,0
english,0.9243430926100098,0.7143700379847043,0.7903893760143946,0.7461237010296716,0.8924511225026021,0.9093967519650805,0.9394357977905899,0.7234768788246557,0.47009671666851705,0.868804194844102,0.9042188953827462,0.9471197459358303,0.9585082667610313,1.0,0.7878235328873067,0.7628528149783912,0.9003234757259871,0.8339052637409725,0.9519186062151168,0,0.8713354947989808,0.6552122976918087,0.9045507341888469,0.621968895043361,0.8939532490080463,0.9379439442130022,0.91137015014253,0.7538716445584491,0.6709967098148398,0.640118107964999,0.8548704936284983,0.8381654113339875,0.7473329361817729,0.8788315208674817,0.7140715629094161,0.7114944344970857,0,0.8553869286036051,0.8871302693042179,0.8640657132977755,0.9444149333866539,0.9017971179659535,0.3972658426667474,0.8496577284625401,0.8942509807238695,0.9022554429560908,0.8833225161196157,0.9514968439108851,0.9314918615844825,0.6854345206027153,0.7651545011264431,0.8199893893419563,0.8970958459477494,0.8599970930788401,0,0.8027969934442807,0.9187850762897808,0
