,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7136047162425708,0.6945021765550706,0.7414768408648214,0.8393368595457943,0.8390994277004716,0.9391650033486766,0.5899032724406738,0.4847559943391396,0.8465565387391455,0.8488124764172125,0.9332710111876198,0.9392590947845272,0.9363668491053009,0.7295791382305538,0.7092009995551192,0.9251195497250592,0.8976052450850461,0.9647748414201697,0.34385129561793826,0.9375320534965169,0.6505577516609531,0.8200103898504992,0.6202428786218691,0.7865604322786335,0.8452730355326414,0.9261601158736067,0.5684505342154178,0.627357990478645,0.5272562759311605,0.6895594709049341,0.8044578198829029,0.7077675747259011,0.6421879664628766,0.7525380907624613,0.5536877966066196,0.49867254670939637,0.7838191655996604,0.833058864474131,0.8812930508525467,0.8978914336538223,0.8302598929090497,0.3761834665827786,0.7156566517888779,0.8603612364343002,0.832953108647934,0.873615558795307,0.9421354625441187,0.9137077317353285,0.5974240278515548,0.6258014016014934,0.7527538315784055,0.8021353537350833,0.7887438514360748,0.736335726989675,0.6914161308249465,0.8573520461930163,0.7799375568441683
arabic,0.7136047162425708,1.0,0.5889035470568819,0.751503032193458,0.8454724737332999,0.8781204149499257,0.764122130033318,0.7486423578411542,0.3988060372210554,0.8397950661604068,0.8644384434935021,0.8326113338770768,0.760316035163776,0.7872925214668449,0.7684824714661517,0.6086106975073892,0.7629337607786292,0.8200791414023446,0.762226670633094,0.5409249832797606,0.6684412879621188,0.7717693680718828,0.8680648171101021,0.37218811174930566,0.7240278981474332,0.8602884472437563,0.7930272308041983,0.6344100126439072,0.5270806732342446,0.5127175411254439,0.7077952147647153,0.8503125224931295,0.8113100915879934,0.5229324247541742,0.5491479137020473,0.4280446130842006,0.50755249841848,0.7571771015396146,0.7992715109131483,0.8353262496934615,0.8626864308909059,0.8675015566854564,0.30015746689329337,0.6161011790353988,0.84250829436354,0.8618854964376891,0.8442409885761817,0.765064209988235,0.8049722780030791,0.8406604854180917,0.5025624564397713,0.7312751866067649,0.8393143650572824,0.7976459242467666,0.7302535101944398,0.5806949118018141,0.9029469485779666,0.7365600908270371
armenian,0.6945021765550706,0.5889035470568819,1.0,0.8589584584694543,0.8609116598415183,0.6915162168612454,0.6874982919632562,0.6242778087572448,0.41784924654560673,0.8532434878805131,0.8495525940124375,0.7646863410706353,0.8030352326206908,0.7518239099161557,0.8709650853614823,0.9309709415351309,0.5787877196489347,0.50300480103213,0.7703614938588296,0.2478139921274555,0.6052093170608297,0.6343199924196562,0.6513292468016326,0.6330157107832918,0.7391253263834963,0.647396788753439,0.589733770647056,0.40184509696936094,0.874052541400444,0.6509364452749031,0.8357739227357249,0.8227712430600529,0.8428776716601332,0.6091656846229091,0.7865072911949401,0.795895313198154,0.4580673552040433,0.7829730570122122,0.8612472850826343,0.5592461307833826,0.763343416500613,0.8471036437176815,0.42355627258045847,0.4819837394346851,0.8219767126232598,0.8499987689827513,0.8365459191755085,0.6862497441296839,0.7872570001406684,0.5738032175471065,0.721171892316902,0.8400103066404702,0.8669540825658215,0.6141414371941402,0.8776667018086964,0.5312054088279368,0.7203020349169376,0.6708069317688073
basque,0.7414768408648214,0.751503032193458,0.8589584584694543,1.0,0.8848846702700622,0.740069249053165,0.7809406049774814,0.8219346349178033,0.542997971165918,0.8837653695610157,0.8733710083933995,0.8244803339205345,0.8580870377086004,0.7878389474580634,0.9061277945621918,0.8558600291094335,0.6666881126821594,0.6444990506519851,0.8322403035058763,0.535070536858318,0.7109845940236087,0.6258679661814516,0.7680667666446495,0.6437456384307694,0.8030337571150288,0.8147269155421352,0.6818665169937412,0.5414837156041292,0.7152141677167662,0.7306074683959893,0.8154467310966139,0.9481408092738044,0.9320278129583015,0.5873578341856487,0.7393871481452898,0.7153119345901287,0.5769736543500766,0.7032057766413903,0.8474950512404641,0.6906995687947476,0.8551587433632333,0.8844949147420301,0.4981007639883824,0.5744720985584996,0.8669090864925676,0.8910032619084136,0.8558554516462412,0.7783481394101218,0.8132055384075005,0.7596572924458407,0.7764088111355123,0.8108754745823318,0.8797748086485339,0.6903965067362632,0.8850759391248016,0.6241917239380815,0.866666594311166,0.8221614315269329
belarusian,0.8393368595457943,0.8454724737332999,0.8609116598415183,0.8848846702700622,1.0,0.923804240551959,0.8444120156451437,0.7613303929826171,0.5299287515235909,0.978962236963928,0.9870078659665668,0.9312395610430844,0.9087252834677861,0.8945815243788292,0.9270279778310739,0.8428697608592152,0.7685224680951191,0.7344538423292466,0.9023538036960385,0.4264920309822843,0.7260359502188747,0.7118303387953167,0.8693117509082285,0.5756629353074478,0.8394977153970234,0.8699429993515951,0.7679641684204891,0.5654164859690308,0.7538619240035025,0.6572995682367112,0.8720081161722099,0.94638785972708,0.9211956641193462,0.6181800896913027,0.7849855729515804,0.6838941211862133,0.5885288470706511,0.8463892125897575,0.9646245947927391,0.7775381924014607,0.9388960165475593,0.9825688988455641,0.4665653689378552,0.6247964762680276,0.9626906605316214,0.9778442452141749,0.9761189068767373,0.8454600006808813,0.9267242064748245,0.7888132089764277,0.6909144552039216,0.8354223206894292,0.9846876033298769,0.8067253505762496,0.9047577490020465,0.649662782463244,0.9195577271672057,0.7606423882248611
bulgarian,0.8390994277004716,0.8781204149499257,0.6915162168612454,0.740069249053165,0.923804240551959,1.0,0.8388023834123417,0.6714412540076027,0.4522330698132446,0.9329203762897826,0.9414255841840119,0.9370477605634887,0.8586587952498541,0.9035856895901406,0.8108265066362845,0.6961997392344977,0.8080627926352902,0.7920706552263703,0.8670000491820004,0.3936956684923258,0.6982264295308755,0.6880434213739498,0.9401258032787498,0.4238755810716892,0.8150867316141592,0.8910641961632642,0.8032201937366998,0.6795617350266104,0.604486652678044,0.5370921698433127,0.7818111734882303,0.8565421647805571,0.8017803915007298,0.5703290637088827,0.6417521115081573,0.5218718887147894,0.5540662173911921,0.8670727273295721,0.9127213084916949,0.8208666607496583,0.940709287330452,0.9282284699746969,0.3797208489647405,0.7050881297836288,0.9328180200211642,0.9202138050156706,0.9464770946600498,0.8493188276565249,0.9200722062380576,0.750010305816352,0.5128899673415214,0.7521176412539357,0.9055282221321348,0.8970316435490804,0.7715091292040701,0.6426464303682093,0.9251921829696585,0.7152070685963547
catalan,0.9391650033486766,0.764122130033318,0.6874982919632562,0.7809406049774814,0.8444120156451437,0.8388023834123417,1.0,0.6666798429509257,0.43720065791222557,0.8308677771972843,0.851198458781879,0.9267246471845383,0.9493287690529414,0.9456519218739972,0.7367575707434459,0.6808639365798165,0.9559980525144021,0.9115133382878847,0.9606306932564806,0.3350482571272511,0.9139001314441644,0.6703685606061298,0.841672168367728,0.656425821751005,0.8341558906816842,0.883516646539639,0.936656068225788,0.6574885695600868,0.5806679063846952,0.5758170146248638,0.7107170590303511,0.830195288789877,0.7631465714696284,0.6145557304019126,0.6387147678746119,0.5402430239414616,0.44612595693716156,0.7823786972320403,0.8436326279094457,0.9267052376515943,0.9286257990071694,0.8521239298060964,0.29473102790271444,0.7528982861941711,0.8428544312416267,0.8531639946039741,0.8558425641214538,0.9959648814555726,0.89351534033309,0.6105822562697686,0.6010204600678375,0.7470533210680069,0.833342899951799,0.775499343193221,0.7065390001269538,0.7100615354472813,0.9139479839483211,0.8387174508591432
chinese,0.5899032724406738,0.7486423578411542,0.6242778087572448,0.8219346349178033,0.7613303929826171,0.6714412540076027,0.6666798429509257,1.0,0.5550568116758354,0.7647387375437599,0.7553944697095272,0.7024129545264785,0.7001491274727855,0.7013801733381655,0.7953910717112548,0.6625074910434722,0.5948897099684562,0.5849661900434899,0.6777646590291351,0.44176227104782306,0.5742112003516838,0.5298618669117849,0.7312577241360246,0.4938868151034053,0.7750665286796876,0.770026376664515,0.569463736655155,0.5903723667493771,0.4752875360469744,0.795962855872118,0.7044634400930692,0.8511271290896806,0.8242923106489327,0.4567516483164522,0.5426262645197335,0.5631023081659753,0.517128655635813,0.6133370694513072,0.6954059771252704,0.6546047511917218,0.7663770190563161,0.767169953878246,0.39107288390383244,0.39450611761403026,0.7202393398172616,0.7934115528542237,0.7206100191914842,0.6699141971845888,0.6982781704144249,0.7855892304774135,0.6723573998808168,0.6789749942811938,0.7709726315420434,0.5919233846272065,0.791248123862911,0.7233593339264812,0.7975018348577946,0.7056911632973597
classical_chinese,0.4847559943391396,0.3988060372210554,0.41784924654560673,0.542997971165918,0.5299287515235909,0.4522330698132446,0.43720065791222557,0.5550568116758354,1.0,0.5911232577004911,0.4882689847215436,0.5624873658014383,0.536139579569442,0.4357621654633991,0.5207551447426897,0.5711308697810378,0.37629171072370377,0.3131201142693502,0.5195757174674863,0.34236489594646635,0.4360665946826158,0.35625028072046616,0.4519667877227292,0.39978524413926686,0.5153931963039592,0.5660256370707553,0.3694365776069757,0.23759465839253383,0.3346038526643277,0.45643500784165236,0.5465182990544768,0.55926926651501,0.469512825932339,0.31015725109336645,0.5897967980625467,0.5304728303666488,0.7909469350797683,0.429705265198271,0.5003983619729792,0.3874529809775172,0.502980141649476,0.4610193029663639,0.8153578410975044,0.34543417847338814,0.5610408694916156,0.4814722035788362,0.5250488581558084,0.46749428170525387,0.5992291742405093,0.39795773428284775,0.5946348943323773,0.5308914689235515,0.4410208170104476,0.42349891111260274,0.562190316637721,0.49059410658052455,0.4632167185176885,0.5003939475280896
croatian,0.8465565387391455,0.8397950661604068,0.8532434878805131,0.8837653695610157,0.978962236963928,0.9329203762897826,0.8308677771972843,0.7647387375437599,0.5911232577004911,1.0,0.9766994774833533,0.9482398443604445,0.9026197921719886,0.8979134072166265,0.9217598684736523,0.8556496969297238,0.7585574665844377,0.7162609928565746,0.901197185636753,0.4314826041926638,0.7257456548269817,0.7071208308952516,0.8893536921119201,0.5459309300380407,0.8610809884049327,0.8811630900619482,0.7662125038978195,0.6050661211317094,0.7332862429973389,0.6610380845987558,0.8793486718382165,0.9415895635287544,0.8967683748877869,0.6157772880273925,0.8034653290446472,0.6710288430033264,0.6377171663937616,0.8552910110550647,0.9513295620953746,0.7622334857379319,0.9453670923037383,0.969316491658304,0.5175545819957195,0.6560952433324659,0.9836029476207777,0.9656400938728149,0.9845918801515718,0.8413136605471191,0.9518628955161083,0.7636220068757008,0.7100892721322355,0.8433355989537541,0.9549094574939987,0.8481610978387353,0.9072864702024191,0.6806278034417155,0.9170665281504355,0.7672214022215552
