,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7556767551352922,0.70299625464225,0.7440884075006294,0.8369156294319628,0.8763059470191699,0.9580731589090238,0.5954367571411515,0.5025161609835154,0.8737517354780618,0.8617726074982986,0.8794422969890688,0.9473113596736326,0.9423416768033537,0.7359234616484466,0.7242952960191359,0.9301998767024016,0.9009518555333638,0.959379797610808,0.27582877559430385,0.933740531466923,0.6210148354581528,0.8607883260714254,0.6519575933348989,0.8107534975051346,0.8995342393297915,0.9408414668500252,0.5728861127411371,0.641837462021702,0.5993374149842997,0.6741194532353312,0.7864826893417438,0.6998750142959258,0.8722661242507238,0.7553262040777914,0.5813206048802277,0.5714896303263702,0.7867760804149668,0.7838477610102416,0.9088356072002153,0.892020244497267,0.8533691510452907,0.4068594869200333,0.7954672398475394,0.8862621507880969,0.8034708822630887,0.8729263162378491,0.9331543147369133,0.9233984753993576,0.7086687093856564,0.6994451937222577,0.761875643748642,0.8460666540382761,0.8108288155325162,0.769642491133262,0.6141741059992621,0.8919563195422632,0.6933029108212997
arabic,0.7556767551352922,1.0,0.6023922019610267,0.7619242071539252,0.8447742673121681,0.8536718057396173,0.7507555725950307,0.7577244897256765,0.4826144956308608,0.8556458057659267,0.81252346667401,0.7421448773527183,0.6936697446246473,0.7859976058221722,0.7066662597651535,0.5854640351249393,0.7249145156091276,0.8127006633223971,0.7725306874564698,0.4307481870100364,0.6817946629441646,0.7617787768187674,0.8299177299808727,0.3933411813672814,0.6952447603267862,0.7422365130919402,0.7816578144625629,0.6002612711945693,0.5390509153535562,0.5596791301059215,0.6618391915604636,0.8976554943243471,0.7632686527797334,0.5402834392137725,0.567991729354031,0.4836850367448398,0.47910314216559996,0.7612704926243978,0.7641486019396053,0.8386513279600386,0.8321305801604274,0.8964394172315072,0.32459269597749174,0.6693105123471773,0.8663669713150447,0.8136807160200097,0.7995435722350179,0.7633894692590912,0.8289136720716311,0.9053481605637089,0.6334244896241749,0.7247759830664368,0.870640640042666,0.8185332570200398,0.7809849287839224,0.5339952406745043,0.8645433184750789,0.6264879699407515
armenian,0.70299625464225,0.6023922019610267,1.0,0.8792584302991625,0.8825564589468907,0.8083138241226763,0.7012152926682866,0.5871765715325816,0.47879059500091425,0.8300127664462308,0.8898596447141529,0.8824054138594829,0.7311789811255456,0.7433341633197481,0.852698417959659,0.8640864131040529,0.6026044864199823,0.5038204801534666,0.7544130769073644,0.14508564835717516,0.5984793248434007,0.5816542612663793,0.5960363384770168,0.6444390738714669,0.7541246387457833,0.6034656090986324,0.6517277563597637,0.37649424704133694,0.8681570597938586,0.7846574472469736,0.7867042319638647,0.7385901717967436,0.8756171705526246,0.702906197461775,0.7908191522598949,0.9192106654320912,0.4448250423680967,0.7397790590338758,0.91260219834595,0.6221607369300225,0.8614642342242547,0.7981314403281221,0.43769785398119837,0.5847798057743007,0.8390907780957172,0.8817335003840209,0.8605619792043032,0.7520521504579202,0.7961387576671394,0.694777881225442,0.7940432858828629,0.8776044362487817,0.8539571564855184,0.6365635981584047,0.837793851371904,0.6295304269523507,0.6852748499662192,0.8003420657349817
basque,0.7440884075006294,0.7619242071539252,0.8792584302991625,1.0,0.923002312506065,0.8611701138154501,0.7675804135000535,0.8227798076384243,0.5935021647087376,0.8626498672292066,0.8707255044209439,0.922042301637335,0.7804553264872888,0.7970975272253066,0.9110001307666254,0.7883411914924554,0.6889445929552971,0.6229174765093886,0.8296211549483401,0.35101771799243386,0.6765507245117844,0.579400688404889,0.7096605997643352,0.6710990953192912,0.8082896812359044,0.7676772060071351,0.7058813979077793,0.49190650937027663,0.6811556080491707,0.8384746028956394,0.7966393621415295,0.9149279797259056,0.9674290551846593,0.6654524061352866,0.7097635173111928,0.8429527822030408,0.5301772815132065,0.6980056814125737,0.9278331289252465,0.7392989375563868,0.9264383846329242,0.8784838835406523,0.5244757995571953,0.6526395117726562,0.878563533540486,0.8912245419681096,0.8638986608408218,0.818643734072901,0.8222377502526472,0.846020095038704,0.8831904405966259,0.840016290933335,0.9022572342553765,0.7217960263426351,0.8778988465260603,0.6711858656706013,0.8562987798633589,0.8250271494015693
belarusian,0.8369156294319628,0.8447742673121681,0.8825564589468907,0.923002312506065,1.0,0.94658000065315,0.8268137964346645,0.7505112879485217,0.5239271828346517,0.9490650464831537,0.974329057992414,0.9257494223276497,0.8284743212887867,0.870446586467293,0.9038613434081836,0.7963767469216726,0.7401372782505535,0.7179538730146497,0.8793673275208992,0.32800221804925417,0.7110498644704121,0.6588468422417598,0.8028636603576558,0.5925542583037411,0.8320183121869472,0.7667902766295914,0.7885766423138123,0.5477048156074233,0.7685806428425275,0.7633530647078473,0.7967753260589039,0.9277584984743938,0.9311237243590794,0.686633140507705,0.7712158734106148,0.7933500761516861,0.5233382798517301,0.8059716565124664,0.9669468629570134,0.7999509399823181,0.9665978347046325,0.966405146378143,0.44307357443764045,0.717152379618893,0.9699796093160423,0.9636649548260673,0.9560341261802915,0.8615253627223909,0.9187609548796951,0.8637636060123484,0.8241503714786286,0.8497859256277883,0.9895636211726909,0.811800384457736,0.9110937630341931,0.6599306027006592,0.8683813199593607,0.7739975331517914
bulgarian,0.8763059470191699,0.8536718057396173,0.8083138241226763,0.8611701138154501,0.94658000065315,1.0,0.8563797300120243,0.713024052286971,0.5886612101446529,0.9593414279809466,0.9567626823665731,0.9253657586290485,0.8542241419863487,0.9049192996482449,0.8145260335370074,0.7888150838319329,0.788679822407108,0.7468511860719259,0.8906190091027588,0.30639985325983005,0.7258826788801288,0.66799930062802,0.8884261451036316,0.5686872008785432,0.8556543245971414,0.7825184350966732,0.8181760583279635,0.6261522022889742,0.6752714071349621,0.7058788225409647,0.8032239845301963,0.8903613634732291,0.8452108476077946,0.6855761192240823,0.7432899056898353,0.714256411037527,0.6247582599470913,0.8570577851251181,0.9155368187844991,0.8322757021003816,0.9600315077870506,0.9499122261607368,0.49924807908861796,0.7666912926006348,0.9735938452404876,0.9324533744452675,0.9582083285434857,0.8777887628757506,0.9610336041016322,0.7869970490316883,0.7560673181132174,0.8163301980218238,0.956585001991663,0.8854739025841649,0.8595198736575798,0.6775476301967533,0.8913180995624642,0.7774342595533694
catalan,0.9580731589090238,0.7507555725950307,0.7012152926682866,0.7675804135000535,0.8268137964346645,0.8563797300120243,1.0,0.6328564599396705,0.45216349433241765,0.8442505446364119,0.8248963725365942,0.8828348797724163,0.946997935550189,0.9584985922620209,0.733571200824699,0.6649719896013019,0.963257263372177,0.9020572504991525,0.9685485022779177,0.2404872129497578,0.922686233773974,0.6182771001111381,0.8298293687783085,0.67367942237245,0.843091182183479,0.9393634350145699,0.9499663503257448,0.6260552680845926,0.5864090111974845,0.6421283884058985,0.6615851935168766,0.7726213789965837,0.7246087835237209,0.8384961864282899,0.6632981525021338,0.5944316488591821,0.47514183844085606,0.763579520711265,0.7968046460975658,0.9420306842773756,0.8985880533435551,0.8498474757109007,0.31998200815154804,0.7831777385173245,0.8627382169031886,0.7925984599736455,0.8461168644620116,0.9894534006151806,0.9020441371979283,0.6753255646211332,0.7006589943230626,0.744531968304558,0.8492509857625494,0.7877596409070503,0.7311770616382169,0.6270646055951866,0.910706417069416,0.7061482224753812
chinese,0.5954367571411515,0.7577244897256765,0.5871765715325816,0.8227798076384243,0.7505112879485217,0.713024052286971,0.6328564599396705,1.0,0.5267007872001921,0.7357246545828116,0.6728496745704228,0.6894165550433039,0.5924378767717248,0.7115779785644155,0.7648023205477116,0.5468551459007065,0.5766409964489064,0.5904513809250865,0.6666788924929761,0.42448504859200925,0.5516667562034492,0.4709027110872626,0.7104702156284274,0.46128508874278834,0.7017163925360915,0.649223605611228,0.576049606374701,0.6185901897159801,0.44966005256736846,0.7767363295804626,0.6005209917143302,0.8537324739238635,0.7943809240690741,0.45275255639451595,0.5023107300584925,0.5533422887176233,0.43830795469624745,0.6095497738661114,0.7161043944350985,0.6607158353021744,0.7519910048049654,0.782482177536748,0.35604849283449463,0.4984234390552285,0.7194360067622001,0.7042370052962524,0.6855685898104397,0.675031425537039,0.6707515747741056,0.8030409650447532,0.7766009109693118,0.6880234974712315,0.7656405876502956,0.6882554942666897,0.8309826069555586,0.7382290088069938,0.7580318560796674,0.6544342761260318
classical_chinese,0.5025161609835154,0.4826144956308608,0.47879059500091425,0.5935021647087376,0.5239271828346517,0.5886612101446529,0.45216349433241765,0.5267007872001921,1.0,0.5660642587119874,0.5354969895004099,0.5762183232857843,0.49911416289728067,0.4650494032164046,0.4957337076777528,0.5753571481013293,0.422661251522963,0.3071553518192365,0.49878150449826075,0.3388476255116036,0.43146594903417157,0.3090734052040162,0.4828121464141369,0.42996068178624974,0.5081916172880283,0.42277394471113766,0.39837791568035313,0.22160436555719681,0.3110308829928266,0.496865150302633,0.6401395611657292,0.5958191745031582,0.4842496343707794,0.43960168935328003,0.5546920566599522,0.4448702620987913,0.8018772991677635,0.4842313023921205,0.4921947758444879,0.42308124489803867,0.5494237465423717,0.49408236792548826,0.8146479930823102,0.35811979132153143,0.5484868345527548,0.532607883057343,0.5537340840693519,0.4578686936018106,0.5390643337484098,0.5203199887160443,0.5654754447745645,0.5719235630962612,0.482336499493355,0.4886711186186067,0.5357533495018134,0.4902554016315412,0.54791999010124,0.5344830232462446
croatian,0.8737517354780618,0.8556458057659267,0.8300127664462308,0.8626498672292066,0.9490650464831537,0.9593414279809466,0.8442505446364119,0.7357246545828116,0.5660642587119874,1.0,0.9653130744694577,0.9017669654474882,0.8251534426829329,0.8899355044891645,0.8428606453244137,0.8105888033480377,0.7554468884150346,0.7361726483484831,0.8811851933813734,0.334728758073549,0.7452200528494662,0.655405690073322,0.8644133910708577,0.5466046162181085,0.8277333713632045,0.7457618504402094,0.801416219084494,0.59611955607239,0.7281346340531177,0.7134206134779355,0.7801520476794471,0.9078489498263533,0.8303661892245002,0.7244307340836036,0.8299667788336372,0.6844963259297793,0.6262795145288919,0.8339800092114439,0.8950973552381399,0.8031411232282087,0.9413601851769591,0.951714332445099,0.46464462698361203,0.7293565981665014,0.9882607086069983,0.9278993420585588,0.970621476673855,0.8569625251199722,0.9423981734349249,0.8423801640867794,0.7624551075103759,0.8395108901197086,0.9586697279174392,0.8655025413386593,0.919141912470338,0.6767217141262116,0.8676126950854117,0.7503415182509774
