,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7000669561007529,0.6764772579444247,0.7287128009236015,0.8068060318264539,0.8165560147572171,0.9592572733098428,0.620792360809084,0.4555441666805174,0.8410272317756966,0.8499213950109406,0.916540559058593,0.948221658079777,0.9479191137882113,0.7569892442935299,0.6879646018701514,0.9183291323460138,0.893964475023796,0.953113345958347,0.32288696431618447,0.9437355082899361,0.5830883657015763,0.7809144771756997,0.6517871545919526,0.7918298181543338,0.9132029014335847,0.9316467615864831,0.6359476269329156,0.6020240222815795,0.5217486359690806,0.8320161844418033,0.794064505206026,0.7363942224251282,0.8324342797752534,0.6779501546851258,0.6833929065321966,0.6078040869947247,0.7678303646195876,0.8355995363963665,0.8730556119630879,0.904923097224143,0.8351545627209057,0,0.8925196311079756,0.8454017510457336,0.8456234820123658,0.8561827173545307,0.9567477633246931,0.895249254996188,0.6697274640679037,0.660723262026991,0.7223210137044749,0.8272164257326751,0.7114180784586486,0,0.6667997428953671,0.8837120004005989,0.4506039059098932
arabic,0.7000669561007529,1.0,0.5412121478571112,0.7139034510587454,0.8212615531393355,0.7778307470698046,0.7257285191283728,0.7548586653430955,0.5152200528360853,0.8693395892901263,0.8249569335518677,0.7590708295294799,0.6691957168992366,0.7109016586334207,0.7473577341377698,0.5455164299806886,0.7515006952041812,0.8132971393058586,0.6991225514762801,0.47621221661288543,0.7194029810997578,0.6966785578524536,0.7790596298965898,0.3461042577594362,0.6410165295275049,0.8119852991881745,0.7587955627389078,0.6301858350478716,0.492611239491364,0.4896206237757285,0.8082618078488967,0.8458416118805889,0.8014019206875003,0.5446125479411897,0.48508367306976913,0.5543982497570078,0.5673008979810343,0.6992765572695394,0.7832584721810183,0.819317166988511,0.826189990919534,0.8550351727311827,0,0.7280184530335573,0.8267202170221782,0.8378164239792988,0.8137899454832187,0.7295674346553328,0.7598271302791741,0.8902978769353815,0.5604570228665794,0.6957839093538357,0.8594477123366954,0.713293254283453,0,0.5581315588109723,0.7572974334342527,0.3192848281597686
armenian,0.6764772579444247,0.5412121478571112,1.0,0.8451962408857053,0.833928839599144,0.8177464282735991,0.6148253300877229,0.6683577208834542,0.4157161180210355,0.7708725338345712,0.8236765086090057,0.7876720955481545,0.6785560036068956,0.7007750041741626,0.8620864306393721,0.9136540014086254,0.5512437687093054,0.5378485293965498,0.7409922987058003,0.2947617093460444,0.6365374494463771,0.5167599437855512,0.6405246385553796,0.5859082363741491,0.7262590336101993,0.6344861232114627,0.5720646160085483,0.4768316270083277,0.9267354289909571,0.6498891585252183,0.8026659480124179,0.8056786092746516,0.8227143432901309,0.7054207306013522,0.7033860442103318,0.8762493927262299,0.4581355083525114,0.8034504550006857,0.7999354204447727,0.4991902705461589,0.7401327596135963,0.8062486241796191,0,0.6816855248570366,0.8033627999021452,0.7947788743179693,0.8022809057785861,0.6176762402739613,0.7399507547280227,0.6837912312963683,0.7725899877434572,0.8454608458137893,0.8069104431317312,0.6152193204277293,0,0.5501901804806719,0.6490103326914313,0.5399399084250494
basque,0.7287128009236015,0.7139034510587454,0.8451962408857053,1.0,0.8599527353290053,0.8001194087157834,0.7267594800493404,0.8370281702907353,0.6301886830882958,0.8577543836235431,0.8446285762205303,0.8531715606493459,0.7523918639692417,0.7529254263951051,0.9376765016668402,0.8398182722986246,0.6351272896574341,0.6485400809141919,0.7859091090479943,0.4538522101758268,0.7218505254631863,0.51988561120511,0.7542977759006857,0.6089874703162035,0.7854861519031441,0.75779375132526,0.647738179105556,0.6055850574539838,0.7125942290049637,0.7671207744578245,0.8679124285854883,0.9106219401731213,0.9038735917835664,0.6860081059844504,0.8212341738198717,0.8652021247625288,0.64372617536238,0.7050166375508571,0.8040654505500197,0.6230371456293495,0.8060371272788364,0.8418992061184711,0,0.7400278861010438,0.8764183541170606,0.8321844414096835,0.8701385918568526,0.7218110498647342,0.8188857648717365,0.8432149256947381,0.8657277704591967,0.7740628384091576,0.8529462223169444,0.68344238869291,0,0.6692787431214509,0.7936791990104916,0.5997329733551818
belarusian,0.8068060318264539,0.8212615531393355,0.833928839599144,0.8599527353290053,1.0,0.9482227602144551,0.7941271655991924,0.8102587451662835,0.5202066289954513,0.9543650251902666,0.9656991827166641,0.9139992923925228,0.8078453605432482,0.8358985602847129,0.8990073977592787,0.7847014586741987,0.7735926804373063,0.7644520117402271,0.868925919510716,0.37408637347964324,0.7778563440534224,0.6125558237201244,0.821774330181457,0.5818019884044943,0.8117071984729235,0.8452589124744844,0.7566818489821737,0.6311896873043094,0.7765551102105175,0.6619054035932388,0.9268275469636166,0.947147386241027,0.9246482086557447,0.6925717247746254,0.6959404874598945,0.805090719659539,0.5709585748634567,0.8096246149917339,0.949269020186647,0.7563267061974911,0.9232348124667934,0.9661250899663166,0,0.8463656557834202,0.9484722306320061,0.9444942385119953,0.9478330876086012,0.804910711763724,0.8749009758524563,0.827440667525865,0.7555386519987665,0.7802512416038245,0.9848224107464241,0.750451908699858,0,0.6567258128082833,0.7906330149073806,0.5369199583656316
bulgarian,0.8165560147572171,0.7778307470698046,0.8177464282735991,0.8001194087157834,0.9482227602144551,1.0,0.7991909810275425,0.7549591570615495,0.4238673869660028,0.9189303512466143,0.9248921138261402,0.8937162561868005,0.7971150945947948,0.838498600698729,0.8317363950801534,0.736497670109667,0.7757367809909966,0.7628204507116659,0.8511018849301232,0.3062463822541261,0.758277532915513,0.6024649733737345,0.8230919549861582,0.5408585473565527,0.8128267704120719,0.8368609827340873,0.7634851894639663,0.6889980758187372,0.7329857791759347,0.6193103436712555,0.8867885368467893,0.8965387243033528,0.8717156678761198,0.6646547910520364,0.5980162221843517,0.7338231245360228,0.5353556184113865,0.8056231400798118,0.9324110304706983,0.7618302695547444,0.9387791531542042,0.9419644253508314,0,0.8408299777095046,0.9206008286686216,0.9196077716886928,0.9156989992548985,0.8077205211727834,0.8477789403175171,0.7596104234319325,0.6876096633789128,0.737542535131723,0.944345642325788,0.7758656948866447,0,0.637610168281455,0.7526294640584129,0.4880793261134233
catalan,0.9592572733098428,0.7257285191283728,0.6148253300877229,0.7267594800493404,0.7941271655991924,0.7991909810275425,1.0,0.661946726340277,0.4793304790704363,0.8248686815312075,0.8118407294567265,0.9119302217735622,0.9447330185538907,0.9503864678094821,0.7168965181055594,0.6348712488415619,0.9530105805460707,0.9166977447494843,0.9381105423326431,0.310804891857494,0.9417782527786694,0.5770922388529858,0.7862527628874787,0.6686755538351321,0.795468962426537,0.9412505634662386,0.9457984297332827,0.6966065457608912,0.5252927517368801,0.5368896274411186,0.8123479877756854,0.7842942987495388,0.7263268832271358,0.825323985436808,0.655334129525722,0.6303964640144774,0.6027392066062673,0.7459673688837274,0.8170304375083127,0.9166491773136023,0.9160836645694869,0.8117827144990789,0,0.9108765354519536,0.8311071050124875,0.8131511165648392,0.8384243438872511,0.9967856148669558,0.8847673681658135,0.6594983909846734,0.657636819189993,0.6920526841122927,0.8113999141872213,0.7015021076338811,0,0.6780799918647038,0.9225389366893353,0.4598711248940014
chinese,0.620792360809084,0.7548586653430955,0.6683577208834542,0.8370281702907353,0.8102587451662835,0.7549591570615495,0.661946726340277,1.0,0.5677623558476268,0.7931875846560122,0.7621516655228229,0.741761701335707,0.6294358871503498,0.7126584602710976,0.7992162814614273,0.657379344748634,0.6257079243997146,0.6449889906468462,0.685105236801821,0.35382386739993954,0.646057673726394,0.4508446581347893,0.7796239054030323,0.5112929775787928,0.769543275627168,0.7369012372665954,0.5841913962433923,0.6252609185219302,0.552827399406028,0.814397685899687,0.7882902418291001,0.8724480332962514,0.8623336264622239,0.5576449962749024,0.606893477722177,0.6552253011585575,0.4914257796880687,0.6214273672217411,0.7200786546382383,0.6636989139465892,0.7594339157458302,0.7796361336021945,0,0.6373290210841273,0.7635873259302565,0.7620181158457406,0.7988451905698619,0.6634342343944032,0.7144405060092784,0.8180391125194915,0.72625890764501,0.6840983922292635,0.8113664916551635,0.7034542699265072,0,0.7358935519109715,0.743472531829769,0.458835722380585
classical_chinese,0.4555441666805174,0.5152200528360853,0.4157161180210355,0.6301886830882958,0.5202066289954513,0.4238673869660028,0.4793304790704363,0.5677623558476268,1.0,0.5624721047543058,0.5125766572491669,0.5354653339638387,0.47218583044716417,0.427187085327461,0.6134862177555629,0.5466190679557441,0.3892123513567601,0.38010903292116305,0.4614635429440249,0.4345295307094951,0.4174569249130291,0.3035891622912526,0.4085068941499604,0.36926548068112197,0.5299464698237306,0.5179333040166446,0.37433434704480384,0.27373987889973805,0.30723503283762604,0.5126282067043328,0.5932813034373825,0.5657255946045265,0.5539919883587783,0.4455097172074576,0.6514097272597953,0.5506517693421811,0.7737769354010462,0.4659704140779335,0.5048963252501163,0.4098548230334039,0.4721553464002336,0.49656633053158566,0,0.4433199661815805,0.5477543522503042,0.5624282500864418,0.5746553507842217,0.4811902896603513,0.5724812149836445,0.5502901549867292,0.637042933607064,0.4997238089838244,0.5117612584666813,0.3855457503509502,0,0.47619793128404236,0.621523325412295,0.6921052607788931
croatian,0.8410272317756966,0.8693395892901263,0.7708725338345712,0.8577543836235431,0.9543650251902666,0.9189303512466143,0.8248686815312075,0.7931875846560122,0.5624721047543058,1.0,0.9723937948582123,0.9209527705628953,0.8196550213151381,0.8489652014175297,0.9067556704418902,0.7728562460409781,0.7844891556421418,0.7805028888456963,0.8708992050783086,0.41713642470259704,0.7988698002266834,0.6188580412461815,0.8403382055623728,0.5028637143042598,0.8182085588145644,0.8648887936981008,0.7818137805874559,0.6628613954490395,0.7172427907273327,0.6414527563573409,0.9471458637105787,0.9415425950558157,0.8921609797611093,0.708601217373398,0.7133965167433015,0.795362282095884,0.6760485729629624,0.8275599698418333,0.9417337056508261,0.7741923692877285,0.9277942750179934,0.9587534764925628,0,0.8317499040775846,0.9771091920623991,0.9646104010967593,0.980711328013948,0.8283163216003406,0.91917788906043,0.8673415474863346,0.7224692316436413,0.8027926973713522,0.9788792483802007,0.7872859776375424,0,0.6874053079198137,0.8485965854703817,0.46356657108021865
