,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7404994183840459,0.6454759252716507,0.709308279354348,0.764804059383388,0.9176519779571976,0.9412161159446957,0.6369631797877721,0,0.9053326301212077,0.890294827535127,0.9289743714806009,0.8572649209839501,0.8875278950123626,0.7239318084249368,0.6141310456311624,0.9010422970105298,0.8949542856766471,0.9383257460221175,0.40786594066023796,0.8870398507049948,0.5703477489398951,0.8141592572996371,0.46431072274480495,0.7527774868146334,0.9183473855690772,0.9154986991167269,0.6297679339741873,0.5225558694840784,0.3920673148712177,0.6108354211654025,0.7631057469353282,0.67188596113059,0.7724066733878597,0.6179683085784009,0.49976721500074756,0,0.7718710488813676,0.8282864890644417,0.8816108034180725,0.9312874180639565,0.8695053539786991,0.32686412685234884,0.803153228668733,0.8832217487968843,0.8307669865086522,0.8796508944825221,0.9471666940736404,0.898306142010928,0.657097801947542,0.650380626769945,0.629815397004692,0.8643635675773984,0.8220711627734913,0.6918169607274953,0.6293015619473488,0.8964175201441509,0
arabic,0.7404994183840459,1.0,0.46048401082256224,0.7314112693525173,0.8138026851694871,0.8262036883356779,0.6754905974195144,0.7173494626186464,0,0.7718680128923062,0.8187997346405013,0.726195428974621,0.6086984607507746,0.6709957776736714,0.7042753748079823,0.47603105833166515,0.7411518429223186,0.8184466758818424,0.7225773663185083,0.43670665923041224,0.7163733935643096,0.7364836666776433,0.7661950197446991,0.24533870577045871,0.6039785141973039,0.7892398980373213,0.7713836424754974,0.5566956283664009,0.37668540146169066,0.31703125217878675,0.5414070822485458,0.7804298292182797,0.75752774736806,0.5329899818107512,0.3933976810467512,0.33596195773209236,0,0.6608013335422297,0.7336150298171576,0.8536747159458513,0.8303187064229499,0.8494461878468573,0.29030381234861813,0.6228106980576753,0.7459684221498523,0.8202628904074465,0.7755809982707483,0.7134117377709898,0.759871671665851,0.8542641052495293,0.4904249450250664,0.5196320554757885,0.8496241017071892,0.7406287726824783,0.6178050572779005,0.5250201723654103,0.8299359971621655,0
armenian,0.6454759252716507,0.46048401082256224,1.0,0.7239306908218871,0.6623746162999716,0.6388390707043723,0.6223266329907573,0.6174235495061906,0,0.7932826154141707,0.7637945675767265,0.7883261690786487,0.7913927157637353,0.7337908017827646,0.7913528203930466,0.9428277006594135,0.5394135056962795,0.4764623739630772,0.7040205377725095,0.4216040735448214,0.5528027291913875,0.5261438771280494,0.5497832180296196,0.4873121203309489,0.6976692838414202,0.662772747370374,0.5636119614778816,0.43849968703393655,0.8646998740595823,0.5184729118704655,0.7839908213285864,0.731853188815423,0.722151243629053,0.8206167323045777,0.6943857108566731,0.873049399061955,0,0.8078726919183157,0.7720987992639478,0.474131757361733,0.675372194381511,0.7369815056657504,0.36540093914330884,0.7455817578981206,0.7958999142332948,0.7256793365308203,0.7833890350679951,0.5613284589110396,0.7884434091279867,0.5759442381140321,0.6908862370400549,0.8595621660369058,0.7189193975885807,0.5837989103954795,0.877068691436937,0.6185547834993833,0.7125502911346674,0
basque,0.709308279354348,0.7314112693525173,0.7239306908218871,1.0,0.8799415038253324,0.7527582914485373,0.678833360064207,0.8419684401460026,0,0.8317691917463031,0.8464429237198239,0.7704233760697831,0.7575492592453217,0.6952263967108397,0.9252584330987812,0.7465628264867669,0.642006457342638,0.6462986247271507,0.7835492385423576,0.5494249842245731,0.7141011719522431,0.47226644928235223,0.6494070180174663,0.43665540301914446,0.6747112812143786,0.7636379512522089,0.6625145081217942,0.4776477816574475,0.5460970067230678,0.5544996213094867,0.7637331394886258,0.9181799006431048,0.9089082848507489,0.647680989485708,0.5780619131999829,0.6110293239248719,0,0.6161820405615286,0.8098717467727045,0.6985689504587723,0.8003572666284454,0.8471317427058687,0.41686017626470384,0.6642152803757901,0.8350743341223203,0.8043770648500124,0.8646919129874898,0.6553603311685372,0.7459082901354683,0.900606791103098,0.5886476395671798,0.656924880916867,0.8848359397964158,0.6346466451366265,0.8464413797064905,0.5745047633480812,0.8179343821842712,0
belarusian,0.764804059383388,0.8138026851694871,0.6623746162999716,0.8799415038253324,1.0,0.8712722590027953,0.7199143785339273,0.798464007014384,0,0.8627674842764068,0.9180462958839912,0.7956160285403938,0.764046785643631,0.7443459025666623,0.8281677310736999,0.673499434938712,0.7545818915433837,0.7340200826969958,0.823216177419955,0.40807234916200913,0.7128512439212662,0.5505896913545894,0.7463526573453882,0.39264100932371265,0.6685188318379913,0.8471521545033497,0.716574110286659,0.5250000746610299,0.4960337838794483,0.4680954636664265,0.7414024616894385,0.9203073016931116,0.8794911835318914,0.6437444073053864,0.49397547903944244,0.5150616495534381,0,0.6923697518583934,0.8788504382323479,0.800395997898347,0.8611826875039482,0.9260883334258909,0.33797933684251125,0.684040370848517,0.8335173150239156,0.8637205838410172,0.8762048155245793,0.7329032198708835,0.8005897555145894,0.8337668212170518,0.5441887719195326,0.5797077856894881,0.9458934795183763,0.703385552147329,0.7826677898157105,0.578098362910092,0.8808457164136008,0
bulgarian,0.9176519779571976,0.8262036883356779,0.6388390707043723,0.7527582914485373,0.8712722590027953,1.0,0.8606857948905258,0.6882816206060981,0,0.9359651605554128,0.944220286771423,0.9053862501574662,0.8225540111686421,0.8555786061731929,0.7451185478872538,0.6193102055413809,0.8486236090000292,0.8292490410634404,0.8852695773853466,0.36434473623650243,0.7653107768016024,0.6091567165590244,0.8609580452263036,0.39002945696955693,0.7557558397719107,0.9252573998295816,0.8253655849227305,0.652895551157955,0.4935457248556507,0.42241359689741803,0.6924661063371444,0.8195401315635091,0.7508240139167105,0.714351214326282,0.5646230138645029,0.48999931070070313,0,0.8102129665110287,0.9080098219633348,0.8749980104228804,0.9452870482077874,0.9287278105547729,0.3740269971013846,0.786226355764013,0.8992511945274735,0.8847214122483045,0.9111279758914131,0.8805597676129231,0.9072526979832769,0.7100916263686443,0.6158001387793247,0.6029913098662889,0.9257611500733331,0.8526562897125689,0.7089704935646073,0.6331759250793497,0.9257456483765173,0
catalan,0.9412161159446957,0.6754905974195144,0.6223266329907573,0.678833360064207,0.7199143785339273,0.8606857948905258,1.0,0.6516645880091898,0,0.8555225700881431,0.826998291896354,0.9128176711285502,0.9052430012233006,0.9175336013083024,0.6987845000556553,0.6088321994424875,0.925314089293572,0.8947847844297783,0.9447435120600344,0.35278462199648164,0.898214532647208,0.5660374444240172,0.7665692231923613,0.5335674069354498,0.8232696972789647,0.9176478446454605,0.9331797416987282,0.6640741091711618,0.4531593869723485,0.48065349562584436,0.6064117363294639,0.6945508853923232,0.6567461432619194,0.7845490041921254,0.5522530790825543,0.5100673740618722,0,0.7388170128619155,0.8379688647635477,0.8870116793767752,0.913472111510928,0.820893457657823,0.2724855277423801,0.8274116782948556,0.8611266060278697,0.7613878892758706,0.8066308866589147,0.9887072452058357,0.8696112056737314,0.5869200843170381,0.6453787763986093,0.6362972612213756,0.8057560457918589,0.7896814365048856,0.6279430429784163,0.6718131842140536,0.8766533486414659,0
chinese,0.6369631797877721,0.7173494626186464,0.6174235495061906,0.8419684401460026,0.798464007014384,0.6882816206060981,0.6516645880091898,1.0,0,0.733406623546197,0.7682999684161079,0.7561143597487814,0.6962961751353421,0.7405610202172549,0.8287939122753633,0.682809799062185,0.6662301834906944,0.6552440911960358,0.7459970098408176,0.37812884936559377,0.6534212297336082,0.45905174516197444,0.6693436973217268,0.4414833500971291,0.7273431795916502,0.7380162007778837,0.6413067987562263,0.584131242072611,0.385331509229053,0.6554227889068611,0.6720828944795126,0.8309162559576075,0.8749385077375476,0.6105366614735169,0.567581086682902,0.5787899571004129,0,0.575385625744718,0.7401256117017202,0.7196802621185824,0.7798560023524697,0.8177567210234025,0.32889148601736723,0.5906693783679433,0.73761437254748,0.7664474711021966,0.7779492431658926,0.6463908737047287,0.7564800390599427,0.8464937116109208,0.6296127670836406,0.5579885018902467,0.833059661548953,0.6682029814709077,0.7891501785239433,0.7387994680564969,0.7785710774552058,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
croatian,0.9053326301212077,0.7718680128923062,0.7932826154141707,0.8317691917463031,0.8627674842764068,0.9359651605554128,0.8555225700881431,0.733406623546197,0,1.0,0.9603161363386556,0.9403965937392206,0.8664854858302974,0.8822709951934837,0.8655644913856726,0.7830640355762325,0.7859863209545592,0.7573752749962455,0.9030809363458888,0.49676250319149756,0.7483541916689125,0.6214904737832607,0.8434122810147253,0.44894797577529566,0.8220453419609888,0.8991513098023463,0.7979819071559537,0.670156785818404,0.6440127964927942,0.5268705490070035,0.7823444074578508,0.8667458429656273,0.802186984168133,0.7787879576171015,0.683109877855844,0.6271677750738753,0,0.8061893095416851,0.9264375807865322,0.7773570186096618,0.9367394354676912,0.9486173437220143,0.42371259364939695,0.8587933489224403,0.9762456263496593,0.9057086161658147,0.9760028069428099,0.8402934954372694,0.9370699179985582,0.7556799094495656,0.7413591209995056,0.7056040739944763,0.9360300411609038,0.860360587831405,0.8438129566395058,0.7094718075055615,0.9221243954526396,0
