,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7170639815674327,0.7801948401970464,0.8206740414163646,0.8701002083168908,0.8779166092558325,0.9261974779998537,0.6141148719666507,0.50400708700537,0.8638140174228545,0.8925906615593832,0.9334448139227689,0.9627960360634834,0.9592454962626092,0.7720755544146559,0.7608554541400427,0.9213457709387263,0.9033431930214909,0.9588783630780138,0,0.9421169152537794,0.6113404242984182,0.8409876297050628,0.6609909355300198,0.7855684639667302,0.9431278951473753,0.9342816720870329,0.5454463813782366,0.6024654753973983,0.6177677991167897,0.7519805517049211,0.842246232753413,0.7777251505207419,0.8358119479260021,0.7287066705511678,0.6866516656596681,0.6798801706297795,0.7890727150565224,0.8645780328603497,0.9120936495720805,0.9268416804921604,0.8794863762985041,0,0.8328351320445344,0.8727519487591429,0.8702594718755532,0.8751971146775678,0.9329425390544529,0.9205130003910198,0.7073044010801538,0.6586679481394765,0.7896448677259005,0.8691935186286278,0.8074505923542483,0.7742450570306232,0.6975633366957845,0.9288190536514057,0.826047360525656
arabic,0.7170639815674327,1.0,0.6039733872618417,0.7243916917285986,0.8131714550166287,0.8525385896582587,0.6972507383393931,0.6793324271357083,0.46471725749812,0.7886136635932487,0.8108162592233282,0.7835553119134512,0.6945077418396428,0.7324947351389647,0.8153822299970621,0.6171503778554536,0.7152897820444061,0.7865634085725726,0.7009374893421895,0,0.6619445578410522,0.7252117558108411,0.8526763803640305,0.34600830902247803,0.6304008487934718,0.754873545883385,0.7736189510723563,0.5452964360011984,0.4613187268256221,0.5386599752059228,0.6197933771479244,0.8278987948583058,0.7747852479927168,0.58033513066562,0.5531927439055978,0.4868166783211129,0.7339452076700564,0.700196443258711,0.7974897990126809,0.816305370063495,0.799163332538082,0.8312234367771189,0,0.5343307352156997,0.8248317840135756,0.8225867299074292,0.8166906841781996,0.708817489085309,0.7767067292551008,0.8532863250412634,0.5556807985014082,0.6588804858997132,0.8386839587958774,0.7898306523483192,0.6563334052877446,0.5892898071828064,0.7962115441754222,0.7402630052161469
armenian,0.7801948401970464,0.6039733872618417,1.0,0.8744744034199229,0.8742192192934293,0.7862374728494979,0.7446330511244064,0.6052060473344957,0.45171044934963384,0.9137002547997349,0.8848153910275832,0.8638986430683789,0.7757124313376117,0.803654401068377,0.7947671308646493,0.9427952501210946,0.6408904075500577,0.6152698375174181,0.7811672439450442,0,0.7758018979221831,0.6189760028125834,0.6798718060586594,0.5991982530148082,0.764675202799624,0.7876956592841947,0.7182342452561782,0.48563764897138545,0.886893532183654,0.7122023262147084,0.8318190923141481,0.8148545640377854,0.7807829767726625,0.838236649960401,0.81714686227927,0.8471508303089883,0.4672045497441597,0.8743731163101123,0.8587558244119604,0.6554450001831558,0.8131538100134139,0.8585869386566656,0,0.7753473850115365,0.874336751317861,0.8643050292006941,0.8588595692224368,0.7258474797348808,0.8650082309923777,0.7118717104452099,0.764569383536165,0.9384597761296196,0.8458595593998065,0.7198180091082743,0.928893622516247,0.6170454375098031,0.7781095735467165,0.7538565355911517
basque,0.8206740414163646,0.7243916917285986,0.8744744034199229,1.0,0.8878541469065591,0.8039366150559555,0.7882909243095758,0.7673103815980196,0.6016620322343803,0.9142130877742325,0.8805055494460208,0.8740125382830397,0.8082418708222097,0.8081289047508597,0.9120594757508618,0.8921777808473043,0.665229414525774,0.6955754327760704,0.829414802587037,0,0.8067320454064195,0.5865320329840141,0.7745914402673035,0.6186309822269284,0.7822741310186612,0.8498396648111347,0.735246119781901,0.5317157576169584,0.7281137803435734,0.7823036549516272,0.8075328042059372,0.917174943939003,0.8883232437321857,0.7545818316423875,0.8305270613821161,0.7843389207271679,0.6768401838339607,0.7379644116064062,0.8444204581695197,0.7264196164100535,0.8702304588744556,0.8739682680074299,0,0.7691488885260473,0.9292108368449163,0.885859450325037,0.8973261511658261,0.7588600744961063,0.8454668495791546,0.8467324268667724,0.826745406335028,0.8646908460671774,0.8785071944642998,0.7837955066310849,0.8911230158219294,0.6800978221492826,0.8594134994202162,0.8756638859452408
belarusian,0.8701002083168908,0.8131714550166287,0.8742192192934293,0.8878541469065591,1.0,0.9444436069818604,0.7844316522334941,0.7108218700506729,0.5400970724811299,0.9748570944288566,0.9783492588891354,0.9177702421161981,0.8365480172317838,0.8661092686048693,0.9095324636567418,0.8506269036038717,0.7427855859537613,0.7350048345869437,0.8436145531819854,0,0.8078620009132341,0.6502019488263223,0.845590926188226,0.5463173389927543,0.7799071983487209,0.8737304410932443,0.803057580829876,0.5319197573853673,0.7281998338529972,0.7093727111244452,0.8685049215075836,0.949919770403892,0.8885081233136615,0.7668108279057629,0.7829921578135327,0.8064179647779136,0.6700297522581221,0.8386591597136688,0.9599531024369659,0.794358356068465,0.8954001042963944,0.9702959931081755,0,0.7558477717752371,0.9519897546447621,0.9800811319556547,0.9558682845102979,0.790223415022334,0.9174332436962287,0.8331388395465319,0.744591153179763,0.8703796192442376,0.9767844409888561,0.831934818405312,0.9083126949165987,0.6612405136093911,0.8743630564356714,0.7959619742036649
bulgarian,0.8779166092558325,0.8525385896582587,0.7862374728494979,0.8039366150559555,0.9444436069818604,1.0,0.8321270282310852,0.658056281977666,0.48142979356794213,0.9350461047752939,0.9485039946636303,0.9335270391918887,0.8522567466903964,0.894372647854643,0.8366388255504131,0.7541334664396714,0.8106563030742217,0.7947461445503695,0.8467618901137818,0,0.7825863699450117,0.6407737658414355,0.9254738322096647,0.46774207218677677,0.8017070070776737,0.8744044001490809,0.8487753857785472,0.6404478215640812,0.6052983468095008,0.6299483857346512,0.7891273347074492,0.8942138385353937,0.8158188793197927,0.7251799186149396,0.6719761692928202,0.6736890457566275,0.7203186493170046,0.8582429643445298,0.9533602094349207,0.8505057679948504,0.9221579553523135,0.951694128641109,0,0.7398987199226703,0.9362778536477855,0.9474196193413753,0.9434919725899509,0.8424591922519472,0.935033150749995,0.762618781590059,0.6269217233727198,0.7759997523497941,0.9467527164563571,0.8917585819911729,0.8049799688933074,0.6871080588481219,0.8895975643619027,0.7710055388171788
catalan,0.9261974779998537,0.6972507383393931,0.7446330511244064,0.7882909243095758,0.7844316522334941,0.8321270282310852,1.0,0.6072476651736161,0.5019987484678482,0.8213283645734913,0.820828609109628,0.9243843472567917,0.9485079880219361,0.953237098064811,0.6889874351669839,0.7091806543139904,0.933155750033968,0.8923148584525477,0.9484743621745328,0,0.9073514405889405,0.5846921014720208,0.8342231367100701,0.6595853050259504,0.8371813925173148,0.9239429344418183,0.9280436855613142,0.6500583287995656,0.5050109128142167,0.6274369897877446,0.6640649371498876,0.7428050199572198,0.6821995966445752,0.8140290893403016,0.6930593743760723,0.5621790361496225,0.6674141101140447,0.7566157417376428,0.8203406032227665,0.9118962591173817,0.9313100268278242,0.816357018099751,0,0.841049837572719,0.855221879511017,0.7912673234406636,0.8331219604801267,0.9894817944797211,0.892882177124464,0.6383051515189796,0.6484384053706869,0.7415987455634444,0.8028491727738802,0.8254681892870257,0.7020441049725281,0.749954901854516,0.9147016004391577,0.8641219732225531
chinese,0.6141148719666507,0.6793324271357083,0.6052060473344957,0.7673103815980196,0.7108218700506729,0.658056281977666,0.6072476651736161,1.0,0.42405573158947657,0.6934563574992105,0.6987068982649619,0.6594929139840695,0.5993869684776272,0.669235781159607,0.7260365223508812,0.613415547608208,0.5399688214396894,0.5834560742891256,0.6250767807906575,0,0.6066203435033795,0.4871306777712063,0.7324983269233869,0.4584570645027549,0.7041189162887089,0.6555370441113312,0.5630056964105787,0.644235102176175,0.4861530854531052,0.853500891552705,0.6457717012936802,0.792024623072516,0.8188628744449584,0.5525681503870328,0.524280599014809,0.5748609214196881,0.5121219724227632,0.5793956644591461,0.6702924287756162,0.6452754727961656,0.7090414417597499,0.7106683875826317,0,0.5507814877999665,0.7273915228947384,0.7458363455627327,0.6959468807896537,0.588303291729981,0.6426420159753702,0.718053232694245,0.7281382329131454,0.7051204961512207,0.7622662955574745,0.7106405130279435,0.7596475747910078,0.7621895177067204,0.7048956246182222,0.7665432860881871
classical_chinese,0.50400708700537,0.46471725749812,0.45171044934963384,0.6016620322343803,0.5400970724811299,0.48142979356794213,0.5019987484678482,0.42405573158947657,1.0,0.5492146873155046,0.5253941463308139,0.5534593837687494,0.491796090082822,0.44709908339073046,0.5990168435894043,0.6112551343038518,0.3654713626368229,0.3401905092652808,0.5106778703716324,0,0.41147997751275855,0.29771354920604476,0.4875034142687851,0.36294055890339333,0.4630352437119418,0.5050335584797419,0.3932292999593245,0.20333638804890372,0.3385850821221379,0.4367688794865412,0.47423515982304565,0.5164408684673113,0.43259868256453793,0.4334224887530163,0.7127868608007903,0.5806458941588288,0.7760770804009279,0.4391714095649187,0.4887964492877405,0.4063283415028211,0.514218089913396,0.46524478169206557,0,0.401381551260509,0.553635151226038,0.49319145447546275,0.6232798605085027,0.4504321414652622,0.54982940439886,0.5928944294308316,0.6036405855232745,0.504039039047159,0.4451613120101348,0.5272789816967975,0.45246044958404297,0.49072092773115505,0.5106721559240534,0.5551105292329204
croatian,0.8638140174228545,0.7886136635932487,0.9137002547997349,0.9142130877742325,0.9748570944288566,0.9350461047752939,0.8213283645734913,0.6934563574992105,0.5492146873155046,1.0,0.9728456812218336,0.93428467139219,0.8405339647552045,0.8771911960959545,0.9022196747492983,0.8831402599072566,0.7380788672077937,0.7239950052339879,0.8552400479974169,0,0.812212035066413,0.648255813741078,0.847633344308131,0.5575709283468699,0.819752916225004,0.8712171828534555,0.8056946377202294,0.5807216761125832,0.7292235242537899,0.7281602132595355,0.8579914328499402,0.9225612673707705,0.8597613733594978,0.7784737582615584,0.8073527514603734,0.8046365897261648,0.6615516017933244,0.8437492942030487,0.9512994146253604,0.7797740969216289,0.9071179827406556,0.9657824427294496,0,0.7823738121325557,0.9724938357402714,0.9650238872772309,0.9717104259048202,0.8128627166126063,0.932808838751648,0.8153738292062959,0.7594791192940314,0.8709746010684299,0.9570400478323436,0.8572711738940143,0.9060047095344559,0.6996115303778764,0.8762401683420312,0.8112568696845994
