,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6562464702205284,0.8218695981338283,0.7643461180213588,0.8334390199107772,0.8605846355250075,0.9265376598841082,0.6239731708070048,0.4890793479626027,0.8875557315280966,0.8793105544053306,0.8985283201080476,0.9386595759105765,0.9316820721897612,0.8047092890968495,0.7690947041310281,0.8795965641382729,0.8374812217569785,0.931808682008962,0.2489263135036892,0.9184788862368233,0.6048100020704941,0.748021012141137,0.7085201329739439,0.8112321755530627,0,0.8802358689590043,0.5869875473284691,0.6817624728967285,0.6944504760122088,0.8324403489600305,0.851136832022814,0.763800712967315,0.8780440813692012,0.782579611048965,0,0,0.7323930333297901,0.8522892463662041,0.8489358518892762,0.9067341467530202,0.8370424257627062,0.41402595940416254,0.7680274364114477,0.8832935525571294,0.8831816495437917,0.8736247529166555,0.9370447900517952,0.8835389172553295,0.7153614244993253,0.694490597179509,0.7917108153912285,0.8589159415778886,0.7913484426256214,0,0.7269364077186777,0.8680488468455125,0.8038091590170332
arabic,0.6562464702205284,1.0,0.6163220091502686,0.699950544055392,0.7497410525315216,0.827827267955183,0.6992534083009938,0.6887429340207174,0.45377523530971275,0.7791403823241756,0.8032467970751452,0.7383679673361099,0.7154014222249971,0.7186096815095903,0.7532522864271991,0.615148849977552,0.7075135584100145,0.7711719194971941,0.6833992871652007,0.550820803476745,0.6902777947556076,0.7609364285106428,0.7991585444604296,0.40040491442314435,0.6536781910398464,0,0.7816327490678957,0.6354327394156664,0.4767438740216032,0.5670097277227372,0.7685378314494979,0.7854523550270925,0.7616460015125768,0.6251212878276975,0.5701394488408619,0,0,0.7353839215661412,0.7507843211777653,0.8117579201272724,0.7747590006936612,0.7768876215351969,0.3785677601626859,0.5267368463988557,0.7557880985511053,0.7989556695183093,0.7780399925136207,0.6938402008938338,0.7530291926505753,0.8443886567247458,0.5469910110263467,0.7044072433924718,0.772554405217718,0.730391069683253,0,0.6161957691787151,0.770988965091417,0.7287784400254955
armenian,0.8218695981338283,0.6163220091502686,1.0,0.8166768311764426,0.8841483861049608,0.8060755122955875,0.7434809023167376,0.6721096946070958,0.43390203198021465,0.8943581993891455,0.88996354077888,0.8725245583132479,0.7891357802363768,0.8388073141273156,0.873183029634993,0.9401885064867066,0.6402747172207561,0.5628762442871467,0.7779298066289086,0.17147432103548008,0.6977336986727011,0.6755038222862009,0.6867599021383125,0.6427304011281317,0.8034043017677165,0,0.6815771039799777,0.5632934420515785,0.9029968263834599,0.7835394267309678,0.8621081003158356,0.8757231724073241,0.8135974988376142,0.8487158024681168,0.8411343012158742,0,0,0.784099767657895,0.8960393631086997,0.6514109459961306,0.8008290772054707,0.8731671509165353,0.4093910192702033,0.8128848049428059,0.924639907842739,0.87998582111577,0.9097087298273024,0.7545682918126702,0.8816506229432507,0.7466448541284437,0.7749998444845552,0.9008175768252376,0.8927689482213699,0.7534979160688807,0,0.7120812949983042,0.8997492345551237,0.8120165605637206
basque,0.7643461180213588,0.699950544055392,0.8166768311764426,1.0,0.827046759577333,0.7954202017024844,0.745349057959021,0.8052117359954971,0.557220138067362,0.8503656213909736,0.8321908671480843,0.8095593183305645,0.73210108255455,0.736587729923252,0.9178938919489206,0.8177692537630277,0.6070616737234616,0.5844935117565602,0.7462365484579817,0.47847828838369266,0.7062904402714285,0.5356263341939799,0.7172500295898782,0.5911243807042482,0.7631316538730102,0,0.6555431759846959,0.5955345117327129,0.6826905257638826,0.8322804442968333,0.807407947180365,0.8759629648247772,0.8485102409776502,0.6860105992799634,0.7584648908546099,0,0,0.607361231216365,0.8331509290412764,0.6948239433678705,0.7869426885500965,0.8144984535604972,0.5150833348074808,0.6906165726692579,0.8599542923636028,0.8354987988891268,0.87685082759072,0.7124164479535112,0.7931729149029949,0.8811234191616563,0.762064032521549,0.77899420031951,0.8504856514466242,0.7747886195682023,0,0.721893719315675,0.8399785709187253,0.8771394301531903
belarusian,0.8334390199107772,0.7497410525315216,0.8841483861049608,0.827046759577333,1.0,0.9039988901411568,0.7984494781985007,0.7802593846848525,0.45284773036866305,0.8993704674142378,0.9611976331453703,0.888808143227968,0.8532539870559813,0.8863068241146336,0.9236088962358919,0.8484920891572254,0.7439374339033391,0.678480206521515,0.8417035123072247,0.3416459679869835,0.7709386990958776,0.6656313286336759,0.7670580316115675,0.6805900036752761,0.8237737272991921,0,0.7736697153217258,0.610695906603447,0.8491763520775445,0.8188035817312164,0.9551430238343839,0.967431810994511,0.9394419215180448,0.824157030959225,0.7730112033737151,0,0,0.7272449127083292,0.9562216329886768,0.805632172818916,0.8869071580877601,0.9729529763109315,0.4168996800342247,0.8333817898917395,0.924655626578297,0.9705585430974822,0.9502512189203455,0.8230760769676888,0.8785570505869865,0.8503937019903182,0.7580323970581727,0.8539653236169845,0.9863013680090917,0.7309808689944981,0,0.7450001794067377,0.9400152557152324,0.8781924825605287
bulgarian,0.8605846355250075,0.827827267955183,0.8060755122955875,0.7954202017024844,0.9039988901411568,1.0,0.8749181366527564,0.7248089751871494,0.5008526599783006,0.9360456866906508,0.9414048521032643,0.9263969058724575,0.9010072996388198,0.9187097850266596,0.8538105531670277,0.7663317233112872,0.8310253346418672,0.8016790706677088,0.8787540084322438,0.3928295730415104,0.799322451439786,0.6617085677973569,0.8983098824520115,0.5671308968827704,0.8509950919624508,0,0.8482422304028102,0.7509628792431529,0.6578044896628445,0.7116096806322758,0.9079500805596014,0.913840327010894,0.8365989923927534,0.8049780915945929,0.7295112164243952,0,0,0.8489711048021402,0.9196200198408256,0.8767422649745271,0.9401945674521507,0.9220123637815125,0.44722593969753827,0.7289720646664982,0.9244850072877028,0.9356801775797403,0.9385630485947349,0.8725603639639828,0.9291258391381789,0.8050983709304104,0.6919918340083299,0.7873735552225669,0.9259266683938724,0.862400741630409,0,0.7628144851849635,0.9217290307886082,0.8327824374216158
catalan,0.9265376598841082,0.6992534083009938,0.7434809023167376,0.745349057959021,0.7984494781985007,0.8749181366527564,1.0,0.6621497834080117,0.4416790239110295,0.8518325249558809,0.8509852333478013,0.9070673609306669,0.9605248632940356,0.9516239827732246,0.7473121623029347,0.7036265319675502,0.953267582353056,0.9104436897296113,0.954641790412399,0.31632726264548794,0.9501210362726988,0.610740740610279,0.79081433111683,0.6833906464878143,0.8203645123651986,0,0.9426349624381413,0.7075944141930655,0.5777828649721428,0.6745819650085981,0.7604181978237907,0.8239456465217545,0.7214586443681337,0.866749291664967,0.6954030849733742,0,0,0.7382642755706417,0.8339005888497436,0.9249812110897719,0.9450813785964364,0.8287008980866036,0.3311297739880859,0.6979543147780534,0.8492655017619242,0.8512691408500098,0.8590756218639143,0.9868228954171153,0.8917992495535139,0.6905050460874776,0.6656387866606931,0.741576788321884,0.8361539903342674,0.8177774368720744,0,0.7320519767079801,0.8785324056037934,0.8283341171048143
chinese,0.6239731708070048,0.6887429340207174,0.6721096946070958,0.8052117359954971,0.7802593846848525,0.7248089751871494,0.6621497834080117,1.0,0.4210670651814971,0.7008578263593683,0.7665019991057557,0.7282873996466115,0.6594481165278056,0.724087698412458,0.7922545326812969,0.6922142862883981,0.5851946267232238,0.5494122792596591,0.6580783017566703,0.45533057660496445,0.6217128279298484,0.5026664384047259,0.738627248745755,0.5351072372429245,0.7728045298500675,0,0.5967524714970056,0.6666773566823424,0.5799353612931107,0.8444190412412816,0.7317085692184504,0.8028487206638736,0.7986514064791624,0.6617513882845362,0.6576622284286687,0,0,0.5427420883181184,0.7601886358646146,0.6755687393755827,0.7095983654549411,0.7751679189537761,0.3447101967821846,0.5952908946597018,0.7142119909569267,0.7735496122427669,0.7777242859981851,0.6692589588157591,0.7266061369093462,0.812086095843901,0.7531983754343025,0.7240881402845634,0.8107470238013879,0.693335433109532,0,0.8164630893635729,0.7851218731838001,0.8263221288797449
classical_chinese,0.4890793479626027,0.45377523530971275,0.43390203198021465,0.557220138067362,0.45284773036866305,0.5008526599783006,0.4416790239110295,0.4210670651814971,1.0,0.5533126003157074,0.5098016473915008,0.4831811896546952,0.4302354581289988,0.41922980596178777,0.5629348799430071,0.47435483601572603,0.3935620548076878,0.31085015738754235,0.4478812972117481,0.3461874440699296,0.40941585259722063,0.3062058021429581,0.4517032964345319,0.34628056907994154,0.5173569289308098,0,0.3873805496391725,0.23035812373698156,0.311725622311197,0.5445681933547762,0.49114883825898703,0.5171183962273218,0.4989563502816788,0.40681180905795666,0.545392060093556,0,0,0.4530770155138017,0.5199735366826992,0.39635668146447955,0.4492262158659958,0.419528736198397,0.8066923344092708,0.4813699372110823,0.46666229406958937,0.49665916113479947,0.46332769574735444,0.43938892408018404,0.5346268666691868,0.49757652046593975,0.47562040994639737,0.4928445984538455,0.47151968629363183,0.5017898519412657,0,0.5097730781916944,0.46168980882384086,0.44926818332338914
croatian,0.8875557315280966,0.7791403823241756,0.8943581993891455,0.8503656213909736,0.8993704674142378,0.9360456866906508,0.8518325249558809,0.7008578263593683,0.5533126003157074,1.0,0.9424770245190817,0.9118557994133385,0.868975611265905,0.8990087598819825,0.9068177911468417,0.8552850383991754,0.7686795248749704,0.7282727949556596,0.8661756889358688,0.3706704036975995,0.7938237712864696,0.6613866362663422,0.8357747924855721,0.5924070719893765,0.8369688933058574,0,0.8031809794031622,0.6736462489913034,0.7269061763632159,0.7670267289058847,0.9275230202074596,0.919863046282995,0.8323788597536106,0.8207936133586478,0.8095662628521477,0,0,0.8059318013617793,0.922512572757694,0.7871082024865516,0.9025997442854189,0.9121931706951719,0.5006792584213741,0.7659452732086628,0.9765936935138064,0.9385556353710817,0.9652587040928441,0.8506092512618801,0.9215249598762674,0.8298292170226127,0.7179426484383008,0.8360514227714932,0.9276408322074761,0.8701679488561432,0,0.7799189222713306,0.9196725474391315,0.8300071011899354
