,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7743324561637751,0.7807271715941478,0.8085461200488443,0.8670581449277731,0.9109000360515797,0.9431918320064251,0.6550887094549214,0.539923038527579,0.8954136941938192,0.922028098483105,0.9456775633234228,0.967487274228168,0.9696153502226647,0.814359046730864,0.7911644100514205,0.917894756634112,0.8776802991881201,0.9647608939302835,0,0.9218768204188007,0.6674380480936407,0.8392312412157845,0.6663521650516134,0.8411313811103276,0.880665030788678,0.911472953485034,0.6304685462088333,0.6400357873086688,0.601680503689062,0.8809791011149037,0.8710688523709318,0.7825155208311287,0.8102054421871462,0.7482522027862941,0.6878442233185053,0,0.8680697368505774,0.8638268453440962,0.8861897488717613,0.9562814751992592,0.8977122496557771,0.41348979569804933,0.8845087128943239,0.8976488323565116,0.8692223523550997,0.9114098020233553,0.9593902138951901,0.9298381224664971,0.7681896911440329,0.6817971811754951,0.8265772369279927,0.8781354211219642,0.8086448225391233,0.8063862387869986,0.7484198033208471,0.9311512631879264,0
arabic,0.7743324561637751,1.0,0.6601876673484968,0.7507627963067979,0.8573019507840974,0.8754647760999412,0.7128415195325468,0.7369592866101268,0.48246489292215633,0.8345094925213724,0.8709259610887619,0.7829751040406505,0.7398883684221477,0.7959557562235355,0.8264395077125288,0.6781292473986208,0.7530177633493885,0.8049427086106318,0.7500702528159028,0,0.7190367865020634,0.7818771184420548,0.8325028344020957,0.45369785943541335,0.7200408831594839,0.7352885053876179,0.8061961381350264,0.6257622325220141,0.5420868121743099,0.593041834141345,0.8141827684618635,0.817894856555796,0.830264106227733,0.6177921249789242,0.5896461720848976,0.5896737463338199,0,0.7798107313747532,0.8266830809910086,0.8306295868322578,0.8419552195949791,0.8806449128910042,0.35150786571271986,0.7148196228298299,0.8549882871426683,0.8700488703526158,0.8444066057531288,0.7484707318399353,0.7725133650173138,0.8938846537199844,0.6018903991216409,0.7778968712970368,0.871501553725225,0.7679024658546431,0.7549446067939157,0.6377141077144013,0.8503455998826479,0
armenian,0.7807271715941478,0.6601876673484968,1.0,0.9130239832619427,0.8837840628463217,0.7951704645214791,0.6756120359508478,0.6776170909228404,0.4655941163303634,0.7863900620750435,0.8426014174141078,0.8659124958022322,0.7814277621350054,0.8146968315286127,0.8607608434359478,0.9482426817591251,0.6652193951318087,0.5598071857146897,0.7754938648315656,0,0.6752154671506851,0.6655625967617056,0.6672765673379584,0.6535285344758496,0.7946768960705959,0.6745492720530859,0.6454690816268374,0.49189652207540496,0.8247926224937498,0.7374616368767893,0.8842998537063174,0.8856037827301503,0.8546248484052518,0.7664972526096915,0.7935861026268916,0.8086125926800267,0,0.843064838939568,0.8833850699936406,0.6111944943033127,0.8197374804961817,0.8481143725834444,0.44289586805804276,0.7717694673262555,0.8833190357190718,0.8646565929128157,0.8740774753354553,0.7422397961233146,0.8130934440028248,0.7465685130503317,0.7502775135622959,0.9098801742197966,0.8720178183404008,0.6233947020618911,0.7951042786730346,0.6933290644284986,0.84877330039932,0
basque,0.8085461200488443,0.7507627963067979,0.9130239832619427,1.0,0.9221230489811124,0.8351773256778031,0.7309001659192411,0.8325085073820726,0.6029574402228464,0.8219861896789656,0.8671109198818833,0.886703252720593,0.8105950820541249,0.8291215092621528,0.9399301675750903,0.9265047992834243,0.7034566183271849,0.6356947644007973,0.8166859490795466,0,0.7434655635597659,0.6396627054056048,0.7353616809651327,0.6726348857546383,0.8335254803413165,0.749590735936885,0.6814995957461929,0.5443550525592208,0.6902295254118336,0.8379150091762935,0.924887200374497,0.946993234539838,0.9170517733212327,0.7278219604925119,0.819455581340127,0.8125459656970496,0,0.7769609798103397,0.9012212082754312,0.6884923348261764,0.8756898213385946,0.8814271122469922,0.5232395716190049,0.7623568888265164,0.9107881375373735,0.9096771556553651,0.9114408942351848,0.7875056309515254,0.8338309799035263,0.8719966958056004,0.8202518400668524,0.8750650017745116,0.9197640463431422,0.6871894980526486,0.8667432367781277,0.7752735664208101,0.8972574141862493,0
belarusian,0.8670581449277731,0.8573019507840974,0.8837840628463217,0.9221230489811124,1.0,0.9415286296631235,0.7613197724725891,0.8038717315327789,0.5271487377765051,0.8909931196165869,0.9529262486153912,0.9161483010918549,0.8544102745303395,0.9032410909777416,0.9419150684181165,0.8771577488899656,0.7916069989418638,0.7228898686411769,0.8695045335251249,0,0.776405346449392,0.69042928906388,0.8208410346039945,0.6430738153240695,0.8516984100818494,0.7770581960498157,0.7699341988075762,0.5806396471876161,0.6792131504467965,0.7547696362313417,0.9578445906498454,0.970207615707993,0.950958987526861,0.7285956139114134,0.7419405844834733,0.7402713120930078,0,0.8532930470897296,0.9683415050394875,0.7886482220736448,0.9362143112429654,0.9709666433867363,0.4634194381970271,0.8198194214878461,0.9553324058457374,0.9815660741532305,0.9618814945964351,0.838403117654391,0.8688667865124733,0.8690716549127934,0.7496645202922309,0.8838712885788867,0.9889567450447135,0.7360972914342808,0.8369772401286986,0.7606307749837693,0.9503443738672068,0
bulgarian,0.9109000360515797,0.8754647760999412,0.7951704645214791,0.8351773256778031,0.9415286296631235,1.0,0.8366438476072846,0.7399147889347548,0.5025836168634218,0.9231517432380592,0.9598667735505386,0.9264400241837635,0.8744325373564572,0.9357622948260004,0.8580579692716371,0.7934223916710545,0.8406570163199528,0.7904496758522143,0.8800000359369872,0,0.7816758851588683,0.6923103275961253,0.9184891357483916,0.5595604337963835,0.860693200922107,0.8169845572141249,0.8319144012777633,0.7321598766672397,0.6334064673250078,0.6629551746170379,0.9193324503205775,0.9143314203900655,0.857811807774733,0.7131361618424905,0.6832661600103695,0.6927319129684305,0,0.8997567797096497,0.9397881996235489,0.8398168178341461,0.9478737732697383,0.9561651112674652,0.3941310386126826,0.8615172600307606,0.957560906965171,0.943877490353138,0.9544533526462136,0.8673896146950452,0.9092859741341686,0.8257722651936238,0.678671072554866,0.8255235930896105,0.950847052091136,0.8585359236172977,0.7923896426780281,0.7493963332775704,0.9471846640073927,0
catalan,0.9431918320064251,0.7128415195325468,0.6756120359508478,0.7309001659192411,0.7613197724725891,0.8366438476072846,1.0,0.6262902572974012,0.5315564487926495,0.7917616670161908,0.8186354183238229,0.8972744583224058,0.9534523039118168,0.9247985129583454,0.7035929882398124,0.6837011742127371,0.9432384781473384,0.8977718225134358,0.9389483067346991,0,0.923835459300788,0.6204680438406561,0.8010938030704744,0.6757079095831876,0.8150671981677361,0.9254262295222162,0.9215438340304645,0.6851724146675965,0.5278397800234961,0.5524256208909074,0.779253264225348,0.7829056873346395,0.6684358002736008,0.8077673691738688,0.665594853480914,0.610441345406089,0,0.800041076802773,0.7716876989490629,0.9067418343072889,0.9172246608841609,0.7964822519219276,0.3574839066094032,0.8573424585025339,0.8053620781001491,0.7648782710208678,0.8180250920498837,0.9763778576098503,0.8951902518275427,0.6743631979464606,0.6406711327803847,0.7404550032792361,0.7799435358339072,0.8089576257093046,0.7340180752836625,0.7257058136857653,0.8860544185988969,0
chinese,0.6550887094549214,0.7369592866101268,0.6776170909228404,0.8325085073820726,0.8038717315327789,0.7399147889347548,0.6262902572974012,1.0,0.5347527275269244,0.6706336681878768,0.7463480945088619,0.7441153816279699,0.6713972192447046,0.731659058166239,0.8033392109367382,0.7285785354648832,0.6191901364621889,0.5886472592278909,0.6718742798761381,0,0.6151697473275316,0.5413598637213386,0.7423068722121371,0.5378626379372252,0.7643928022026816,0.7079437615703646,0.6012257958732884,0.6299327686901126,0.5055461769286774,0.8428847799495889,0.7986488080415206,0.8286539141339281,0.8072248279101619,0.604382019010738,0.6422959114453266,0.6923473846594075,0,0.6454709073525156,0.7672398620335612,0.6509116834996772,0.7657615455130881,0.7703819653768398,0.36005729349713617,0.5916758265170787,0.7679077956053754,0.7897750512214907,0.7808545680335983,0.682792138850083,0.7234443766292391,0.8179588534706789,0.7729786167563958,0.750207788688626,0.8189890910804668,0.6717170568710946,0.8031824503637575,0.824187892087163,0.7708907408181818,0
classical_chinese,0.539923038527579,0.48246489292215633,0.4655941163303634,0.6029574402228464,0.5271487377765051,0.5025836168634218,0.5315564487926495,0.5347527275269244,1.0,0.578968372228401,0.5142994861879333,0.5875641172672651,0.5168550358838413,0.47477995294342085,0.5601213921006671,0.5549084110139957,0.4149483322805667,0.3573060877695681,0.47986254739577366,0,0.43849995599417857,0.37821703315968336,0.49627529081969673,0.3740456652604804,0.5388985085741561,0.5782347428664318,0.37578433127180333,0.27611556385427766,0.3834421419671945,0.4997577799112359,0.543616140423775,0.5360067437869503,0.48733039862158495,0.544758975146763,0.7024968604810247,0.5569019737058034,0,0.5251205169782384,0.495920740632478,0.40457194312901074,0.5228463922960804,0.5123037043261245,0.7672289066462653,0.4386226795671566,0.5444594470204895,0.572520712631414,0.53344723833199,0.49328930117362074,0.5989280321868583,0.5740380472898478,0.6348264107354051,0.5570509804867828,0.5070840329469424,0.5217775619551193,0.5721138795056878,0.5861456592581127,0.5199144126973665,0
croatian,0.8954136941938192,0.8345094925213724,0.7863900620750435,0.8219861896789656,0.8909931196165869,0.9231517432380592,0.7917616670161908,0.6706336681878768,0.578968372228401,1.0,0.9405852685447061,0.8846268322292415,0.8346066238849067,0.895294075637334,0.8823076666844606,0.8149038036731748,0.7500081214131422,0.7072952011142981,0.8486931139197221,0,0.7669923623066762,0.6642794855462998,0.8396548450671115,0.4868436428178793,0.8011120072076751,0.7418554854019122,0.77330680866286,0.6201444733038554,0.6714330703806876,0.614987103086934,0.8960094865026733,0.8740082374390745,0.809285662736166,0.7072592820165413,0.7677675372106447,0.7362796726267379,0,0.8635410733578033,0.860208766717802,0.7417463316862727,0.9063944649213356,0.9392257335746077,0.5051905486661101,0.8258377692222842,0.9502323241420566,0.894125157933929,0.9479351075748945,0.812546198912972,0.8994219958810307,0.839010515089753,0.6459097356517033,0.8345197627953713,0.8982571770484169,0.8216957599424533,0.8329318437221861,0.7205711481171408,0.8930546553212253,0
