,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7740083799798679,0.7138906064403628,0.7226380416585065,0.8580848288464169,0.9081659561054366,0.9237552298354627,0.5243761034565473,0.4775255462419479,0.8510353110361761,0.8824455641829306,0.9360768755295695,0.9478629371467628,0.9306244161585056,0.7496898124395255,0.6820432034332601,0.9055093159444122,0.8814810461871441,0.9498303879395555,0.41568680216433296,0.8876398702986065,0.6451720441399539,0.8617310112077136,0.5260795975151807,0.8014478958846685,0.8068962284824647,0.9130210920057228,0.5619968457041913,0.6324179375950366,0.5018945565209495,0.439677215749117,0.7906369879507382,0.7312363220554081,0.7231764371166456,0.7146338809159448,0.458529418543239,0.578200173521821,0.8043706623642998,0.8484016778850476,0.878061194496568,0.9234493064922149,0.8712398308695001,0,0.7712765639811933,0.8835965933934496,0.8799304095799823,0.8849446705277038,0.9448613533229592,0.929461396322854,0.6634603384229154,0.5737878735864668,0.7132163514136493,0.857179821711762,0.8561437972931949,0.6768294187413388,0.6625341481968394,0.9142809975973426,0.5239190365297045
arabic,0.7740083799798679,1.0,0.5658948413842032,0.7193859745998362,0.8375708360477856,0.8695070627300044,0.7015605092011156,0.7338851355292219,0.49668484000062946,0.793027431940146,0.8492287701598327,0.794623943195018,0.7271293960813182,0.7613581029272514,0.7959217375800418,0.5541452109364475,0.7622855049075622,0.7998155287508703,0.7454200779631324,0.6802567761231331,0.7023440995838254,0.7413510414619873,0.8486570781726003,0.3317414775388678,0.6667891626087654,0.7764193775829608,0.790235724995326,0.556144997500308,0.48838233611101806,0.4730314156308382,0.4054728028500068,0.8359707213894072,0.7930249457652963,0.573000825349195,0.5166562622309446,0.36147361783385434,0.5083415668652853,0.7378261536918366,0.7993183797124357,0.84500728662034,0.8452700955846181,0.8713697201681475,0,0.6149402789945679,0.8670719530160372,0.8788688312148427,0.8586448161526884,0.7660459758838086,0.7743609794742633,0.878806473575234,0.5025673530386261,0.6635755801067786,0.8246099510785002,0.8011104675790716,0.6617255975837234,0.5699357160737208,0.8108364591788347,0.7141489757066877
armenian,0.7138906064403628,0.5658948413842032,1.0,0.8193981163962718,0.8436214676630954,0.769594881914238,0.6499875310768682,0.4994436310783698,0.4324331861893971,0.8756105328358147,0.842030335360775,0.818126109402174,0.7243062953405901,0.7662283055871367,0.7999650289837261,0.9230563345218498,0.5718802302441551,0.5069254942839506,0.714385560662905,0.2490472069674976,0.5977643163009414,0.5870888198230214,0.6470185052416502,0.6217947517208757,0.7207844237623097,0.7496521147390941,0.5967856725738431,0.42471527674851717,0.9139750867853675,0.6507010354791153,0.5864644833244527,0.8147829908549346,0.8189689959513572,0.8669034077488136,0.8226145428506296,0.7716257563292055,0.5274877225446826,0.7831995126147043,0.8340935825739423,0.523852155418578,0.7620366529701548,0.815735134927615,0,0.6942610073393622,0.8218561403640027,0.8120741479503774,0.8299487788906914,0.6424475150086404,0.8514121233449077,0.6408281049281513,0.7197593114801482,0.9064540021160833,0.8604501798274476,0.6238425110094458,0.8489367926065984,0.6100880759114515,0.7660407526683441,0.4733992494180396
basque,0.7226380416585065,0.7193859745998362,0.8193981163962718,1.0,0.85925695801952,0.7796417853896498,0.7132860616364681,0.7629965319986006,0.6352025731040729,0.8720194831250826,0.8411420737482348,0.8448128555264606,0.771033405868696,0.7631212069203256,0.9398952867233115,0.8470249990522453,0.6376357288887499,0.6156816605367732,0.7874900646642526,0.5979198972751265,0.6994510058044578,0.556127542628085,0.7254589017388093,0.6403862632086992,0.7596407359578032,0.8404829683889221,0.653670022189275,0.5178475098613572,0.6560186642877924,0.7556561197404307,0.5585433179492667,0.9235789161467746,0.9074196469732281,0.7442072606978658,0.7713578931342894,0.7171220664458999,0.6284418830056506,0.6417289506583007,0.8213382552078254,0.6409932091864018,0.8172316650586018,0.8446816338389169,0,0.7122288046801719,0.8737321805777045,0.8381705967940893,0.8722145994468914,0.7124293084366498,0.831438589336068,0.8520263480812847,0.8107066842520749,0.7594561580149175,0.868454461976561,0.6972959170431815,0.8314807873126466,0.6794811615267854,0.8598908740965725,0.672530347661619
belarusian,0.8580848288464169,0.8375708360477856,0.8436214676630954,0.85925695801952,1.0,0.9513292014664513,0.7808992798284143,0.6948953531009612,0.523736244903321,0.9660141744030438,0.9820961164581677,0.9188361370790631,0.8410585389685454,0.8785377923375669,0.914195484880877,0.7872520718718097,0.7673947398755684,0.7224604852471268,0.8463369820374853,0.49381907545517806,0.739097791633771,0.6667354583303058,0.850816333127029,0.5809490212330467,0.7860529928662535,0.8933441465452227,0.7656117645050673,0.5295849424965284,0.7317165518737402,0.6540490826675988,0.5753891247778636,0.9533272510327799,0.9311241774693731,0.8287389969692891,0.7711373123163551,0.6754265259773867,0.5915452168353339,0.7806418762218368,0.9554906630600528,0.7695566105336851,0.9244688460190056,0.9699305427927674,0,0.7624555167685858,0.9577126928800269,0.9739916236790304,0.9561019359494697,0.8102721207296163,0.9260595785897097,0.8308745268649244,0.6983037182155594,0.793401676362756,0.9948475299886403,0.7910314412264672,0.8684346228047886,0.6728798506041503,0.8951382931618211,0.709166452544791
bulgarian,0.9081659561054366,0.8695070627300044,0.769594881914238,0.7796417853896498,0.9513292014664513,1.0,0.8104506247867326,0.6403405807818897,0.5142356958244787,0.9483743250649777,0.962077112682516,0.9368926035273594,0.8629037052509472,0.9064976425193448,0.8432931090735921,0.7223551584161378,0.8153936548294632,0.7637241377864804,0.8637944824165503,0.45297915635988606,0.7346195361628909,0.6786087630840487,0.9260429136497513,0.4902275756854148,0.8144310096147984,0.8817995754829112,0.8106912240864307,0.6101680022279717,0.6561903028653698,0.5720098520510865,0.5394579570395174,0.8915546888513324,0.8528332589896243,0.7624988002443073,0.6985382543750788,0.5698628275887838,0.6101906774077548,0.848516172033293,0.9476952196532935,0.8231454878620317,0.9548872090143098,0.9605233465593683,0,0.771266078037655,0.9601229518354699,0.9673867313512549,0.9600209775488916,0.8628253249318351,0.9415767636544662,0.7523891045227077,0.603068738736,0.7579402773529244,0.9480529144243909,0.8795333344278052,0.7836391522064686,0.683912318870038,0.9002421329283344,0.664563743707796
catalan,0.9237552298354627,0.7015605092011156,0.6499875310768682,0.7132860616364681,0.7808992798284143,0.8104506247867326,1.0,0.5495331640462999,0.4433226605946857,0.7628526948449633,0.7944248950469431,0.8929616803621282,0.9656885617358801,0.9175550673396146,0.707854269701014,0.6108788887716137,0.961035117281175,0.9178802398979361,0.9511447800597915,0.36333292889823987,0.9460780798284523,0.5888769767078735,0.7766758298760874,0.636535513441299,0.7868845043782083,0.8010926066644656,0.9432101883708524,0.5576533307150876,0.5177638318081719,0.5192446860387364,0.41673780170532176,0.7328466799396288,0.6990727548478698,0.7316244921508115,0.6234316525441501,0.4817739836868533,0.4688468560315084,0.7122818924504649,0.7808599735493168,0.922349376467476,0.9010038066228394,0.7825570741089035,0,0.7789981681179748,0.78921848523909,0.7741788954709549,0.7874287687927141,0.9856845651527831,0.8651635913975105,0.6037228277841858,0.5458952667733113,0.6595273969432178,0.7845283056674883,0.7618915836742751,0.620803578438667,0.6538751035525269,0.920601494340467,0.5672472574462455
chinese,0.5243761034565473,0.7338851355292219,0.4994436310783698,0.7629965319986006,0.6948953531009612,0.6403405807818897,0.5495331640462999,1.0,0.5444930412939664,0.6673850789756132,0.6847377597407193,0.6338323826239515,0.5559882769966363,0.6650146510632526,0.7997384562586142,0.547612017065201,0.545667795150234,0.5467709007326276,0.5857360046409774,0.6494617564016816,0.5563340537784617,0.4281098393118311,0.7148162357297331,0.405837742209205,0.6943784196712391,0.6614379478199752,0.5277499942722833,0.6358478464980422,0.3659216881251111,0.7782369604203045,0.420614101741385,0.7911802931655335,0.7738373422404093,0.540707203448251,0.44117132730713565,0.43954610680586526,0.3898110203149148,0.5143081195535679,0.622611948933726,0.6175342720628643,0.6826931070520141,0.7130594642348735,0,0.4440524926618059,0.6887381277669347,0.7018263591888554,0.7004525605864442,0.5784163525641668,0.59957761944948,0.8170190882698131,0.6144716532910072,0.5929426579614786,0.7046244400812042,0.6297928515073307,0.7754010423837487,0.7389172323380591,0.6833343061204346,0.7089863281608284
classical_chinese,0.4775255462419479,0.49668484000062946,0.4324331861893971,0.6352025731040729,0.523736244903321,0.5142356958244787,0.4433226605946857,0.5444930412939664,1.0,0.5560879902467771,0.5028780840788355,0.5673209943481701,0.48269535460442164,0.4417113917561698,0.606807120507273,0.5726257140282549,0.38743820442844557,0.35413520904029794,0.5070154612611898,0.45664370724005693,0.40997323271104236,0.34491017270903956,0.47437382423347363,0.36924947264808267,0.5385586931460606,0.5193757869056121,0.37828916425308473,0.2363178556533259,0.2999360234500186,0.5084067013582609,0.5211101475368642,0.5682687999363116,0.5346696471005259,0.38400239203398095,0.6047241990519693,0.47774702317063633,0.7669078198603915,0.47212703559636093,0.5019064737111825,0.41531939631420883,0.4748995177080691,0.5021824220587621,0,0.356980639455665,0.5624812596385201,0.5285422054801567,0.5558622145555843,0.4710038367684076,0.5553210015696968,0.5481414626704527,0.5957702349685019,0.49689738868349087,0.509540863302587,0.46715463252824707,0.5534149789396613,0.5073617767982267,0.5424334766974962,0.33371872576066536
croatian,0.8510353110361761,0.793027431940146,0.8756105328358147,0.8720194831250826,0.9660141744030438,0.9483743250649777,0.7628526948449633,0.6673850789756132,0.5560879902467771,1.0,0.9638709251322598,0.9273921903641442,0.8384841389317673,0.879205043462338,0.9118742959202989,0.8432197609405627,0.7399729785379083,0.6695706294624377,0.845809411021072,0.43938986027877314,0.7075318994706464,0.6655598056753521,0.8510138178914881,0.5979695035053039,0.8181545026717236,0.8879486620167858,0.745427648994744,0.5464179253314517,0.7405961658299355,0.6720119652550489,0.6211997358603383,0.9448590717712992,0.9200528203000753,0.8496428709975441,0.8130782933448666,0.7248991134320321,0.6571438414823039,0.8038674065303123,0.9463993419325489,0.7273648874314763,0.9217956271649809,0.9654674520058991,0,0.7738120022772053,0.958104013015988,0.9660724634676932,0.9723913844685934,0.7935896833054267,0.9444130284535832,0.7783299485418621,0.7278379823358901,0.8130101933957998,0.9749896469766832,0.7958316859065773,0.8912087253027521,0.7073286421632313,0.8816044272869883,0.6540390579157179
