,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7148479982889783,0.7195229095220356,0.7726324574335542,0.825845319931277,0.8494417352548436,0.9283112960228201,0.5828542704621595,0.5860229147096643,0.784250250384667,0.8462871109721694,0.919066552284493,0.9481846711889614,0.9256695297446742,0.7332642424455414,0.7358080111054255,0.9031256718392908,0.8832530992512808,0.9492140096941097,0,0.9187019865597867,0.5726256978424592,0.7975976725047716,0.6388124106500014,0.7328349839402091,0.8967210460016943,0.9037294038045383,0.5582480380696133,0.612763398202875,0.5569925360887625,0.8279423379609798,0.8194287125592308,0.7131096014060364,0.8223452716620796,0.7584458069460801,0.5692643883471208,0.5748166586701405,0.7453983266466828,0.7853382702014421,0.8797931883876847,0.8687053228198327,0.8074168661858898,0.42441420822568676,0.7526014015354741,0.828628041182795,0.8436935301430731,0.8467115361223475,0.934293780480271,0.9062732623658558,0.6765004286404118,0.644305948907139,0.7275183121402534,0.8072410746404244,0.8246563096533152,0.7298019916044808,0.711576371119691,0.8807039032497506,0
arabic,0.7148479982889783,1.0,0.6627372993309477,0.837863287754349,0.8812511162380838,0.8510557959640725,0.7039804709171986,0.7092086658125651,0.5026253394272518,0.7896899534533917,0.8570152722329784,0.8013284104944338,0.7335240776189055,0.7805980675364526,0.8361201979310416,0.6533500893142073,0.7274139349875024,0.7654405859662067,0.725910053406203,0,0.6891178644639481,0.7415989879260203,0.7926412916815502,0.4101362066049335,0.6768901640155942,0.7384862488656888,0.7795221596261168,0.591899149178528,0.5744129329609866,0.609361416864315,0.8063712988665263,0.8820003762060065,0.8495813005906282,0.6086822640550505,0.5737663471896488,0.49041741627576807,0.42721556748254613,0.6980883694727344,0.8024306297717798,0.8208204324514933,0.8318708428799341,0.8598158160766352,0.3075831927628092,0.64234712119821,0.8329486787818929,0.8398075056415117,0.8253045945846754,0.7057836672394909,0.781088397368233,0.9077890977472909,0.5753846836847745,0.7545301281679472,0.8572788605891354,0.8048071921487814,0.7475892651447748,0.6279823562135657,0.8580500072816684,0
armenian,0.7195229095220356,0.6627372993309477,1.0,0.8537611658319387,0.8440110905141007,0.7792082262057417,0.701320046998243,0.6012358332144601,0.49333681148359354,0.8959147889852545,0.8593187474178647,0.8393683958116683,0.731046908218912,0.7911194928055041,0.8476042690551364,0.9364659675357083,0.5923454889414522,0.5606642603899491,0.7451365676019505,0,0.6363846687158515,0.5965008294851358,0.6905422716422883,0.5732072974418115,0.7439154094080723,0.7198456033451182,0.644219369779304,0.49797064201979,0.9176716616614491,0.6742564228671388,0.8805342633899987,0.8142850974373917,0.7950576247379953,0.777485304374067,0.7846683015916737,0.838225699903414,0.5123579439937453,0.8333915627242336,0.8707740336018658,0.5721493513005944,0.7964505583857843,0.8479406597135921,0.410500734429463,0.7932514485395858,0.9018440742971363,0.8664638353212458,0.8807270047215001,0.679506131293053,0.8648729548413806,0.7417144158683604,0.7560144134117577,0.9188773349572905,0.8616869388533867,0.7360397684785308,0.9178237925635111,0.6510485576951385,0.7541536124555174,0
basque,0.7726324574335542,0.837863287754349,0.8537611658319387,1.0,0.9068509142150507,0.8315979639124995,0.7645710981570881,0.772712341885082,0.5981951313668281,0.8805634803545547,0.8852548889683106,0.8734268229861131,0.7920173740219645,0.8265637335360332,0.9475641883162655,0.8431047419046487,0.665430479416284,0.6753961279109629,0.8020809111974952,0,0.7369054581122451,0.5702287357738453,0.8017720923777178,0.5625460139857925,0.7599953511465418,0.7801099375368367,0.7171942963160917,0.5953189626435976,0.7385002684339845,0.7623891171611561,0.8887952937125775,0.9542995202013885,0.9034430800976,0.7256917760060659,0.7439975932569056,0.6319416953658054,0.5332920088109596,0.7043666196735163,0.8599425500091956,0.704877153627519,0.8809165158647423,0.9005746083461363,0.4563988856900656,0.7648801899062497,0.9316683700038866,0.8802584872870085,0.9115250094709847,0.7449185332494639,0.852714165264832,0.9090721539178687,0.764016310756922,0.8508085898534645,0.8991091343056651,0.8257675977500374,0.8965195277990863,0.7110647884630651,0.890775830780084,0
belarusian,0.825845319931277,0.8812511162380838,0.8440110905141007,0.9068509142150507,1.0,0.9545418355610303,0.8020735494081784,0.7070440149006884,0.5437022362175493,0.9506528006723666,0.9738631621615683,0.9297097480780715,0.8457907616303477,0.9049136686115822,0.9271436996947411,0.8260917374654607,0.7594210108996865,0.7277137052086409,0.8569961406405966,0,0.7483538126532265,0.6415767219868546,0.8426420458651045,0.5257122303873734,0.7959445399586933,0.8411580948362806,0.7961040341833016,0.6161751097627848,0.769626082881788,0.693132161821198,0.9422038663248623,0.9465444640129962,0.8982691035977927,0.7353142040035899,0.7277764849070556,0.6624584645393573,0.5123391633313276,0.8048740747647565,0.9430848215163056,0.7864040475607278,0.9333320014575087,0.980158147972731,0.4199965306783826,0.7944143647147397,0.9698443787316828,0.9686439690981665,0.9669890444607293,0.8015133520255754,0.9264562850689637,0.8634682577510739,0.7046204138009234,0.8559994596322164,0.9870745743904196,0.8755149116910065,0.8834385883410242,0.7130161406676283,0.9012375662959831,0
bulgarian,0.8494417352548436,0.8510557959640725,0.7792082262057417,0.8315979639124995,0.9545418355610303,1.0,0.8371004354420648,0.6527046080554092,0.5203285632333586,0.8917097363294633,0.9434417382737975,0.9398437907240024,0.8683507354011475,0.9267294015314097,0.8308504050032495,0.7545551100465624,0.814432023250692,0.7770585490379185,0.8646549040403074,0,0.7551501692960809,0.6441833777459947,0.8968386188067006,0.48950462679673734,0.8087158466756013,0.8707583184750148,0.8358869727306155,0.7176369277649783,0.6867201132057381,0.6232508047485051,0.9173411296239656,0.8884986424235578,0.8199731927891627,0.723215230665088,0.6685808271498948,0.5989523108970081,0.527375568100308,0.83534463826097,0.9166384398832842,0.8288144349226959,0.9268156342886218,0.941968095794493,0.3901744316416197,0.7642876151912422,0.938068361732897,0.9277765736386416,0.9401943749634444,0.8423577443072734,0.9351766188761207,0.7758852092809486,0.6447876925864388,0.7892632242341098,0.9364385407501576,0.9169188569254291,0.7919481958964005,0.723552730602577,0.9041528577244904,0
catalan,0.9283112960228201,0.7039804709171986,0.701320046998243,0.7645710981570881,0.8020735494081784,0.8371004354420648,1.0,0.6288969904616691,0.5332194539334989,0.7538913937326602,0.8120670187086989,0.9233613640870436,0.9710146845596898,0.9506808803042536,0.7222714151194486,0.6910514722277965,0.9518832389375562,0.9126724002323049,0.9629715953510682,0,0.9437195996647721,0.5838593685303974,0.8052814879757859,0.6884105331925492,0.7953133901588304,0.9358532880499539,0.9391096357936143,0.6479691818695806,0.5690314949661738,0.5962688359222026,0.8138743464707495,0.7970111740311395,0.7199493418749752,0.8606508574845786,0.6659754044665709,0.5045153141679959,0.4478646010269455,0.7463504848541554,0.809911896738145,0.9147372604932608,0.9094498037660244,0.7963313247195973,0.31812411594199286,0.7966223762755803,0.819028751323364,0.799130495547041,0.8446865766937683,0.9952266413595126,0.9028544825043493,0.6679831849439206,0.6524248294861128,0.7240904473323346,0.8077711307073314,0.8086005992286885,0.6923023121717398,0.7375327535658128,0.8939090148083049,0
chinese,0.5828542704621595,0.7092086658125651,0.6012358332144601,0.772712341885082,0.7070440149006884,0.6527046080554092,0.6288969904616691,1.0,0.5537755371191131,0.625228681152411,0.679475688717686,0.6861500125588673,0.6099735421979178,0.6827785227213332,0.7590209815013353,0.6049900915600323,0.5537605903750594,0.575308415619451,0.6100801050903222,0,0.568762759530902,0.4536000585424187,0.7611902635257166,0.4713640333011053,0.723559677557477,0.6080739781278138,0.5621520733962629,0.6366421711378969,0.4713396804069608,0.8565390880633911,0.7262674047579588,0.7778408833356327,0.7856013920213959,0.5734567396656703,0.5611259280555945,0.4726218440304493,0.434473446934912,0.5461046423685306,0.6913268993127257,0.6011926694055865,0.7175438227342199,0.7115516576729339,0.33589069456899495,0.5472451681129453,0.6984151271645066,0.6786875971712321,0.7239290219111233,0.605699610086116,0.6559344568858383,0.787417980799887,0.7373914678238106,0.7255291666405277,0.7157869779653883,0.7394296655851105,0.7758318561348668,0.8110502346623489,0.7225954138039666,0
classical_chinese,0.5860229147096643,0.5026253394272518,0.49333681148359354,0.5981951313668281,0.5437022362175493,0.5203285632333586,0.5332194539334989,0.5537755371191131,1.0,0.4983323642786934,0.5514970270640186,0.5751599521022449,0.5185084039172908,0.48961525516205306,0.5525721126384064,0.5956181215255121,0.4296488237120161,0.41568867191956854,0.5201262866586935,0,0.4495841993373835,0.34889445426317817,0.5760439117933744,0.3877746897741039,0.5285830239113442,0.522511772641483,0.41674704236281074,0.2906793554622346,0.36480113699894917,0.5415801151386556,0.5704611501079366,0.6039118136047984,0.5521356823660782,0.472075548035486,0.6588676856274417,0.47567674491528084,0.8169079415175337,0.4556042461083373,0.4878009108122636,0.44553659862936873,0.46314242108881004,0.49608444428357695,0.7880680297469473,0.3674418287492933,0.5620531594983095,0.5696500362250578,0.5866617799994908,0.5227919207284661,0.5695668545574819,0.5604958271064112,0.6751857780356708,0.5466765613342366,0.4819009482761367,0.573786556774304,0.5711890789382109,0.5594152278925943,0.5932419985988073,0
croatian,0.784250250384667,0.7896899534533917,0.8959147889852545,0.8805634803545547,0.9506528006723666,0.8917097363294633,0.7538913937326602,0.625228681152411,0.4983323642786934,1.0,0.9622511284149536,0.8804167877592787,0.7966998777164397,0.8613788275006232,0.906224112843001,0.8548205757668963,0.685092378637521,0.6191419985203371,0.8151275142381417,0,0.6903653961010761,0.607350505043238,0.7386484546492461,0.5548204127461628,0.7967751149145422,0.7693770449978089,0.728983809335708,0.5149689215508687,0.7986214146924077,0.6966380148751598,0.9148737381083625,0.8824038663190066,0.8556915685963659,0.7262983147962716,0.7391058784257554,0.7399580284777101,0.470400977541289,0.7665257778455897,0.9387567975723425,0.69663338905521,0.8834983929657836,0.9297851774070229,0.39183780525663625,0.7885255237590498,0.9638629159205852,0.9634406009634698,0.946112654649731,0.747467188892927,0.8951685953847814,0.7877256674763219,0.6506736286219926,0.8429431665307912,0.9613508915978093,0.8031876398626301,0.8751576760766621,0.6751363356056125,0.8307099847413925,0
czech,0.8462871109721694,0.8570152722329784,0.8593187474178647,0.8852548889683106,0.9738631621615683,0.9434417382737975,0.8120670187086989,0.679475688717686,0.5514970270640186,0.9622511284149536,1.0,0.933907977120027,0.8532874118095355,0.9077219183584279,0.9044147138179426,0.8486770912478637,0.7668145885772126,0.7137899379520826,0.8640272086400629,0,0.751235547058201,0.6419928962840639,0.8217230712519438,0.5461918050328148,0.8083251638497888,0.8268486768493585,0.7952971304816707,0.5831920745092661,0.7647729298650311,0.6795778243996019,0.9596686980484674,0.9162816041380105,0.8937544747783029,0.7572722257923117,0.7522824487668225,0.6885044289122879,0.5327692468394764,0.810863880772744,0.9519386613832951,0.7759912706805198,0.9200174542419277,0.9536903863873869,0.4186236707497229,0.7848900731258012,0.9646296959852014,0.9905894395397795,0.963543561949917,0.8129686101272103,0.942354130726509,0.8283728284688111,0.6815264238098623,0.8438335919629883,0.9670335099067908,0.869189288852238,0.8745337467793296,0.7299297082410957,0.8940678063207552,0
danish,0.919066552284493,0.8013284104944338,0.8393683958116683,0.8734268229861131,0.9297097480780715,0.9398437907240024,0.9233613640870436,0.6861500125588673,0.5751599521022449,0.8804167877592787,0.933907977120027,1.0,0.945864233872045,0.9693667660786873,0.849905819512318,0.8471716566521192,0.8724030643581011,0.8339305162603385,0.947584684223727,0,0.8687645541156578,0.6563416442577211,0.8756784674300394,0.6261997672677986,0.832328171246126,0.919950936323092,0.8945739096862976,0.6681900683075243,0.7425517813474622,0.6469521866741827,0.9340852511065909,0.8978424936162298,0.8286338247139681,0.8474141511033996,0.7623977267543447,0.6395266157082358,0.5524889226576934,0.8573547126436825,0.9080788132727844,0.8561729002003926,0.9516289211573199,0.9228409205454511,0.45051468509365006,0.8351732066936788,0.9427137933431823,0.9205798923049926,0.9549253629357911,0.921358695731835,0.9863699461379901,0.7839371483985655,0.739502908141018,0.8384356735128133,0.9225900381002796,0.8991172667757951,0.8471113287208211,0.7736224780121854,0.9357416498726189,0
