,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7361430265897441,0.6719507632786312,0.6446620285137561,0.8079139847308616,0.8679296530140976,0.940298323522944,0.6012144140816137,0.5319388737390074,0.8236901064178999,0.8494039473543359,0.9002406952505106,0.9491199930685075,0.9337729084456216,0.749177839212439,0.6653385990330322,0.9097067314701983,0.9109504301819732,0.9557310784717555,0,0.8986225099982378,0.5662599005816573,0.8088354407162651,0.5321028136508732,0.777422361604185,0.8982085397529447,0.9331487416963706,0.6405792767345592,0.4914709574107444,0.4726166491296065,0.8202875395115756,0.7834206078837845,0.6722020974598117,0.7995351729527135,0.6864124916656295,0.6169255405907943,0,0.7958019308954806,0.8300954127530209,0.8785752025670266,0.8909334384985876,0.853908868394343,0.36049048752977597,0.8966538315183024,0.823409831804667,0.7888648535236549,0.8511184939908946,0.9461879304434095,0.9206324312875781,0.6523193651175951,0.6023860295600256,0.6843155110966699,0.8416524080891503,0.8438754495966574,0,0.6926057574678782,0.9036047717609893,0.8097212112386085
arabic,0.7361430265897441,1.0,0.5423322462770676,0.7560484302977659,0.8357980248245187,0.85005799941865,0.6999249493227849,0.7139185675430205,0.5112611552192154,0.7231410767690872,0.8079508535623399,0.7610095586156254,0.6636763191155792,0.7176916099912124,0.7420069787210484,0.555501190330696,0.7178724643773745,0.7745965235244651,0.7062121548143965,0,0.7008455416617375,0.6772695060537987,0.7878222625557942,0.32381905915989384,0.6261345575823882,0.8146844169533313,0.7751280644259746,0.6032595473989687,0.38785250612000266,0.48050662349551465,0.7892578793436748,0.8294619024428831,0.7369992273257414,0.5606250808535084,0.4922241732090983,0.4677959237161954,0,0.7077083813864622,0.7776873162720552,0.8254320680592129,0.8135054304157671,0.8311928538955012,0.34979972043106344,0.6972519945225616,0.7467205942878966,0.7812825299219254,0.7574749781304317,0.7150273724448096,0.758341147582663,0.8836095854167899,0.4954142582941763,0.6374423233811412,0.8238729233761238,0.7647154007242073,0,0.575050075550331,0.8451661630866794,0.6910025602929327
armenian,0.6719507632786312,0.5423322462770676,1.0,0.7540927854807454,0.8132903375088993,0.7403445432611424,0.7007086447270476,0.6265432502882248,0.4233400003161384,0.8662474969010334,0.8379046894027097,0.852388663563361,0.7547173819504418,0.7690170091183857,0.8285075080586816,0.9318536233480372,0.5714093602579376,0.562618298814331,0.7302108949130254,0,0.6326253964964943,0.533387018719702,0.6090787413277042,0.5882004514181732,0.7359033942137599,0.6868668167074512,0.6188001850288255,0.4980824414800463,0.8595694444502829,0.6656467458756267,0.85370256632305,0.794910268789386,0.7987810246185696,0.7836966272386412,0.7645496681466163,0.8440589829487807,0,0.8256343569832834,0.8269302162695118,0.5097648824859106,0.7563362302653858,0.8153048327925929,0.3601358623733706,0.6703539559383287,0.8684627360735127,0.8345949117487478,0.8563272556350642,0.6576579858352866,0.825625223150982,0.607675949396293,0.6806418019025243,0.8977545439334782,0.8261154666600785,0.6151073464188002,0,0.6331653196873999,0.70912312318159,0.6940998812350031
basque,0.6446620285137561,0.7560484302977659,0.7540927854807454,1.0,0.8582775728035142,0.7811457986442262,0.7193801184410696,0.8678077600995223,0.5937686000228213,0.8051542444115946,0.813461245701652,0.8153105038320493,0.7083707556903102,0.734120510033417,0.902350612968825,0.7723813964410008,0.6220904682689015,0.639195556303684,0.7280389293757866,0,0.7180064595189346,0.45113069108235715,0.7060663841706153,0.5664784236878831,0.7278001829120382,0.7610749176377279,0.6395447781769849,0.551654700782126,0.5362722997624443,0.795075164376033,0.8719929702623996,0.9202609699016393,0.9014647613308493,0.6636840053207679,0.6871411324325023,0.7200463971672624,0,0.6509532866431682,0.8173713100814936,0.6582159376283048,0.8497805909448923,0.8228208005468923,0.4724153222895119,0.6716331525952444,0.8375857213350953,0.8415528511846144,0.837941663787159,0.686852006093077,0.7554727892901802,0.8646208298567801,0.7122048633831844,0.7381272860359034,0.8529422407959072,0.6516558346568163,0,0.6637181059227403,0.841705881439189,0.805058472007152
belarusian,0.8079139847308616,0.8357980248245187,0.8132903375088993,0.8582775728035142,1.0,0.9566282795514752,0.8031838407521658,0.7615410758192136,0.4941491517807565,0.9077686158730877,0.9694380298082088,0.9403462325601954,0.8238240096288046,0.8711420434975303,0.8935814972236543,0.787231556848742,0.7516941039410479,0.7660020961255893,0.8458446140818777,0,0.7665545524782514,0.5865790502664053,0.8148317222817053,0.5474110367480409,0.774018459376931,0.8702437479706663,0.7801528041417518,0.6444282768497087,0.635321701315985,0.6687103553671478,0.9550813361917332,0.9580865670258133,0.9085502440813793,0.7166376875622441,0.6893052112670575,0.7109161534751361,0,0.8107827104072964,0.9529170091566125,0.7662848920923684,0.9210648551643396,0.9745055083289628,0.42252026123691633,0.801504921522589,0.9174392671355229,0.9756814228998931,0.9280558208825626,0.7947910028500406,0.8995417036140201,0.8189638596654347,0.6500338270037384,0.7701463196180054,0.9862957709765011,0.7786822084336031,0,0.6771492423776677,0.8935603833564885,0.7635735502939132
bulgarian,0.8679296530140976,0.85005799941865,0.7403445432611424,0.7811457986442262,0.9566282795514752,1.0,0.8423399514855523,0.7204494409901425,0.5390393899717493,0.900908749753143,0.9560544137039648,0.933552454782889,0.8380791873365093,0.8877603853795359,0.8255365082797652,0.7127550117565377,0.8016547682268563,0.8094150867734118,0.855983814260515,0,0.7623599614698682,0.5986417145472455,0.8589313212184163,0.4818418589810392,0.797970229659139,0.9033763967683918,0.8223418137988577,0.7046952284343478,0.5387876433077858,0.6074614666677304,0.913471342425926,0.9155770722824789,0.8349275380882994,0.7015211918618129,0.6448979806689737,0.645965351316214,0,0.8505088364465845,0.9441887584263934,0.8263601623048558,0.9255050403898019,0.95350518886631,0.4214826544106753,0.8323611390543664,0.9067474365554075,0.932898854087844,0.9230071925800409,0.8443990581540992,0.9161980421300427,0.7656615076165341,0.5830865886332908,0.724726061727462,0.9525293204688172,0.8490909743657996,0,0.6876810205454353,0.908629483516325,0.7631282039542111
catalan,0.940298323522944,0.6999249493227849,0.7007086447270476,0.7193801184410696,0.8031838407521658,0.8423399514855523,1.0,0.6664564340143241,0.5582596034749588,0.8081321128357846,0.8281839538853287,0.9088578429295878,0.9546861267823178,0.9508482022741847,0.762458942935897,0.6800454182565535,0.9432745743484148,0.9018560359456382,0.9603567467118524,0,0.924701613766584,0.5619733225573167,0.7921425323579169,0.6556557297181346,0.8289272896647728,0.924636996321621,0.9355606764207163,0.6605289143716508,0.43544799689561814,0.5821884558479533,0.832124725253108,0.8224493005904799,0.7316195760231098,0.8415961251092463,0.674062505563775,0.6244414659039893,0,0.7845904865670018,0.8411496486365881,0.8914860912219582,0.9207769965548123,0.8348801862582974,0.37330331524211957,0.9098912695741469,0.8246540761947779,0.7996565092904759,0.8489526393979413,0.9869778771742855,0.9082280529666249,0.6052928780304414,0.6476586576314052,0.7085406396878633,0.8380991555484094,0.8065510998717418,0,0.7355054643267926,0.9231616920720124,0.901944948142123
chinese,0.6012144140816137,0.7139185675430205,0.6265432502882248,0.8678077600995223,0.7615410758192136,0.7204494409901425,0.6664564340143241,1.0,0.5921890261490006,0.7011077514387843,0.7338872183187952,0.7486144353597886,0.6374630701819246,0.7334098443695718,0.7702092689144151,0.6315373022194848,0.5967481216247554,0.6077173246092474,0.6520385389696803,0,0.634949603928797,0.42633775807301166,0.7976956289415243,0.47687918700815835,0.7491125814116888,0.6922102628642202,0.5900569418607507,0.6988809773471772,0.4030042261102462,0.8320131575906695,0.7692990849344177,0.8070346339023681,0.7855791022810226,0.591661848986767,0.6152304770614218,0.6278914528438925,0,0.6134987277266024,0.7311699346361976,0.639289361259653,0.7819733147791924,0.7510989903798947,0.3825519077036122,0.6365391877189384,0.7330480528925125,0.7556265632285086,0.7582647725911703,0.6568298416087212,0.6942628450159418,0.7900352025602235,0.7244455956966708,0.6528395164437271,0.7789030712903023,0.6936956641973927,0,0.8129887675953822,0.7685154709564089,0.719272504909517
classical_chinese,0.5319388737390074,0.5112611552192154,0.4233400003161384,0.5937686000228213,0.4941491517807565,0.5390393899717493,0.5582596034749588,0.5921890261490006,1.0,0.5785033618410499,0.5383204547164615,0.5600573513665396,0.5178349907914113,0.46657951132676184,0.6209374446120075,0.5419690285235749,0.430944141345529,0.43779640675638937,0.5047538724241818,0,0.45564936628418007,0.3163010283034551,0.46014747070639067,0.3520083526440649,0.5425513456174702,0.5464431403215343,0.42228998252059086,0.2914269184993572,0.2780014561763339,0.43927008448031496,0.5633379318861397,0.5696267455693477,0.5599226277574977,0.49611354143042335,0.6669474165019137,0.6032783368442735,0,0.46070509241106555,0.5439109214054633,0.460378112463099,0.5043620494798314,0.4946200814008332,0.784336514433018,0.5120711545955994,0.5910202383175417,0.459744291887601,0.5822570614893378,0.5087427919743708,0.5787954665971872,0.5759842890019821,0.6016793844836194,0.5420162345883801,0.4995735757403378,0.4881727056484356,0,0.5647750723166912,0.590641542830962,0.6507807308952593
croatian,0.8236901064178999,0.7231410767690872,0.8662474969010334,0.8051542444115946,0.9077686158730877,0.900908749753143,0.8081321128357846,0.7011077514387843,0.5785033618410499,1.0,0.9430075176613986,0.9241611465299995,0.8354015270698446,0.8467370303939765,0.9013286232575238,0.8494107164593742,0.694448811987934,0.6770482372300486,0.8353354657036127,0,0.7125899935100448,0.580543747253798,0.7515619105286657,0.5419625877103843,0.7879202162537142,0.7945351167830511,0.7360322238505773,0.5974437004805506,0.6588979242146873,0.658140158370605,0.9233871555741023,0.8808712839510161,0.8443525934542174,0.7487980705279793,0.8233649645512192,0.8240245875075366,0,0.7972312914233355,0.9136693531070623,0.6617854957034838,0.857052615241708,0.9097044364588768,0.5090594347230297,0.7681164297033694,0.9854685197446917,0.9113177422792138,0.9717849630782405,0.7686788135773449,0.9161980105442957,0.7219609227556759,0.6962274326304488,0.7720942887262183,0.9243016581650182,0.7824016106396693,0,0.7131036072067863,0.8371311047665693,0.771056662728025
