,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.594660014231622,0.7845607522381484,0.803041257614049,0.7669792209750534,0.8562640540417894,0.9207900261914399,0.6639148119170188,0.5831428601197625,0.8627341372219968,0.852478748642211,0.9049240665708405,0.9491868484917411,0.920984361302982,0.7692161701644276,0.7778143276574327,0.8896489794136824,0.8366484162710377,0.9522454701901635,0.27266682271676235,0.9329929020716904,0.6360581847029311,0.7558825229117017,0.673443195085241,0.762080021941478,0.7927973411436463,0,0.5629467337368608,0.6791207542971276,0.6034101407421093,0.7998397936441638,0.8211215601998221,0.7262348047942658,0.7314492344298824,0.814096390139002,0,0.7089933110591929,0.7653708319298163,0.8137244930787161,0.8280633615315282,0.897602597287503,0.812433129208002,0.4134043565670474,0.8567749753064582,0.867681268555794,0.8507516614678297,0.8586697362065749,0.9206411391870813,0.9164440452876652,0.6802905636398555,0.6799381549790161,0.8031538233947287,0.8337149271061812,0.7551409977519465,0.7570373389879477,0.7453662240132245,0.8676075860091362,0.49600033509222297
arabic,0.594660014231622,1.0,0.5163004226381847,0.6819452974697804,0.6539662238017133,0.7819654412579385,0.6671525582629784,0.693069126928238,0.49369931512832815,0.7589850926834912,0.7717947341618505,0.696375931985728,0.6788913020492109,0.706975330155161,0.7321865781668788,0.5378899439476998,0.6919265189329283,0.7043505339813769,0.6820650247022845,0.41698126900692023,0.6824645636376979,0.7739619659600175,0.7248023914484181,0.3405695919059333,0.5692437802897182,0.7202229149421593,0,0.6201073990938372,0.4727447556056224,0.4792215772585113,0.624484479306532,0.7217676209673363,0.7993271335241829,0.3503483286962734,0.4565019663306622,0,0.5766239212731983,0.6908870273379987,0.7482418866452644,0.8080940622455264,0.7378897889384619,0.8006718512223374,0.418407902824162,0.6602713515336985,0.7576072714314275,0.7908019479647548,0.7571205312543283,0.6819919103950594,0.6943345001368683,0.828238379798972,0.5003168756218657,0.6914491789136735,0.7879232005611372,0.71717400284601,0.5818945091419835,0.5910766483550142,0.8146184454507324,0.27037499066036325
armenian,0.7845607522381484,0.5163004226381847,1.0,0.8791136576120079,0.8887993781642303,0.7908559433610174,0.6679786796549589,0.6877946752675196,0.5203770570806674,0.8415051179972379,0.8327172304790159,0.8597811259062073,0.7587977169389033,0.8079257196512448,0.8546776976419919,0.9389307532894183,0.6155258999144442,0.49776287695719856,0.7555412820408853,0.2764147123304981,0.7520655296448451,0.6331371430492583,0.6224390733844114,0.6233362381514566,0.7449108294321686,0.7218038129066782,0,0.5029441909782396,0.8871087599245262,0.7229417530339555,0.8852905572141077,0.8757048054392723,0.7462001362478285,0.7158401929966738,0.8108720453362769,0,0.5484407356575407,0.8020206446526396,0.806850192179019,0.5763821606183402,0.7708574071202074,0.8127505843384861,0.4782012109793601,0.8185495668862913,0.8625203834004727,0.812949807961571,0.8206003911513853,0.6510141907744739,0.8468151087125257,0.7304909658824825,0.7388583235099033,0.9150198010766376,0.8373937548568425,0.6502975054459285,0.8458270312620424,0.7361028696011627,0.7663484010663494,0.55806589020477
basque,0.803041257614049,0.6819452974697804,0.8791136576120079,1.0,0.8541115587984703,0.8334408792281541,0.7537165312138634,0.8321976437905625,0.551508046828952,0.8963960606161728,0.8681070172742366,0.8682894914753436,0.8132894992580441,0.8352810463426195,0.9359739212550525,0.8983406878075972,0.6811507917450171,0.5963535064679513,0.8152760123678584,0.3992387984987244,0.8526042119624603,0.6166100482590017,0.6681788141915439,0.6216214734334327,0.7749585526520281,0.806323373975642,0,0.588474743995724,0.7533733652798055,0.7989335229851323,0.8905256418963436,0.9405687461020488,0.8445380237906073,0.6027677530377623,0.7886037345523587,0,0.6214269565876341,0.7180374753566691,0.8159833717496774,0.7027416277093274,0.8256679864704335,0.8660817945308102,0.5109394387688285,0.836802751301233,0.9008061193221446,0.8528133299739993,0.863984451760931,0.7462833250700289,0.8603399070876948,0.8624932269637893,0.7715900169532859,0.8550940904011249,0.8931865117467935,0.7216741602626275,0.8526659391753788,0.7829501015076507,0.8643436766238172,0.4948844663772323
belarusian,0.7669792209750534,0.6539662238017133,0.8887993781642303,0.8541115587984703,1.0,0.8920774327094567,0.6882333147934058,0.7374464326942083,0.5513710389331606,0.873168245388921,0.9196694541942787,0.8719662884368695,0.7837321200798015,0.8419445533005177,0.8987792298162824,0.8585122568443452,0.6871051389955662,0.5434819928431075,0.7941089797834788,0.2817247537665367,0.752851615405687,0.6668731888676424,0.6930403925487906,0.5969978587196593,0.7585677574403994,0.783727259666374,0,0.5439149640036978,0.7898620155388857,0.7168019667591309,0.9359423775706515,0.9186317396377929,0.8633645898857405,0.6564908893217202,0.7386066506862677,0,0.5605181007855975,0.7784630013802908,0.8937690675839475,0.6955005145472967,0.818485484494536,0.9199586751271382,0.5284737046249977,0.8470982249739754,0.9038722225883634,0.9004312563611107,0.8825356250312463,0.6816788523935775,0.8468666114723439,0.8169320923587822,0.6728389705337102,0.8558016334027494,0.9439543320144387,0.715217719889688,0.7694938212012508,0.737334248762093,0.8330638380835509,0.6032125957763158
bulgarian,0.8562640540417894,0.7819654412579385,0.7908559433610174,0.8334408792281541,0.8920774327094567,1.0,0.8384590699917202,0.7512966477028254,0.5681869110616167,0.9441402310132172,0.9575879083655912,0.9324863225146923,0.8834556024051885,0.9377385749713455,0.8497690553200554,0.7738105995356099,0.8252924032426442,0.7379019486448409,0.8973988475294953,0.2963171062416413,0.8351068737792723,0.7150302849770294,0.8835897471155854,0.5115916030121254,0.7901784030854738,0.8258022999507767,0,0.7361001454913597,0.6965249285941305,0.6429779118286403,0.8558795229900252,0.890375982026443,0.8701553729934278,0.5813067489595725,0.6755882725274923,0,0.6453293174119079,0.8690848491438734,0.9442732512279518,0.8433581303119996,0.9465012671923295,0.954738460629897,0.4266351223443219,0.8584343279527135,0.9599656434530339,0.9534002977318926,0.960229095088218,0.8446039202556719,0.9310279942841244,0.8025410448487776,0.6181368944350231,0.8276674614077202,0.9615022467582681,0.8641395802432654,0.7537656854697432,0.7710789645402188,0.9508023830520317,0.4196359704760861
catalan,0.9207900261914399,0.6671525582629784,0.6679786796549589,0.7537165312138634,0.6882333147934058,0.8384590699917202,1.0,0.6976068889027743,0.5254584708570973,0.8408628710013785,0.7917138208197577,0.8714235168337997,0.9576350654116892,0.9205421701611837,0.7180075047342822,0.6534024683103697,0.9624731283122551,0.9171468833306091,0.9460393307323037,0.26665458562790767,0.952631290649051,0.6384726043503139,0.7735677810525398,0.6709563194039078,0.7295179829398455,0.8360736350323285,0,0.6724661203937736,0.5508402012136169,0.5519468198436095,0.7140638772436076,0.7741340765309627,0.6966514900466243,0.6362447481830353,0.6954461118275226,0,0.6401417948609193,0.7421997608267377,0.8131879055243645,0.9253077498214448,0.8975490624153304,0.797632090490517,0.3219889912897804,0.8489698925046247,0.8419460774837534,0.8076046371843346,0.8261293450072345,0.9961510667851784,0.876850896389904,0.6716936974875702,0.6208633768042379,0.7334754700172754,0.818918651845136,0.764875862199664,0.6780594813301901,0.7166724568209233,0.9038622782317857,0.45126715140313084
chinese,0.6639148119170188,0.693069126928238,0.6877946752675196,0.8321976437905625,0.7374464326942083,0.7512966477028254,0.6976068889027743,1.0,0.5214290594516131,0.8260990500568688,0.7747649651927044,0.7806857986289785,0.7178069415371047,0.7771137406627983,0.831327866801646,0.6947634702529257,0.6459392574107573,0.5794848958055673,0.6989372218372604,0.33819579694702684,0.7303624002838401,0.5663843206190194,0.6368694385546168,0.5108107558923317,0.8100763716517803,0.7701961697013004,0,0.6365227273214324,0.561804519175478,0.8194227689415333,0.7877020456848398,0.8567552236897863,0.8214988974527602,0.4497905180202312,0.6535236792820374,0,0.5511131525054138,0.6422013824557619,0.7387213698783895,0.7075004915144556,0.7369321193193729,0.7956859930406944,0.37904460632101383,0.7052138160499796,0.80222738327591,0.7761685055714292,0.796846561624111,0.6883354635690634,0.7609769223406242,0.8483115466070945,0.7460336371234811,0.7332315214059355,0.8207699614285673,0.7154169007068927,0.8164517539324188,0.8146127371581067,0.7970380686483036,0.4062094494558801
classical_chinese,0.5831428601197625,0.49369931512832815,0.5203770570806674,0.551508046828952,0.5513710389331606,0.5681869110616167,0.5254584708570973,0.5214290594516131,1.0,0.6519343306484447,0.6040502764187627,0.5770287421907003,0.5552112877324018,0.5381716815809349,0.5429749060386021,0.5878738640841065,0.4522592994903232,0.43088041223904655,0.5162212564666983,0.3781432218832579,0.5194714428036135,0.400404252417125,0.5184703558868469,0.37149450930085076,0.5497456854064786,0.5190200451191744,0,0.31524185089168744,0.3979439400042512,0.5598972256232047,0.6049285259148752,0.5525244478468937,0.5023115987503973,0.46430600684522283,0.6725137887422837,0,0.8535431745402002,0.5386787449373457,0.5279219675137438,0.44893263301767766,0.5430517130960445,0.5050611697768258,0.8021074653961987,0.5035412151966127,0.5950927833051433,0.6084162514785157,0.5501103829588163,0.5324518431018328,0.6314581965085643,0.5056131252993327,0.6722689835376278,0.5760245581777302,0.5453536794458733,0.5638758830730456,0.5746556580717881,0.5423726545062887,0.5463232016770623,0.48444749193046377
croatian,0.8627341372219968,0.7589850926834912,0.8415051179972379,0.8963960606161728,0.873168245388921,0.9441402310132172,0.8408628710013785,0.8260990500568688,0.6519343306484447,1.0,0.9499337372717117,0.9459913212902719,0.8783288880066376,0.9159589738646855,0.897165540497969,0.849156092889731,0.7861416601951454,0.6999797329088491,0.8870308859226221,0.36549228202665585,0.8445080454117238,0.7050464760208435,0.8185317811462011,0.5559886447735407,0.8391098489826762,0.8477619946307189,0,0.6822737974823355,0.7243887811203337,0.7265722918442704,0.8852072443763954,0.9359547377340742,0.872515637961599,0.605103557207599,0.7923042477063744,0,0.737759747436474,0.8348069627216715,0.9227843632920499,0.7863437311552786,0.9277588276640913,0.9313976333792193,0.4965625741887991,0.8680168711790669,0.9849854613813637,0.948552339233597,0.968127247060394,0.8396316421419833,0.9472262981288251,0.8290695278422424,0.7722922404406753,0.8727891119248026,0.9491389915469882,0.8197712242655477,0.8570547176141203,0.8252045514651033,0.9313045147805019,0.4458902467710584
