,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.717868326323677,0.7371067284551653,0.784910861048169,0.8434771878385484,0.8546466315279474,0.9578550005854407,0.6353912002340549,0.5423900094780624,0.834254531548066,0.8605716568660611,0.9266074229601812,0.9701563935322084,0.9488288580699998,0.771458045280959,0.6944059883841373,0.927944263741934,0.893678682226775,0.9441896888272155,0.30380255085197805,0.9540239350325118,0.5862137201968842,0.8355932309233035,0.6304734877945329,0.7580402085595188,0.9223367929484194,0.9415393057716206,0.5982157690166471,0.5808742947718235,0.5939461304099997,0.8154864494104086,0.8193623341866539,0.7536229751924473,0.8835042853095507,0.7450527253427132,0.6994656809832791,0.6189474559719625,0.7671106492655785,0.8213889424818783,0.8944991127064073,0.9194038269750997,0.8381287358627413,0.37542387415456163,0.8502702600825828,0.8482769262509732,0.8677604891833524,0.8663895704899455,0.9607887108153966,0.9103770781009312,0.7053311604239754,0.6685430633560865,0.7291668491417739,0.8057348505489642,0.8158089300340344,0.6337161828972562,0.7183687248662739,0.924585980324495,0.7867446036543783
arabic,0.717868326323677,1.0,0.5728620539233873,0.7653145569204393,0.8623971128485377,0.8703326876607516,0.7500796969845746,0.7176394524409395,0.545525574737268,0.8227235452506171,0.8564585327063398,0.8055618128331922,0.7077103454467256,0.744004282603221,0.7496999228927418,0.5590791859004306,0.7476153687423197,0.7746288599929119,0.6726400802880024,0.48873195310008294,0.7306455312400514,0.7174003745320432,0.8343597143514581,0.3138048658811547,0.6649431506498896,0.8390525990790053,0.7884267714548701,0.6166678312879258,0.47892179751299263,0.5447039659359205,0.7672541942387343,0.8578209816512871,0.8454656888450498,0.5902971045283413,0.5229632431668304,0.5279681715180882,0.6641330912020471,0.7295409340568897,0.7830851778930789,0.8285838289509132,0.8392318740408443,0.8494778233608897,0.3217568199530893,0.6045479881315279,0.8387672991403814,0.8521648440865174,0.8375842478873408,0.7423640138860959,0.7849022989837635,0.8840601925617292,0.5478716316142508,0.6762995378564102,0.8178484634111186,0.798621281756077,0.6367695082756346,0.6004785319100675,0.8136614183727007,0.5824765438359787
armenian,0.7371067284551653,0.5728620539233873,1.0,0.8220307997520527,0.8201878881883479,0.7400403415052345,0.6419441844521144,0.648992825842676,0.5010251002859245,0.8596712434465204,0.8395165316133991,0.8202125587579637,0.7076021019932819,0.7982926144352276,0.8458117256783739,0.9227773394275437,0.5704519708686694,0.4899642129184738,0.7185364260341257,0.16261435820120954,0.6523233309333286,0.6008114575555182,0.7265323759815212,0.5603737136643148,0.7493667938036616,0.6833955101850703,0.6311070472964988,0.5002924204992382,0.8550365333302692,0.6966668728387999,0.8873794505139337,0.7967341672127272,0.7811599193370566,0.805857422352711,0.8735626270312775,0.9217532337018449,0.5516100672178137,0.8026906766990008,0.8596161405885042,0.5334991282239209,0.7705664386590905,0.8357947554087367,0.4689050492961677,0.7305495260951573,0.8592365280122375,0.8438033271447465,0.8500294537506602,0.6278227672578118,0.8195038990212391,0.6929769701365674,0.7874326822722334,0.8685035128830689,0.8365865849806013,0.6795532682766475,0.7584734975154082,0.6217370390617554,0.7305727704626394,0.7359737462564157
basque,0.784910861048169,0.7653145569204393,0.8220307997520527,1.0,0.8891789652896143,0.7995265528092339,0.7625232327998515,0.8599310379036642,0.6215381418146265,0.8795320860309805,0.8600391724899833,0.8441618714748875,0.7788978002963358,0.8013107124126975,0.9418934500500465,0.8156061268326095,0.6777862330854991,0.6579305260430132,0.7890299529109339,0.4530494353358776,0.7912052954076387,0.5780777454948569,0.7893320775740443,0.5647300964736094,0.7519005308380862,0.8170830539767979,0.7115533049283659,0.5745008749878585,0.6349432636678869,0.8053003613314315,0.914087765661908,0.9480293172855241,0.9193106090982744,0.7461951983437295,0.7735797862366808,0.7618044759394121,0.6767608227381944,0.7146844792562914,0.827631273319914,0.7038676057196773,0.855470838161691,0.8932166518904197,0.4858739143830297,0.7557353948644908,0.8810016168664382,0.8764469218679627,0.9048840251581167,0.7463163180974212,0.829046434765796,0.9143784951565069,0.8096310019773795,0.7693426250475464,0.8978019013248995,0.7334414055817191,0.8374583756164883,0.6861898701458669,0.8722191843099468,0.800168366451277
belarusian,0.8434771878385484,0.8623971128485377,0.8201878881883479,0.8891789652896143,1.0,0.9412320691417948,0.8221752851274411,0.7868288471370697,0.5808396710605185,0.958668688363555,0.9725945031495788,0.9281129737413167,0.82180847096475,0.8869247126064205,0.9047727046574603,0.7831728134603468,0.7654162319494144,0.7183196812776056,0.8092100586621048,0.39202639208952583,0.7998159357601522,0.6470059236000321,0.8988462233253727,0.48668895594012457,0.8098745190839711,0.9048818606406394,0.7986662490738753,0.6284718009366773,0.6808003700400459,0.6907784160352957,0.9419944601815443,0.9593690442470928,0.9311562195277009,0.7596200477892142,0.7481441611735214,0.753881477183023,0.6732167723837417,0.8128061055534487,0.944631261654316,0.781022297054823,0.9361688524773593,0.981090769699892,0.4225790581973408,0.7673177195332691,0.972566667801257,0.9714279432619805,0.9596794424520476,0.8110998684630336,0.9088724979324694,0.8788180250887913,0.7443157396888173,0.786972028839073,0.9821745141391421,0.8416246532545227,0.7831109409928816,0.7068538615437215,0.8918035301264892,0.7023068341198122
bulgarian,0.8546466315279474,0.8703326876607516,0.7400403415052345,0.7995265528092339,0.9412320691417948,1.0,0.8573419132756794,0.7208611971151627,0.5860224942838678,0.9398795376787312,0.9457455541607116,0.9427633243244826,0.834556652651236,0.905888903736959,0.8250298504571457,0.7048113440141649,0.823301125751169,0.7579481315116857,0.813507411777949,0.37811961889298795,0.7888426881655511,0.6408278439208159,0.9566828824372373,0.42828140364461215,0.8102235909621199,0.924074602724114,0.8392350010959936,0.7357917917884994,0.5753015428100242,0.6063293712221802,0.8827934186109218,0.9040491713001058,0.8649209893780148,0.7372058399894784,0.6609966017047013,0.6756706715024087,0.6749563204486928,0.8577016334574292,0.9137453398916825,0.8335995552868625,0.95993710884004,0.9353029535750067,0.39931267322895636,0.7578306660545685,0.9430256551251449,0.9465058010914424,0.9423254938645825,0.8478558776046352,0.9299246375566992,0.796570420905329,0.6546172020871732,0.7178046915423631,0.9022450220442298,0.9149257416739502,0.7026960876336842,0.7201715294823703,0.893353874654619,0.6513161932497268
catalan,0.9578550005854407,0.7500796969845746,0.6419441844521144,0.7625232327998515,0.8221752851274411,0.8573419132756794,1.0,0.6611270530187003,0.5301807573045444,0.7961100446623841,0.8187472786696242,0.9178187677413411,0.9700340504349146,0.9400389423210108,0.7303381773895491,0.6199817554111133,0.9681516906533475,0.9276336513583856,0.933616474270146,0.35572340158335675,0.9537499824202554,0.5781382715147854,0.8373438896915122,0.6097607928280409,0.7492903396249099,0.9501249336459264,0.9543149969312344,0.6704142914104043,0.4826709967707189,0.5672445376535779,0.7749985203030394,0.8030178864118113,0.7435548307218272,0.8597008175916101,0.6451086754563411,0.6144652982133032,0.5981794177678453,0.7625657362128915,0.7907157572196281,0.9393242654955078,0.9286814907793511,0.8136516452493561,0.32024177445065133,0.8717118985458636,0.8111450477396769,0.8304371496255342,0.829970144480283,0.9981078950602288,0.8987298444005174,0.6908875472544832,0.6325261403102108,0.6771479634659876,0.7828536193313435,0.8251616320465228,0.5864263109611265,0.7204167973215144,0.9461604490148086,0.7796932673215333
chinese,0.6353912002340549,0.7176394524409395,0.648992825842676,0.8599310379036642,0.7868288471370697,0.7208611971151627,0.6611270530187003,1.0,0.6130160261488244,0.7749340695693123,0.7429570188954386,0.7437682210163035,0.640435612128232,0.720053448956349,0.8285627322595237,0.6796894298816287,0.6002504101369116,0.5679765817823494,0.6450687951051214,0.4345977616459032,0.6485518500966261,0.5190906751486204,0.7467849314258345,0.46618609969581803,0.8000095020747164,0.7261026605070579,0.5903590058606629,0.6322030056881904,0.4397506798855544,0.8309875006843629,0.8008113944626838,0.852301276335146,0.83734658603825,0.6115459102708214,0.6436603782571991,0.6133496833488559,0.6201048738076205,0.650323258923376,0.7181160299527747,0.6439752825239592,0.7533738444953515,0.7837047960990765,0.4088131227772247,0.6454024585615163,0.744353227955219,0.7652882742393091,0.7818747716789156,0.6484923091660836,0.7233893996466015,0.8205626636647664,0.7524884513757749,0.6488259006378355,0.8171260556320439,0.6821191121076519,0.8532531563607981,0.7731399014532769,0.7415178405065613,0.7015325679757628
classical_chinese,0.5423900094780624,0.545525574737268,0.5010251002859245,0.6215381418146265,0.5808396710605185,0.5860224942838678,0.5301807573045444,0.6130160261488244,1.0,0.6024360979702091,0.59634572901706,0.6075482761665109,0.5329990968897176,0.512239641152461,0.6206893238966807,0.5814959677989396,0.4740185076680866,0.4184090459868248,0.6059901422343407,0.3785665200305177,0.4836727144870531,0.369196387369801,0.5383878149661127,0.3619656495851529,0.5370053422895135,0.5594830606727352,0.46833810382648483,0.3420416904282529,0.3081913903062315,0.6041267428841627,0.6149794815924298,0.6601533989168453,0.5886093152699803,0.5059276742511091,0.648463570036664,0.5865229955039466,0.8011300589753191,0.5425606512191361,0.5496785718976109,0.49779822936369694,0.5785615757981525,0.5494706319481963,0.8187098587922814,0.4915579890187123,0.602780749728662,0.631881676185237,0.6251822372666499,0.5244633607285374,0.617902121939735,0.58435902640399,0.5934445849471541,0.5164328477687404,0.5413210091130274,0.5357033810884904,0.6524531677042014,0.5670017488461826,0.6015429617834076,0.5439255742787835
croatian,0.834254531548066,0.8227235452506171,0.8596712434465204,0.8795320860309805,0.958668688363555,0.9398795376787312,0.7961100446623841,0.7749340695693123,0.6024360979702091,1.0,0.9657041425374507,0.9220071045374619,0.8036467178038824,0.8929984888098419,0.9142217388310863,0.8302214922811342,0.7438037063299517,0.6648799889668341,0.8083858004210507,0.3561892191980838,0.7722689973563516,0.654684135446731,0.9021351910731865,0.5033984108676295,0.8361742101116512,0.873685889283797,0.7852256342125497,0.6308367985633903,0.6860446823170395,0.6933576450294033,0.9510428917103876,0.9468689678363164,0.9150761719759171,0.7646944999786025,0.7677305594191008,0.778691877239765,0.6593284739741073,0.8380102607726687,0.940085391194632,0.7485823019092342,0.938070865453293,0.975714513746042,0.44521139582979763,0.7623526112322603,0.9705427261864292,0.9690258766111617,0.9795071224153021,0.78520265650971,0.9218807534697786,0.8509125947264816,0.7459613661343305,0.7957850285633081,0.9494388039925752,0.8348803988314127,0.8198682629851971,0.7298766356180673,0.8706013634463928,0.6841215591169164
