,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7970495350688397,0.7683673984038922,0.6985074965718625,0.862265250130653,0.8766185673318679,0.9052319407553012,0.5892247459111124,0.4541805956420559,0.8366426653527331,0.8449193916605141,0.9033755662829573,0.951987069246166,0.9373021247110861,0.8186098391230168,0.6939827595779072,0.9183101127161827,0.882420190000342,0.9586116827620987,0.2015549138499915,0.9281545155456594,0.6883704263391495,0.8531516104725896,0.5885872552123188,0.7887514946011913,0.8993123851625224,0.9100439088108376,0.5435419956397007,0.651701342761037,0.5608992433098708,0.8294613464950785,0.7375273762996383,0.7310697516560585,0.8929807202111859,0.7598000195550692,0.6265166641912905,0.4773796061447656,0.844437778148445,0.809701220162707,0.9054799458780749,0.9359205888935249,0.8626593758991168,0.3622977754130229,0.8393434961436723,0.8796609769525457,0.8824444913354877,0.7258462091507617,0.9550031084242301,0.8998962009133976,0.7373740453506377,0.6100705917236792,0.7751734705489909,0.8811423121898714,0.7952860034406999,0.7822238332777829,0.704000890721319,0.9343325047811746,0.5492514914590437
arabic,0.7970495350688397,1.0,0.7075746065888944,0.7419387512535891,0.8910254771752226,0.8733091267087946,0.765994646553918,0.7037962120036059,0.4482235012360381,0.8520899598512374,0.8506121622435779,0.8415319314109936,0.7845405587593698,0.8254164841899873,0.8176330826374955,0.6811320672069586,0.7835223779596635,0.7942795068494313,0.7792100428892879,0.3351916675236166,0.7227340437422802,0.8182386656549672,0.8676685185519832,0.5118108184636856,0.7394535034332567,0.8211974088154187,0.8470716111239959,0.5733429694827554,0.6260206384907058,0.6015106523604056,0.8118594669129982,0.877076739885906,0.8880894727491988,0.7095136213946033,0.6172653436860239,0.609993007263639,0.3747290741298226,0.8078424888700734,0.8221589997220864,0.834990414499602,0.8666843373274273,0.8938709044745935,0.3124215640661024,0.7692998532808127,0.8857602246808363,0.8649218689330119,0.7428765573304489,0.8008383413848448,0.8000767683172421,0.9255913382838751,0.6074593314112557,0.7654922339503888,0.9020359981589019,0.7674333259062215,0.8027545934218162,0.6738293028387452,0.8228156982045288,0.6412890580643771
armenian,0.7683673984038922,0.7075746065888944,1.0,0.8550874972523019,0.8842783657818455,0.8634829113120678,0.7936592264437664,0.5428698074126392,0.4550704628366241,0.8908743444058705,0.8940698169567352,0.8829131983854887,0.7292492829578664,0.8399119012222174,0.9199682301043436,0.9238629310857547,0.6878296839215847,0.5553828765020735,0.7821009563245827,0.09232496719724077,0.6833301118087372,0.6845530741259505,0.7210350549638758,0.6598299061891018,0.7688682333538099,0.6717050226060783,0.7918466817568787,0.39988443966737913,0.9299385321136951,0.6778575468018961,0.9190884792448798,0.7356576810501331,0.7274870211571242,0.839293005831434,0.8520613409768695,0.8533105404534745,0.4843429753814487,0.8503250851913119,0.8952122785724317,0.6117839961926336,0.8099389731949114,0.8611419991648495,0.4000674031791696,0.7525077317275106,0.8953408057696577,0.898533621432199,0.8629839944016017,0.7488619669310546,0.8828847153133137,0.7140953833276278,0.7047448511774106,0.9015396391296603,0.8827253498787373,0.6507909126369266,0.8910650491094627,0.6805862956680203,0.6698880439150884,0.5282009616052833
basque,0.6985074965718625,0.7419387512535891,0.8550874972523019,1.0,0.8564001167489077,0.8618316573440805,0.7760163182194176,0.621112547590153,0.6494147453243871,0.8924333246988304,0.8711978159527998,0.8518175800948075,0.7145645990386942,0.7995147683323557,0.8685600350726937,0.868445783654407,0.6822052943694625,0.5197350804386505,0.7284281329429778,0.1595929053169184,0.6318531085793335,0.6523421261745947,0.7483174105391669,0.7619532912458101,0.7526357550214684,0.6660185992814015,0.7882470623041095,0.38275362397981977,0.7187115518663867,0.7620053038413149,0.8951098332368549,0.9029330559901584,0.8432899388831938,0.7351223913659631,0.706541396825169,0.9078481433818113,0.4576274052720099,0.7195311135248181,0.8986940578579461,0.6181643029994197,0.785332838064645,0.8339758726418656,0.5610612372830095,0.7506050954683223,0.8865022223344783,0.8609142854469706,0.9517900095212812,0.7394976197107036,0.7901797759675618,0.7835572489136418,0.6385192379460941,0.7790274867163178,0.8599580897383243,0.6175626067535457,0.809093406247777,0.6980652240391133,0.626960593354956,0.5433628396478823
belarusian,0.862265250130653,0.8910254771752226,0.8842783657818455,0.8564001167489077,1.0,0.9663702954480127,0.8568296361815644,0.671531661879064,0.4609947322245398,0.9487324391455453,0.9688644842211677,0.9406816106365666,0.8270898559191657,0.9094797128652086,0.9483710691850391,0.8307632836799401,0.7996050761617679,0.7075581645308352,0.856268711678186,0.23111983659606453,0.756512185906477,0.7388725530581494,0.868811378503796,0.6362067417203696,0.8108126619933501,0.8061336788930142,0.8818339655815944,0.5096876820682607,0.7980409744396325,0.6922447576377649,0.9494197082568943,0.8816342920004734,0.8864594683793655,0.814274733893809,0.7858316582192562,0.778065284500516,0.4351335950008661,0.855899935187829,0.9510235091948052,0.7826926714433725,0.9223104092152188,0.9772809997467867,0.36107372453908015,0.8134627493694553,0.9737218319407626,0.9715333163870784,0.8938193769415353,0.8495887422166694,0.9030542096530904,0.8764526944486086,0.6791236340438899,0.8332738049387081,0.9935794647460001,0.7562398629829283,0.8984866415290365,0.7115577771411841,0.8066667679423005,0.5052298293896402
bulgarian,0.8766185673318679,0.8733091267087946,0.8634829113120678,0.8618316573440805,0.9663702954480127,1.0,0.869976070966568,0.6458178002598498,0.49829645626323,0.9598176189949719,0.9539848913789893,0.9599056613910684,0.8545368625825274,0.9341616700079483,0.8991505953748486,0.8180972176670921,0.8316999755045319,0.7154386386289547,0.869794204156722,0.18296854947515953,0.7502345081618054,0.760610520707261,0.9116191567219786,0.6354639120985212,0.8422093719062714,0.8268046568507358,0.8971464958826729,0.5897726962130173,0.748864616952728,0.6827666095034381,0.9438837169089838,0.8610894461046446,0.8441830991786086,0.8204628306151464,0.7225427031502307,0.7837309570636499,0.4242500548490945,0.8898353500938017,0.9481231302579197,0.7996296329058826,0.9423673266438699,0.9535468646507154,0.4234067629750024,0.854361626599589,0.9756847791782238,0.9614481995083571,0.9122837749414123,0.8767887453499428,0.9265639499435455,0.81432649873236,0.6382111741748996,0.811220214152983,0.9703560151813548,0.8313876337779695,0.8397570799938402,0.74990688476931,0.8158524616851076,0.5239862453470102
catalan,0.9052319407553012,0.765994646553918,0.7936592264437664,0.7760163182194176,0.8568296361815644,0.869976070966568,1.0,0.6379543415911898,0.41629037640182415,0.8682952901460428,0.8642458186767281,0.924777359009344,0.9313872528548439,0.9449367415101066,0.7945125751249315,0.7725241728314476,0.9362196494014421,0.841627548201368,0.9329051404264045,0.15657245626808022,0.8738025426401037,0.7106741430844423,0.8268312920024059,0.7443043563160859,0.8775663543851603,0.893996121021912,0.9460701697433527,0.5702161715955568,0.6677721157579365,0.6539778318789794,0.8265568741028615,0.7547568930485965,0.7551269489934732,0.851860865954303,0.7117172488777186,0.6915317413721831,0.41806985119937834,0.7926091079530561,0.8718996355331561,0.889761029267622,0.9334770507823654,0.8600693010333018,0.3074418207207556,0.9004089574103542,0.883427812545847,0.8377155198850306,0.8171309335697536,0.9658380482925677,0.9052194648275234,0.6983658120807602,0.6953446705611895,0.793756638627554,0.8679258876151424,0.7101036106764552,0.7619263579017727,0.7382263398714733,0.8613652902468428,0.5619435566215923
chinese,0.5892247459111124,0.7037962120036059,0.5428698074126392,0.621112547590153,0.671531661879064,0.6458178002598498,0.6379543415911898,1.0,0.42016775558532315,0.6948163127132685,0.6618515112533676,0.6793015915758104,0.6043254418073684,0.7056228379443077,0.6725660752341468,0.600492385414891,0.5929148185990815,0.5519220063507727,0.6181544442908636,0.29723313151947806,0.5161640649370871,0.5004225944197142,0.7764004515339594,0.48407033945035943,0.7506234543143763,0.6542272864898744,0.6115613337313405,0.6747837074104595,0.46297416957046433,0.8423613147100545,0.6351222692825267,0.7445935757444383,0.7549050807809352,0.5071060641549907,0.48263140727375076,0.5119278497400884,0.3551716470140395,0.5731219119501603,0.652238706774532,0.6159033338496106,0.6854804318223959,0.6944571518098621,0.3343926007256495,0.5730419382117419,0.686188025637071,0.6390134914858966,0.611424788183155,0.6318149115579685,0.6354163904631408,0.7371367368477539,0.6647793563403346,0.6557219402075147,0.6956752009186746,0.5719457484763472,0.7320107077541045,0.8282220493923722,0.6115931746564509,0.4547463086557757
classical_chinese,0.4541805956420559,0.4482235012360381,0.4550704628366241,0.6494147453243871,0.4609947322245398,0.49829645626323,0.41629037640182415,0.42016775558532315,1.0,0.5410504814742946,0.4640169319100355,0.49985094221416454,0.47054098154392776,0.4582285551841093,0.5277873579180785,0.49721974427149646,0.4131183339169362,0.285551558664534,0.5008992687041522,0.18070471098519483,0.39233422507635907,0.3652591407491526,0.46592095894157215,0.4350077830586924,0.4319347209735842,0.42665195891045204,0.39425623218975037,0.21178429010840963,0.32398978106853055,0.5270602690404541,0.5549867671357164,0.6046124608999895,0.5018861833215386,0.4592282761033335,0.48407298489829864,0.7242613313427536,0.7528148899969394,0.48376440420902456,0.496270415158817,0.38190540583965543,0.46284684743639054,0.4217291029673913,0.8308130619492273,0.411763635705287,0.5356854864643219,0.5160210515854371,0.5331560185208598,0.4812843824711241,0.4982430005721479,0.51178075890262,0.47637245271639245,0.511660105340823,0.48266728058494557,0.4511883399253957,0.48377781891197297,0.5065383576926417,0.43290744988526514,0.5411451018628112
croatian,0.8366426653527331,0.8520899598512374,0.8908743444058705,0.8924333246988304,0.9487324391455453,0.9598176189949719,0.8682952901460428,0.6948163127132685,0.5410504814742946,1.0,0.9477087411635944,0.959679978660376,0.82680914519565,0.9217285787402005,0.9247450948816655,0.8808381307063519,0.805023901172244,0.6796700403933896,0.8621648851300413,0.19097527653862642,0.7185071302467351,0.7529737263725732,0.8800998836587102,0.6959730864125658,0.8610654239797771,0.8137102332346089,0.8776686764819556,0.581523160786092,0.7808316251898355,0.746214543001764,0.9377018555150541,0.8708642052059755,0.8569366549721747,0.8128661549940633,0.7801291380539068,0.8423786234469439,0.5062290998797548,0.853003712529816,0.949947028989798,0.7499620565863178,0.9204812170427757,0.948325288494468,0.47855942607471796,0.8557116161376545,0.9831527045273768,0.9398796056527319,0.925102955436056,0.852565029763952,0.9294231351193913,0.8171107284945942,0.7480483980288942,0.84596493586722,0.9554604813153631,0.7969014707123999,0.8906384697448646,0.7938811296742679,0.7759877037223633,0.5892358222241996
