,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7800614089376099,0.7480629187249328,0.7733959253385817,0.8407188583167623,0.9118405026101775,0.93605533167308,0.5987544031251257,0.48415276145841507,0.8851935611396418,0.8959272641895685,0.9377502365262127,0.9659350548654495,0.9616627586418357,0.7216397840672201,0.7335816167321402,0.921066058983885,0.8913952427676061,0.9711643423894315,0.24730595447377038,0.920798012467349,0.6722625340665687,0.8535516671335235,0.5971090372912665,0.8385123517673433,0.9018445198974371,0.9395517150234528,0.609106132019916,0.663198037474375,0.5131821924829485,0.8679226639533737,0.8360122248666579,0.6924945073264531,0.8392825705040685,0.7365772459431729,0.512931676112658,0.5275483644080887,0.8407860011520081,0.8674685469655973,0.8872058357442498,0.9433866931439726,0.8749390341368285,0.3695302716325457,0.8750327453197322,0.8877078461779258,0.9063530566707201,0.8997414572652829,0.9514816118271676,0.9440325617133009,0.6599287131242655,0.6155031343466291,0.7700272472803653,0.8184880834354655,0.8154257198511439,0.6442947640590976,0.6539822307832239,0.9224621398954794,0.7861266298198203
arabic,0.7800614089376099,1.0,0.6145831889178119,0.7884521216149858,0.7933075635345275,0.8711842387980753,0.7107109733262212,0.7434922789426526,0.5013667721322201,0.8390743032092737,0.8621253445831448,0.796869896088,0.739704764418094,0.7690378733278286,0.7399016962190486,0.6030743698607874,0.7479121726703799,0.8018998684088328,0.7518556852035333,0.31923439663914566,0.6860163471329966,0.7494363152921499,0.8374172537842643,0.3662044880766788,0.7318685130755771,0.7427261254297396,0.7854096864544678,0.5916865882663755,0.5394929519402509,0.48257472575570287,0.8146749953028037,0.8734577725079905,0.7171166874611101,0.6023985612875637,0.5565279814010557,0.4097021044432781,0.5132698236343547,0.7485275802814737,0.7929664821276362,0.8265923440903873,0.8487253390408329,0.8492349988096097,0.3427257284543233,0.6931648147784328,0.8375442143860589,0.8797655028452371,0.828783148779038,0.7476091363761795,0.8284769419140734,0.8878683997157627,0.5589179292333987,0.7141138185320706,0.8032201036148023,0.891267077111757,0.6436539155155707,0.5611330570418841,0.8602735961645337,0.7685515298149208
armenian,0.7480629187249328,0.6145831889178119,1.0,0.8595671633376825,0.8964620552418539,0.7760717195828395,0.6447798282532912,0.5890000658974779,0.46350697807681135,0.8847275096461964,0.8605770294756383,0.8134942272405096,0.7371035151561373,0.7389025353847104,0.8485908710640165,0.9261297682441246,0.5981359678293999,0.5422752800961287,0.7702878292024367,0.2503334845292355,0.6559020310149711,0.6498416890734638,0.6548803689278702,0.6074318498405247,0.7559892922030375,0.6609497044420891,0.6665145844207935,0.456139534997447,0.9329527240940453,0.6621135578982764,0.8688741052915242,0.8080833392919847,0.8299258242957417,0.797637142014652,0.7468201364077042,0.8571087430606633,0.5225076809167174,0.852277911048955,0.8790529215089945,0.5505449731930431,0.7838806195309704,0.8700712037963901,0.4538106146626278,0.6809154450731009,0.8850556359499411,0.8287730799503223,0.8172836592147938,0.6857942733794887,0.8330489004595178,0.644922592189545,0.7451855239806432,0.9293928746355282,0.8721057944209961,0.5739226057708706,0.7359309832379034,0.5989885111802712,0.6735336548687041,0.7286252827939141
basque,0.7733959253385817,0.7884521216149858,0.8595671633376825,1.0,0.914609313383677,0.8147340143772157,0.7320857968098653,0.8313035324260143,0.560165344385386,0.9038462609578118,0.8904063264601572,0.8493479537862479,0.7879404038030844,0.7844434696172572,0.942785541669859,0.8214885764304036,0.6834959161227114,0.6716819403060669,0.8129137892189962,0.34630198982356186,0.7271034997297421,0.6305190762245204,0.7620595476160016,0.6139661083358757,0.8183784550257175,0.787197097470683,0.7281900379394048,0.5742601417441843,0.7577174601289398,0.7270767686379398,0.8803367897082907,0.9527488107612226,0.9200196075507399,0.7372124336606298,0.6387636892862888,0.7455397393283405,0.558034569867197,0.7696667657076112,0.870725065532807,0.6930199531634198,0.8619944653652677,0.9111186643937856,0.4721133091495929,0.7294563595109407,0.9158347522143299,0.861157211833089,0.8495934831737276,0.7643443215400858,0.8417361880163643,0.8711483347554867,0.8147812970815849,0.8482525170339572,0.9201072452862853,0.7304745089220869,0.7582543450173005,0.6709713668336691,0.8359093695020201,0.8760498338663143
belarusian,0.8407188583167623,0.7933075635345275,0.8964620552418539,0.914609313383677,1.0,0.9175237241888605,0.7568881979411777,0.7354060730192841,0.5208806227143082,0.954076767115381,0.9684175904766568,0.901988209383316,0.8317515218137409,0.8460102016304061,0.9223015042442239,0.8472853206149782,0.7476152584660097,0.6859266285688038,0.8651554743584073,0.2833401303138096,0.7231870406166577,0.7088775514265987,0.8078777729904344,0.6162283495153366,0.8636964798216642,0.7852333378925813,0.7847184874344786,0.5772797778724585,0.8060170546067925,0.6941288815107104,0.9446436186138518,0.9254515692109545,0.9293111178534983,0.7632546295633895,0.6711447656491438,0.7975444030304356,0.5265431847145953,0.8610414111302371,0.96848351125532,0.7248362358998073,0.9043404260180251,0.9800418721861603,0.47899382742512003,0.7833104805808907,0.9689045741220974,0.9349632158997947,0.9065087754926104,0.8093756997820312,0.9200926272275848,0.768361594991513,0.7762311075660489,0.8666109004633181,0.9873508886826642,0.7644411115441343,0.780901922566494,0.6775103740044435,0.8355024856008655,0.8064860900889881
bulgarian,0.9118405026101775,0.8711842387980753,0.7760717195828395,0.8147340143772157,0.9175237241888605,1.0,0.8148669181354937,0.6767947483654729,0.5167803434977838,0.950021656127042,0.9592301559906408,0.9329925458913491,0.8685205692102698,0.8988202455243693,0.7926173656563489,0.7507823571992125,0.8151406140530018,0.7777122697218724,0.8886927583080706,0.2879603017011069,0.744835894087277,0.7009268162590072,0.9162485683525311,0.48508654356942366,0.8763269405101877,0.8200985206631044,0.8350087954290857,0.6761350016922608,0.6805571908512739,0.5580075341304231,0.9273410673479485,0.8913646910523371,0.7737818409131103,0.7328252751498063,0.6736664181051698,0.5726659638761057,0.5643898860164643,0.892416228618143,0.9329397773121253,0.807174495660296,0.9525766773173775,0.9431702786367017,0.4123202746292819,0.820100940375244,0.9536801558294355,0.9700792834225621,0.9488556490679895,0.8599321216545119,0.9639398481503946,0.7307520802838651,0.6447890147122536,0.7941260858204777,0.8971866782282211,0.9045681726979106,0.7231599469650386,0.6655217036807775,0.8947740881641058,0.7863557144454214
catalan,0.93605533167308,0.7107109733262212,0.6447798282532912,0.7320857968098653,0.7568881979411777,0.8148669181354937,1.0,0.6176974148355159,0.46566457100736686,0.7763737933791421,0.7815597595213167,0.9089988837051329,0.9644793091306918,0.9491212982485521,0.647904417584165,0.6240280557766585,0.9633348504896572,0.9167731149636397,0.9404248654225659,0.22648315225496196,0.9414609307974144,0.6189017696348504,0.7993113409468022,0.6403870109517815,0.8284683282262096,0.9473557668153684,0.9454192760982397,0.6496920708695672,0.5571861669854498,0.5024707402543764,0.7689046056591394,0.7654247627705537,0.6309994513546247,0.8357787851400064,0.6019007083253872,0.4749560098807628,0.473670491184015,0.7813567893995503,0.7810916974241979,0.9249996409111666,0.9065951778729165,0.7784111030390656,0.29515489784579846,0.8764067110329445,0.8027095459206396,0.7990774047287097,0.816515414045162,0.9936918096460287,0.8777542880079205,0.6070607194664452,0.6189517175454182,0.6995025324659393,0.7447348948605386,0.7513582602419564,0.5889022217117543,0.6663872031402768,0.9202731964795247,0.8139877013011623
chinese,0.5987544031251257,0.7434922789426526,0.5890000658974779,0.8313035324260143,0.7354060730192841,0.6767947483654729,0.6176974148355159,1.0,0.5583609496896004,0.7155142369213452,0.7195050740430993,0.6913887273952819,0.6221199464178272,0.6818997764321326,0.7818430991155589,0.6005683807308231,0.5994897003398567,0.600523055240935,0.6425979530991102,0.3054693847497578,0.5796873671397145,0.48899528715243,0.684252955313896,0.4621226021139007,0.7297527449397374,0.6811841251912057,0.5876227323481905,0.6205814249062033,0.4942909713628295,0.7590212591093897,0.7099339966683907,0.8343990100696844,0.7803244810269728,0.5742984168182668,0.4054672125296034,0.540940511153462,0.47312055981865336,0.6079864924763935,0.6737827725341262,0.6478548981711766,0.7171413296131692,0.7391817667696686,0.37196642984003553,0.5447837236817036,0.7229821800560318,0.7030308500526156,0.6926069610097714,0.6410623341055464,0.6784835052625033,0.8291430186471109,0.7243643946274104,0.6698170384840196,0.7710735825025123,0.7551489346035004,0.661514905413879,0.7588380528669223,0.7376180475832561,0.7468078843046523
classical_chinese,0.48415276145841507,0.5013667721322201,0.46350697807681135,0.560165344385386,0.5208806227143082,0.5167803434977838,0.46566457100736686,0.5583609496896004,1.0,0.5864990437253782,0.5039522626679926,0.5451990262898326,0.4920721131793645,0.45045171100681014,0.5902535249404979,0.5529375735032049,0.40100360502688676,0.34822841804458204,0.5153324735444782,0.5435537360351335,0.4238159377976881,0.34031460470751473,0.4535290159757149,0.4219280665873964,0.4957984775154242,0.4854509167318344,0.40723243692176536,0.2368687921421841,0.3216763608753585,0.4726012844196161,0.5643209978292026,0.5571177266773335,0.4264588041954548,0.46472090018828033,0.544022293896511,0.41600114363372903,0.8402347292782698,0.4719281643705888,0.4782749850420741,0.4152114913789575,0.5113695300399738,0.49565086894925575,0.8272122244963135,0.4169232008090422,0.5178155830120983,0.5406444747054384,0.5407521149384444,0.4634922561547403,0.5508949364220198,0.5034529926484055,0.5903878973060003,0.5625077133737356,0.4662883162301842,0.477236766414699,0.5802927329266901,0.490357928666847,0.5081528263231271,0.6160487701792312
croatian,0.8851935611396418,0.8390743032092737,0.8847275096461964,0.9038462609578118,0.954076767115381,0.950021656127042,0.7763737933791421,0.7155142369213452,0.5864990437253782,1.0,0.9685751984230575,0.923246645038047,0.8505447465617426,0.8638730570328542,0.880655031045756,0.8565795610283813,0.7498221611412205,0.711323063665041,0.885128720835521,0.32113946289188156,0.7488792855210404,0.7005632195087914,0.8463070000643717,0.5625846374661988,0.8561889067678206,0.7900682653883091,0.7933419223958149,0.5871123668229344,0.7736109269875463,0.645348984238416,0.9578283720673098,0.9331851349942848,0.8309689750803035,0.7755544780992477,0.7953205024277064,0.675974325516285,0.6640217745339686,0.870026412058316,0.9485649445162289,0.7354188612702693,0.9267144305035397,0.9610023625758397,0.514717781713391,0.7843887437608227,0.9840298718471121,0.9703326643783061,0.9524354096075395,0.8193693378257768,0.9509263201547945,0.7717820452406933,0.7261239229408306,0.8670106510655927,0.9300822827623738,0.8253760331430025,0.7809862048726085,0.6792638204229273,0.8559505816354136,0.8154264459850664
