,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6809517579200514,0.6128670946829159,0.7275987623288287,0.7386413510958347,0.7780378241700258,0.9558280459680459,0.4983778814764068,0.4949024480226068,0.7203609807235526,0.7875304808991389,0.8444322295438398,0.9692575336038385,0.9369956126995843,0.6867357063553247,0.6371552429355936,0.9454667666017512,0.9150871213954989,0.9698136093876487,0.3725089607301109,0.9661275136347103,0.5893812896582962,0.7353354199398786,0.6557471992766106,0.770294532638727,0.5927409552504725,0.9392560195160706,0.5588296373250445,0.550733496544808,0.5198799318490043,0.6785878138566547,0.6972928494622529,0.6933244566108885,0,0.7303091479195843,0,0,0.7299108199967663,0.7331123530136746,0.9271235234599088,0.8978286894540718,0.7708005306654502,0.422351806405802,0.7308115517092839,0.7700767651514725,0.7398748113351653,0.7783582165736169,0.9636704585428756,0.8383003354600542,0.6273148638932379,0.6363113488081256,0.6690758489528745,0.772741886628169,0.7448980070923218,0.4206953928989235,0.7061271159581263,0.9094299404058069,0.35552642674827944
arabic,0.6809517579200514,1.0,0.5932213084476116,0.7514376989013768,0.8703370354359791,0.8524295621581893,0.7237136434932133,0.64402013055503,0.4827777237069077,0.7534357733039051,0.8446543534423168,0.7304773894865245,0.7280129930197288,0.7693333471945495,0.7578121712736192,0.5500874866700752,0.7256140613654248,0.7284701356795604,0.7125300133861038,0.5397770782151181,0.7027824173686601,0.7482230718859153,0.8081869442323041,0.31289240286050224,0.721779384165464,0.5459995550550003,0.7617298066945931,0.6375325679271786,0.5672145168821408,0.5934981162273132,0.7964441151046024,0.8734769426538345,0.8321357536574249,0,0.589214233762441,0,0,0.7521881431665945,0.8057677241216092,0.7912783279445946,0.82434330949863,0.8800413794481363,0.32095671548056015,0.7197766088908031,0.8755663541664754,0.8707941986799458,0.829132448901037,0.7246065326844519,0.7471573943114546,0.8837185702137251,0.5799221833099792,0.7161972787013383,0.8761152224031135,0.821646405002315,0.4950857935732836,0.5970288669029512,0.7874667046664672,0.3213413000840997
armenian,0.6128670946829159,0.5932213084476116,1.0,0.8331891562188527,0.8244888322881062,0.7401615750790255,0.640558495760859,0.5502793006288135,0.45888147791873707,0.8612662772737895,0.8405425129293242,0.7763374831831859,0.6779559401303383,0.7511646463734014,0.8251431892986435,0.913784366961059,0.5324703396185542,0.5104935200105635,0.6976949477458247,0.30635291454813773,0.6144556840728156,0.5996746987498184,0.7717462854023686,0.4577561757710657,0.7233710857151118,0.49267187179130156,0.592138092361241,0.45016230406035973,0.8912722078894474,0.6869521706992228,0.8186303271499252,0.7490768528504178,0.7810786688634158,0,0.8175293535245314,0,0,0.8064743963182893,0.8288143380249394,0.5448251403292805,0.7461929656852747,0.8122825897785702,0.4235392768462618,0.6867092229844247,0.8295598654275249,0.8008175452361039,0.8369217024012111,0.6485543603299305,0.8378452935465388,0.7164644441489386,0.7118645676837668,0.9255654817523173,0.8222531402583647,0.7154676657783169,0.6960685168014421,0.6254773348844317,0.6796948289477875,0.5979784979674077
basque,0.7275987623288287,0.7514376989013768,0.8331891562188527,1.0,0.8768522739989048,0.7684599348839237,0.7590303075927191,0.7571061023668716,0.6226222962358953,0.8612425381437555,0.8953508350175173,0.8708547564008817,0.8021776481570717,0.811665428810202,0.9562147926700184,0.8322535684254617,0.6597812578467687,0.6396831099520809,0.8177991658256701,0.5257199783797663,0.7499318266905923,0.5902992931246774,0.8794058181098212,0.5408322130244317,0.7886022366329892,0.687971415942438,0.6614854602902077,0.5651229372780073,0.694878993425821,0.7908532534367095,0.9225791349024931,0.9260842274980361,0.899206483081576,0,0.8314957814929066,0,0,0.7253592722386386,0.8583826745302847,0.7153933284454812,0.8308638953080355,0.8940866789740483,0.5378489735175274,0.7228872629461297,0.8970655279475641,0.9104936290317145,0.8961230485622005,0.761468069153914,0.8782612947052282,0.8933838828008582,0.829067313285505,0.7987404516077905,0.9047518164128995,0.8476782115390641,0.7234613867621802,0.7243944380165995,0.8229100851882599,0.5799966015923688
belarusian,0.7386413510958347,0.8703370354359791,0.8244888322881062,0.8768522739989048,1.0,0.9291205394187321,0.7586411629897657,0.6578075460147055,0.5427638533833449,0.9431445018394354,0.9781464215878826,0.8493971302748603,0.7916492573480307,0.8578234066715941,0.8883519383502576,0.7555022279270179,0.7094642034717838,0.6527037699705491,0.806554591612835,0.4424527701139845,0.7389131516436207,0.6721871989019066,0.8890282529710685,0.43803690416340374,0.8226164563494359,0.5841111672165316,0.7412252755914452,0.5735470464399556,0.7430632744708845,0.7114327604217311,0.9354685335040082,0.9340699565236961,0.9256547310968691,0,0.7672572297564596,0,0,0.8072341979321154,0.9464506432684164,0.7440581692582643,0.8963188443275861,0.979057312509154,0.4555601383117175,0.8097456392455659,0.9851230685999355,0.9715577113009015,0.9531864389564849,0.7671709724824439,0.8958886704568079,0.8835309538755255,0.7080609794346198,0.8469822596167466,0.9902717763400274,0.843175778113449,0.724695757601631,0.6908468752875077,0.8270052767339806,0.5306818160317148
bulgarian,0.7780378241700258,0.8524295621581893,0.7401615750790255,0.7684599348839237,0.9291205394187321,1.0,0.7841071820204341,0.5621618196687401,0.5219252943320638,0.9006784872700675,0.9220233010181516,0.8419259446144869,0.8083854862208686,0.8778193014664668,0.7802990541420595,0.6851584134848783,0.7581798774347014,0.683724135008708,0.8074038155911175,0.3990511779747898,0.7379403471361011,0.6758355205513255,0.8422104856579612,0.375730527613565,0.8395695193674503,0.5074001324714359,0.7946671616897946,0.6773313926582185,0.6754956070448108,0.6214377856718799,0.8157905031671392,0.8378509729543946,0.8263493136294426,0,0.7182950556861076,0,0,0.8516553192564716,0.9116305118609273,0.7633996767844247,0.9097985223802326,0.92515431724667,0.43712095429646214,0.8489241811148076,0.9444058302214131,0.890118028650939,0.9336313610977335,0.7953877016740059,0.8785242444364668,0.7711872567285795,0.6253347511445986,0.7688965642660486,0.9250515595024255,0.8633802824664913,0.5547223356462802,0.7010506280203601,0.8358428105528234,0.4355551071628821
catalan,0.9558280459680459,0.7237136434932133,0.640558495760859,0.7590303075927191,0.7586411629897657,0.7841071820204341,1.0,0.5822749122235062,0.499720022110166,0.744653010338356,0.8004845977339666,0.8612049575154261,0.9631218887731918,0.9508855394208406,0.6967695628085664,0.624890174138632,0.9555379730477148,0.9139274430473919,0.960259170106343,0.34061716887834453,0.947226270585508,0.6163101731325566,0.7790106452473196,0.6395188846499283,0.8052074435977468,0.5809308027589014,0.9257342230885036,0.634120226089626,0.5210155036756716,0.5938749149631212,0.6981240663952575,0.7348440028166108,0.7120343739696043,0,0.7150868376139806,0,0,0.7395193297545407,0.7683055554939469,0.9410874560116386,0.9195521553649808,0.7880893149325456,0.337861520753261,0.7216705560992156,0.7935899586397474,0.7781316815327822,0.8152974619265885,0.9964548335735005,0.8535567587293845,0.6736424820787045,0.635665048101571,0.6844289335556136,0.7978330369534243,0.7882086422938721,0.45983170845542926,0.7425062848207846,0.9360743452800105,0.42025171278531104
chinese,0.4983778814764068,0.64402013055503,0.5502793006288135,0.7571061023668716,0.6578075460147055,0.5621618196687401,0.5822749122235062,1.0,0.5018141235085385,0.6093687132663966,0.6696226034344247,0.6520804482963991,0.5978977905692271,0.6645202917406934,0.6943183700089794,0.5400848701270826,0.5101525516488117,0.48806842339560275,0.5794234619986544,0.4050001778451813,0.5368484918371822,0.44148929490780886,0.7315992905548664,0.356169040248098,0.7771261954950937,0.5555797538960385,0.46343755944198284,0.641023231898314,0.4169618140295443,0.8430248380738921,0.7038518129223599,0.7572798589455123,0.7178254998608644,0,0.5497852576618159,0,0,0.5318772920230621,0.6322149012671956,0.5914540568672116,0.6172593515592342,0.680446503803153,0.30697912301198976,0.46962500015892317,0.6667507322010846,0.7122915482682084,0.6687781206461932,0.5745446590049278,0.6597754702967502,0.7528442053351779,0.6613320225526838,0.6097923975893358,0.6961758022892613,0.7161498905131818,0.543887688342848,0.7552451750803577,0.6122458320047601,0.46953288941263244
classical_chinese,0.4949024480226068,0.4827777237069077,0.45888147791873707,0.6226222962358953,0.5427638533833449,0.5219252943320638,0.499720022110166,0.5018141235085385,1.0,0.4992714420830702,0.5267057321071668,0.6032477690144643,0.5072896834588578,0.46981453802353584,0.5988847290786959,0.5377005343148674,0.41449969945039317,0.38186876870774694,0.5141684120130536,0.45113770283803273,0.47927152547718443,0.32791998204828277,0.437503180911088,0.3145786059746062,0.5144948082943269,0.4859107874255051,0.40003687502379165,0.2872494184794275,0.3020103315050305,0.5890919158031747,0.6252198815181661,0.6473941764797319,0.5923001507688241,0,0.6685001637230379,0,0,0.511737786718897,0.5185848188029608,0.4992081171705041,0.5110852993496932,0.5244074971693137,0.8419273561240396,0.38645540811375023,0.5367408038965121,0.5428307560962453,0.5895261720848307,0.48959936795044473,0.5828573782516018,0.6037753766186101,0.6173131017889983,0.4757654639316171,0.5419758859294993,0.49890565624987915,0.3715984756559901,0.5653802289500346,0.5392755111959512,0.431896071220312
croatian,0.7203609807235526,0.7534357733039051,0.8612662772737895,0.8612425381437555,0.9431445018394354,0.9006784872700675,0.744653010338356,0.6093687132663966,0.4992714420830702,1.0,0.9490144861850199,0.8430413543841788,0.7862949335841012,0.8451819659756541,0.8628630469699448,0.8110186327244211,0.6927682027086679,0.6285049684299032,0.8107807065686435,0.38404320499191436,0.711786392812541,0.6656400083890113,0.8884494816112061,0.48099330326529444,0.8402968273714595,0.6222771001244429,0.7050115090235481,0.6055773538293286,0.7689521974446875,0.6996966534928055,0.8815926533900138,0.8585681827891067,0.883812495551074,0,0.7812770319782382,0,0,0.7960219560066921,0.9431014999490075,0.6815724145769465,0.8888059209642006,0.9339375161804016,0.472757235477141,0.8544163076393239,0.9482952484101621,0.931098388092018,0.9444383423413432,0.7581409370562077,0.899944773821901,0.7893190511150475,0.7653717995399657,0.8302816140578221,0.9477280360376049,0.8106677967178609,0.7424764338702933,0.6935984423660417,0.7788513996057199,0.6838336370231864
