,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7495521544481694,0.4118781602006493,0.6978893096869192,0.8500476749237669,0.9123305379856772,0.9273785003410508,0.5665619283157659,0,0.9063656370178802,0.8863936191307903,0.8980262113917442,0.9451164220999546,0.889487743942294,0.6780450594122682,0.5924074751002011,0.9015679955981558,0.890319795780039,0.9330198878174936,0.4282185473240745,0.8637253948320424,0.5616633113369807,0.743054087764948,0.5000002520409209,0.7413179990509167,0.7730108938655645,0.9177559746198183,0.6111868186820979,0.5476649419288767,0.4105443680992562,0.4418805839768866,0.773767594898684,0.6503045392665895,0,0.58981115606042,0.4703892741618959,0.6476322036983414,0.7049432299501143,0.8329828817959757,0.891250923959173,0.8869726982686966,0.8540817603269557,0.20589284368787727,0.7600736646210468,0.8764037411688664,0.8725436651121851,0.8561349880302882,0.940719316862915,0.8728075092814495,0.5490874839365181,0.6427551301575305,0.5334543876933435,0.8249652780454486,0.7755234983749343,0.35382629402986143,0.6463982317245803,0.8747719692982223,0
arabic,0.7495521544481694,1.0,0.34520559704637027,0.7484663684156776,0.8837058477819472,0.8688199663803545,0.6644922733010018,0.6724340896753622,0,0.7813963991258019,0.8485909334462839,0.7476273238893947,0.7256845736825666,0.6868564210423026,0.7143155396820898,0.504924450393185,0.7453067493944179,0.8391988836023242,0.7148179271508057,0.6624002517563928,0.6795168343587702,0.7215824994856453,0.7555679130628012,0.29906564128242147,0.6299578939065588,0.7670208846492487,0.7790686333595643,0.5484305168742997,0.43970111419292884,0.3746314252602058,0.4268807380176432,0.8576239214637694,0.802041876943292,0,0.44884787575424273,0.3652510824144203,0.6233779521986512,0.6215107908288526,0.7911290519916713,0.843883460479935,0.7731417403982933,0.863832325442529,0.16792041090837423,0.6027157189370905,0.8171628723621461,0.8696002309285061,0.7862499234148347,0.7269559780967515,0.7421050411888778,0.803961097104272,0.5908484958018818,0.5159719273878013,0.8591060868390438,0.7147966877998893,0.442728744888757,0.5600446192945066,0.8351789529600767,0
armenian,0.4118781602006493,0.34520559704637027,1.0,0.6518374025858811,0.5337454814452185,0.4098181886272341,0.5302794670681524,0.4449357435378095,0,0.538038705488845,0.6141344111527048,0.660907135263154,0.521182472978074,0.591708276726782,0.7343991911076848,0.6816920549742544,0.37134684899687537,0.27222834665442003,0.5108621198820937,0.10237666363430117,0.555196317550052,0.35560651188267134,0.30451345324074847,0.49496571918721505,0.688658167846214,0.6464613150298322,0.4202481368634218,0.28949214386439537,0.7809837788166036,0.5031673691975738,0.7102866385605096,0.5206018981205063,0.6685966036390155,0,0.5984101858709131,0.790818209224408,0.20640288664498382,0.6769516975340337,0.6366590398182715,0.3913798698692592,0.5950376367139304,0.5767625753515081,0.1414603313947912,0.431045923926218,0.575122942683311,0.5714048651391587,0.5636791971966196,0.43294541496316874,0.48174386319668216,0.4953437909544357,0.43408804222386627,0.7195274010667503,0.6013043305872725,0.36055295409227667,0.4382764456400675,0.47525410252279265,0.49385109088029533,0
basque,0.6978893096869192,0.7484663684156776,0.6518374025858811,1.0,0.8484793040286189,0.7334924128999347,0.7062237898842457,0.7666615397197363,0,0.8264598027498378,0.8353669006152584,0.788660876499948,0.7223413054698588,0.7198953889331808,0.8885114797319436,0.7153320882251867,0.6049940112304387,0.6488917329183579,0.7347461572519413,0.6568097003427217,0.7455350078146264,0.459227371775251,0.6450437133326963,0.4822607430414622,0.7063583469508045,0.800178378630904,0.6570161596539107,0.5236619493004172,0.6067724221842743,0.6018954180466484,0.5961456718253193,0.8829247989711498,0.8960803451941411,0,0.6613614636261096,0.6507326833931273,0.5666160624524277,0.6037131729718064,0.7972167487375776,0.6873617167091051,0.812425856796863,0.8310283699224977,0.26257448706911596,0.585798821542702,0.8702978290117207,0.838717497900752,0.8812261965869482,0.6688034839952822,0.7353841251895499,0.846241679828719,0.5796290266551068,0.650732817132405,0.8748849511415174,0.6524888041387554,0.5742554969618614,0.6199890078143905,0.8073686308704131,0
belarusian,0.8500476749237669,0.8837058477819472,0.5337454814452185,0.8484793040286189,1.0,0.934884470046672,0.7614158119760983,0.7085368140952462,0,0.9109705615893257,0.9654904292699762,0.8695599664681138,0.8289369118418223,0.8057656333243026,0.8387163449712994,0.6583362775048157,0.7604848900913596,0.798878167182551,0.8330235374471489,0.6247668933858121,0.7709896352066139,0.5684442740996399,0.7781975949811032,0.4263197121648688,0.731444601540385,0.854416522660637,0.7781190784580354,0.5546930431516618,0.6572531805950946,0.4943996596046285,0.569161798629915,0.9465210570628196,0.8632170788953104,0,0.6436421124226817,0.5412784724748149,0.6889909997910753,0.6974925008552427,0.9075962964760486,0.8241975805606896,0.8392741299704971,0.9551032914323555,0.2649974193903131,0.6787394429209316,0.9070683312159363,0.9740120086744366,0.8981602275454627,0.793076641093957,0.8327082322396534,0.8204960033776671,0.6594066225710576,0.5894860220937777,0.9823300528865075,0.7734322659100004,0.5417282954720227,0.6441637206080734,0.915534714256911,0
bulgarian,0.9123305379856772,0.8688199663803545,0.4098181886272341,0.7334924128999347,0.934884470046672,1.0,0.8307121262942921,0.6305702169145038,0,0.917650641017858,0.9345688466957993,0.8997573227618402,0.8772438629850977,0.8428298578177521,0.7258844575973693,0.5770922683171772,0.8245049840256347,0.8455514532179494,0.8514896573061237,0.520748337764517,0.7331984224211815,0.5959334578936812,0.8252330168241752,0.3810544779248854,0.772575820115569,0.8440740937264479,0.8315109383856145,0.6642509036440317,0.5462311463723046,0.42074090610443443,0.46127817343032895,0.8539910726260911,0.7361161159196778,0,0.5558181402148133,0.4578425533564449,0.6923215177731474,0.746897286236668,0.9099974433912253,0.8691802152041666,0.8832161924981321,0.9313596841511904,0.22905076962713067,0.7389309137927776,0.9123897782583238,0.9351907294560267,0.8794746542445946,0.8817580896413642,0.8746296803879937,0.6657775212344533,0.694893801452239,0.5561208529716765,0.9054195057948652,0.8352413078730528,0.4184744005513519,0.6532940052929254,0.8922317908468411,0
catalan,0.9273785003410508,0.6644922733010018,0.5302794670681524,0.7062237898842457,0.7614158119760983,0.8307121262942921,1.0,0.5984393474595272,0,0.8440080505113747,0.8267745167817029,0.9112532000575383,0.9712294714937276,0.9217092969508256,0.6884109822237373,0.5844569719930542,0.9208895978686437,0.8576621462002125,0.9420271899822374,0.3424340476353799,0.9080072419808379,0.5365394808591176,0.7041760144282819,0.593006045058663,0.8066379105222891,0.8014189832845213,0.9284768693799049,0.6420635837185614,0.5119057497149511,0.48469935756721844,0.4860345639214413,0.693216508205234,0.6413596507918176,0,0.585066391325475,0.5496337480137345,0.5377338929028762,0.7064311833104453,0.8250288899290047,0.9004050564814892,0.9194192912096484,0.793046874934517,0.21218672728012533,0.7802824336841983,0.8440522823112208,0.799637384357292,0.800823080666101,0.9775245394314437,0.8476661702832907,0.5088790480309998,0.624645141618032,0.6145491239473341,0.7636637882020465,0.7449784988563084,0.3901952886249276,0.687548741951519,0.838529574481064,0
chinese,0.5665619283157659,0.6724340896753622,0.4449357435378095,0.7666615397197363,0.7085368140952462,0.6305702169145038,0.5984393474595272,1.0,0,0.6725789370503601,0.7017741602667821,0.643592799439011,0.629864154032675,0.7323365629055946,0.6888767822505406,0.5750425982569679,0.5636969721996505,0.5943060161290209,0.6224517758315565,0.546150976343233,0.5935660648443389,0.4017004797454048,0.7570884897988577,0.4044680709454635,0.6846692840314121,0.660762580968274,0.5629526930692151,0.6394075800606263,0.41180144114331396,0.7748827183162464,0.4453388527217545,0.7333181484644133,0.7459921241581216,0,0.5666070768169306,0.4734374629231698,0.5070955596675208,0.47145299799426343,0.6314136587538718,0.6387127801727889,0.6769229393318837,0.7011293308327521,0.2174607997199426,0.4704733195861352,0.6825656184530623,0.7248577807142725,0.7169248896075197,0.6130137246868684,0.6829034763963565,0.7486339560125645,0.5730519902386759,0.5208896990244527,0.7399409794633777,0.7075171574483201,0.4691258875840987,0.81689967176801,0.6956096663717692,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
croatian,0.9063656370178802,0.7813963991258019,0.538038705488845,0.8264598027498378,0.9109705615893257,0.917650641017858,0.8440080505113747,0.6725789370503601,0,1.0,0.9409706714874088,0.9250100058179629,0.8791987026613763,0.8727302824486136,0.8167167364241213,0.7319182174708411,0.758087606274306,0.7493348209393476,0.8741007149928822,0.4991259416142164,0.766331762148082,0.5874867833786481,0.7571698217335711,0.4633505229098149,0.8137064663018132,0.8164422559452131,0.8015525291203814,0.6512565737965993,0.6573411345364816,0.5441237498437004,0.5263911436553492,0.8610087474554187,0.7474086776755738,0,0.713496803019994,0.6300791114177926,0.7089409105026797,0.7460861348609982,0.8971445794414098,0.776563989859083,0.891015916932177,0.9138188445648298,0.2770947183519727,0.7501640828524746,0.9647631394961804,0.9253033390165227,0.961127879151595,0.845757020949691,0.9026800733137597,0.6343340747232703,0.7149600408322646,0.6247098911988345,0.8999674115602411,0.8118323335466943,0.4657732452852044,0.7029436016313368,0.8893503200928105,0
