,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7646965017621109,0.7131573201265676,0.7599293985470333,0.8765592252504354,0.906399348973375,0.9598362461226263,0.6280993456794569,0.5017477359779753,0.8704533649211469,0.9026216525065083,0.9233336531762778,0.9468982361590076,0.9269525840266022,0.7286955721572971,0.6865821750318863,0.9201705781240028,0.8763755497677934,0.9511613742226921,0,0.8913385059850933,0.643489238110415,0.8537466822150641,0.61647739218845,0.8102059981877691,0.8460508467907527,0.9325473946184163,0.5807977273394145,0.6326046777870729,0.4463761547825261,0.8249516362259262,0.8303953430798334,0.768292524767088,0.7207010288028963,0.6688342674456338,0.4459669178016696,0,0.8359331171086589,0.858803738638673,0.8958975360402973,0.9403087361361665,0.8486876086325325,0.33994286536768853,0.8403646200736217,0.8945176331134411,0.8379051248119199,0.8669598846522996,0.9535662757485381,0.9018751536349588,0.6422400221544511,0.6098086829572543,0.7497660277642421,0.8440289601959008,0.6313956981172651,0.6385339621800968,0.6408986486202186,0.9061819015818794,0.5296375344502123
arabic,0.7646965017621109,1.0,0.5402279368834764,0.7425171116355882,0.7858600984090555,0.8526392712138047,0.7281185601908025,0.7305711265906597,0.5570062581507099,0.800668867374527,0.8177570150242394,0.7720646529103429,0.6855716059659034,0.7225821438604246,0.7121392796520607,0.5608863522125638,0.7297742791842832,0.7394091168295622,0.7072219721218114,0,0.6531867073855875,0.7288894873510563,0.8433385294148422,0.36530516310496,0.6894529341330085,0.6436789905665727,0.7709702408668189,0.5418320635346555,0.4339773177485736,0.3905009709227111,0.7545909405656219,0.896242432441932,0.7905421320424841,0.5344764222134586,0.5096749033888854,0.335299137577878,0,0.7370246302494613,0.7315947593830884,0.816933519702019,0.8002747723942731,0.8022251453536507,0.4103219511976871,0.6169656403743039,0.8464262421736842,0.8004373330212721,0.7988719457420218,0.7123347634973615,0.7613698088555371,0.8087246418566161,0.5458647876264981,0.7064278511182579,0.7860620738281734,0.6098316628314483,0.5535418388788582,0.5427188175847266,0.8266300783664184,0.40962629392070854
armenian,0.7131573201265676,0.5402279368834764,1.0,0.8562135101720006,0.7912180772860248,0.6896922721506744,0.6369947194455211,0.640367548792691,0.49272357292262753,0.8115733471194947,0.8501394664890138,0.7774970890240801,0.7602483165148485,0.7440349502348241,0.7798241286111934,0.9266298734766548,0.5397974669317295,0.44498427785946926,0.6861638816905903,0,0.5764981579291071,0.5825025392872542,0.6096266491916876,0.6523134765351422,0.7019393945606093,0.7068641060326661,0.5747151362633174,0.38630174355573293,0.9217856885014646,0.5826127073507646,0.8706015642732229,0.7585137011892105,0.8306539931243901,0.6436292339789056,0.7602549164922959,0.717010662244618,0,0.8223688985919493,0.86690507810728,0.4976859599635522,0.7970902130194841,0.8348112544041871,0.36246942137321697,0.760142627105833,0.8155208879672485,0.8368289299977869,0.8200343662417416,0.6170171717931646,0.8530489246175782,0.6446893347890263,0.7457789191715133,0.8014987992867759,0.8299249606006328,0.5905824702802105,0.7819519218867018,0.5948421660765334,0.6952908461864099,0.7646579229514135
basque,0.7599293985470333,0.7425171116355882,0.8562135101720006,1.0,0.8174925220432304,0.7500134619866144,0.7416505781330139,0.8395580944610491,0.5816326794431811,0.8663754738028577,0.8742736412268315,0.8314450464406207,0.7952269392474267,0.7708186772779054,0.8727716861997067,0.8454627872771999,0.6553652898989114,0.5918322783750364,0.7630435549834965,0,0.6971279645452605,0.5798297690139869,0.7145113016718508,0.651516050277636,0.7555010707805966,0.7707558003579462,0.6677132629976503,0.4851186795511356,0.7735555746441667,0.6108058191361075,0.8671873227245617,0.9085303919939159,0.9314279016891528,0.6441050571164818,0.6896318089285438,0.6138469769804636,0,0.7588235598267898,0.8523139981467163,0.6663644530781712,0.8560854847240413,0.8794623037534532,0.4413561407146954,0.794042411997604,0.8898337125128318,0.9136342050103259,0.8477045334271306,0.7258094023753732,0.8580977507225451,0.8677487921272213,0.791901337215335,0.7434086530099486,0.8772694150983448,0.6397352395918154,0.7547813318027232,0.6312627941488769,0.8568697432345678,0.6984693741736324
belarusian,0.8765592252504354,0.7858600984090555,0.7912180772860248,0.8174925220432304,1.0,0.9209884979767683,0.8259690703368018,0.7135243906410363,0.573165445929083,0.9433810836072603,0.9495545274737276,0.933570418753763,0.826630969644575,0.8500187781078113,0.8116150478451444,0.777703247004736,0.7550441541776837,0.6933780179178705,0.8521981605832681,0,0.715116274300133,0.6834179912118231,0.846795722709328,0.5393736638658582,0.8237342699607271,0.8061276266706648,0.7717785303510858,0.5797283487356704,0.7003693590223752,0.497820818446615,0.8529554480040562,0.8805901573200651,0.8235768188591756,0.6482562902139635,0.8110048884143318,0.5964562590555659,0,0.8259331601774311,0.9128357199491763,0.7282817595444928,0.9051521035483207,0.8984775316685892,0.4534886223599892,0.8239582862630332,0.9488851775636048,0.8983689598433992,0.9063322055269404,0.803920635822876,0.9161341447008847,0.7392424186085054,0.7902919389511947,0.7759624568622828,0.9253664908069323,0.6945200454105298,0.7543283063293145,0.6543523995230188,0.8151271610933466,0.488604252577059
bulgarian,0.906399348973375,0.8526392712138047,0.6896922721506744,0.7500134619866144,0.9209884979767683,1.0,0.862769831367486,0.6772371146270394,0.5651285521470172,0.9204720936391959,0.9384109743170648,0.9092131316036001,0.8198786878690124,0.8656520581358028,0.7568533029017711,0.6649978974006455,0.7965751101614376,0.7289992865628984,0.834019472895613,0,0.6956616335243859,0.6664647740558296,0.9154582024373042,0.45447228729518624,0.8196331176101906,0.7820410299009599,0.8034798503696258,0.6213738767156629,0.6061433985340634,0.44418951507327564,0.8463823823700236,0.884666152449029,0.7947251239090422,0.5983234023828806,0.6376723057360305,0.4521179540032502,0,0.862515969459327,0.8900868652231493,0.8104477402268375,0.9259957556878137,0.883749629931367,0.4221051003772261,0.7582091587889586,0.9335749641418735,0.8759506730918716,0.930365363805884,0.8313725335655461,0.9060505858326687,0.7092826343710819,0.5969934687442506,0.7287183630169544,0.8889704216799789,0.6894835424106075,0.6567242148847086,0.635256878556323,0.8516898449138881,0.4935999396397968
catalan,0.9598362461226263,0.7281185601908025,0.6369947194455211,0.7416505781330139,0.8259690703368018,0.862769831367486,1.0,0.6548867477900314,0.5322270944332402,0.8406964114331786,0.843971810010763,0.928169854802322,0.9476735846629483,0.9214905609085401,0.6961962938431022,0.6488835932049336,0.9502509113893911,0.8893997361212004,0.9585282617469048,0,0.9030971423570827,0.6208766748264068,0.8268530263276089,0.625208676631457,0.8483139342003707,0.8582015612494763,0.93560899307323,0.6451522067764301,0.5462927422923042,0.46839757122150694,0.7609066937757386,0.7641275245449071,0.7154729342499329,0.7073855902098332,0.609350235114033,0.44618619351816696,0,0.8062977890417574,0.801301195160405,0.9186592058773025,0.9189364581810284,0.7845071099632995,0.36405887001073306,0.8459752743548917,0.852050395011759,0.7765491198579964,0.8167203584744814,0.9928748276688648,0.877802635146821,0.6162487908528217,0.6235408582149208,0.7123068205688506,0.7836547486532601,0.6140479369029661,0.6127088927783696,0.6810333802245697,0.9009518541271282,0.4734395580090005
chinese,0.6280993456794569,0.7305711265906597,0.640367548792691,0.8395580944610491,0.7135243906410363,0.6772371146270394,0.6548867477900314,1.0,0.5783222476399155,0.7396982776045814,0.7561065120061019,0.73624208841945,0.6608605250411737,0.7451909467104685,0.7994334495409039,0.6898799581645227,0.6132607884640878,0.5538107144651148,0.6543090110254235,0,0.6049547270566632,0.5100210575006129,0.7497460993249115,0.5304872035760113,0.7651309775916055,0.6834159086235412,0.5935180032227104,0.6305050580766483,0.5731353793831186,0.7313949255340979,0.7433327878996066,0.8302988578032651,0.8284961680532129,0.5587461497441213,0.5486373822523819,0.5243524887010627,0,0.6639571673951281,0.7070843055181619,0.6408354163357778,0.7465656174643684,0.7876791584663153,0.45576026763884164,0.6212503991210165,0.7644722286274878,0.8192501404732938,0.7483602971258377,0.6503191704383139,0.7430008144281426,0.8301150013895812,0.7785072202721738,0.6573434657073588,0.7938724494792793,0.7222100274181982,0.7991641317213968,0.7811429580921635,0.7379985048996953,0.5183575338072004
classical_chinese,0.5017477359779753,0.5570062581507099,0.49272357292262753,0.5816326794431811,0.573165445929083,0.5651285521470172,0.5322270944332402,0.5783222476399155,1.0,0.6340432355182032,0.5895394818992882,0.6062073459201779,0.5371209134861157,0.4900182194858673,0.6019947339457453,0.5561586353390499,0.42644106474434973,0.3679726213102099,0.5231416579961554,0,0.45504669850591645,0.36113651276373376,0.48313783620878675,0.42988471185825694,0.5523534466700558,0.5544311343656831,0.4439153278034918,0.28487809105315604,0.24705122180551248,0.43278204739048504,0.6342423221394997,0.5990713396262206,0.5426061039463872,0.4363092783094816,0.6430042047148041,0.5206113106800013,0,0.5235013797162388,0.5554902050964832,0.4540627024597396,0.5687756269017454,0.5084293223772589,0.7915317401406038,0.4168124505977718,0.6317687063605202,0.525423594072081,0.6360524221966504,0.4817423429732515,0.600959113163467,0.6057720271568895,0.5820077624916229,0.551305272876419,0.4886246865483288,0.5767763801713076,0.5948328528226324,0.48908538354382025,0.5488853867477571,0.35191936397286505
croatian,0.8704533649211469,0.800668867374527,0.8115733471194947,0.8663754738028577,0.9433810836072603,0.9204720936391959,0.8406964114331786,0.7396982776045814,0.6340432355182032,1.0,0.9506975382627921,0.9366036680551497,0.823829226577001,0.857145789802287,0.825010095433094,0.7977207932871051,0.7360139559327215,0.659044324966294,0.8419410527379396,0,0.7162517691472268,0.6674696788449958,0.8324765376218252,0.5234709942400348,0.8337475592556268,0.7593002403830404,0.7639765579266903,0.6041577348678532,0.6683079966569901,0.5226776771885803,0.8938769706798994,0.8884740483044378,0.8262194229522662,0.646940138235575,0.7996713890991682,0.5500828510678354,0,0.8428001938718102,0.8950301754519941,0.7238394990328403,0.9184368953654948,0.8959229768547639,0.46388540356663804,0.7737032916050715,0.9751934308626329,0.8872399337895509,0.9380501721229203,0.8035482133752264,0.9268158028587447,0.7357428467278572,0.7437538543877585,0.789267633893084,0.8907263266707798,0.693456475995687,0.7672038740183981,0.673875081256184,0.8222820106730332,0.5100143727487113
