,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7434419078651261,0.6948706807414201,0.7819745121500807,0.8131935606075215,0.898268487264005,0.9424121407833536,0.6100063198617415,0.524939351155285,0.8617275555857284,0.8804861559039587,0.956186340666201,0.9670121031139933,0.9255797428420048,0.7560084096158767,0.7217846168340327,0.9043179879702044,0.8836667980766689,0.9709182551242733,0,0.913054625328563,0.6963180185105595,0.857776119142149,0.5879998992603781,0.8123611663740967,0.9230658440331099,0.9211442988696112,0.6444237280548073,0.6508286956803095,0.5956622045704965,0.33109801656328797,0.8204341977841214,0.683094789648746,0,0.7333902318622456,0.6429989880760097,0.6705092879718437,0.8012709884786056,0.8701631235551406,0.8736492436092287,0.9122778871434228,0.8687303841199097,0.37893684719332027,0.7893576393250886,0.8656957485721951,0.8815577401330136,0.8771961967337493,0.9498632709250024,0.9375506891427118,0.7185852252040437,0.6674059727709072,0.7909565160463057,0.8526752462714733,0.8372231640313446,0.6512166317870356,0.7603260043295281,0.9148068174778596,0
arabic,0.7434419078651261,1.0,0.5052369663239911,0.6836131744354796,0.7973800549867414,0.8491140187202365,0.7432184568512995,0.6742731670319222,0.471600323398428,0.7959782807223131,0.8478418146347966,0.7855876930212116,0.7443524156961773,0.7452845920158443,0.7039467691002718,0.5390228945668544,0.7566517248728538,0.787999244000997,0.749592884254935,0,0.7914707825274377,0.7370522638332904,0.8093771485356724,0.32472809183338197,0.6448303112062764,0.7680602823102239,0.7816036421315955,0.6383586332788141,0.49322479610257003,0.4828353080918741,0.2941690148608031,0.8420130574907136,0.7383451987380476,0,0.47653860186867925,0.46482223950793383,0.5090014080781691,0.7414556241839353,0.7776307040599616,0.8384730278917669,0.8383738999785386,0.860632599786439,0.2578416752315421,0.6473047569238755,0.8041324267255083,0.8636334127456419,0.8369864561839108,0.7714510041683065,0.7808030265402534,0.858146705768411,0.527666845939513,0.6849979336711689,0.8204687805075156,0.7484182178223019,0.5310724355521973,0.6007081225364348,0.7766267502100617,0
armenian,0.6948706807414201,0.5052369663239911,1.0,0.8732430526845311,0.8174486509014229,0.75958003619005,0.5983528733476048,0.5672395848215824,0.4551346258907294,0.8455569047690669,0.805945546749154,0.73663851023136,0.7361480570934066,0.7374858431149022,0.8391792204990633,0.9063859768659355,0.5351904490872097,0.5033212867022752,0.7306491125889073,0,0.6908282924503335,0.6237123450158044,0.6775582623674915,0.6010623483055771,0.7537093852325414,0.6996091918934699,0.6016454601401441,0.4468059533366249,0.9237981510703918,0.7385200649012686,0.44940953630106645,0.7660526324397273,0.8078821096343454,0,0.7172375051691606,0.7898041602011943,0.5177286858570788,0.7800115006395943,0.8222218414633296,0.5419472530462232,0.7014466425573799,0.7762313774697944,0.41130796621486787,0.6238911005496358,0.830452892773433,0.7716299291525794,0.8107361504973881,0.6861775151893919,0.786130839564973,0.6803548549224302,0.6747711951080944,0.9278450490720096,0.8269100932851051,0.697030923073938,0.7195962074494169,0.6128491624503767,0.7560282504748638,0
basque,0.7819745121500807,0.6836131744354796,0.8732430526845311,1.0,0.8925627266614456,0.8185237043119671,0.7306537183677296,0.745169671442283,0.57367302406802,0.8986980261625652,0.8791698555284794,0.8255645459763705,0.824208834854452,0.7969864550554182,0.9528541315479924,0.8983055645281417,0.6474926715676474,0.6447947934888684,0.8201271063949268,0,0.8092403196257844,0.6497159833366133,0.786973507155744,0.6392068202769422,0.7983037170220537,0.8194280619777496,0.7050853993498725,0.5423429058129839,0.771533903857169,0.8129215870377907,0.4477332101395556,0.9008114664529051,0.8910752288914907,0,0.7832830463436777,0.8090191856123395,0.6151076344955557,0.6998689675624373,0.8638275583457554,0.6826403426180705,0.7972074925358529,0.8574500154919666,0.4611036275269362,0.677915017113123,0.9010789029803682,0.8573131799261074,0.8963179098656359,0.7938594550128625,0.841419108227187,0.8658879262504255,0.787892283276653,0.8620416381974454,0.8971267327769382,0.7974200025060338,0.7552036215014337,0.700255379887533,0.875355964392215,0
belarusian,0.8131935606075215,0.7973800549867414,0.8174486509014229,0.8925627266614456,1.0,0.9219176982183694,0.7612131757731342,0.7547830052525405,0.5037312373687848,0.9496797301331098,0.9478055408117503,0.8630906444749963,0.8542481679690451,0.8456637134214909,0.8924094658511564,0.7821305781835178,0.7367846794493947,0.7127158231264191,0.8523582862073475,0,0.8457908538935363,0.7127267297096695,0.825238108181772,0.5787065029188031,0.8315225116976563,0.8463845399209239,0.7570420261928545,0.5824423284549143,0.7487685898100693,0.7485720952538488,0.3432602991670025,0.9321754975235946,0.9110444091707367,0,0.6976804369795028,0.7073350927049464,0.5434474135329815,0.7605479794963869,0.9385573699116109,0.78372887152306,0.8834808128287703,0.9394178310318911,0.3651872725807833,0.6849501399057379,0.9435908596713348,0.9338069921409792,0.9547435291644907,0.8315870125570747,0.8691664334994241,0.8647623036647204,0.7307378598169003,0.8544109874924244,0.9868229695461191,0.783213974058894,0.7658803699379615,0.7059205969621176,0.8666033225619046,0
bulgarian,0.898268487264005,0.8491140187202365,0.75958003619005,0.8185237043119671,0.9219176982183694,1.0,0.8323739293740849,0.663285047797365,0.5255738833017884,0.9621809434374832,0.971909581434762,0.918500292172515,0.8980066168179981,0.9017555483271916,0.8201724228350739,0.7381116491421156,0.8149266807205833,0.7786885226546764,0.9050323017600254,0,0.873048103640069,0.7251572758385916,0.8815098291217277,0.5060699528347465,0.8341030880157203,0.8796493907706378,0.8341874941363546,0.6661752545792883,0.6903836083228916,0.6461652617568038,0.40047768577694143,0.9059220081593337,0.82536447326822,0,0.6690434334370859,0.619498478798457,0.6627031111027224,0.8529280575940071,0.9468624482058382,0.8417069438779238,0.9371165582112633,0.9525146318789026,0.384609779433532,0.7711089580120538,0.9532627205027915,0.969104079955258,0.9605067791884295,0.8862769967835157,0.9415537773357568,0.7970378436824516,0.6196254083187157,0.8394373441835677,0.9514300412571571,0.8517415479279944,0.6812601817300128,0.7252329497137672,0.8896993899526864,0
catalan,0.9424121407833536,0.7432184568512995,0.5983528733476048,0.7306537183677296,0.7612131757731342,0.8323739293740849,1.0,0.6429248423487528,0.4926519985112762,0.786304848218403,0.7985914641803669,0.9242638053597944,0.9415963422027479,0.9093367596415813,0.6932313869875272,0.6382198705362719,0.959390047404699,0.9142649393441682,0.9379955487023129,0,0.9106725501967973,0.6607878741404369,0.8245499010250604,0.6120171861067505,0.7901690725298588,0.9345207873845605,0.950164933436059,0.6988660639281435,0.528921116646585,0.5824759507377718,0.30195664528272803,0.7475829106828448,0.6453898575606839,0,0.6418663404839791,0.5503645416578612,0.5708078071372962,0.7606630494225576,0.8142970950495442,0.923938129895037,0.9082718667400951,0.8129967238701189,0.3063800086724655,0.7904478346035598,0.7969297398821659,0.8059765969743445,0.8235851407673226,0.9847433192405272,0.8813331810163246,0.6761512860497204,0.622372358306338,0.7060452231198184,0.8022937877669224,0.7804379235740874,0.5558106541238762,0.7472069911355599,0.9116916624486492,0
chinese,0.6100063198617415,0.6742731670319222,0.5672395848215824,0.745169671442283,0.7547830052525405,0.663285047797365,0.6429248423487528,1.0,0.5114758908707139,0.6974498357905539,0.7035421429915718,0.6746835633211277,0.6618197351219125,0.7615502011100899,0.7520083100226246,0.6317326854599672,0.5864310479420853,0.5837883434127837,0.6454584816991228,0,0.654800327289522,0.5308673059260338,0.7852630824338622,0.4731806527535865,0.8255698385965378,0.6941131454118377,0.5885979274360831,0.6796707197488946,0.4873405257082785,0.819465706674861,0.328232226582333,0.757098684457441,0.7313221727097137,0,0.5541095180538249,0.5741272126265266,0.44868056848428545,0.5886729488150462,0.6894519396578783,0.6468105847091979,0.6898005820689458,0.7184104098392222,0.3300447982329792,0.5151005297942903,0.6942493209517103,0.694319437566282,0.7391948521894391,0.6738885562659668,0.6678252099245131,0.7706188250852906,0.7212405595706916,0.6576838674813382,0.7555245632750943,0.6931350930903296,0.7271577723138571,0.8198562671954691,0.7022052913020088,0
classical_chinese,0.524939351155285,0.471600323398428,0.4551346258907294,0.57367302406802,0.5037312373687848,0.5255738833017884,0.4926519985112762,0.5114758908707139,1.0,0.5393171042732395,0.5562538942049771,0.5607582672632209,0.4957303058306785,0.4450752795603064,0.5897977164205822,0.5631111117589531,0.416093789949726,0.3707794928619122,0.5260865213401806,0,0.4287888515539191,0.39270182667212955,0.4832736289330852,0.41888535360885665,0.5111938393100283,0.5021866868295741,0.40339294072027426,0.2591593604219081,0.35050326735369736,0.5053103776968504,0.6719412328952391,0.5669623048721998,0.5506093908377977,0,0.6367816069262372,0.5548468090176936,0.759699821055712,0.49493604198215574,0.5241637942424483,0.45219663450453196,0.4675326978471541,0.48284892938568086,0.8438602503028151,0.5140980537593624,0.554467510593937,0.5559576431044139,0.50908295651759,0.5252642608729123,0.5873843820424731,0.5733877602803195,0.5821938660761758,0.5554603765113995,0.4899564961765082,0.5455388292798025,0.5167038981040362,0.5381067299121018,0.5771580089162879,0
croatian,0.8617275555857284,0.7959782807223131,0.8455569047690669,0.8986980261625652,0.9496797301331098,0.9621809434374832,0.786304848218403,0.6974498357905539,0.5393171042732395,1.0,0.9754645333257248,0.9038802491206133,0.8833741427374762,0.886963391865977,0.8983959901457387,0.8326124529342532,0.750171762712363,0.7075454227396907,0.8975386241086725,0,0.8572215717023498,0.7270932419648203,0.8516794304703409,0.5618453865087224,0.8532950342360424,0.866946182226589,0.7888066822880521,0.6084635866870289,0.7745168429863225,0.7228566891680592,0.46468430371155056,0.9355746912229379,0.8792380378339203,0,0.7320051590161036,0.7433986840910752,0.6494905005855434,0.8208972392030959,0.9505526422316816,0.7711594398263819,0.9049031454771931,0.9596141210268925,0.41763409680037283,0.7344921166222623,0.9882824134814309,0.966412589569027,0.9791350927503683,0.8620143043830462,0.9340811049527273,0.8220541686416456,0.6952022264602,0.8901009490289077,0.9718941950319948,0.8306560700757425,0.7439909985502584,0.7428750986610058,0.8873429756419766,0
