,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7924297905903896,0.8227802994093015,0.8308432022847969,0.8827018122372262,0.9204460947827113,0.9357455013039725,0.6919596085719351,0,0.9159325122475581,0.9192748360552639,0.9593286538064758,0.9408103729529842,0.9777786501918251,0.8445974128044726,0.8209724072076714,0.9257744846559856,0.8924388354906093,0.9617018458194714,0.2837961989913245,0.9231504189616282,0.6980897865856458,0.8857815236441536,0.6919684965355014,0.8804933131190185,0.9420574703124257,0.916473892187438,0.5978022453430681,0.663933852652851,0.7209629881832579,0.8709797838807862,0.9088397988086385,0.8303333316526826,0.8963013890187858,0.766744579779248,0.705913058570278,0,0.8381385743896882,0.9173074088900286,0.91669643084851,0.9541797257236132,0.9227767187620453,0.38349022504500624,0.8501705251089144,0.913439560358257,0.9119807886747668,0.9014791219547111,0.9442922356475157,0.9481257144207479,0.7620182733853337,0.6860868149874431,0.8350025181774952,0.9303219537198364,0.8244098942956817,0.5426921859757347,0.7846144549806998,0.9481915247119495,0
arabic,0.7924297905903896,1.0,0.6613337360601736,0.7672317493211175,0.8693004300596215,0.8606172288746038,0.7307085584426907,0.7674785911559107,0,0.8593883329715619,0.8369782497845012,0.8189179014564909,0.728043483391098,0.7958311821125313,0.8215621937296357,0.6727418351435456,0.735973936516589,0.8076913287678312,0.7399767312193948,0.5449776718055696,0.7007467191787665,0.8010474849321504,0.828834564236622,0.4745658436407618,0.7502635151321544,0.8040758609426122,0.7819164991779762,0.5868533832093624,0.5588764025878749,0.6691002989707294,0.8128568566043395,0.870373907012976,0.8438815972104603,0.6924705398193097,0.6123961808654328,0.6018269248308721,0,0.7420315490720509,0.8234049075322736,0.8305925468488402,0.8428583803106059,0.8634439927971709,0.3784832201092846,0.6754318933015125,0.8607737220491886,0.8311369500533362,0.8203530225177861,0.7434088577547642,0.7841755730534489,0.906674366056076,0.614563230623711,0.769237483967438,0.8624135118060304,0.7827094057003731,0.46356908574586747,0.6609930929173957,0.8436113614159497,0
armenian,0.8227802994093015,0.6613337360601736,1.0,0.8798729202586943,0.8173297011003254,0.7822872460874541,0.7210753937345207,0.6483703589315026,0,0.8516632228214451,0.8881771478639193,0.78861054429024,0.7449988434233868,0.8417209241052309,0.8473863783327715,0.929721088930778,0.7048633029076531,0.616867209737101,0.7766074548634593,0.11038935535052316,0.7276693614719035,0.6883913702896178,0.758605633753483,0.6538083224090505,0.8166098390860742,0.8083415419726719,0.695793613089952,0.5065269142710921,0.855747599330534,0.7626751095706804,0.8660676329774186,0.8546219728181049,0.8229284999086185,0.8764882570040612,0.8194861353920521,0.8461234044628154,0,0.8287466911643547,0.8774624286038301,0.6632538967635331,0.8383480500273197,0.8532876109650852,0.3663001979913309,0.7172384378084548,0.8552433737449673,0.8754248043861328,0.8980106168424767,0.7416192433818731,0.8817798554498198,0.7045133037626403,0.7478192527972356,0.90481984881861,0.869419835191299,0.679515223333346,0.6712167944003473,0.7257887497581172,0.8586844541622243,0
basque,0.8308432022847969,0.7672317493211175,0.8798729202586943,1.0,0.8366527246914267,0.7838607416992591,0.7786254257669606,0.8078779732950204,0,0.8910859159240329,0.8867499842032558,0.8119371802807421,0.7935557632178241,0.8307679550239266,0.9287606104711755,0.900025410903761,0.7257740923438335,0.680956786850974,0.8154253589997702,0.3608857035840265,0.7697847115755247,0.6459561302740014,0.8199186617011693,0.6688693000061224,0.8299371959370792,0.8468138113571222,0.7123438539177123,0.5600700444282035,0.6945726137309584,0.8240148795054492,0.8765920753978489,0.9211623442990376,0.8781361741377993,0.8131354030814124,0.8330307507336053,0.8422415727301293,0,0.7252536397976623,0.8551063174495248,0.7288223094998723,0.8861799530408095,0.8771601841324659,0.5208201134847447,0.7429786256416813,0.8996755138739124,0.897891001099278,0.9037448341357518,0.7890763124659812,0.867577564789154,0.8558338945611395,0.8349626777876982,0.8408321770300502,0.8940375664922433,0.7470990516830324,0.6587427903887434,0.7727012586799381,0.8946467757224735,0
belarusian,0.8827018122372262,0.8693004300596215,0.8173297011003254,0.8366527246914267,1.0,0.9348791811332033,0.7846055826866608,0.7544605780889131,0,0.9299995491852595,0.9535755111706131,0.9047744570200967,0.7870098296642866,0.9031239974604063,0.8964018231168341,0.810609908311392,0.7825023555203919,0.7671275192245597,0.8294043136070397,0.4183333863830381,0.7505875636698011,0.7229595334869261,0.8808463211758124,0.580068064853379,0.8552992594724251,0.8984524224998606,0.7866698907490892,0.6160868580068811,0.6857576095246719,0.7722789741720794,0.9023288525737014,0.9400095812759564,0.9221938119230878,0.8075320966378671,0.6777237768718196,0.6985987928330589,0,0.8034407817773545,0.9382488926118481,0.8216913876462819,0.9391723001882524,0.9548245010563113,0.3735737295676953,0.786202015624295,0.9275246624317727,0.9293347470604034,0.9526399972839359,0.797716885921646,0.8865819891887428,0.8567067569895402,0.6794243678755063,0.8155216407245899,0.9669163465692472,0.7958554443123464,0.6756314476003772,0.7204187137279754,0.931048251608229,0
bulgarian,0.9204460947827113,0.8606172288746038,0.7822872460874541,0.7838607416992591,0.9348791811332033,1.0,0.8198937206700666,0.703562899169699,0,0.9565731623499597,0.9255795692524028,0.9391488801691308,0.8182220024626479,0.9271848336904794,0.8501839049253674,0.7680653198367698,0.7978931135360234,0.7858940566709068,0.8460864208394054,0.3678513500275728,0.7577031308512266,0.7062173178589479,0.9060588446158234,0.5203796285290313,0.8511631026537582,0.8873680780335602,0.8119246383156223,0.657143122253794,0.6440643490942494,0.7183186598366513,0.8883529772032241,0.9109182554225963,0.8490095351082235,0.7988643449921415,0.7066802535336274,0.6573940024799094,0,0.8646682344006364,0.9385293967494301,0.8336256406811756,0.9242086784362654,0.9458850064686098,0.38412424391568606,0.7734423879977768,0.9522336482143346,0.9100811304873927,0.9114308030079393,0.8327438642367792,0.9089845199612352,0.8062652303334322,0.6078168221855252,0.7973851858160945,0.9375373257607377,0.8736771406889371,0.4912461038102478,0.7379723541635016,0.9292440877313992,0
catalan,0.9357455013039725,0.7307085584426907,0.7210753937345207,0.7786254257669606,0.7846055826866608,0.8198937206700666,1.0,0.6859467608721891,0,0.8287864598239172,0.8138929875189493,0.9242904193243768,0.9606067432219539,0.9356213800224481,0.7445546532028124,0.7334247997391822,0.96137754169843,0.9136572043430149,0.9679297145773443,0.28724403417145816,0.9484232456006282,0.643556069145022,0.8286504763774348,0.7061447245352966,0.8483034983273648,0.892788186705188,0.9412321085845413,0.6323574737774352,0.5499186799953282,0.664237254496817,0.7588312511551727,0.8210220291025229,0.716312337888485,0.8714281042254628,0.6877065464292993,0.6276952418140058,0,0.763714097280116,0.8164878368856734,0.9387684912482963,0.918614669748159,0.8362368278784559,0.35137863579250156,0.84553476765928,0.8238367495503744,0.8267849007734541,0.7950193373534785,0.996601096199694,0.9003047639314309,0.6918187334552423,0.6865668617769463,0.7716115698132437,0.8552724308739672,0.7961052316532155,0.4907718662441697,0.7620733290433291,0.8927011905241845,0
chinese,0.6919596085719351,0.7674785911559107,0.6483703589315026,0.8078779732950204,0.7544605780889131,0.703562899169699,0.6859467608721891,1.0,0,0.7613034249939937,0.7715185935621883,0.7084292712010729,0.6815124119677785,0.7410914324592435,0.805518360312658,0.6946970594197007,0.6406817527493133,0.6400961473187383,0.6835578304574972,0.4789267327224549,0.6320477943000301,0.5573237128488688,0.8045177571532451,0.5202721584539483,0.8011190989862546,0.740613376422286,0.6180590808737138,0.636706948684582,0.4926858913451243,0.835831878795246,0.7671010885140415,0.8237234135557984,0.7959389809833607,0.6814505529874783,0.6203333551059761,0.6306650743672461,0,0.616903955107733,0.7274502094064456,0.6904290975848918,0.7848408758202767,0.7723144664865494,0.41028315830468676,0.5706857513792869,0.7636823746678588,0.7705351414498238,0.7808801401366507,0.701618230167479,0.7246306665933965,0.8248042060785222,0.7400058663292938,0.7162486012858889,0.801484150910576,0.7267954095569109,0.5305369220652792,0.8225152074920571,0.7660282635161473,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
croatian,0.9159325122475581,0.8593883329715619,0.8516632228214451,0.8910859159240329,0.9299995491852595,0.9565731623499597,0.8287864598239172,0.7613034249939937,0,1.0,0.9493098176996133,0.9323876454022837,0.8440971489014572,0.9250244430942335,0.9186884509611042,0.8589864971466562,0.7901551988145814,0.7608179658862819,0.8763330790159433,0.3705997387042438,0.7848222617396625,0.7216402351319449,0.9027040123709028,0.5775177254884797,0.871901847463609,0.9105671801666813,0.7962516340696337,0.6383086795712045,0.7093725922372709,0.7727376707653538,0.9245985611475769,0.9485977197186137,0.8744744917665178,0.8417657780363492,0.82540699436268,0.7959594486923335,0,0.8619789904131254,0.9417511517332656,0.8069385379410837,0.9432853448590056,0.964032163380073,0.49345159192118954,0.8040107618806247,0.9970139034973791,0.9508775142184602,0.9428442927160074,0.8454418749657476,0.946194209815791,0.8448329822836524,0.7288786337670079,0.8575624854658824,0.9587454326210385,0.8667109745187783,0.5579609899945294,0.7779005997480436,0.9439514336327449,0
