,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7840894834989839,0.7624830074696918,0.8349975627116081,0.8520720156099224,0.9043972633811789,0.9296990251041882,0.6599262429348585,0.5282625473907961,0.9011966518446183,0.9153298148708378,0.9556517713593284,0.9656585787411597,0.9727637369401556,0.8070094520445206,0.7880468179088455,0.9056736096311094,0.8557013452964758,0.9626990278353778,0,0.9124461576670466,0.6797409086215557,0.8808795830432962,0.6454078556084551,0.84647401639498,0.9139985077519232,0,0.663778960188654,0.6400349658614232,0.6306302370787834,0.8728315056106088,0.877750930983429,0.7326018195942362,0.8899025746407637,0.7575010430279817,0.5929634064114534,0,0.8527695241079528,0.8683484298806089,0.8912112317792911,0.9600085190107358,0.8784243539034735,0.44605942818062094,0.8914117114036372,0.9076289735079541,0.8529118744396242,0.9037996968547058,0.9491278950534234,0.9233370695822904,0.7476045038106232,0.6833016288700717,0.8256666659472726,0.8770279629477906,0.8015790787206248,0.5723831152946038,0.7764258697565926,0.9370634546960326,0
arabic,0.7840894834989839,1.0,0.5800770434235242,0.7197728990881619,0.8595403394826175,0.9037166584672139,0.7013046536398009,0.6959136427648686,0.4550882274223155,0.8429355004834542,0.8820433236553077,0.7915273833720871,0.767502356702879,0.7965168869672826,0.7410972413398738,0.589978019291355,0.7404775581913847,0.7399109664556903,0.7236465364104793,0,0.7007657906307687,0.756318362699339,0.8394700724595852,0.3910111424939209,0.6939943845952772,0.7895575952738139,0,0.6556438473377614,0.5152801220042891,0.5675832895737438,0.7932790042080579,0.8562226554910215,0.7914244747202469,0.6804663051920019,0.5508233750766675,0.4752229564835325,0,0.7815621756497709,0.7908938112241107,0.8345495710228582,0.8398260992037416,0.8925534382759372,0.363253232781451,0.7272476404353759,0.8410167867691574,0.8713449647546062,0.8222198985681816,0.7454793298085906,0.7651725075337442,0.8976547949598381,0.5668075010895106,0.7456956724527921,0.8871119092138895,0.7691793776407928,0.5349264376682082,0.6199202575931851,0.8651086324851514,0
armenian,0.7624830074696918,0.5800770434235242,1.0,0.8342708946468889,0.7991213283691898,0.7145359394035656,0.6483469497980499,0.642202467037066,0.45581504932992634,0.8423028630736797,0.7954963851283473,0.8162046889473665,0.7937415046076728,0.7946750646703117,0.8539136119723142,0.9193587818123365,0.588090751895438,0.5137401752565665,0.7186656820102527,0,0.6605823161241892,0.6026220892251216,0.6693542085312841,0.6175774346873397,0.7942523318202399,0.7885784678618253,0,0.5081813171037352,0.8957994961342901,0.7108541299894862,0.8600008567109172,0.8094664474744813,0.7745832066824784,0.8585334671970756,0.8119509086494369,0.7994840552749921,0,0.8209282578838849,0.8316184284903656,0.5691189393023175,0.7677676277127886,0.7951150599121527,0.4234505935167007,0.7228729696661738,0.844274503106497,0.7916888537464449,0.8406827089548634,0.6960327203226685,0.8582409460482119,0.681874469070299,0.7706283193767709,0.9122287115864315,0.7945090065966922,0.57430158999729,0.6473606954535429,0.6441397277198302,0.7822837850474041,0
basque,0.8349975627116081,0.7197728990881619,0.8342708946468889,1.0,0.8596206825069351,0.7775876132918442,0.7695253399796907,0.7964997994295688,0.6201376407254297,0.8938412871927692,0.8500327459535678,0.8694414745065326,0.8748293846520006,0.8531569887929283,0.9427142915987621,0.9084562333209975,0.682385536597449,0.6416471027232331,0.8232469527128936,0,0.7795712061394428,0.6025210211588782,0.7360545136789793,0.6838269065673644,0.8309601983678884,0.8652488769367599,0,0.5810361818389221,0.676184756636554,0.8002275725842457,0.9227862588402899,0.9227987776627459,0.8392464355405622,0.8020825494406623,0.8301195426307987,0.731515502167092,0,0.7516713232604088,0.8196703064415654,0.7037782724856901,0.8639646417056457,0.8582821121969647,0.6043234113482341,0.7872810707733743,0.8989406063107298,0.8590579549652194,0.9163969030089029,0.798725571744256,0.906538586602304,0.8239765104661805,0.8246373536150065,0.8345387026858677,0.8543434409999424,0.655605236763847,0.7133057222226606,0.7608709076872302,0.8734329678666977,0
belarusian,0.8520720156099224,0.8595403394826175,0.7991213283691898,0.8596206825069351,1.0,0.9069105313010744,0.7460600686948775,0.7659804598403291,0.48459069573300245,0.940400219153145,0.9392792277495503,0.8425540494368943,0.8745105139477918,0.8776002172123804,0.917832773701747,0.7902428927581844,0.7199137275240077,0.6596478809426964,0.7965855352754551,0,0.7564055036614993,0.6514295132495824,0.8004601615705662,0.625107239067649,0.8288431914993551,0.8822759716896059,0,0.551493617577763,0.6700969374012596,0.7526893773897362,0.9551524491849253,0.9437238665422817,0.9436899653873962,0.8430245860647974,0.6989588266573757,0.8057178925768765,0,0.7962938351532574,0.9057619035464467,0.7824134004824652,0.8828026976813014,0.958688886918817,0.4696669551398415,0.7677533512381569,0.9504836220224555,0.9613630265108106,0.9268171537461731,0.7949428971946689,0.8705182478195354,0.8586663566480713,0.705540281498773,0.8450271569374176,0.9820995767057831,0.6746437880276328,0.6755631580093249,0.674982474422701,0.922037087055446,0
bulgarian,0.9043972633811789,0.9037166584672139,0.7145359394035656,0.7775876132918442,0.9069105313010744,1.0,0.7994892483658818,0.6966145900685594,0.4521488710601856,0.9331684170572416,0.9495297575142239,0.9078190954706904,0.8840950322149206,0.9244848943470708,0.8004745603550647,0.7051589141827289,0.8211967542538128,0.7433322419234716,0.8448184630376852,0,0.7674689643798063,0.6958740250485013,0.9226148573100014,0.492987603541646,0.8319817330925963,0.8852809068653725,0,0.7528810260251378,0.6011100080774876,0.6263803067147447,0.8769224208580558,0.9111408818089518,0.8199478194709137,0.8235230836762352,0.6286062253576356,0.5932220742146984,0,0.8845212389196434,0.9073742775770887,0.8577879581264495,0.9462303213248178,0.9378290443747882,0.3907594575835382,0.8219350288201702,0.9334573889161476,0.9252745180857027,0.9222018704092856,0.8543551074858629,0.8899924738821373,0.8026660459959633,0.6208631152515565,0.7967998363681857,0.9382250677999683,0.8458168186412887,0.5624559731798568,0.7166047192634087,0.9470152722227387,0
catalan,0.9296990251041882,0.7013046536398009,0.6483469497980499,0.7695253399796907,0.7460600686948775,0.7994892483658818,1.0,0.6397661332632233,0.5391923401101384,0.7616863663023774,0.7904331073002785,0.8918667421726074,0.9407006071668035,0.9143020676196367,0.713519728675197,0.6754397291109372,0.9542813814371506,0.9208483881640783,0.9614699069082377,0,0.9535533346976462,0.6062565404927255,0.8009209859545708,0.6944636031913893,0.7809114763872573,0.8501488364050528,0,0.6482739842545774,0.4970404488769494,0.574724707216641,0.7706831314318996,0.78544367715984,0.632255590664916,0.8706002376613254,0.6809374568722177,0.49621175893753217,0,0.7523802708026857,0.7778019324578105,0.9235903887250011,0.903477138516404,0.7678552155719799,0.3481507536911669,0.8408193149320089,0.7759337857301981,0.735856174452398,0.814309717584211,0.9911635947177756,0.8585675794430383,0.6596247949994665,0.6309430332243742,0.7306376919514694,0.7817565066722051,0.7117297207435548,0.45787914665730733,0.7418523718122453,0.8805810566393046,0
chinese,0.6599262429348585,0.6959136427648686,0.642202467037066,0.7964997994295688,0.7659804598403291,0.6966145900685594,0.6397661332632233,1.0,0.5243351274460312,0.7445005681833204,0.7360181174695593,0.7291982426178331,0.7176907642201805,0.7477012213152089,0.8047447035731297,0.6805346498342576,0.5888652698346452,0.5642654668266668,0.6562411924526972,0,0.6251386389659659,0.5085739029998022,0.7282882517581333,0.5409695204050543,0.8275431886483745,0.7073596143005167,0,0.6096884616614404,0.47885510959378264,0.8564934091617749,0.7888522734943975,0.8114417522278042,0.789369841088859,0.6874078041268438,0.5917397641886992,0.5970937137996405,0,0.6312869484668465,0.7145304445393994,0.6472295060300197,0.7265877065149624,0.7658453504605163,0.41732163849700404,0.5685617843938177,0.7359223384513681,0.7794819456886499,0.7984090543805868,0.6817886238895056,0.7634345007663175,0.760147082232158,0.756282993458186,0.6914078694604837,0.7857557625697942,0.6246758600909588,0.5123694473339375,0.8042516621504888,0.7519447339243408,0
classical_chinese,0.5282625473907961,0.4550882274223155,0.45581504932992634,0.6201376407254297,0.48459069573300245,0.4521488710601856,0.5391923401101384,0.5243351274460312,1.0,0.5679215057941673,0.5013157961550012,0.5924063704454497,0.5181728590214385,0.5135978729445548,0.567301050143358,0.5620811051265138,0.42059402136720253,0.42197832481055325,0.4986567826930662,0,0.4225025697842226,0.3564884903835702,0.5230199784241463,0.3975935408202132,0.5127769939002759,0.5289479962337909,0,0.3510406930557112,0.34764356763121923,0.518687608831878,0.5805249013569986,0.5297600536972764,0.3937274848961053,0.47355324235419277,0.6359571788605166,0.39908316904709423,0,0.4729910885788564,0.5302529747411528,0.41232794057234123,0.5196678370255939,0.46198257913585195,0.6532634132388124,0.45537997296230404,0.5523368257513285,0.4513508809756776,0.5730101037600281,0.541606713753432,0.5699761359358736,0.5192294980628328,0.6762801841973259,0.5005836041724362,0.4709242155392498,0.4001135388094376,0.6335054136119027,0.540430815454022,0.5154609672143853,0
croatian,0.9011966518446183,0.8429355004834542,0.8423028630736797,0.8938412871927692,0.940400219153145,0.9331684170572416,0.7616863663023774,0.7445005681833204,0.5679215057941673,1.0,0.9657121387422866,0.924513829345511,0.8963260739966873,0.9235062727195162,0.9153969938255877,0.8644102308762235,0.7358462025260686,0.6551816230234908,0.8340521053225872,0,0.7547586464219189,0.6911309363287206,0.859203880101023,0.5799142880962348,0.8661206079322322,0.9081201433260543,0,0.6397466666358018,0.7299639601568644,0.729522009843854,0.955151338482472,0.9525359648497359,0.8671440794096137,0.8413707519612786,0.7995032120964537,0.7217436652088344,0,0.8634052961764529,0.9221169654995217,0.7612133298187422,0.9303444006926813,0.9570028339918875,0.5461915460544856,0.8479196097861188,0.9911302821624536,0.947606622281941,0.9640211154252418,0.8151798037244313,0.9289507932973387,0.8427416665529831,0.7678751626689905,0.8737520691326942,0.9484695594767248,0.7583587097458134,0.7347208431755434,0.737203772835922,0.9260968332040427,0
