,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7807124306246734,0.8100387234079395,0.8071276479226012,0.8758086577664984,0.9123966413996443,0.9311850448897899,0.6585935755154378,0.4303083611494085,0.8921086285810093,0.9145669241553213,0.9561720439211793,0.9725914240436474,0.9581423260681604,0.820054227280378,0.7615806170982113,0.8940432165628256,0.8519809501243292,0.9616508701704026,0.33115753032640355,0.9264665191704023,0.6607561722457697,0.8241098165466085,0.632961960508886,0.8537972721544507,0.9125375199153355,0.9216511836184791,0.5467470855675541,0.6995021238116391,0.5612556247402936,0.6632880161390602,0.8390170776752067,0.8025703032879251,0.8501002164937922,0.7392030056647834,0.6418071712346435,0,0.805478963357351,0.8943584374480681,0.8671158069966998,0.9445136213088628,0.902596707194766,0.38671689197466486,0.9156375114628087,0.9030240026073386,0.891673979811581,0.9061573678499022,0.9327795385579946,0.9334508215863669,0.7036503268438075,0.6786885694572046,0.779325130092345,0.8976959753746797,0.8193351621739857,0.6823968341737296,0.6897329602175576,0.9079886000545165,0.5028853033225608
arabic,0.7807124306246734,1.0,0.6402536351125094,0.7810338417520148,0.8937103728063338,0.8909178156606283,0.7441287074098938,0.7620639164664037,0.41557297499256496,0.8096142069080979,0.8844387125842029,0.8398949450479981,0.7644277024802908,0.7858868159932357,0.8084991816903392,0.6271010204628047,0.7501277704781163,0.7987042822096304,0.7854593373234541,0.6398500841839696,0.7195806909877056,0.7362981462417273,0.8606659751833198,0.3511387610702175,0.7293646373535723,0.7562435575972338,0.8090259894814144,0.5808805978768692,0.5612727754090807,0.4918366440969624,0.5749718404498672,0.9104630398500522,0.8623995009510887,0.5759098879443818,0.567732903232686,0.4566668623393046,0,0.7549635404968913,0.8418096659671391,0.8427312547206297,0.8896207445816676,0.9109198954125515,0.36267826687393356,0.6984452425963913,0.8707405080765295,0.8884959179782145,0.8697474951459538,0.7621340220183599,0.8222949326033528,0.8889125627584372,0.5906887743694252,0.7176145382765745,0.8768657124782913,0.8369265925294597,0.6978958876545001,0.6026592056028598,0.9057483103687671,0.4783706092910055
armenian,0.8100387234079395,0.6402536351125094,1.0,0.8323868057310648,0.815575610926601,0.8005399754897339,0.6318623020429234,0.6219972661647922,0.44996929327792407,0.9104587528225854,0.8577046177421946,0.836604131614912,0.7664150232790836,0.8103673446278444,0.8336625937274009,0.9223786722215077,0.5678164905057231,0.5091463900196613,0.7547215053075335,0.22517197384184381,0.6733468319559592,0.6205582312380264,0.6551030682830673,0.5548962451582035,0.7805679826166315,0.7159521966191811,0.6451253411582321,0.4277108692327248,0.914586068746431,0.6164209292266039,0.7116256170840034,0.7666382175566808,0.7698012405702952,0.7956333107335438,0.8513532137791133,0.8019924703846881,0,0.8273689836929911,0.8345760686341873,0.5403555192939412,0.7828280961851775,0.8264194403411123,0.44414379490597256,0.775764433741598,0.8679202571945501,0.8461731345904884,0.8665851299013466,0.6395107341786667,0.8540549618259056,0.6711148299043124,0.7576508619365041,0.9049174634457725,0.8411024262913205,0.6738606504808893,0.7269715192342336,0.6276912970335464,0.73345836508862,0.4998895129906916
basque,0.8071276479226012,0.7810338417520148,0.8323868057310648,1.0,0.8980351997925142,0.8127525500400689,0.6902015896719079,0.866790962060361,0.5883027715171663,0.9120728858817679,0.8830722577892933,0.8481358908466899,0.7976964609360417,0.7909722243556679,0.9663582760840681,0.8539439706379605,0.6372653359593214,0.6004143797542343,0.80394163404161,0.5455060979136637,0.7378907874314731,0.5984338445349215,0.7164724060105083,0.6019019215833564,0.826879453314303,0.8211579219734334,0.6836631158321089,0.47337531951484846,0.6932884722670227,0.7248932688944683,0.7711640793153625,0.9413154229767806,0.9335807301967683,0.7762927385073431,0.7663870770831084,0.7765218382862598,0,0.7117937639333285,0.852537467458308,0.6694013451370009,0.8585290449005345,0.8606629901847376,0.5519534809939189,0.8104989065666701,0.8897009019639245,0.8939685784649577,0.8668321072039787,0.7024301049472661,0.820385661113552,0.891187858116017,0.8190364165757807,0.8256492802478729,0.9039786847923339,0.6920598527093421,0.7904450058218615,0.676516305402237,0.8765666021742606,0.646032559643493
belarusian,0.8758086577664984,0.8937103728063338,0.815575610926601,0.8980351997925142,1.0,0.9407704105209864,0.7587599212774354,0.8066110281072353,0.45149230826816605,0.9343791992438172,0.9717984083519116,0.9071394246338684,0.8402424191370725,0.8693368933698913,0.9019994376674669,0.7762432149390283,0.7286110341869773,0.7031369530759766,0.8463947185098727,0.5023779012017051,0.7554072825207807,0.66436346360652,0.8300515092762668,0.511587093018643,0.8393330695280987,0.8379974869024699,0.7731050114320094,0.5317217753197343,0.7215459585740505,0.6218557024231538,0.728934534508248,0.9488728554914695,0.9297452023204741,0.7402593097132515,0.713446636598691,0.670586583821017,0,0.7930451241781151,0.9506047296552724,0.7706765077352009,0.9272482290643475,0.9635518475688813,0.4262088226903371,0.8050701273745811,0.9394313435350212,0.9629588388955325,0.9464126674971738,0.773816799836807,0.8854336917744386,0.8672791905517595,0.7270549278378897,0.8089938066300711,0.9906156296787346,0.8030004893931513,0.7743145914724993,0.6605600148503002,0.9197844665824281,0.6257667680592357
bulgarian,0.9123966413996443,0.8909178156606283,0.8005399754897339,0.8127525500400689,0.9407704105209864,1.0,0.8283616910726227,0.7092565278801579,0.4604448019221379,0.9388742248661445,0.9634087086862618,0.9578376164398211,0.8819608276228735,0.9178780666581459,0.8393075153037749,0.7526872399410507,0.7933048735986531,0.7573551379150318,0.8896152571270317,0.4172547941716333,0.7726218731419013,0.6844894730644862,0.9129753648670351,0.47047918576116216,0.8566086673054741,0.837378122186779,0.835452054505271,0.6219169175473566,0.6894762408120192,0.5578565022527195,0.6830941183832184,0.8952706518886258,0.8457761618627534,0.6993413572538147,0.7152202174662579,0.6125466362733214,0,0.8536885614718196,0.9494278319800236,0.8143133755108923,0.9582541598519988,0.9646863803730722,0.4356408214665121,0.82973689632709,0.9633186162015189,0.9558837525719479,0.9677593443945424,0.8400912970457537,0.9459746016837993,0.7623945681525345,0.6706001880727,0.7826586673948477,0.9451304012167828,0.9040702183909175,0.7159212528504277,0.6974013404088218,0.9206461634438022,0.4982840213890858
catalan,0.9311850448897899,0.7441287074098938,0.6318623020429234,0.6902015896719079,0.7587599212774354,0.8283616910726227,1.0,0.6216554507526327,0.4290503355989825,0.7558624668837216,0.79191554407875,0.9065810683502958,0.9621381143999342,0.9163625427876996,0.6914225228473486,0.6055260510593671,0.97168536417313,0.9278862919093712,0.9486117253554629,0.3686584323631661,0.947579799623935,0.5959899428344522,0.8033682815681575,0.613581309847208,0.7749658374789818,0.8944585208654886,0.9538468036448345,0.5917941258821916,0.5123702285327155,0.48071748401910164,0.519925913518455,0.7542887610049664,0.684806223104989,0.7894781906031152,0.6105762221047766,0.48566779469400984,0,0.7421591358228361,0.7783666767937903,0.9375069555302682,0.9104802064720203,0.8026184349397015,0.32696528924639057,0.8732034958887352,0.8003784099110234,0.7728202597442179,0.7914032218114138,0.9983429683240865,0.8792349113177222,0.6152073975866503,0.5833635863244993,0.6591120720485033,0.776952048034535,0.8019981532705698,0.5906768021413464,0.671962324699254,0.8888556318322349,0.4096740023282881
chinese,0.6585935755154378,0.7620639164664037,0.6219972661647922,0.866790962060361,0.8066110281072353,0.7092565278801579,0.6216554507526327,1.0,0.5215744021809113,0.751734894023615,0.7708147708015256,0.7340912310831985,0.6793571250831192,0.7146727697505658,0.8479319994488111,0.689328241441917,0.5979918826344043,0.5812800320479959,0.7011530356929447,0.5912890152724876,0.6318833847844003,0.5264655638219565,0.7042137475761497,0.49293046469199353,0.772872281640657,0.730628225094447,0.6085628771290545,0.5819647029974196,0.5043089499968085,0.7667163021102483,0.6189455845505647,0.8779641138571179,0.8646648661302069,0.6299056850251802,0.5811669814816284,0.6422831362411318,0,0.6288581622688971,0.7263999602896567,0.6543375483141076,0.7703994267616378,0.7744597836442413,0.4151837604937523,0.6493860241680677,0.7384161551880053,0.784876871830704,0.7521774709655996,0.6394539097201648,0.711278202780845,0.8722816943745633,0.7754624694406825,0.7152326119655432,0.8102705974180818,0.6634769700754175,0.8320686754827162,0.7382219949001397,0.8134196487437867,0.6190439960211288
classical_chinese,0.4303083611494085,0.41557297499256496,0.44996929327792407,0.5883027715171663,0.45149230826816605,0.4604448019221379,0.4290503355989825,0.5215744021809113,1.0,0.5352648258401712,0.4852062207484299,0.5175026919425573,0.4873646891218554,0.42719865907282645,0.5820639586535844,0.542273739383563,0.38404000884645034,0.29404083512031143,0.49078610643949955,0.3681542177774093,0.43950108646245944,0.29016513660348625,0.3963150783160004,0.4227929573746222,0.5074739845014927,0.5053012518725207,0.3771210895731703,0.18375195942792963,0.2781862832110992,0.4762314257726667,0.662336786242241,0.5335784088007661,0.5068874555619691,0.4418971619407767,0.5406652861710616,0.6013464042577098,0,0.43462969164450216,0.4674439163784904,0.40419790601137273,0.47862348270728255,0.4501868238821674,0.8452193906390225,0.482239323125908,0.5335940265050805,0.5427136825040985,0.47007286418408956,0.4385505497944333,0.4999091967829723,0.475218043323045,0.5320032755247344,0.5055952529899913,0.43684242558150865,0.39400706534483415,0.47588221626622607,0.48102538631567177,0.4944340194449725,0.3346394465696622
croatian,0.8921086285810093,0.8096142069080979,0.9104587528225854,0.9120728858817679,0.9343791992438172,0.9388742248661445,0.7558624668837216,0.751734894023615,0.5352648258401712,1.0,0.961256894006119,0.9372016229902654,0.8580703873614796,0.8926084670463135,0.9134738026567566,0.8693791589014839,0.7020506437471321,0.643427704975285,0.8616470364960968,0.38985644531149716,0.7464823578869707,0.6763945888260492,0.8251956515903616,0.5665830951416605,0.883152335011693,0.8329388882324653,0.7585062357800824,0.5581691924233864,0.7685213494339538,0.6641303501958695,0.764773610914313,0.9004114154188896,0.881142482914393,0.7751566664858491,0.8371311514029014,0.766159955019546,0,0.8237762531661701,0.943642558512823,0.7055086671796669,0.9190630112386399,0.9399484229627921,0.539593564563162,0.8588760837165388,0.9751333040172051,0.9634161247893842,0.9705218240620272,0.7649779597605494,0.9279066916248921,0.7803261687936522,0.7869554277618526,0.8502919310066054,0.948258359768568,0.8236854076248525,0.7936185688326154,0.717923028930532,0.876407399678892,0.5897396615597049
