,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7184263185175739,0.8538578547469504,0.822998394996666,0.8959071552471506,0.9056434889275917,0.925239733424162,0.6417906333190712,0,0.9164955939651998,0.9116424913975458,0.9553407144107655,0.9582076078407099,0.9231084700303323,0.8253109433575337,0.8054709783823997,0.873997397631923,0.7865882839505279,0.9362278956139307,0,0.8799726295939679,0.671829162043206,0.7675117198349051,0.6194574540489984,0.8686976373575281,0.8612447060883098,0.8862577482798092,0.6144432931418661,0.7025771244699154,0.5760684361187365,0.8825626263353491,0.8525185120822979,0.8000447476349244,0,0.7307043195803091,0,0.4577773582622053,0.83742004030637,0.9037174186490136,0.8352667954706281,0.9276494499370946,0.9071786178157866,0.432640401202566,0.8505550679825011,0.9144861186432443,0.9119277659367506,0.9174675099422216,0.9131258386086163,0.934883066835251,0.670748560381897,0.6919164287835896,0.7865124600254519,0.8997010529526991,0.8003068632826894,0.8203837467967667,0.74184625790845,0.9292803802991857,0.7806118550431836
arabic,0.7184263185175739,1.0,0.5755050207311437,0.7238009915298194,0.8409894118947702,0.8665797524344898,0.7367345110528039,0.7303450235813475,0,0.7555553414976017,0.8490265956098426,0.7812207992240059,0.7235568288627413,0.7237732611509573,0.6143634805660513,0.5645744626020315,0.7565433757319847,0.836846787501314,0.7238854886252576,0,0.7225261293530073,0.7582228746137092,0.7306285635726902,0.33846046897245996,0.6649496908987285,0.7263162350016052,0.8232866161019292,0.6189823680676855,0.49551468743774313,0.44426786339189234,0.713853183113756,0.8299762562298816,0.7467239927330722,0,0.4698739845696806,0,0.4187052095035634,0.7219347111232903,0.7502673505817066,0.8415608829284006,0.8299573221265371,0.8315224199427433,0.3728662381551864,0.7166313656101005,0.8184194733524852,0.8359888977063137,0.8090185377574288,0.7627807477439938,0.7535906789056019,0.8627835084158112,0.5321635595483878,0.6429138229917305,0.8336492587576633,0.7444077528594546,0.7762910440482308,0.5682059389853582,0.7562997204176315,0.6588800335609251
armenian,0.8538578547469504,0.5755050207311437,1.0,0.8329199954856689,0.8137195367180737,0.769497453185448,0.7197049100087375,0.5969453883837316,0,0.9037403126195896,0.8203206293493833,0.8312476902569563,0.762564381854795,0.7809300844980889,0.8340075125484346,0.9137970151858889,0.6135543435896178,0.48767114431768593,0.7213200157203667,0,0.6749606280577576,0.5898358232998323,0.6105807682562711,0.5827546877828368,0.7894056199854835,0.6430929526802279,0.6282697199971402,0.4577000635279864,0.8667931845260496,0.6018619948316465,0.8466289014206289,0.7953404744714088,0.8029163159970518,0,0.7819095059876564,0,0.4641575111967072,0.8340605078811909,0.8440655784557164,0.564051169561964,0.7524136437570648,0.8251633903984937,0.45553277330186226,0.6521640583800494,0.8637708702700436,0.8499815678045537,0.8589789303774318,0.6860587262248201,0.8458323179635333,0.6193418990859166,0.6910507796453038,0.9080419142110754,0.8198082620713326,0.6747730499482452,0.8604980001637399,0.6636892105071742,0.7639928620608795,0.6880296219609391
basque,0.822998394996666,0.7238009915298194,0.8329199954856689,1.0,0.8815950947987804,0.8043805411715436,0.7845659972008594,0.8182640230214948,0,0.9037587152719269,0.8721319456218055,0.8771696991761836,0.7785867562822577,0.7865741543583517,0.9196632482314508,0.8481497949301863,0.677727108932018,0.614520985582282,0.7790786894737272,0,0.7745245940525722,0.5756713420489308,0.6674379714778247,0.6122703183081776,0.8100359414529335,0.7275330214353932,0.6839849948407423,0.5614495217142177,0.6450914219721696,0.7017676205488632,0.8708212400052002,0.9303279528143341,0.8972236790579514,0,0.7349670782657631,0,0.5780466727315245,0.6973785857844937,0.8296592365143202,0.6980694302414705,0.849471080517974,0.8749452668305756,0.5385691281023708,0.7186615787971864,0.902014399453643,0.884282139535625,0.8987831362870274,0.756445416328289,0.8402829757197828,0.8590580988831976,0.7684873287966651,0.7943035571231538,0.8896805940394295,0.7205103363481783,0.8487968048802657,0.68638013437714,0.8605839485044426,0.7747927619908681
belarusian,0.8959071552471506,0.8409894118947702,0.8137195367180737,0.8815950947987804,1.0,0.9435112177322843,0.853968015387063,0.789852274867773,0,0.9345291900820217,0.9802046101934502,0.923039049194449,0.8571411683097524,0.8554703349374405,0.8396696292851997,0.8001971658249226,0.8037869069201504,0.755999784656434,0.8646601650472854,0,0.8080568458880704,0.6680164287261402,0.7593096021792708,0.5468888678742315,0.8366664325469638,0.8367886450451606,0.8082525686570018,0.6041764410955954,0.6890813902838273,0.6090688617585973,0.8959583363429493,0.9494640559396196,0.8997564722282669,0,0.7072594394612199,0,0.493462264759597,0.8139716015028647,0.9317892174677647,0.8175246279590687,0.9340005516772566,0.9781167912995925,0.4533515146577299,0.8131718566069885,0.9438565333063067,0.9675743001935921,0.9548084329902016,0.8387429477238879,0.8983009228314315,0.8602025191836505,0.7212118917996335,0.7977641577035688,0.9911090412098489,0.7916713085872816,0.9027667075857821,0.6888244643501498,0.8830687143701155,0.7309015617490324
bulgarian,0.9056434889275917,0.8665797524344898,0.769497453185448,0.8043805411715436,0.9435112177322843,1.0,0.8702402808523337,0.7189468490847845,0,0.910333031404182,0.9514264277388764,0.9302298290405512,0.8758216398165346,0.8746956953819128,0.7489311562748019,0.713752302898219,0.8280293710382177,0.7965328894976565,0.8625200961528949,0,0.7897008513607405,0.6763865695605605,0.8215385137307577,0.458842843409154,0.8354327934698189,0.8222907464675608,0.858482171598516,0.6966935650680979,0.6230414431593841,0.5409723687426798,0.8556963028950735,0.8930316002971173,0.8090949972947742,0,0.6400076455739686,0,0.4870009022186041,0.8644516386209458,0.9098805927798546,0.8564037072119833,0.9460450963320856,0.9359948739902628,0.426148048729129,0.8155153359309808,0.9463171538359562,0.9457810542582805,0.9437325738083056,0.8725543039189368,0.9155179952950081,0.7792435734565408,0.6169481645271448,0.7273707730355017,0.9348688774690904,0.8504097844672349,0.8457443217628895,0.6952588970137472,0.8579893425829387,0.7217930005215921
catalan,0.925239733424162,0.7367345110528039,0.7197049100087375,0.7845659972008594,0.853968015387063,0.8702402808523337,1.0,0.6844855159393973,0,0.8387218513058176,0.8456125476471086,0.9365363049599474,0.9600682720804808,0.9242011672601742,0.7605833718747357,0.7026128199900429,0.9507924669853425,0.8712511492348852,0.9522685040636423,0,0.9200131959050516,0.6660896792992759,0.7739860020523258,0.6192843115873137,0.8489864697135874,0.907150734251781,0.9344718013542171,0.7017064418892585,0.5587692905425418,0.5605603494495012,0.8129634351937945,0.8126515641341806,0.7237812667720673,0,0.6561704735572758,0,0.4706460423170686,0.804304482132888,0.8454934613295876,0.922718428016859,0.9411288705113818,0.8444461617701571,0.35372669121471667,0.8824272187801074,0.8578806511480688,0.8441247769028416,0.8479224207164464,0.9918991381076702,0.9147453144438267,0.6628702299281822,0.6802811171087574,0.7116070486840416,0.8550105610615715,0.7961583429078235,0.7097041112837796,0.7430660771926392,0.9567714472902815,0.8305385355576339
chinese,0.6417906333190712,0.7303450235813475,0.5969453883837316,0.8182640230214948,0.789852274867773,0.7189468490847845,0.6844855159393973,1.0,0,0.7571635439077049,0.7685097663614208,0.7355056989720272,0.6442247490562026,0.7743794615217185,0.7374474741380179,0.636263574201733,0.6275142240388654,0.6227919478678298,0.658734967084203,0,0.6801592612193431,0.495286366221749,0.7658890054145321,0.4750616123068745,0.749705117054528,0.6379592465771587,0.6224951032560703,0.6386740463282803,0.43536900295161546,0.8095598129519086,0.7266183680727889,0.8429364528452236,0.7764936466829901,0,0.5450363230425699,0,0.44493149912898067,0.5898990158716484,0.6825647533644281,0.6870426442962062,0.7600126755345754,0.7763352409632143,0.3804678491507649,0.5964445248649785,0.752124798321767,0.7767614436068684,0.7636206423752859,0.6778629911921122,0.7081382622354195,0.8346775468200347,0.6658334144471768,0.6628178700890609,0.8077559459151153,0.7827824927759026,0.7398384680952177,0.7468118383260117,0.7275189059894109,0.6413478254648693
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
croatian,0.9164955939651998,0.7555553414976017,0.9037403126195896,0.9037587152719269,0.9345291900820217,0.910333031404182,0.8387218513058176,0.7571635439077049,0,1.0,0.9272586285542243,0.9382247379648918,0.8648434793677525,0.8835267719283888,0.8849370568274204,0.8572841946686389,0.7594113755759233,0.6526036387821921,0.8331177867504568,0,0.7785187849932558,0.6530477479342106,0.7551317284588153,0.616089869346596,0.8785569931185431,0.7626214923675592,0.7660647876939635,0.5892047297463092,0.7165281674445912,0.6859633974076276,0.9241729942665554,0.9278352049777747,0.8942194156546699,0,0.7849066948457503,0,0.5358333963248137,0.8158308080157526,0.9190410153248716,0.7416661054608886,0.8993578994497169,0.9305600643839443,0.549080426435204,0.7658097905142707,0.9719250014274478,0.9646830722837874,0.9632473218665679,0.8209345363904227,0.929114890503641,0.7520584098277966,0.7407553092101063,0.8274291464243402,0.9369527441471195,0.7976196514493968,0.8933771392432036,0.7522939908536627,0.8693285415837503,0.7498531401211912
