,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7969705485517705,0.6784955164687649,0.7325950476187323,0.8545970502072625,0.9122446955178144,0.9416325945739036,0.5933393686311794,0.4517765435976422,0.9018452466578145,0.8767085605844848,0.9454606684727488,0.9532909811251462,0.938748590346733,0.7373822479494422,0.7090032295597873,0.899640116383198,0.8191117715756712,0.9575609336558705,0.3889081587764809,0.8830656621248159,0.6125700747495991,0.8513170002307007,0.5356802790601891,0.777067676317078,0.8817336036661599,0.908491760402331,0.5885796663930731,0.6305278428359143,0.4993053188374926,0.5854218148049036,0.7706142505979183,0.7067025162157028,0.6395594930528389,0.6905742856851869,0.5467246294923761,0,0.830488906834583,0.874916164484294,0.8751207344333192,0.8920665854614863,0.8730885144777988,0.1760013627718548,0.717574648728287,0.9023169075744697,0.8716866299848383,0.8408039553894123,0.9418762420260551,0.9238457312980884,0.6911595909932566,0.6142145744609715,0.7310116064053295,0.8726967650969897,0.8425228846251996,0.7210615798560575,0.6754636357983328,0.9189871715336485,0.4657303497956415
arabic,0.7969705485517705,1.0,0.5811093758638929,0.7477150343993446,0.8914021719865796,0.8968182097069007,0.7566892836114614,0.7175472509617127,0.42043806172655557,0.8693312317441517,0.8747685084446866,0.8090145017057923,0.7482601128571649,0.7806201373973061,0.7436312595361029,0.6073759268654269,0.7466245877733269,0.8335580658857964,0.758426225976053,0.48826006060165245,0.7044739653136524,0.7353639434161046,0.8593976640554863,0.351367087590322,0.6775632620423259,0.8206637053547778,0.7866144636686665,0.5902322285955881,0.5403525146599437,0.45630826787996187,0.594762303226012,0.8893564876308758,0.8005550894957209,0.5129948929181586,0.5120109948398657,0.4668038878940396,0,0.7774126205242557,0.8378997992343874,0.8419828827897771,0.8518328998540663,0.8951695320771411,0.11816527669367277,0.5903625617948737,0.8885673361423626,0.8588570295871452,0.8230615833960144,0.7606639144237314,0.7963606189679429,0.8720464643550675,0.552119834958331,0.7122862072321481,0.8851639140353682,0.835605134438332,0.7524287525573008,0.5732736422862869,0.868669523295316,0.5369370107829361
armenian,0.6784955164687649,0.5811093758638929,1.0,0.8634684955007358,0.809963320603165,0.7329857460641649,0.6203438675953016,0.6338925207700989,0.39516384961599926,0.8161093591049974,0.8396381528546102,0.8093081811460517,0.710448048648225,0.7480932814547939,0.8645578536511911,0.9120859258188191,0.5405337345231788,0.3755836039781769,0.6785656648651975,0.3252538060697791,0.6090983649827292,0.5295348629904162,0.6240973976418732,0.600942410686628,0.7898970471908633,0.6217984668208448,0.5558246157516481,0.40742519882742645,0.9217774195706676,0.6128106369360786,0.7189176021929815,0.7341778155188634,0.8365925612421024,0.6985542029904713,0.7552835524219786,0.9060314086135216,0,0.8073593114244358,0.8047260556075129,0.5054897749362627,0.8038089721069236,0.8036384165929121,0.17777943998673224,0.7123715934973738,0.7940136356441709,0.8137308136972256,0.8900662958366927,0.6484640110737022,0.8174122164673607,0.7149195202802722,0.7653877883321065,0.8541794741451535,0.8227655901824444,0.5441830081916196,0.8257018053645526,0.5969925025762471,0.7322902947215142,0.6304374185586099
basque,0.7325950476187323,0.7477150343993446,0.8634684955007358,1.0,0.9050782034587216,0.7975175658756434,0.7236162164260195,0.8317059799244365,0.5249981078978418,0.8685810984660794,0.8803764196476497,0.8538700596679606,0.771781930255516,0.7851086599808565,0.9415694151330537,0.8465531082556825,0.6323160764763263,0.5788600226552487,0.7653329101082463,0.5318846766348763,0.7245124967696026,0.5364793218671801,0.7629289069518875,0.6227394436493442,0.8146277504256139,0.7904960100206844,0.6463733309796815,0.5345286396278083,0.7436770293084979,0.7069377268164421,0.7298534894520519,0.9161145655227763,0.9363724256274719,0.7051233574474227,0.7677614263469423,0.786713888901146,0,0.7386960893277735,0.8415670035363941,0.6522616582290782,0.8709772990815252,0.8831839124389396,0.21958980133755923,0.7200374093459565,0.8833283966151406,0.8525071715780445,0.9290915906893844,0.7354251324530474,0.8361492968320531,0.8874099164830132,0.8290196650443279,0.7984236526844609,0.8991593668082004,0.6591409971279699,0.8808766589967023,0.669646411411694,0.8635571566786507,0.709205864660376
belarusian,0.8545970502072625,0.8914021719865796,0.809963320603165,0.9050782034587216,1.0,0.9483668942307136,0.8206989175078003,0.789288822091789,0.47977658372593746,0.9531003663606903,0.9755394461609638,0.9237294976804119,0.8492917450395164,0.8807708504936697,0.8966456193151269,0.7963082435824028,0.7589235446401819,0.7203204188644917,0.85061725685683,0.48579661885855974,0.7617134835230761,0.6316347396146904,0.8746204326817424,0.546663279433415,0.8243846877884957,0.8682558001605228,0.7654088738207374,0.5864311063761053,0.7358617061125575,0.5979073646033995,0.715139764963014,0.9450370380279559,0.9214632776185517,0.6573865075971786,0.7018088053394025,0.6984404163425617,0,0.8545491364875613,0.9470501433624374,0.7899579839574754,0.9557461222929707,0.9771085933269668,0.18248358045659954,0.7389470808678812,0.9616380161515148,0.9559598627249086,0.9610881916783057,0.8355439171907142,0.9132326107622784,0.8898509176121205,0.7496935304622352,0.8044606762242168,0.9922950323023029,0.8119107512216571,0.8618515903210204,0.6759907811407551,0.9337029814981286,0.6855477260067755
bulgarian,0.9122446955178144,0.8968182097069007,0.7329857460641649,0.7975175658756434,0.9483668942307136,1.0,0.8540852436402765,0.6917143911792605,0.4600950612208937,0.9599301616091961,0.9578869379998737,0.9367800123531583,0.8675929569574359,0.9017270946998158,0.8075788668816064,0.7302380386785149,0.8031536486675238,0.754494694590568,0.8606799924034293,0.39048498050191344,0.7493565757296053,0.6460970504910699,0.9070089201755506,0.47171509199924416,0.8140797762976877,0.8542301269382775,0.8060494838046574,0.6343497699451921,0.665357616549388,0.5220769036672975,0.6626444996379816,0.86684526594416,0.8247595155205374,0.5947305554408132,0.6512972447969356,0.6064033509863491,0,0.8876131088799438,0.9478411542684049,0.8306215648950205,0.9436379178689921,0.9512168103783729,0.20008710620193249,0.7316750457012706,0.9642939921684722,0.9527285545810321,0.9226855220864305,0.8682847719088204,0.922659783987397,0.7893795867634473,0.6375855681417152,0.7582335130929835,0.9582523665000449,0.8841491663734988,0.7893510368044488,0.6701201554332511,0.9161066687838403,0.5925678514160468
catalan,0.9416325945739036,0.7566892836114614,0.6203438675953016,0.7236162164260195,0.8206989175078003,0.8540852436402765,1.0,0.6174767934321136,0.4539500677988216,0.8210545317697316,0.8098770497948636,0.9219795477242754,0.971141961924574,0.9540699310502836,0.7006088893048703,0.6400593473920794,0.9659364938878406,0.8724372797311144,0.966347494736324,0.35945288081193816,0.9368464429190799,0.5779104233278937,0.8331581502264583,0.6202963908173454,0.7864118590877709,0.9425880241513185,0.9497907185402314,0.6217472154119734,0.5487997878752214,0.49955506384216786,0.5490284217301866,0.7494339062863788,0.6912118135120613,0.6998458041402104,0.6257714336931633,0.5189664489270694,0,0.7895069164220718,0.8304701537805634,0.9328947007034406,0.8829364495013517,0.8275118602964023,0.16603703183927215,0.7480906893366682,0.8409650223010514,0.8001812032634928,0.793737180679735,0.9944514408577722,0.8911839712486264,0.6451404506348056,0.5994631442480504,0.6994582805029869,0.8288910174596242,0.8042323390268908,0.6574338524460478,0.6898518716715742,0.9348147875643257,0.5443324280257021
chinese,0.5933393686311794,0.7175472509617127,0.6338925207700989,0.8317059799244365,0.789288822091789,0.6917143911792605,0.6174767934321136,1.0,0.511434361623291,0.7212945101370676,0.7507118959683848,0.6991958507422452,0.6266403335986841,0.696774378984529,0.7995991597586448,0.6503898686977782,0.5611646724393339,0.5816349257503667,0.6393145675927802,0.41706143653785127,0.6121164087716129,0.4491294973152665,0.7413043159303022,0.490629345512103,0.7418144152855961,0.6936737591055009,0.5468712556359898,0.6308102872747586,0.5217720402982421,0.7839522031486802,0.5820543691684253,0.8554563487031552,0.8252093577584872,0.5467165691863094,0.6057488776698181,0.5982405746849935,0,0.6191156753316135,0.7058362946108979,0.6196372305455189,0.7663962081981682,0.780348762431466,0.1632955493302869,0.46668823688043787,0.7405822855897704,0.7270388483534451,0.7817393023317405,0.6301664097965509,0.6857843535349493,0.83579726928837,0.7594434692172992,0.6836962383134199,0.7826184609486375,0.6284970747303366,0.8693690016908964,0.766956298429712,0.7447898411734664,0.6243299153732921
classical_chinese,0.4517765435976422,0.42043806172655557,0.39516384961599926,0.5249981078978418,0.47977658372593746,0.4600950612208937,0.4539500677988216,0.511434361623291,1.0,0.4934359530614369,0.46780921537381476,0.4985490467355833,0.4871598013340347,0.4040554144704585,0.5402257628109126,0.547920321417457,0.37180898098113957,0.30315999597675986,0.4614926728153034,0.49845344629876004,0.4053037083079945,0.2938910991265029,0.4327260808893853,0.43262659828255823,0.5160119615569143,0.47710506209484727,0.3542647718384051,0.2194817499012967,0.29912355571457844,0.4694870362346565,0.567441233006727,0.4941900517915064,0.4930970751828048,0.3786882142332489,0.623712763145958,0.4587094382039205,0,0.4093762634153937,0.49114903328420606,0.38063764167002967,0.41140470460159745,0.47195661797220195,0.5146836566383819,0.4585202647595768,0.5172496246029283,0.4641866572261259,0.48367585705258653,0.4553197941201815,0.5343926431774524,0.4418400529956152,0.5762220130896866,0.5252463260142484,0.4680440272598152,0.36827527853852937,0.5569764255477841,0.5117697506446183,0.4476048793280204,0.2897837912508566
croatian,0.9018452466578145,0.8693312317441517,0.8161093591049974,0.8685810984660794,0.9531003663606903,0.9599301616091961,0.8210545317697316,0.7212945101370676,0.4934359530614369,1.0,0.9701268954943524,0.9424223669177141,0.8594889633944117,0.8813461079508439,0.8638371661458424,0.8183711325335667,0.7461173108447766,0.6800174226594452,0.8553325189339926,0.46457572035333644,0.7514389063383905,0.6344384329511689,0.8673408329518187,0.5036864438719599,0.8167554782408526,0.8157408558289488,0.7662026603789054,0.5859067360522411,0.7407808793896901,0.6006913045948886,0.7139613477604028,0.8888873291371574,0.853707730061516,0.6340236802638358,0.7676793559883136,0.6844114869782616,0,0.865645970063776,0.9458463066409064,0.7611422632925297,0.9249025015765073,0.9513900428768522,0.21361784059884198,0.725224397405271,0.9874768393931043,0.9657007612674339,0.955763703758706,0.8338561965008778,0.9333279504804926,0.8316010099486166,0.7162644963380397,0.8109833533661658,0.9661041011107623,0.8395435269461683,0.8690581269103462,0.6848660936656003,0.9038411790953629,0.5835518679443157
