,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7143763974153816,0.7898781197388443,0.8150390324708181,0.8717596342838221,0.8760269430632565,0.8853791525963497,0.6532298649905445,0.46504492916380735,0.8809307880807002,0.8892597932414904,0.9381162590439269,0.9446320788900137,0.9337667555772984,0.8221412423102195,0.7416118133802657,0.8801170939469248,0.8231236673867455,0.9447293812245097,0.41574990428390474,0.8854902051690026,0.6051995829131973,0.7854845679325667,0.6347223917191342,0.8539537865347493,0.8547648258176492,0.8672019140957427,0.5703996313327135,0.7290395386848648,0.5786915413727384,0.6979217787347002,0.8183734783028305,0.8000274401588242,0.7335537536009751,0.7325625583768305,0.5436354202339406,0,0.7903347965727218,0.8821202293193767,0.8548245330426962,0.909949188911839,0.8906655206338068,0.33990188627715184,0.8536261679825161,0.8895474862377947,0.8861367026687604,0.8756910231637074,0.9072963161184927,0.9217379194877482,0.7013390743680695,0.6984615176839665,0.7841699429712472,0.885230269891704,0.7647551735053109,0.7870784833841658,0.6674076534724082,0.8785050285474989,0.5605573648772846
arabic,0.7143763974153816,1.0,0.5769232699561377,0.7546621695883633,0.8768305012204113,0.8498075266460853,0.6871553171752287,0.7720489408249064,0.4384666603259398,0.8352076480908992,0.8608548354178216,0.8014457540855141,0.7037232288294738,0.7466878747895594,0.7866972711512635,0.5542167407826636,0.7508561590063965,0.7989559422526664,0.7349303076759514,0.5131592943837768,0.683132961268652,0.7197303585412174,0.8097972927941423,0.35605560789250473,0.6469141928787213,0.694318154894291,0.7603510554881145,0.5565306917252542,0.5082457993960718,0.48006717309488545,0.6784765447780846,0.8900671442210888,0.8300768033148879,0.575940378923922,0.48503799738551306,0.39240977572830765,0,0.7239528605325086,0.8034080977803111,0.8347232323994187,0.8259052743519492,0.861751781755908,0.18076347663046652,0.6965426997801543,0.8338015485792156,0.8408972186135845,0.8057258826982384,0.7185539715243566,0.784388480345961,0.8930867287009463,0.5212641856885293,0.6794327875786799,0.8295949181571721,0.7477945653992103,0.7442745383047306,0.5721552077053418,0.8643564212479714,0.6094806800381282
armenian,0.7898781197388443,0.5769232699561377,1.0,0.8497326850200463,0.7846487958302433,0.7273236409480778,0.6381964509683047,0.602096424874997,0.45740890803061135,0.8182451048998974,0.8084458058750099,0.8188750271122361,0.7266121810324508,0.7730253637231823,0.8340883840562308,0.9337210200220253,0.5717134367107445,0.4912641372991064,0.7291724475523182,0.38723131958038215,0.6312951416694553,0.5586823932109911,0.631397090545057,0.573015474605352,0.7774837647778732,0.5841886446662237,0.5863017068375136,0.5004375542645707,0.921945315335097,0.6117523015343215,0.7388483782129235,0.7487530174805028,0.7695773568886597,0.7349001483890226,0.7976863822594714,0.720378584385415,0,0.8096184295372368,0.8049639084051007,0.5400541208849556,0.7672618348514255,0.8158046200269851,0.30828167096818204,0.735562685781241,0.8498160055185001,0.8222490119805265,0.8576649323516974,0.6592801399958502,0.8342871730183781,0.6408747058011613,0.7822471624534647,0.9024962714760146,0.8158560134515186,0.6409575169979832,0.8164092204559521,0.607958964759895,0.6885312619363929,0.5329913454027001
basque,0.8150390324708181,0.7546621695883633,0.8497326850200463,1.0,0.8905744266430253,0.7669252230813445,0.687143538185529,0.827379028355153,0.5754250434423999,0.87524157580611,0.8558905179237871,0.8427902509745601,0.7506836014310789,0.7905048496631611,0.9467318105073206,0.8312666984010383,0.6573311498099537,0.6068953689285708,0.7847947495175249,0.5501610477375811,0.7323689996394166,0.5324945056481186,0.701675310125017,0.6331042202912486,0.8003603903197614,0.6784944790398044,0.6402437298313735,0.5438327690481987,0.7478149248249799,0.7099410836339958,0.8070728719674285,0.9179731801692824,0.9286165042184485,0.7614323506586997,0.7785541989271307,0.6741305182935693,0,0.6804912406979582,0.8296907349779934,0.6722337320130252,0.8630332453075434,0.8825738852347137,0.36384527858061244,0.7494141415864012,0.9018036458053107,0.890942106676624,0.8739104470023215,0.7107523925891227,0.8238324635225035,0.8399054809168426,0.8230537910743219,0.8199689932799433,0.8865744392804894,0.6751488785859284,0.8962766666650552,0.6574971849169226,0.8192638573793117,0.624420786055695
belarusian,0.8717596342838221,0.8768305012204113,0.7846487958302433,0.8905744266430253,1.0,0.9321698862352319,0.7503938354253636,0.8025958697619597,0.5214573170719682,0.9462630550540625,0.9695028172792068,0.919299673456444,0.8168433803528556,0.8605146621443671,0.912309979917614,0.7515483344542975,0.7640968495045443,0.7311207662630631,0.8455493363076073,0.5007705179941576,0.752172260993271,0.619192641547846,0.8125635490043409,0.5285228876282663,0.7974310810419388,0.7301987999547976,0.7404068465095902,0.5567640575369466,0.7418391747803336,0.6154984347084334,0.8039122142740271,0.9618906158289733,0.9225414823451655,0.7219580347268466,0.7314540137107988,0.5806110197520366,0,0.7871959107874201,0.9392169661572642,0.7897270643657367,0.9058650057065086,0.9758392195054941,0.2954833683278607,0.7969290379270338,0.9533478677849045,0.9745131345298247,0.9220757906047835,0.7915657094261466,0.9004653976621714,0.866256370559477,0.7188291668721069,0.7963865990912199,0.9783884593208586,0.7680771088720926,0.8921453544472339,0.6509655782771854,0.883659341207753,0.5468196047543975
bulgarian,0.8760269430632565,0.8498075266460853,0.7273236409480778,0.7669252230813445,0.9321698862352319,1.0,0.825101614756821,0.6722210561005302,0.49338956757626323,0.9438520690603248,0.9574328974747027,0.9514843809342818,0.8541615235077724,0.8930412861641974,0.8065065321526804,0.6698370885071276,0.8062505463883071,0.7828217425666022,0.8584884187195796,0.4348354565692604,0.7240555278839708,0.6433653851259444,0.8992342962890231,0.4483632754231984,0.7997481446080282,0.7910150088788512,0.7897093019380335,0.6321814347541173,0.6471563189003048,0.5166855941675078,0.7189012740254762,0.8594857845859571,0.7899718880165317,0.6100426124048197,0.669381896814789,0.45338018856391865,0,0.8634651610949943,0.9481007593819939,0.8202245808225117,0.8955062142072016,0.9281774222656667,0.29521314028990087,0.8528257972275956,0.9464134354965946,0.9222073576840542,0.9227599451461445,0.8520795303351075,0.9276747951805948,0.742916606652402,0.6181954439924691,0.7330658620724768,0.9173306743708042,0.8807750267025463,0.7731317926670264,0.6692536836919897,0.8914658512329128,0.5203602533254834
catalan,0.8853791525963497,0.6871553171752287,0.6381964509683047,0.687143538185529,0.7503938354253636,0.825101614756821,1.0,0.5947953387526886,0.4651516000419843,0.786483238949551,0.7761559291500758,0.8814115908857125,0.9473903530198842,0.9315689226573945,0.6718595451509567,0.5734472706835562,0.9416017162335207,0.9056843705756843,0.9316446926889161,0.3366318100125434,0.9106645965574183,0.5591412112139229,0.8132834070002413,0.572550204846133,0.7586630108294731,0.9445850336457997,0.9313774031349215,0.6292180180602014,0.5012961901382333,0.4930066311415165,0.579370645100017,0.696865970463773,0.618847407488641,0.6218366989574284,0.6072694530547541,0.3493200254273305,0,0.7641688120078124,0.7840543152709722,0.9089307557814664,0.8434770045995864,0.7598049379733134,0.1915625283385798,0.7999508680253699,0.7972293908508554,0.735993756812798,0.7732804465295393,0.9939407584816624,0.8702434654316683,0.5874567994277542,0.5719155915355892,0.6741704387988742,0.7297342557993735,0.8074364435854269,0.6356836510236892,0.6738373110587711,0.9088413088213262,0.43942850083493834
chinese,0.6532298649905445,0.7720489408249064,0.602096424874997,0.827379028355153,0.8025958697619597,0.6722210561005302,0.5947953387526886,1.0,0.5677975289114836,0.7315580452281086,0.7399234717060207,0.713559914498863,0.6091730081305872,0.7104131692645643,0.8116355729765224,0.6427024640019346,0.6055905947863495,0.5840542278971611,0.6603134775509573,0.4830366868295589,0.6224315216331288,0.45516291490739097,0.666002903445032,0.4888078053653079,0.7217112623516017,0.5990434000110616,0.5553871252024658,0.6308858674336266,0.5113900574943209,0.767518511065529,0.6691259925829384,0.8574154436852511,0.8558234305716229,0.6477493440612397,0.5636924208857167,0.4604811430469407,0,0.581481115660482,0.6898172656147492,0.6595397826073188,0.7811566730094315,0.79161658460372,0.2489290925631927,0.5547189204143569,0.7441075519181485,0.7869943042966351,0.7165046191917422,0.623487007020758,0.705782460142496,0.8517021888227732,0.7162843820545538,0.689656046323833,0.7642409143517107,0.6347624756257765,0.8840565787592897,0.7497460417506322,0.7456014899656469,0.46119460316321725
classical_chinese,0.46504492916380735,0.4384666603259398,0.45740890803061135,0.5754250434423999,0.5214573170719682,0.49338956757626323,0.4651516000419843,0.5677975289114836,1.0,0.5487168599473413,0.5159491012612007,0.5531054572419322,0.47028067965736003,0.45190953744842927,0.5926105001970973,0.5380135475927489,0.39412329149142006,0.3657909642537239,0.49223529773854807,0.5328408864477826,0.4523560114051567,0.2903740135662656,0.398792340374031,0.45859393864444603,0.48716375228597936,0.4646028263562272,0.3527862553707423,0.21718884034584618,0.32303711950255065,0.4514174494685842,0.5574076796629927,0.5382835118929334,0.5232211906997614,0.3443571533188998,0.6836387923327067,0.3233301620234624,0,0.443792001181089,0.5013829899810188,0.4053238636384319,0.44844864442142174,0.46488284952979636,0.6950976900170706,0.4195282304169358,0.5660192708331017,0.517295227492567,0.5043345247128742,0.4741907544626758,0.5197700739895966,0.5119883075072716,0.6306936838368334,0.5399770544332757,0.47941339863546056,0.4223075660709846,0.5742352858099766,0.5085895254875474,0.4934318539665186,0.3232830259109554
croatian,0.8809307880807002,0.8352076480908992,0.8182451048998974,0.87524157580611,0.9462630550540625,0.9438520690603248,0.786483238949551,0.7315580452281086,0.5487168599473413,1.0,0.973083586195482,0.9588818268852201,0.8627439654614809,0.8953480021598909,0.9177715753707028,0.8032238666956567,0.7693320365361428,0.716099837419594,0.8815118857124565,0.5341423214083888,0.7518344597745685,0.6419185535351235,0.8611121747722472,0.5337147638351151,0.8337037972905191,0.7665861398145439,0.7597649028568064,0.5988191851878312,0.743057697605011,0.6013641643015722,0.8153299083448292,0.9144277457082185,0.877142946182313,0.6994649419745691,0.7617941058966835,0.5875666832120942,0,0.8505706248248212,0.9410346546160705,0.7687203966639984,0.901824024438814,0.958280090228327,0.3944535801640684,0.8943593716126604,0.9789146165741018,0.9568180873061722,0.9674279698271624,0.8225121879964626,0.9503738678269361,0.7972633663451546,0.7342202948236259,0.8088414916555384,0.9532045185129194,0.837704340175798,0.8524959709530989,0.703616233210555,0.8994651203854891,0.609051313021873
