,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7512278249558217,0.6931938059577175,0.71939358889292,0.7577509643502358,0.8728716382166343,0.9443406858850237,0.6695820120889444,0.4914619073181958,0.8718836945681622,0.8590140983795007,0.9416603200881504,0.9564913199128463,0.9291436705443761,0.7021277832289229,0.7344371434771656,0.914764243239012,0.8973278167978866,0.9483951244171445,0,0.9110946325244144,0.698793159474172,0.7846847839951198,0.596140120349635,0.7878678252418431,0.8479514576974662,0.9335551094976906,0.6197326698392129,0.6425187036119643,0.568646401979157,0.5136951397353501,0.7921580097512002,0.7441984733206917,0.7376581727059789,0.7321244237276511,0,0,0.7907272961535495,0.8425298084654338,0.8646752887332431,0.9200690224995304,0.8402062943511953,0.35620524272425613,0.8187701837324369,0.8800009700874999,0.8151271820660396,0.8908597567794774,0.9485679836270232,0.897200236824015,0.6934736479818906,0.6145469824192306,0.7661743049146537,0.8305028718315984,0.813736266113633,0.5362080903656725,0.7846938312840864,0.8323070373567025,0
arabic,0.7512278249558217,1.0,0.5359658376147015,0.6854957172119494,0.7641172237593589,0.8534957051709814,0.7600296449660037,0.7138551738561986,0.4182608949786013,0.8278494451529135,0.8765915313908946,0.8098559839797108,0.7828733458805821,0.7644309010475304,0.679200442613496,0.5522611846283688,0.7811168177914583,0.812246283296441,0.7652668195840551,0,0.764629588395896,0.7341109966325754,0.7856057790230516,0.34111920361465037,0.6697854935053494,0.7972526391920121,0.7990936727058826,0.629975793557733,0.5018691678168674,0.5084767891724149,0.4965376061696347,0.8160569622063971,0.8027242883398467,0.5631408721694016,0.5129010395054915,0,0,0.7593264146589964,0.8158436923664775,0.8447971602311538,0.8861242443775926,0.8312344055785208,0.30518776084692995,0.6826220497173279,0.8271412936581476,0.7808384415637135,0.8728748156802791,0.7793623947392305,0.7478219037380447,0.8613750327673844,0.5222694642828188,0.6675827887531417,0.8020535294177594,0.8417822923646954,0.5141026908890095,0.6320338216911976,0.8120374935373523,0
armenian,0.6931938059577175,0.5359658376147015,1.0,0.8913038511618481,0.8813176463859905,0.7780149349190517,0.6724285298627788,0.7197938094375678,0.3540341378723075,0.833844674590252,0.7987598375363884,0.764191948079604,0.7545549893236323,0.773552761682233,0.8850188559642772,0.8799157076695252,0.6075117307487117,0.5592104080674921,0.773408378838222,0,0.640692401749292,0.655648656416807,0.7766057599517455,0.620751050277865,0.7521724300266601,0.755250060059391,0.666654240624754,0.42895694990738154,0.867239840240397,0.6825713154362281,0.5378087648331814,0.8597962961038026,0.8560738053861382,0.7987949860544086,0.7643228809840346,0,0,0.6638013021520848,0.8100705412071237,0.592254463917815,0.7233008196160919,0.8715962922737264,0.28173115949295136,0.8230432821969186,0.8250863266043936,0.8955978010567328,0.7879965712798879,0.686559778781885,0.8569881401480165,0.6425913128119881,0.7379750203912538,0.846299655149846,0.8978524074784452,0.7161924297268351,0.7546376592258609,0.6096953680592238,0.8023101931908215,0
basque,0.71939358889292,0.6854957172119494,0.8913038511618481,1.0,0.8888339776854107,0.8307291494169262,0.7401576137425064,0.856534882053399,0.5741020589028447,0.852340913906661,0.8432413960650765,0.8113779171012204,0.7874863913706073,0.7776920109518759,0.9451519107568042,0.8720884117884707,0.6489183499040905,0.6332605437348688,0.7997641623288325,0,0.7138904673665305,0.6603974871913875,0.8359256814009453,0.6245373699797437,0.7658634987936958,0.8486771464696136,0.6835646486130083,0.4874415229732309,0.7364554905820451,0.7883767057400988,0.5909550820254676,0.9361075807842064,0.9310093007002684,0.8319586062835325,0.7858963745099851,0,0,0.6415433311099878,0.8189858014207976,0.6870099514092203,0.7880356935533966,0.8811590949749215,0.47481409014532877,0.8199066998376281,0.856729983310449,0.9038018515502212,0.841240473930551,0.7534573895606567,0.8666132975461146,0.857222630748352,0.8239693906404258,0.8082291159134397,0.902246508009463,0.7871151022415439,0.8296116214363796,0.6725699992599194,0.8983264851950628,0
belarusian,0.7577509643502358,0.7641172237593589,0.8813176463859905,0.8888339776854107,1.0,0.9093508876799998,0.7527726923205437,0.7701232911338315,0.49667225864415254,0.92475890896163,0.914897199842014,0.8400532180245709,0.8463936795196412,0.8314909076359843,0.912934134583542,0.7863716497367893,0.7371420005523648,0.6726192940112997,0.849842165635504,0,0.7403191868081339,0.7008855282266961,0.8475054820248759,0.5825667096562596,0.7785770508357867,0.850031929792271,0.759489639631121,0.4919323845593359,0.7228301880685134,0.6900843533716836,0.6740228982819259,0.9418373408601981,0.9360215718123046,0.7749776350997971,0.7012905803086383,0,0,0.725049037629492,0.9154524997277323,0.772071737077413,0.8638249584445097,0.9411937449482386,0.40356832308408863,0.8129079565032605,0.9011406596950513,0.9736816182647874,0.8933972247475237,0.775117564024958,0.9060228887960636,0.7575585948996255,0.6499143683882158,0.7910591426894255,0.961270983269871,0.8251808798007118,0.7424098997891148,0.6596576319327152,0.9058990979298683,0
bulgarian,0.8728716382166343,0.8534957051709814,0.7780149349190517,0.8307291494169262,0.9093508876799998,1.0,0.8530436451575323,0.7615837694211537,0.5149583086173376,0.9564767363346393,0.9458788669154948,0.9439599865224642,0.9153352199799937,0.9041111467860657,0.8246015775074665,0.7717346910492604,0.8264813144479666,0.7920229590979188,0.9173666009120341,0,0.79071264482496,0.7477717556254677,0.8817263599604173,0.5278434022788235,0.8341445768814875,0.861504336935394,0.8493007478706208,0.6631762113957916,0.6900449766834538,0.6399466287153848,0.5953239321727634,0.9120244332130866,0.8897773908685097,0.7762034201537568,0.7079535571330214,0,0,0.8325177026500287,0.946542875826838,0.8371397005311475,0.9522435791980994,0.941893519962605,0.4665001126399177,0.8680250306797249,0.9586664027174108,0.9276638963613393,0.9626891407214012,0.8702952752868659,0.943587319118106,0.7888789491971365,0.669716426561003,0.7878873905513393,0.9345373005014949,0.9050825045354682,0.7099076395744908,0.7599972612988598,0.907093215182094,0
catalan,0.9443406858850237,0.7600296449660037,0.6724285298627788,0.7401576137425064,0.7527726923205437,0.8530436451575323,1.0,0.7281507724461684,0.49873651697371774,0.8260314047759406,0.8074238746552318,0.9236227182102772,0.9539385734496366,0.93033786619385,0.6958830524864631,0.6896945384793173,0.9545977134399437,0.9258882571774171,0.9430640120220323,0,0.9313161198164206,0.6839332720634,0.798346620541683,0.6310273120027163,0.7914534691068338,0.9007621265232029,0.9498393081503008,0.6894718825631493,0.5571735141870411,0.5958076360957888,0.48131099862735777,0.7768448450519913,0.7388647011135528,0.7340483332511714,0.647614427473072,0,0,0.7621628664434786,0.8279529391555872,0.9248276114937359,0.9272295356883405,0.8173123892705152,0.31121533152620356,0.8374192074090828,0.8371281368134926,0.786137955045705,0.8530467184664301,0.9983492594834869,0.8667265146454399,0.6974717625064799,0.6037029869183695,0.7178623223783401,0.8255897709566952,0.8102717216971637,0.539401581189361,0.7987028818823625,0.8808872541758948,0
chinese,0.6695820120889444,0.7138551738561986,0.7197938094375678,0.856534882053399,0.7701232911338315,0.7615837694211537,0.7281507724461684,1.0,0.5027772705405548,0.7788691382564343,0.7872040451458934,0.7682549772428243,0.7327780835945611,0.8001994363463859,0.8055070533184907,0.7389142937110755,0.6604935253053698,0.6385246057364761,0.7305848772015762,0,0.6811612800910545,0.60860355446465,0.8811993799320145,0.5360214956223863,0.8446722291100089,0.8064810268757724,0.6667126437170658,0.6363195117194934,0.5658593076175168,0.8449555299690248,0.5162288326630399,0.8585063662210035,0.8295348160902386,0.6969192254993051,0.6625390238455908,0,0,0.637900788884138,0.7434487344892223,0.6995558411535925,0.7737851784998256,0.8117397940428067,0.3617853972669271,0.7177109039719312,0.7767408069833431,0.7977460273089457,0.7839448444134605,0.7423589245898512,0.7694021333894489,0.8168278566051231,0.7942088634998526,0.7018439089247045,0.8281930352715312,0.8464868768292605,0.698859295788493,0.7766505096774324,0.8508555925018982,0
classical_chinese,0.4914619073181958,0.4182608949786013,0.3540341378723075,0.5741020589028447,0.49667225864415254,0.5149583086173376,0.49873651697371774,0.5027772705405548,1.0,0.5026994918277472,0.47476549940817386,0.523685161180683,0.5032147300594872,0.4453121413072566,0.5670907161815408,0.5308414120910456,0.40349471155969074,0.3511072228231762,0.4956929067408554,0,0.4183499964975314,0.394590899709911,0.3997207951469724,0.36142847216925655,0.4721061949139764,0.4452448894845894,0.3790086773970147,0.24817001572634587,0.3164515730351849,0.5506081218300524,0.695592292721434,0.531490378593023,0.5050831963408322,0.4714898555655306,0.5650735219383647,0,0,0.43626630945109746,0.4870686567649351,0.42882370887098975,0.46296713402012657,0.43444550531864556,0.6937816632772696,0.40149942960659146,0.5038115956993624,0.48303035049712606,0.5091162623619231,0.5045294749742808,0.5699611412343895,0.5435668059072427,0.4970138634129514,0.5056677698274047,0.4311108937586016,0.4167929357871024,0.40302019477995615,0.5360946238179607,0.4882122229528877,0
croatian,0.8718836945681622,0.8278494451529135,0.833844674590252,0.852340913906661,0.92475890896163,0.9564767363346393,0.8260314047759406,0.7788691382564343,0.5026994918277472,1.0,0.9672903222814613,0.9366620076961237,0.90317988752627,0.9008664261269117,0.8694552714957737,0.8383742758164702,0.7927921348084722,0.7371045048237691,0.9103257208494435,0,0.7915805056730071,0.74336900221316,0.8583180652153859,0.5396056632980265,0.8400728048693932,0.8480943369784036,0.8308739581469796,0.5970537469858731,0.7474735935073437,0.6661519218331384,0.6517364619539369,0.9440961476436803,0.9006282481267293,0.7517976439252284,0.794292452766376,0,0,0.8206877140676242,0.9378874433625783,0.7821458802965698,0.9315698892763005,0.9610250889705162,0.388289181591289,0.8418841694721018,0.9907303438266847,0.9581427888697597,0.9849523075535913,0.8462024782332392,0.9616545779166022,0.7914489570200989,0.6925251344905412,0.8501766301972282,0.9510913028553334,0.886941984843271,0.6540919027566396,0.7506143257337717,0.8896011525519487,0
