,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6834501633924456,0.7580622223255472,0.7575160087027932,0.8383468801934314,0.8982875890997398,0.9411793324915599,0.5849963368661993,0.5395957635645243,0.8268012849931093,0.8618908998182193,0.9376686802139728,0.9666014030589842,0.9524154959578478,0.7804130002760241,0.7499604758529411,0.9177990203087312,0.8889133895482242,0.9664098334764409,0.41233455513732054,0.9102075022473071,0.6438187758988074,0.8497236267179624,0.6283584861432476,0.8115464157572214,0.952352560583632,0.9318138145124862,0.6494545443099202,0.6428679916440825,0.6064083945808469,0.8073142376172467,0.8182272337182377,0.709558393566915,0.8408511064387124,0.7234643518829512,0.7136944449479241,0,0.8290503953497266,0.8303587893715201,0.8931525728552768,0.9095558653441566,0.8464012175565585,0.437573115812662,0.9094717125734342,0.8669919061610409,0.8717009050979985,0.8568055833680857,0.950270861885292,0.9244419025036765,0.7241016289791234,0.7006613250459456,0.7769072919953799,0.8643125766178726,0.7852507629649389,0.7642335663974695,0.745864902953572,0.9178430381731525,0.7828878898782042
arabic,0.6834501633924456,1.0,0.554931478837466,0.7197296726682608,0.7397491706527644,0.777820951786849,0.661201356475376,0.6799639523510825,0.49853426869049094,0.6865928919148293,0.7894083928538552,0.7520479458307069,0.6876367284666439,0.7163179908799687,0.770174762355384,0.5626711550293185,0.6693990004288538,0.7480819940830946,0.6783645018340132,0.6627494794873261,0.6425558115803403,0.7443704678556325,0.7816826814597186,0.3619722956070195,0.6491848917481658,0.7435011493492467,0.7309416375059634,0.6022461331078771,0.4594197371574803,0.5551871136313407,0.7034421506558594,0.765249073592338,0.7483347215795869,0.4325586543492148,0.4980740155379574,0.5268709612675967,0,0.7016106445851663,0.7148051255359859,0.7922147561315793,0.7533891528858055,0.779169742236164,0.36865938087191136,0.6068999139809278,0.7532362406720688,0.7922390291884586,0.7314800522004097,0.6882522820136162,0.7158149896703726,0.8279451963477823,0.5576739213048434,0.67302412986719,0.7596877626617438,0.7538283025274939,0.6495629224523916,0.6192223033537649,0.793910582560874,0.6959098934315509
armenian,0.7580622223255472,0.554931478837466,1.0,0.880364983664733,0.8832416026651607,0.8220292756355732,0.7187454465808206,0.6237937996425912,0.4915018569199458,0.9238070180547082,0.8374415287707707,0.8405218606090428,0.7592284302128379,0.8261355600881587,0.8369666534936212,0.9512669226840328,0.6692361847217786,0.5588328519119392,0.7591182480749482,0.18237305561592881,0.6296899563045131,0.6405464148932889,0.6782423382081728,0.626618152335776,0.8376046860193793,0.7457050107317531,0.7231847137518205,0.5174867795172743,0.8877520427782272,0.7229195030183301,0.892959654940809,0.8717258491598432,0.7971978366022808,0.6578245851062584,0.805592002577046,0.9444241154043949,0,0.849253632256325,0.8906502458587081,0.61526632357802,0.8327497449328802,0.8661134164743657,0.42072391176719687,0.689870012669314,0.9136288028626814,0.8415462631582025,0.8991574859054965,0.7092522963141261,0.8786655094676789,0.7690015284419648,0.8165651478170468,0.9190321890812968,0.8889320113753443,0.598445779629866,0.8948340616221037,0.7329368506234054,0.8050484471071407,0.7961781330653669
basque,0.7575160087027932,0.7197296726682608,0.880364983664733,1.0,0.9334804351775129,0.846776572433856,0.7220644622285622,0.7888337837930922,0.5550041293610481,0.9165349475895224,0.8663562093417916,0.8364384252763121,0.7715814478050397,0.8138297362187255,0.9615967576254114,0.8874352420920106,0.6807109658877708,0.617341505332873,0.7763151418495937,0.4990788293635234,0.6812716247143967,0.6050426552417332,0.7548909281284969,0.6189143337841386,0.8348525850394967,0.7953608949474943,0.7286170888245787,0.562389752804096,0.7500444147480596,0.8226076404732195,0.9235438675167498,0.9583542751713672,0.9299861597689815,0.6303881876307258,0.7516869081984298,0.8799668944224581,0,0.7462901719841134,0.8876935394731901,0.6989705112766724,0.8811908532537436,0.9137654321391916,0.5042429564508716,0.6785874422215245,0.9352750124050866,0.8775519934153365,0.9386586638002705,0.7253302382834818,0.8460892104258052,0.9259746195123226,0.8478593653138631,0.8603558448903403,0.9273638272954394,0.6743059832801453,0.910362264757315,0.7691718319414536,0.8634130217038691,0.8388618035374885
belarusian,0.8383468801934314,0.7397491706527644,0.8832416026651607,0.9334804351775129,1.0,0.9355546551393441,0.7967974866450863,0.7503603397671994,0.5581756055383944,0.9487979509862359,0.9148541385817077,0.917834877120915,0.8524942206251265,0.9058769577435278,0.9063763374735988,0.8758610499593511,0.7957534937663118,0.7058396461126099,0.8540319160944038,0.3993184228722932,0.7085416083855324,0.6819393600681977,0.817829028077185,0.6499501206104565,0.8886461016074685,0.8623407201321132,0.8180846110039047,0.6245550625382124,0.7603426193679547,0.7690000265961076,0.9482903648042909,0.9588274957608542,0.9105770140560623,0.6669295073267331,0.7516789021993182,0.8920295502965132,0,0.837714036273062,0.956074447042505,0.7870927540146265,0.9452020970898771,0.9533681892763346,0.47418371627068207,0.759953976360278,0.9609056332643221,0.9269635850972526,0.9550674266232757,0.8113954191912047,0.9179324211310546,0.8761342473752405,0.871811381408866,0.858151610785079,0.9825864526250965,0.7309285636439853,0.8857554325286453,0.8071129689542231,0.9149063873917187,0.8433071236665651
bulgarian,0.8982875890997398,0.777820951786849,0.8220292756355732,0.846776572433856,0.9355546551393441,1.0,0.841932974091091,0.6759328553850757,0.4866632177089108,0.9244014694005375,0.9528749122112203,0.9590220459415957,0.8889746745351258,0.9459615687352576,0.8509076389683439,0.7940333730584748,0.8387767986640343,0.7627449127381966,0.881530204905278,0.39203369307670294,0.7411137623983622,0.6928820190303093,0.887807131290427,0.5634136038101193,0.8705936933470115,0.8862271552450574,0.8694312049182619,0.7198703135113964,0.6805305285690716,0.6940342846057221,0.9182912752510168,0.9134903393431054,0.8455046706892481,0.648678791194649,0.6781570459052775,0.7821300469310584,0,0.8895153201521362,0.9467140217744391,0.8479594914033592,0.95446428404574,0.9495527300832788,0.4016383569746573,0.8060975116079901,0.9514254228030016,0.9552481513389767,0.936644024969757,0.8554393845666287,0.934988981332893,0.8114022220884198,0.7158403220365469,0.8122489254109357,0.9572620096454083,0.8329444502042963,0.8001286605584885,0.7918604590629467,0.9488672514912534,0.7819362670160444
catalan,0.9411793324915599,0.661201356475376,0.7187454465808206,0.7220644622285622,0.7967974866450863,0.841932974091091,1.0,0.6185669660341665,0.49724079415991107,0.7895904300705371,0.7945116787677564,0.8997750584357658,0.9671061495621771,0.9387305775925332,0.7265334483703946,0.6915109962619354,0.9525343110844897,0.907422260949479,0.9649192916161067,0.35751015905094974,0.9348772635941077,0.6179806408733473,0.7993332806948664,0.6692363091104641,0.7951949029262959,0.938167008579935,0.9456641783184735,0.6692905125707931,0.5487463557291495,0.6136071561429687,0.7501130407091682,0.7711117278664971,0.6620974317539294,0.7870313128987345,0.676598318069473,0.6415273919936699,0,0.7679871776234976,0.7856545685933262,0.9194300384997731,0.9054910741277404,0.7845148603103991,0.3117897812861003,0.882173275258213,0.8230320504639006,0.8083135824264316,0.8384863759770154,0.9916105486041669,0.8959333303755275,0.6785438735716641,0.6600703060882566,0.7234676967624923,0.8215639947704254,0.7402413668593287,0.7132400745100315,0.7338375744624732,0.9055436478623706,0.834778793737941
chinese,0.5849963368661993,0.6799639523510825,0.6237937996425912,0.7888337837930922,0.7503603397671994,0.6759328553850757,0.6185669660341665,1.0,0.5279320301166505,0.6946749847479974,0.6886548209076532,0.6691182238295781,0.6340309435570002,0.7013241466061104,0.7593853457562776,0.649878967443762,0.5849400282061865,0.5644392102047568,0.6264649216457422,0.4964458910977515,0.5573891134663941,0.4807338035863251,0.7551079014021768,0.4768976378150049,0.7714725753848055,0.6679031577701099,0.5904360727080444,0.6185245768010899,0.47774264153217655,0.8499337856296973,0.705585131641115,0.7687851288969778,0.745964560807375,0.4714413651084934,0.5793626106685059,0.6182443940281066,0,0.5930026387654045,0.6904576221691021,0.6380939144282057,0.7264096872882023,0.7162743122032513,0.3448392941279549,0.4942104342236392,0.7142818045810122,0.703187294631467,0.7474300008914568,0.6291412239069197,0.681309595516406,0.7760366747279392,0.7371187580327778,0.6935415253536535,0.7514955748073706,0.7183959011954518,0.7924948859907688,0.8375649590253187,0.7113860291203133,0.726949649897124
classical_chinese,0.5395957635645243,0.49853426869049094,0.4915018569199458,0.5550041293610481,0.5581756055383944,0.4866632177089108,0.49724079415991107,0.5279320301166505,1.0,0.5445557010172315,0.5188823523896028,0.5493384109864623,0.4917652434303851,0.472666947830265,0.5960589289255165,0.5503798479920264,0.40527046590349963,0.3925841448249829,0.48715029448748803,0.34177755221001044,0.4734775664743784,0.3553099282789799,0.49045163530585556,0.38690931771884896,0.5517474236803463,0.5085037079683409,0.387465907108913,0.2603930400706928,0.33413751173075285,0.5209468884352751,0.5077845414327163,0.5600833564397245,0.4787194755168617,0.5308031089211527,0.7283608198376295,0.5633479033270368,0,0.4825008199226861,0.5171608085448232,0.427765197059369,0.47932456466586965,0.4837209904295217,0.7866136066139984,0.38742880346713887,0.5498439559602487,0.5346207341455655,0.5440566781234154,0.5266796618270073,0.5877229270809673,0.5542073807651674,0.6467392366225136,0.5455771355027765,0.5228898681256032,0.39328491171556873,0.594702513347367,0.5433740837941263,0.5075718323341692,0.5478997198127789
croatian,0.8268012849931093,0.6865928919148293,0.9238070180547082,0.9165349475895224,0.9487979509862359,0.9244014694005375,0.7895904300705371,0.6946749847479974,0.5445557010172315,1.0,0.9382673871078708,0.9098358999917279,0.8295401069925583,0.8911501536104033,0.9001779103821594,0.8935064915410368,0.7614550611243772,0.6432186659080068,0.8367649912056784,0.284598828095647,0.7090275218510834,0.6674263890702687,0.7633923160476591,0.6486910366872451,0.8836347440297662,0.8225268510794543,0.8032451516958188,0.5634495437806654,0.7588766691042247,0.7636431482351953,0.9624443957471782,0.949901022095541,0.8814778592888879,0.6641009231539735,0.8008480302121774,0.9059039168152158,0,0.8344368431970451,0.9563641838749136,0.7336081896406024,0.9166929680923321,0.9536120722809411,0.48959500175296167,0.7420495853410565,0.979048533531869,0.9424823800256092,0.953806091433461,0.7944060237005272,0.9225005101298629,0.819302720143684,0.7854044672409825,0.8729659619167792,0.9631068693930767,0.6968461767367414,0.8729132778303306,0.7993062457011121,0.8920602954032677,0.8047877534892537
czech,0.8618908998182193,0.7894083928538552,0.8374415287707707,0.8663562093417916,0.9148541385817077,0.9528749122112203,0.7945116787677564,0.6886548209076532,0.5188823523896028,0.9382673871078708,1.0,0.9208400457055799,0.842844563897255,0.8989657009671418,0.8842562256796306,0.8143464530575433,0.7775031405176897,0.7093551525716475,0.8495435362877143,0.4422247317408279,0.7323901770854777,0.6638246982362733,0.8142113970243887,0.5381441929985655,0.8254446978296008,0.8510029255042193,0.8136869092820059,0.5818956026175606,0.702756224414045,0.6966436492649574,0.9342485846331852,0.9198555639793943,0.8849206277683769,0.6640723246665112,0.7421991657047472,0.7866703056297133,0,0.8417252814233817,0.9455060554165623,0.7946122377679187,0.9190049351783303,0.9678057247281169,0.42155462461486676,0.7461100494236563,0.9444579775372852,0.9964721099857966,0.9139406793983206,0.8037100678934682,0.9043529495687974,0.8610258868281163,0.6869340658156654,0.8404772838070579,0.9606232143227224,0.7666706905408319,0.8365126487625385,0.7413214819365467,0.9075372499899973,0.7253769337249851
danish,0.9376686802139728,0.7520479458307069,0.8405218606090428,0.8364384252763121,0.917834877120915,0.9590220459415957,0.8997750584357658,0.6691182238295781,0.5493384109864623,0.9098358999917279,0.9208400457055799,1.0,0.9421895274312865,0.9619401278824574,0.8548330124997408,0.8405157063662473,0.867224414242437,0.7944699214535771,0.9324345267223765,0.3865507522029873,0.8185432862412649,0.7053808599175553,0.8785426298716589,0.6020400174461388,0.8741882993285803,0.9218540743069871,0.9062580598231236,0.7061739433878925,0.7248218713161241,0.6705480577897698,0.8854944689826638,0.8877823484908414,0.7895867837145067,0.7024812599043515,0.749127506344668,0.8088206925212166,0,0.910075588357344,0.9077321062376486,0.851488466584528,0.9458224591704899,0.9143722099457947,0.4623918952365553,0.8802555834825608,0.9432179595365946,0.9346845449682626,0.9360621445213264,0.9061519588588813,0.9797210570320876,0.7895949054220183,0.7580028701756991,0.8357152614327719,0.9376650159062854,0.8277428989611663,0.8324284220727308,0.8045293026234861,0.9565968342468447,0.8439515149265692
dutch,0.9666014030589842,0.6876367284666439,0.7592284302128379,0.7715814478050397,0.8524942206251265,0.8889746745351258,0.9671061495621771,0.6340309435570002,0.4917652434303851,0.8295401069925583,0.842844563897255,0.9421895274312865,1.0,0.9659863624004879,0.7889977832437284,0.7559742800330728,0.9571002337059128,0.8915352393313954,0.9864698598709032,0.4115470272430814,0.9397239620198773,0.6448408951408974,0.8191084753370332,0.6765056647341777,0.8238714650075302,0.9647568468730131,0.962893998317242,0.6466655669067932,0.6347025211634355,0.6276072768469625,0.8230035120973253,0.8369431405568009,0.7381111514360731,0.8073082498089109,0.6875526215893745,0.7174259876567187,0,0.8250894002758142,0.8309374261367958,0.9266748212877608,0.9412999228810762,0.8441644602144209,0.4028462824915974,0.9168363234063117,0.8624476041492489,0.8581113538400181,0.8680927905901558,0.9731390241444009,0.9393547935329414,0.729246280850484,0.7030497109913424,0.7784630364060231,0.8714345663879868,0.7541526072077295,0.7591209307433157,0.7531578781400632,0.9310140994705612,0.8314246189500006
english,0.9524154959578478,0.7163179908799687,0.8261355600881587,0.8138297362187255,0.9058769577435278,0.9459615687352576,0.9387305775925332,0.7013241466061104,0.472666947830265,0.8911501536104033,0.8989657009671418,0.9619401278824574,0.9659863624004879,1.0,0.8179310940238059,0.801649705541596,0.9220059499137631,0.8463774708850986,0.9609553125649019,0.3699299622251337,0.8565415261459,0.6875334576698455,0.8949584627097485,0.6452387520510046,0.9063309494914866,0.9444212598382186,0.9434598877003152,0.7430846193752045,0.7025398558705948,0.7181727069281896,0.8776094907202694,0.8720699770989806,0.7820403625040109,0.7469204469385375,0.6936797524546514,0.773207263696797,0,0.8809510604880885,0.9018516890777384,0.8940208315060691,0.9632142012076045,0.9061140151026372,0.368258240224013,0.8947935776419262,0.9187798253435329,0.9078060313706139,0.9119522520346955,0.9450399171854802,0.9565349184123806,0.7595398749107575,0.7458951822899444,0.8389254090836439,0.9265568219849699,0.8433271462155129,0.8222478149072123,0.8352678844050037,0.953058696222347,0.8285734062485973
estonian,0.7804130002760241,0.770174762355384,0.8369666534936212,0.9615967576254114,0.9063763374735988,0.8509076389683439,0.7265334483703946,0.7593853457562776,0.5960589289255165,0.9001779103821594,0.8842562256796306,0.8548330124997408,0.7889977832437284,0.8179310940238059,1.0,0.8872445228981594,0.6791263910146186,0.6348285365940568,0.7942863578405829,0.5922462357504777,0.7095446986641251,0.6113104624693673,0.7659484470576604,0.5777787178953023,0.81598090553045,0.8155148865151556,0.7420209725990903,0.5371252324623458,0.7352695770280454,0.7825418049307297,0.924114951253776,0.9536059729589037,0.9241419821647725,0.6216809615361752,0.7150603068674781,0.8518858540714456,0,0.7625699332518024,0.8748354736013715,0.7088561905529934,0.8758804007733367,0.9282967552339061,0.5692456014280632,0.7210893204821633,0.9241480068787944,0.897553830292559,0.9224382307800522,0.7404937739028062,0.8578371669935063,0.9230764600854013,0.798902441282219,0.8696201491215189,0.9190500640262418,0.6979508016037252,0.896832989660614,0.745293083688951,0.8779142227467415,0.7965810625842213
finnish,0.7499604758529411,0.5626711550293185,0.9512669226840328,0.8874352420920106,0.8758610499593511,0.7940333730584748,0.6915109962619354,0.649878967443762,0.5503798479920264,0.8935064915410368,0.8143464530575433,0.8405157063662473,0.7559742800330728,0.801649705541596,0.8872445228981594,1.0,0.6438153104232366,0.544930861919193,0.761363389188442,0.2870847687726187,0.6322204150489844,0.6391998172402186,0.6687256053417906,0.6066400731002027,0.8097278724405824,0.739178283069702,0.7069643604153444,0.47929022494728274,0.9064079709688311,0.7354839846545062,0.883421826155714,0.8793663257778768,0.7984555097858193,0.6697096158168198,0.8165578338181623,0.9552116250488508,0,0.8220318077006389,0.859678467570928,0.5865927763518817,0.8204959959665657,0.8524561238487276,0.5154876280977827,0.7120089709818156,0.8852267849260526,0.8320326508361121,0.891652903073192,0.6868029502737926,0.8809382914986524,0.8044667875084546,0.8573497280489748,0.9189280517845126,0.8796048054313548,0.5854647407602717,0.9326050273177654,0.7343476902423381,0.7948297437598226,0.7693861549027029
french,0.9177990203087312,0.6693990004288538,0.6692361847217786,0.6807109658877708,0.7957534937663118,0.8387767986640343,0.9525343110844897,0.5849400282061865,0.40527046590349963,0.7614550611243772,0.7775031405176897,0.867224414242437,0.9571002337059128,0.9220059499137631,0.6791263910146186,0.6438153104232366,1.0,0.926400071916712,0.9516424358048111,0.3351203037503346,0.924629129653637,0.6636009148213841,0.755879783764096,0.6817182913968854,0.7644186640864672,0.924745887151135,0.9683204590676824,0.6113543874695704,0.5146007924162408,0.5789702742530702,0.7568501389176426,0.7601706368577433,0.6911418295813372,0.7865942820431447,0.5886882958811409,0.6155631401114227,0,0.7494227020463089,0.7781165556717888,0.9590848115502238,0.9012516659160176,0.7728730514920604,0.28620293078224823,0.8474852532247599,0.7810377131206602,0.7912972348525261,0.7969728940086506,0.9588756185134116,0.8575296623431288,0.6626840848511072,0.6189178212643102,0.6934093161059183,0.8088125180757971,0.6877600615280791,0.6522865505428926,0.7025158279885302,0.8821909281905529,0.7907085927415748
