,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7886087365241367,0.7418848263812835,0.759861213966087,0.874499601302294,0.8983978703968061,0.9452666407947508,0.5590988610319307,0.5050348203633085,0.8749006022045455,0.8643268963769387,0.9496564992416776,0.9487174069618648,0.951209954000703,0.768173024455058,0.6697964763628693,0.9097299230041476,0.8895951458224017,0.9420767220529692,0.32709542579498285,0.8942484645116673,0.6147028726204772,0.8795168395868226,0.5637880232166587,0.809739039541264,0.889657651829065,0.9204166470268395,0.612263293106615,0.6318285943702251,0.5061232661601553,0.34665177954176457,0.8141445216145323,0.7128439777691049,0.8264635854126898,0.6981773430032939,0.4597277862420217,0.6888794989434388,0.8115251769029225,0.8589309955471809,0.888006935375496,0.9358839066150884,0.8742375381885332,0.35116955608451805,0.8676755326882656,0.8820725460181191,0.8375500394375118,0.8955130209873752,0.9473820841835324,0.9243860413443168,0.6479001710478514,0.6531998470041663,0.7245254395121644,0.8606046090136447,0.852682938088528,0.7439346380256213,0.6706036950375377,0.9266931095736402,0.7425369734594668
arabic,0.7886087365241367,1.0,0.5879732230494994,0.7419810242693631,0.8655176943153643,0.8933539092862087,0.7133630028255913,0.6959843411024963,0.5396536374329693,0.8125729770058133,0.8367398137505953,0.8048087719125651,0.737311434200665,0.7765696031306201,0.7696990533782616,0.5679145518939899,0.7521494611835282,0.817180451739997,0.7454712811486571,0.5552861769370062,0.7002950202386534,0.7042220482269542,0.8817706614244303,0.34179001039798257,0.6778959995737172,0.8013787740067794,0.7966477763075009,0.5906201628856992,0.49876233990225355,0.4688832706639001,0.36306237811742614,0.872243933959932,0.7972402015836053,0.6016418374253684,0.5358061082390289,0.3535612710039931,0.6708652510222592,0.7659395147036259,0.7912295198626825,0.8394095146368268,0.864249017749291,0.8888367529475711,0.4438984277065999,0.6416930496948852,0.8184735102947257,0.8040489206566498,0.8621659978328955,0.7522901431896066,0.8006445939086263,0.8514423632347699,0.5648329931859991,0.6798120324024082,0.839245627671912,0.8314228223919968,0.6991757608379833,0.5771728397504553,0.8286613644208095,0.6736325477635048
armenian,0.7418848263812835,0.5879732230494994,1.0,0.8423959890225537,0.8401861991514136,0.7617578790181866,0.6809757142632896,0.5388395457196118,0.4808839818221725,0.88288823619217,0.8625027563769287,0.8402325440123287,0.7634144662318509,0.768530260551607,0.8484914961178454,0.9220316146769059,0.5780628385192687,0.532444473182717,0.7553827904273146,0.1967818366645808,0.6333711941743321,0.561096955361294,0.7042661613918144,0.6230263259088353,0.7980905663330032,0.6752274044227443,0.618749116363661,0.42649898899051336,0.9406308602091418,0.6158831121483564,0.4905435954912956,0.7884524743904542,0.7707087142861508,0.7941477676026373,0.8018976656138769,0.7735471481281456,0.5688468576085178,0.8221868028835373,0.8576073652466882,0.5531738454978575,0.7606986142824621,0.8028440255697405,0.3160369669251167,0.6323424193148276,0.8800236026846697,0.8772179631784204,0.8424752429621365,0.6952798570732726,0.8493093209054073,0.6403204336659257,0.76760125703426,0.9174769236576533,0.8525893745934701,0.7309126631499485,0.9015621911067101,0.6182679108919985,0.7438524166747293,0.7612476667116326
basque,0.759861213966087,0.7419810242693631,0.8423959890225537,1.0,0.8766129878871638,0.8092205758303446,0.763959840423384,0.7655485084174732,0.6114407112531306,0.8924220498237081,0.903907752463695,0.868402460637612,0.818268594781047,0.7970035506501638,0.9565978029033655,0.842708950686115,0.6677041751003979,0.6631563195262966,0.8236682049715874,0.448429803325053,0.7348377308691092,0.5525353784248188,0.805086207111266,0.6538571348396637,0.8291309345035166,0.8182071520820318,0.6819192461321988,0.5329723684914244,0.7742857748580315,0.7298125735565282,0.49737003726205953,0.9236321704640396,0.9207287077098909,0.7433843622189562,0.7386326799489533,0.6845524013029631,0.6358336734804543,0.7074506005381291,0.8699034292332385,0.6888840214492632,0.8490248076193813,0.8647234188662168,0.48092261316458695,0.6822359914702727,0.9067237751565104,0.8830347548573069,0.8842256373503512,0.7706580581978462,0.8449679945602234,0.8617811419735023,0.8250439454721407,0.8233154176250899,0.9027338493398724,0.7978486295444374,0.887328591184246,0.6727213634895274,0.8665497293492834,0.8913807780741367
belarusian,0.874499601302294,0.8655176943153643,0.8401861991514136,0.8766129878871638,1.0,0.9614499583918992,0.7908122633728952,0.6840984617838359,0.5669496488813093,0.9743148044010486,0.9732045142277591,0.9393809553080059,0.8610790074115576,0.8916898143590821,0.9028847666313594,0.7934240387841663,0.7641115214880573,0.7451920056555735,0.8710330459086268,0.3871967219024897,0.74926224476817,0.6413407600712814,0.9074483965364895,0.5649715439370825,0.8348035765914686,0.8427413298408372,0.79179217768066,0.56374460522465,0.7845624172505796,0.6152936666738225,0.510094215581309,0.9426341059380159,0.8812450990089513,0.7557543500855347,0.7513579143913343,0.5991790672860665,0.6938347634014999,0.8360744721682453,0.9599033328801573,0.7839895132011587,0.9271792988919684,0.9709657338608771,0.41422302645048314,0.719687302537494,0.9644899294988546,0.9720776665647192,0.9702915240523989,0.832744987578866,0.9385088223279436,0.8009041258853071,0.7432649031228288,0.8103792314409016,0.9890863586334474,0.8861573368824217,0.8741138677512579,0.6784860510058117,0.903342001771564,0.7992575218783001
bulgarian,0.8983978703968061,0.8933539092862087,0.7617578790181866,0.8092205758303446,0.9614499583918992,1.0,0.8177622604909637,0.6525536880384739,0.5404502200597393,0.9457925116270175,0.9495810486194609,0.93342372854818,0.865431773102292,0.9035701329297058,0.8313188293131405,0.7093141228350093,0.8035285727267348,0.7869818955034652,0.8608123076568581,0.388324543015497,0.7498877443728605,0.6371847725008556,0.9467491408362179,0.49104741404665125,0.8406222457567524,0.8719701816262981,0.820951901138392,0.6273183585106354,0.6704313492169444,0.5516311157803049,0.4692012270841035,0.9008436368773419,0.8331835225691037,0.722361677203309,0.6532706133448435,0.532330222079519,0.7051927304078636,0.865529164343032,0.933574756822319,0.8388465521503508,0.955688442213469,0.9590227143851898,0.4008951765092042,0.7247125407107528,0.9370748165658191,0.9325659944091305,0.9539644490170068,0.8658476400422188,0.9292433453065971,0.7483161096043167,0.6296578855277694,0.7591791343655112,0.9445634360917278,0.8985674716129554,0.7748763740051127,0.6689188439071874,0.8967215245383056,0.7516721663191097
catalan,0.9452666407947508,0.7133630028255913,0.6809757142632896,0.763959840423384,0.7908122633728952,0.8177622604909637,1.0,0.5758047128010737,0.505803585864857,0.8051855558710023,0.7968067152516599,0.9237247740336427,0.9669394137109258,0.9423896421428899,0.723352215663397,0.6243495573011782,0.949644742328729,0.8968302771427716,0.9484881369016522,0.28043779435504856,0.933173628399709,0.5776760131529193,0.819070937760394,0.643842321705888,0.8165234771113384,0.9185630776896319,0.9287263685606512,0.6319422827764315,0.5741511308755276,0.5350133442983496,0.3578431934512403,0.7548925843591693,0.6810499307397451,0.8384127889789422,0.6409180472944058,0.4505491098250443,0.617726048914619,0.7429343411956763,0.8045430493089416,0.9114122206551837,0.914091530017576,0.7935876829178371,0.3115841757330443,0.8837820831801797,0.818481779821883,0.7601696298481827,0.8166450213653741,0.9862620086254916,0.8803219383698414,0.598765491718606,0.637661696879537,0.6909316605145382,0.7965530053530454,0.7883215062739388,0.670527194041029,0.675509038032924,0.931680060469109,0.8021546882435293
chinese,0.5590988610319307,0.6959843411024963,0.5388395457196118,0.7655485084174732,0.6840984617838359,0.6525536880384739,0.5758047128010737,1.0,0.5568452918869136,0.6773116080852299,0.7052105645176953,0.6543851238793904,0.610813783741257,0.686421916329507,0.7595263022402652,0.5981422290736411,0.5586465160979912,0.5688010372513227,0.6299447572967992,0.48537530541602725,0.5640654346062272,0.42714931504928055,0.7218970850300375,0.45598936172203,0.7262624954858292,0.6624865088444787,0.544426235992511,0.668179633492489,0.48557245903476226,0.830130246344396,0.3886513835059591,0.7745570794859807,0.7817624933305306,0.5445514567078132,0.49229944143103177,0.4634068868207456,0.482300148523404,0.5753375494158933,0.6455507093479962,0.6141855342516424,0.6947662505632297,0.7152496542920699,0.4233063659415852,0.45033062288021797,0.6605498124614759,0.6711156715222961,0.7023102178452987,0.606982155781409,0.6422201750365892,0.7780099262646105,0.6704922889774028,0.6378253081037195,0.7148951442162266,0.7412293046756523,0.7262200860596503,0.8026039737589507,0.6959500059364454,0.7015898087914574
classical_chinese,0.5050348203633085,0.5396536374329693,0.4808839818221725,0.6114407112531306,0.5669496488813093,0.5404502200597393,0.505803585864857,0.5568452918869136,1.0,0.5925888094081243,0.5705210593848159,0.5661424261104492,0.5395369636849265,0.4837812935833122,0.6019708829212005,0.571575017290377,0.4374539160359285,0.37296603309566506,0.5282847873070146,0.4094254155379635,0.4592121074579606,0.35374501415270365,0.5375854078284794,0.41346041233308506,0.5091645431280096,0.46537616474391336,0.41953423944425505,0.28045071607523075,0.31818420776465156,0.5308896007963696,0.4640243927031818,0.6125208030054641,0.520384538458255,0.4843504985919271,0.6436297184129345,0.5008001467405528,0.8157215184813165,0.5304339253607375,0.5251028518002516,0.4520061735713661,0.5281369891739555,0.5182520462078462,0.7048538756129202,0.418381357393802,0.5995556138641189,0.568855794858852,0.5555596016362938,0.4819487888496446,0.5701639065463915,0.5566215768313415,0.5973064444783166,0.5651279473694794,0.5308849044759696,0.5049679837903075,0.5976965415483839,0.5245471886905624,0.5431050002031019,0.5877224974757607
croatian,0.8749006022045455,0.8125729770058133,0.88288823619217,0.8924220498237081,0.9743148044010486,0.9457925116270175,0.8051855558710023,0.6773116080852299,0.5925888094081243,1.0,0.9665364237120341,0.9479434503237477,0.8657835790776293,0.8939303431460554,0.9045057792979195,0.8345305669600048,0.74852653547563,0.7103721411862037,0.8713854823861032,0.32860071550253434,0.7309053145429599,0.6419544011400874,0.901868452395818,0.5943375877743794,0.8728670168372179,0.8191352963389752,0.771007288526476,0.5946619855847519,0.7971002580067065,0.6511488950710123,0.5084255423447951,0.9235744476727293,0.8581622021161824,0.7806941016072,0.8040179177857911,0.6540714336012471,0.733290014425238,0.846491674093966,0.9566353999580351,0.7517010067981871,0.9271397905915302,0.9465760471716619,0.4240967857601125,0.7184776127324551,0.987388725389469,0.9728698521479249,0.979056106312946,0.8342761072120257,0.9511627440349298,0.7597360139652962,0.7649618173458487,0.8248313412707301,0.9702116090967063,0.8940910378780221,0.8990296574968389,0.7206311828166883,0.883107361485206,0.8271604403530868
