,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.806230993805414,0.7350947377900088,0.7811267806200695,0.8783390862430476,0.9226533924302125,0.95134719139494,0.5890473276746767,0.5063150225177799,0.8960537735557622,0.9021158537146555,0.9425233867753907,0.9720539626239476,0.9483534289672086,0.7938115701153183,0.7283584439730971,0.9122699605918748,0.8670632186110276,0.9584651517242446,0.27645878211205616,0.909229304484713,0.6639731626580824,0.8557165232230253,0.5778190870510285,0.7911111908321482,0.9213234739249674,0.9239219731351316,0.6021344899644586,0.6491393478015013,0.48170604231171876,0.8509516520060755,0.8440466204878778,0.7516626790400933,0.7334628631678263,0.7152021268406583,0.50254489152176,0.4604204027833389,0.8383262414872302,0.870596178463166,0.89088134187712,0.9338722653804282,0.8891838465026566,0.3545742568945402,0.8845010650094598,0.907805138402597,0.9042927899449846,0.8978188086918828,0.9598168094677603,0.9382427849537798,0.7102909953411316,0.6431080708477824,0.7579777017630054,0.8815534153970682,0.812752161561444,0.7757508742827118,0.6829550988601781,0.9303278022169539,0.48769915268494185
arabic,0.806230993805414,1.0,0.6027645710614237,0.7686972848631696,0.8738196496132415,0.8870692894775175,0.742668425724911,0.7085353855455073,0.5363937838102507,0.8357239942432699,0.8593062742997857,0.7997209225170528,0.7675912345542691,0.7785517419865572,0.7410541628286652,0.6237945540786387,0.7685171044966903,0.8085859860250452,0.7485317609094112,0.46137748864491734,0.738677243251686,0.7398927090513431,0.8386289332775047,0.3498568283176785,0.6786715699086171,0.7920268499842483,0.7874437476086152,0.5651875487950642,0.5349942188235816,0.45524594289643106,0.7968529935283065,0.8687998338182191,0.8017074700750987,0.5218611044628816,0.5619161947572825,0.3975905322791906,0.41926357274568454,0.7622408552325083,0.8090357186429127,0.8401765483634478,0.8451475662741021,0.8732762546480112,0.3432280361941061,0.7092840836184695,0.8730257377031352,0.9042589518779548,0.8883047871595662,0.7863760597070574,0.7836015278519788,0.8529072950660089,0.5418466260894835,0.6897353998131822,0.87662845390619,0.7569473989038047,0.7822623425736446,0.5770252489290963,0.8589554392763477,0.4310987080255029
armenian,0.7350947377900088,0.6027645710614237,1.0,0.8701540492035532,0.8421426618162194,0.7754191881861109,0.644896413487513,0.583341956137724,0.4639138047627709,0.8568364007606306,0.8555590627202628,0.8256577434552449,0.7436792575019552,0.7653559173248399,0.8773692163875586,0.9484770575939591,0.5726775820057706,0.4531849031544445,0.7470058645617654,0.11327458345997486,0.6629496106195377,0.6347797939176146,0.630376529223081,0.5937831883996287,0.7365017195975285,0.7092276890532797,0.6142404408622415,0.431846034352312,0.9098939922648271,0.5998611818873656,0.8900973518734293,0.8160308014705867,0.831557272647966,0.8229963183434095,0.8009297285221949,0.8201131024226073,0.46191510211882963,0.7971091278699927,0.869241343905779,0.5338884287240698,0.8190107555842989,0.8424716919407184,0.4230588736186966,0.7226433212029922,0.8476970081706036,0.7996051677582522,0.8364755764456054,0.6381044297739545,0.8169838225062429,0.767724365451024,0.7950678237871194,0.9044643890972616,0.8398092571125908,0.5531273831310894,0.8629806392503103,0.6232435279466149,0.7877860372167688,0.7815422633148512
basque,0.7811267806200695,0.7686972848631696,0.8701540492035532,1.0,0.9010062087761407,0.8283244955835906,0.7288645477097773,0.7842519919929275,0.6461107677353269,0.8852549724199333,0.883416792761795,0.8565855420846831,0.7933480202255256,0.7861436109266875,0.9383165327457127,0.8631730783457563,0.653911695785755,0.6015382248549538,0.7992408639415366,0.3582510935496812,0.7586158167751632,0.6020348171247242,0.7317415045642275,0.5963642078377711,0.7549185709474925,0.8111105559128083,0.6766147424554512,0.5107032621047315,0.7157473797771245,0.6719003725424428,0.8972476725444988,0.9394198454583257,0.9154924567847068,0.7150423896988884,0.7853341866223067,0.7420778230057402,0.5855506806202667,0.7207667372653609,0.8674134495538267,0.6741347335533168,0.8700238120636956,0.8825703088368236,0.51757803123843,0.7272268371557513,0.9030640423193259,0.8722303365019192,0.9071821687957202,0.7286418894961466,0.825047658711026,0.9082243322699959,0.8184353309405773,0.8273396529355638,0.903659273884519,0.6463387583464898,0.9166460540690388,0.6738791311776896,0.8884956740623114,0.720279644977932
belarusian,0.8783390862430476,0.8738196496132415,0.8421426618162194,0.9010062087761407,1.0,0.9625344742699262,0.7979114991708446,0.7269656653258181,0.5552912466576864,0.9554065817521564,0.9793288811636006,0.9216019901920948,0.8603531498406197,0.878134929059267,0.8923088165547675,0.8225319901696928,0.763524417151825,0.6986920354575336,0.858261060039877,0.3261291100234186,0.7928514900071308,0.6861131660419051,0.8399757343631006,0.5301647342214437,0.787830412398309,0.8662191542239074,0.7675176411192857,0.5475429538044436,0.7494073910691864,0.5786478210586047,0.9484142352059828,0.9565375654731539,0.9212872651141175,0.712796560079343,0.7525323462002033,0.6591162922221574,0.4870777717389087,0.8271912282227091,0.9609168526863107,0.7778113486514064,0.953024747681844,0.9762963482384935,0.4285985779122718,0.8054603376451074,0.9701601572566327,0.9705234266839909,0.973302292807838,0.8230349605287413,0.8939353974975409,0.8941052052929849,0.7316740266911919,0.8244979502773914,0.9942161317420612,0.7302670099742372,0.8999589512439976,0.6660822375940927,0.9433493551795412,0.6995172832856932
bulgarian,0.9226533924302125,0.8870692894775175,0.7754191881861109,0.8283244955835906,0.9625344742699262,1.0,0.8377722422066853,0.6664356873805652,0.5429248215120529,0.9546685185746417,0.9689774226774606,0.9311699144617624,0.8856431681516799,0.9057211562174671,0.8334145577378301,0.7638608430537968,0.81076906509557,0.7440044401722721,0.869193736113396,0.3038356910578513,0.7879143788326746,0.6889850290832905,0.8953460265328446,0.4712230771047328,0.8104587970216486,0.8690609355867747,0.8090489345199555,0.6122939165657314,0.6795417701869599,0.5230467749292308,0.9197098057083706,0.9116262020249564,0.8509222607912807,0.6701891010198245,0.6970080427345222,0.5527309230858377,0.4812884236573684,0.8730735713847502,0.9440183912149075,0.8245375738184731,0.9635340840206233,0.9591835865951988,0.4097428622835654,0.8302588616776106,0.9661200853006817,0.9700460746560748,0.9699441750477685,0.8722192659659838,0.9169556809605532,0.8129159893159764,0.6327685824463933,0.7752817887835135,0.9604358282715263,0.8072516582691897,0.8345943878057646,0.6716991070977866,0.9382059096268428,0.5952498954711143
catalan,0.95134719139494,0.742668425724911,0.644896413487513,0.7288645477097773,0.7979114991708446,0.8377722422066853,1.0,0.5975140332803945,0.48182747140711996,0.7984744003277069,0.8070754866300414,0.9084646679622298,0.9716408011800255,0.9335879322579981,0.7160046411560925,0.6359621101754429,0.9620111429869926,0.9022151372708869,0.9596050248772091,0.3004046943925727,0.9366091672821351,0.6123216745205291,0.8114953421312155,0.6334506603188805,0.7735240833688649,0.9377945331828594,0.9495979128903791,0.6172643469877855,0.5378441486871393,0.4713732243358426,0.7605944967310615,0.7773021220580943,0.6964426378766203,0.7384115652473091,0.6176759273182721,0.48240374293569604,0.4071725755383586,0.7738438277635051,0.7990174219261191,0.9327859125544468,0.8972722523635304,0.8024568334052441,0.3068700637539132,0.8756373886096513,0.8174529027350966,0.8108565221411366,0.8113522809635053,0.9936253138798599,0.889133698184155,0.6508924959546486,0.6030809800530126,0.7096573228644953,0.7992171187505763,0.7711234235108989,0.6716648852270192,0.6767221849070404,0.9111092194398673,0.4708451483947905
chinese,0.5890473276746767,0.7085353855455073,0.583341956137724,0.7842519919929275,0.7269656653258181,0.6664356873805652,0.5975140332803945,1.0,0.5591158785996589,0.6886280248837316,0.6961176959940985,0.6788948105018601,0.6125038011157096,0.7037105798710985,0.7340947618345693,0.6083832866242018,0.568308348408941,0.5459028453396422,0.6246256347726026,0.4495149677765283,0.6055071563434328,0.4665035870819873,0.7467394701879563,0.42389745951863944,0.7192493988905636,0.6777953396261225,0.5511446186088516,0.644227981876533,0.4483942899914075,0.8062993053880668,0.7128219044431741,0.7993093173227644,0.790748872683107,0.5239093442517009,0.5088575330312312,0.49952986716479564,0.3913809543903545,0.5665637063414568,0.6638318946365525,0.618456114024874,0.7117850338843852,0.722942775021422,0.3439848827877736,0.5346278107938662,0.7014179708065272,0.713494792706399,0.7355214276300159,0.6160918836101685,0.6431245985613276,0.808414927953929,0.68176667626369,0.6907018895275429,0.7427140509523914,0.6558459978498746,0.7768084188253713,0.7859614369166749,0.7267706840904334,0.5529650831035757
classical_chinese,0.5063150225177799,0.5363937838102507,0.4639138047627709,0.6461107677353269,0.5552912466576864,0.5429248215120529,0.48182747140711996,0.5591158785996589,1.0,0.5696676094766334,0.5414366292473599,0.5268793358714006,0.5162087456811598,0.47195676388849384,0.6003966945806244,0.5514193795517567,0.39909408780447597,0.3683447643666805,0.4941928359354178,0.3082451918416917,0.4552892871996451,0.3489111591610773,0.4712450158619329,0.401219936213164,0.529227854004553,0.4987480544451859,0.41225342997578956,0.2523290325557032,0.30700645658710213,0.4708432634474116,0.5724308393962045,0.5817275028238909,0.5065385296202373,0.36746579464754614,0.5998305507211783,0.3834890475627659,0.7925176388521269,0.4949165445135603,0.5076527659251909,0.4589125571261987,0.5264636998068387,0.5259195783856229,0.8231505662804744,0.39446321044440036,0.5729909380203522,0.5675230152469325,0.5742701832592881,0.5082620440663479,0.5485678369744512,0.5326986062124787,0.5801161252752607,0.5166586975927395,0.5359839849408403,0.4682414674271454,0.6322207117953562,0.5178438429877056,0.561183789318176,0.3560422674424331
croatian,0.8960537735557622,0.8357239942432699,0.8568364007606306,0.8852549724199333,0.9554065817521564,0.9546685185746417,0.7984744003277069,0.6886280248837316,0.5696676094766334,1.0,0.9745383852121269,0.9312830801714846,0.8670240048417063,0.8805435670091207,0.8967864778179576,0.8536592753512514,0.7465276721205722,0.6666916893984979,0.8628377438085003,0.2727990530497639,0.7658975899232087,0.6952150825974904,0.832643020627467,0.503674451498721,0.8078118978827019,0.8435559941328264,0.7605135985298731,0.5623889405142627,0.7544822532747945,0.5796415147136282,0.9376354584408308,0.9258785927119668,0.8623801686112088,0.7083807672947315,0.836302532624038,0.6568414865469119,0.5726980784289694,0.8520291333148434,0.9422473833649572,0.7413977653182087,0.9396154437938179,0.957842625366732,0.4576160246014962,0.8029153017026278,0.9844573851794909,0.971254313605625,0.9791526938310025,0.8220648352413493,0.9362775503878674,0.8198603581617122,0.7346657393076741,0.8230166280590444,0.9603159301813122,0.7619817037551605,0.9198720070923849,0.6936042301738616,0.9015813040041001,0.6219353592759577
