,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7274397818621481,0.7259248703422344,0.7418892388142848,0.8567512716016388,0.8899040837848852,0.9274929227335954,0.6270031069556752,0.5055058151156594,0.8527442650121828,0.8860358059938959,0.9158316039318167,0.9286926627500008,0.9430193449614823,0.7611882191725744,0.7076152586934022,0.9040866666111828,0.8934659427831613,0.9340471305571213,0.20537202322076434,0.9023217109945774,0.6293074543952237,0.8270507611378437,0.6047073867722971,0.8482067293122751,0.8852398831675542,0.920169228406425,0.6114301248135333,0.6148615935378645,0.5691752729565561,0.8415749659652167,0.8287811045752319,0.7153405926240215,0.7943446670094932,0.7338772869636994,0.6272960006962757,0.5487602099987939,0.8057336046133572,0.8342018827267484,0.8632105077310069,0.9078005476185599,0.8318567848054892,0.3468286467949667,0.7611662930855211,0.871353708891677,0.8724570547795478,0.8625067075479641,0.9360656333252186,0.8966308863821129,0.695858226149236,0.6083041816911332,0.7361242033675005,0.8367371381188643,0.808437381346962,0.724895979907615,0.7190449113924782,0.9067969914649591,0.7106189146341446
arabic,0.7274397818621481,1.0,0.6192488491127286,0.7254552613090394,0.8418511889376622,0.825995525740544,0.7197093127451945,0.7116197026767339,0.4822880144452342,0.773137080972492,0.8348588036510222,0.7760870684284255,0.7362733972840328,0.7522341506929701,0.8165616793423106,0.6352697981889578,0.7420567828633908,0.7960999139762096,0.6992861302300747,0.3943652809694854,0.6863479209444068,0.7889296736048033,0.7917868577559753,0.43093587816793344,0.7157565521690626,0.8031930935818207,0.7968875282722995,0.6017356533595125,0.5286318541797314,0.5978267363659353,0.8170399459549559,0.83710685894958,0.8064912949273875,0.6365646439942915,0.572571385535061,0.5325398474199423,0.4845299138104044,0.7436776099311171,0.8051504403468006,0.8168644383795007,0.8059767006438686,0.8132618758267623,0.27342627410651527,0.6383931901969695,0.8143217254485383,0.8146370385605277,0.7934934142705368,0.7280760155235874,0.7688752237243849,0.8524537793056338,0.5552747559427936,0.733287861990543,0.7977191127773401,0.7903284798065279,0.6781329611412181,0.6459778452888955,0.819336195774276,0.6713087590126982
armenian,0.7259248703422344,0.6192488491127286,1.0,0.8962188175520768,0.8416293976079989,0.7930552323058766,0.6912365335913041,0.6771073072572761,0.45939586783785397,0.9165550439718567,0.8237869122179353,0.8510167418967671,0.7801367113073459,0.7915467809354108,0.8252434028390339,0.9287703423312798,0.6482754692207909,0.586717507734252,0.7671120217662696,0.07574539034230512,0.6414077905736089,0.6318476858653319,0.7232182421458272,0.6435181452717633,0.8027346680661501,0.7285130591950584,0.7061352568634187,0.5455825544096847,0.8664365314859083,0.684017928427763,0.859103628955669,0.8208304207954906,0.8062558990907405,0.8705183213868906,0.8228840332208005,0.8835259939774179,0.49201495088971076,0.8213411505516726,0.840885078758119,0.5577236241695659,0.8219193907104214,0.853460005650412,0.3517996072758287,0.7414782217487693,0.8801792959364503,0.84939029175704,0.8867043588978116,0.7161679620252865,0.8759858224898037,0.7469341751309642,0.7337880301084687,0.8865082233276678,0.8681893693818669,0.6444261466485296,0.8706370626384344,0.697477703637386,0.7862677057270706,0.8439326794364214
basque,0.7418892388142848,0.7254552613090394,0.8962188175520768,1.0,0.8868792787467322,0.824893558200525,0.7250683335946334,0.7997734439133035,0.5526133941429779,0.9353363058959212,0.8464744583346144,0.8563487664275706,0.7927953478566159,0.7793534161740244,0.9287926960792527,0.8654198999472056,0.6830835590746361,0.6569318178697584,0.8018480294708842,0.2504225799820007,0.7165245294306536,0.5940388903713234,0.7600103863061066,0.6506794307188387,0.8045094762771039,0.7726155114533586,0.733391095238284,0.5924898366447092,0.7322384583840441,0.7946153080729725,0.8970700052155057,0.9064014591182842,0.8938630232515854,0.7772239130263603,0.8026671817265026,0.7424743696298967,0.5532194821425138,0.7106469289371303,0.8581071229697302,0.6499495265491817,0.8789607079005576,0.8916048492026731,0.4275344525598323,0.7274852099801384,0.9047606211593552,0.8821983219364283,0.9240972753179684,0.7444568049770119,0.845484836858836,0.8883231207522,0.7402487778593799,0.8111962700322015,0.9030275605263798,0.6961092863878046,0.8745570528576688,0.7252411697525408,0.8604151869549397,0.8629498800100653
belarusian,0.8567512716016388,0.8418511889376622,0.8416293976079989,0.8868792787467322,1.0,0.9549077066486434,0.8478291138673512,0.8085671162549498,0.5412092661683264,0.9523843505313178,0.9497843890320176,0.9489740340673514,0.9042340037970426,0.9150948161304999,0.935055221666213,0.8451417039555148,0.8284799032255226,0.8067713941655804,0.8857405569917507,0.26159705802990696,0.7719537233384614,0.7008727970056928,0.9020122905685909,0.6404146959716104,0.9030703107021048,0.9196888116681919,0.8596842931888016,0.6759896071950605,0.7330355314629243,0.7094174702430446,0.9679080192583536,0.9535332947055613,0.9120781096792474,0.8433894450983248,0.7870170859313736,0.7539301923631294,0.5559964989022337,0.8639519263621209,0.9553472641884164,0.7982514836402138,0.9336489721229168,0.9690172579699172,0.3928133048116585,0.8396044912020696,0.9592103074982831,0.9760946765691897,0.9579005218344447,0.8730963127283488,0.942762768305329,0.8706378558946968,0.7895748186541228,0.8412727034620068,0.9806057234520026,0.8441230074658994,0.8553434351734,0.7959255467672874,0.9211807079200112,0.8374850947317624
bulgarian,0.8899040837848852,0.825995525740544,0.7930552323058766,0.824893558200525,0.9549077066486434,1.0,0.8723507850358424,0.7212351395106563,0.5301434516175019,0.9418430846528064,0.9499710488920443,0.9387871293540039,0.9022275293319088,0.9270966806452685,0.8597509420877213,0.7789851257369813,0.8504041861862348,0.8187498900295288,0.8770288078518719,0.24241792667935017,0.7715964846171884,0.6923903946012853,0.9239551866037047,0.5767092002728462,0.9036624756078202,0.9110352164778488,0.882738759787017,0.7214145146034541,0.664704192378106,0.6522107456454538,0.9347739800430023,0.9148015803148694,0.8449764288562188,0.8165421255467334,0.7182637078996293,0.6942033994441369,0.5817220554146921,0.8869495627923686,0.9528763285949691,0.8255512665358076,0.9437644279158937,0.9358730169883608,0.3917779546636769,0.808549168940589,0.9452280833024392,0.9539990652046123,0.9359313019434822,0.8916944726016974,0.9370214679222665,0.7858494647242552,0.6725456287577674,0.7952197945327314,0.9343937154949595,0.8926045795301363,0.7758411275217253,0.7755831964159072,0.9195115708140081,0.7688523402699811
catalan,0.9274929227335954,0.7197093127451945,0.6912365335913041,0.7250683335946334,0.8478291138673512,0.8723507850358424,1.0,0.6891600536024531,0.5346472513503476,0.8261804668267712,0.8218555076444801,0.9181159470215939,0.9663137435190764,0.9661904057506859,0.7461337157252694,0.67821178452048,0.9452513530785568,0.9180797917843029,0.9439182584950743,0.2057006677689429,0.9204172079285112,0.624049798798021,0.8578368836948831,0.6539310773234662,0.8901966052158963,0.936342042354579,0.9355498866527243,0.6725026797032256,0.5339215381565826,0.596633009216353,0.8198925278122271,0.7873592900051727,0.7073382579883375,0.8163481461175432,0.6777093612872568,0.5611564460367894,0.5348663443445064,0.7992361938546991,0.8068726027732809,0.918934208796626,0.9320232798712703,0.8033553415424963,0.31880162468398426,0.7910724195118641,0.8487395685294111,0.8345471264940235,0.8311585617468555,0.9903929203810221,0.892568439478595,0.6676737048576915,0.6388511470962759,0.712736772885239,0.8209903034984756,0.8188854691702437,0.6684312945827877,0.7536679369534975,0.9252644934961739,0.7341653204377951
chinese,0.6270031069556752,0.7116197026767339,0.6771073072572761,0.7997734439133035,0.8085671162549498,0.7212351395106563,0.6891600536024531,1.0,0.508698955495849,0.7556753298160802,0.7358750695749464,0.7616863519938221,0.7273395312555606,0.7254134664853003,0.8144958715619398,0.6868925057211435,0.6588159678464924,0.6454234933860417,0.7080522359417671,0.30249130351920717,0.6290834366073033,0.5345999349238654,0.7360306169329117,0.5573865204508712,0.7718509225797447,0.7516071308804004,0.6530887036760036,0.6862659107348872,0.5390451279764953,0.8325361089204757,0.7976529580267141,0.8102183280569685,0.8098738226745457,0.6590233027573256,0.682324122625576,0.5457475944020242,0.4458771101702277,0.6491856659778754,0.742062983391125,0.671410650822326,0.771893108967346,0.79033226130253,0.32385743944964324,0.6372636866335945,0.7763250758860348,0.7768687577735961,0.796000617546088,0.6986705125723756,0.7497576636426845,0.8408820506267674,0.7484641254641425,0.7063008741028315,0.8106841867316913,0.6964870950041536,0.7916041751752116,0.8214925359768408,0.7663948428238182,0.7244054198883834
classical_chinese,0.5055058151156594,0.4822880144452342,0.45939586783785397,0.5526133941429779,0.5412092661683264,0.5301434516175019,0.5346472513503476,0.508698955495849,1.0,0.5553760529640248,0.5221511373930238,0.575095854043641,0.5422949576058571,0.5047429129872325,0.613400869717141,0.5802866289119337,0.41854768124619113,0.3888777097228539,0.5317476818581613,0.21108555543817428,0.45961294772730327,0.33952510619851906,0.5225886300660284,0.39492957491125663,0.5371044811309594,0.5408470327481414,0.4161584376922965,0.2558706405250512,0.3406181643241336,0.5630509556635486,0.5928689859434929,0.5104902135239964,0.5693203350043841,0.3984799449953273,0.6381591865569691,0.44068263857095813,0.9038765018423013,0.48197152938873866,0.48375156348089204,0.4539217809632643,0.5506054504893876,0.4590282866355181,0.7890126118694245,0.45786488922908375,0.5529771323363474,0.5574607676493817,0.5312695619446063,0.48342271855556684,0.5814123800307179,0.538339757774669,0.610752250241936,0.505783560235764,0.4803857864634894,0.48873862847024674,0.5635732951415323,0.5440823428205475,0.5985824326178525,0.44857268941066775
croatian,0.8527442650121828,0.773137080972492,0.9165550439718567,0.9353363058959212,0.9523843505313178,0.9418430846528064,0.8261804668267712,0.7556753298160802,0.5553760529640248,1.0,0.9445325027038005,0.9354117953622411,0.8744888151410578,0.889888405168513,0.9067741679153283,0.869495264877552,0.7868331499338683,0.7334467456301551,0.8720287360761821,0.1828743385659649,0.7500835810400588,0.6793050944144954,0.8624046770571526,0.6525375592783401,0.8982588140441395,0.8570330115458834,0.8331149618523749,0.663541900499047,0.7463815927239736,0.740079196696165,0.9539141553580537,0.9265515222463383,0.8884975186580832,0.8542973993215589,0.8272180138805565,0.7858238830002628,0.5909688418007192,0.8389571563574946,0.9502626999658086,0.7282929419086609,0.9424074612643781,0.9506767954996281,0.4170231336126141,0.8044331164187972,0.9789167150950632,0.9573066589076087,0.9791292888883344,0.8501759881591243,0.9384343725734252,0.827256125710131,0.7403078482738359,0.8362669580221453,0.9584166284356802,0.8086356121147246,0.8528394408735045,0.7858513699531691,0.9129713212172694,0.8585886704603737
