,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7407767306876133,0.6958081632842018,0.7664654845691947,0.8398015842061579,0.874779399107628,0.9578535693264241,0.6063654622688732,0.522654307236262,0.8461398471946864,0.8755697002432064,0.9401246378900673,0.9686498526598654,0.9613144878245101,0.757152324159502,0.7633183096359892,0.91268375921923,0.8866708199732977,0.9662866855501321,0,0.9021467548963401,0.6164682578967061,0.8526230614830735,0.5933209903379107,0.7716623707192269,0.9043803760335011,0.9355898111796983,0.6338315881293763,0.6292937374740787,0.5696887302489739,0.8519184773094086,0.839891405401011,0.7280823207163835,0.7216455204866548,0.7793046245573226,0,0,0.8133374212837734,0.8461407810560021,0.8801810512967009,0.8879706810268568,0.8476542199290652,0,0.8555307501240468,0.8554399928174194,0.8172616405871544,0.9019280333229153,0.9554957096124622,0.937283060364523,0.688501190133391,0.5804089549673933,0.7787838453590707,0.8391812929917094,0.8380312390303747,0.7552850905883812,0.7414497811500287,0.9428985017591996,0
arabic,0.7407767306876133,1.0,0.608003468448108,0.6597082509766757,0.8710894721915581,0.8622534934697116,0.7305684056807944,0.6965070327223638,0.4734051482259596,0.821436314622361,0.8451553889283108,0.7662587059624013,0.733582498065028,0.7649663803790286,0.7582025198194324,0.6587004166546858,0.7154696942164851,0.7529737803499157,0.7321310661723641,0,0.6779515526981603,0.7670947235993374,0.8232081479170662,0.3567150600694681,0.6419498779182853,0.7205215953586469,0.7766910306564258,0.5963064538835231,0.5387553103456814,0.564243089664499,0.8017801366921857,0.8215182394328007,0.7991145250988035,0.5119706129878722,0.5938731139329486,0,0,0.7456970755230424,0.810490944749671,0.8035391294063935,0.8213743366548523,0.8099916597464858,0,0.6480519102927814,0.8340601997122749,0.8396245557286173,0.7708982849891669,0.7205815521371047,0.7741207123026338,0.8564345073164136,0.5976203355574204,0.7401806766631058,0.8204302816475513,0.7939531848029809,0.6858995011032197,0.6017663818520583,0.8272660451848817,0
armenian,0.6958081632842018,0.608003468448108,1.0,0.842998380431826,0.8218316385331009,0.739734548942446,0.638916000032563,0.6143919026119182,0.44606810516935136,0.8753759153336784,0.8532329422872589,0.7967972628058332,0.6835308100966713,0.7586472116821226,0.8690276453598197,0.9040595464922587,0.5780983027451931,0.5023420049631422,0.7094738972439889,0,0.5757662054803397,0.600304205302765,0.6228919559093725,0.5474416101882903,0.7495131260888588,0.5996578967926222,0.632396294874691,0.46358195829495763,0.8758912035121644,0.7115289464882887,0.8575594269826976,0.8421391508948259,0.8292595219331459,0.5532149916725756,0.8020937002311246,0,0,0.8010854686396639,0.8405249126631531,0.5152665167593279,0.7966128376749649,0.8684204832852161,0,0.6779469063358979,0.8806389506611925,0.8175657905517503,0.8293593200735777,0.6720238849141885,0.8116840817011958,0.7765530794721546,0.7255793279653355,0.8873235515051027,0.8686967215198824,0.6366891045648534,0.9221275585461505,0.6333018804631926,0.6844472679430746,0
basque,0.7664654845691947,0.6597082509766757,0.842998380431826,1.0,0.8131557821757758,0.7243414703182077,0.7337502237785732,0.7552876519573807,0.5405375975060551,0.8637662709196476,0.827338272849643,0.8383129088623897,0.7802748059852641,0.7920999146973988,0.9149235052379308,0.8274002175766975,0.6786389565252389,0.65216766512475,0.7902578844490467,0,0.7387523217808979,0.5523432968009045,0.6935150732491012,0.6478097774823576,0.7235090783417181,0.7309840561108204,0.7203164453900729,0.5354466114102328,0.7174842652132558,0.7396286758401587,0.8330304375189712,0.9081897415263168,0.83978416554203,0.7074641579547181,0.8409914049126471,0,0,0.7075821126145694,0.7882660128551418,0.6507039668269469,0.8315793205369668,0.8387745868708228,0,0.7586024446056597,0.8559690547874547,0.8567868342560367,0.8483232922655639,0.7583702503728766,0.8317779983866118,0.8453403771212462,0.8537225786887208,0.8050208163974598,0.8458515549333783,0.7026020242357478,0.8808596095594416,0.7139555754353126,0.8013933567112813,0
belarusian,0.8398015842061579,0.8710894721915581,0.8218316385331009,0.8131557821757758,1.0,0.9546100540312158,0.8070375702136435,0.7382590112890584,0.47850154222183755,0.9632802015518654,0.9730306521031704,0.8924007831884887,0.8339051942511175,0.8921348172160962,0.9022690751438798,0.8168265363363696,0.7581530267251153,0.7236338271848937,0.8615039731624152,0,0.7357870381965904,0.6562432134968889,0.8607885435975888,0.4975872025214979,0.7665675497941421,0.784650748896548,0.803388907426585,0.6252594905642749,0.7291357611206215,0.7056312878363248,0.952251839729688,0.9471940976911145,0.9227534856011503,0.6224945931685377,0.7487980735744495,0,0,0.8312797213667014,0.9429153510399306,0.7716821773138045,0.952104913198537,0.9725447343039181,0,0.7762218818634722,0.9710083048587979,0.9596201103032062,0.9103543556480039,0.8186829660787335,0.8983534485002489,0.9057384270959283,0.7268696993795682,0.8478106644615813,0.9827007558919685,0.8289483101196621,0.8720434866476715,0.6952756598738371,0.8937548963089872,0
bulgarian,0.874779399107628,0.8622534934697116,0.739734548942446,0.7243414703182077,0.9546100540312158,1.0,0.8578227336249886,0.6694971550036781,0.46503180543054917,0.9227009392739729,0.9457367661488443,0.9098311197024233,0.8619329795683739,0.919001131031633,0.8135965101908542,0.7595944630930768,0.7988691186347039,0.7622696401547902,0.8760354660259845,0,0.7363254846300293,0.6635091995731976,0.9321791971662166,0.44581193180855494,0.7924044378988582,0.7942268818149784,0.8386680959773517,0.7297172308799913,0.6561651221587687,0.6393477717647151,0.9175465761746937,0.8899752361898088,0.8344390398346334,0.5702285965211538,0.6693898057277294,0,0,0.8696916313302427,0.9321945824299671,0.8137823088065151,0.9471986365128502,0.9297668072088209,0,0.8162691893238673,0.9353713756665216,0.910469069947147,0.9013315947020049,0.8531394524996947,0.9117956146276008,0.8034403715382205,0.6364342556371648,0.7927599313222895,0.9303714853522759,0.8957412447632921,0.7858945848667218,0.7041804764589631,0.9100671085145329,0
catalan,0.9578535693264241,0.7305684056807944,0.638916000032563,0.7337502237785732,0.8070375702136435,0.8578227336249886,1.0,0.6167386437822047,0.49083600242768305,0.8026853136018796,0.8338936709022455,0.9186594483614353,0.9727561332837449,0.9594566112483549,0.7209149406752754,0.6901693752627519,0.956789571955804,0.9136066335611875,0.9518444049977152,0,0.9274719022035779,0.6082635090806279,0.8514118533547719,0.6131126764895388,0.7862846131477633,0.9278182198448865,0.9534731715064468,0.7002735202875617,0.5460074714644613,0.5793047069745124,0.7968935073851464,0.80652467815336,0.6998364366009885,0.7040647250847356,0.7015274307394762,0,0,0.7950253617118129,0.8331594490623612,0.9229715131817265,0.898972216460644,0.8171087044790676,0,0.8744491458921273,0.8144751245943624,0.7919384096796165,0.8599955705662361,0.993303719886292,0.9157555653811946,0.6563339580116999,0.5642725813271948,0.7459322816719092,0.8126043420201319,0.8310583671295133,0.6858233119793666,0.7330659234788166,0.9457242666908164,0
chinese,0.6063654622688732,0.6965070327223638,0.6143919026119182,0.7552876519573807,0.7382590112890584,0.6694971550036781,0.6167386437822047,1.0,0.4709692412202659,0.7333027676749075,0.7339810389926621,0.681983793946528,0.6260389842308941,0.6790078004092631,0.7991611656872705,0.6193258186765397,0.5786069785460527,0.5455329099985363,0.623913210384709,0,0.577082958093778,0.4697380438458319,0.6993407182998999,0.43852032377696715,0.7349802913167243,0.6080003123283222,0.5744831152444462,0.6409383719193152,0.4698512701733881,0.8302036497114849,0.7179268534075853,0.7922147253175963,0.773990308351099,0.4993975403896675,0.5778348224209706,0,0,0.6148845800086682,0.702351212143085,0.6071940802388828,0.7379911537268453,0.7195401796439332,0,0.5436208534440191,0.718016562075479,0.7858755832283749,0.6981006878209267,0.6327568195953863,0.68969470480346,0.7973728843611451,0.7819065954218918,0.6859742094813136,0.7562494458509419,0.7016898118940338,0.7122786043614414,0.8084838947592143,0.6833696344719794,0
classical_chinese,0.522654307236262,0.4734051482259596,0.44606810516935136,0.5405375975060551,0.47850154222183755,0.46503180543054917,0.49083600242768305,0.4709692412202659,1.0,0.5434763010621935,0.5070541720511214,0.5246635508899882,0.510508328085486,0.47207212722411185,0.5808341764720402,0.6211230474418756,0.4085146145199308,0.32582106050640475,0.4865300756771307,0,0.40687134373490097,0.3039048968595556,0.46463028987844046,0.38240815793348987,0.48681637045873594,0.5111434026857019,0.4082732244193415,0.21792698594322382,0.3651947559446698,0.5031911091610599,0.5325149335955137,0.5497872304043667,0.45913092229006536,0.4290478372523491,0.6605982050774255,0,0,0.4883881267236123,0.5268437482109115,0.41120095814377167,0.4289805323372487,0.44688063900695263,0,0.4151899151904877,0.5450642419251644,0.5175301962936804,0.5651232920571595,0.4988199913583908,0.5522942573970877,0.48154386001786187,0.5420900225621045,0.5183508351081705,0.4668755726008053,0.46450591257087587,0.5372132028342017,0.5227649593775325,0.5284542190343089,0
croatian,0.8461398471946864,0.821436314622361,0.8753759153336784,0.8637662709196476,0.9632802015518654,0.9227009392739729,0.8026853136018796,0.7333027676749075,0.5434763010621935,1.0,0.9697213104734589,0.9069946941379011,0.8361260554164802,0.8912223523078842,0.9281591522352285,0.8866184480318935,0.7376489396652003,0.6822949977014693,0.8614463832997448,0,0.7159798555315267,0.6507640383143649,0.82918672508606,0.5327078780640964,0.7945189515767418,0.7651577883813523,0.7856486120425685,0.6049814065060275,0.7630217606884214,0.7329495495704728,0.9574558117350287,0.9495729968599809,0.900904214746086,0.6632407343115925,0.8366029280976374,0,0,0.84060603381701,0.9404447305644754,0.7235363164510903,0.9335823059213555,0.9642278766564818,0,0.773718694714979,0.9916535493580793,0.951273101313572,0.9528892700846494,0.8203837829345676,0.9215734395198315,0.8739166905460735,0.7486111380529582,0.8652266702842869,0.9667026804213497,0.8190910641653372,0.9154877469691598,0.7295593451516634,0.8787158472289577,0
