,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.694924967177892,0.749625226871556,0.7369505661748991,0.8859822402446066,0.9014395368651498,0.9425116302803025,0.6603596987268175,0.49761940884773753,0.8852997978134893,0.9047138010505995,0.9210456080671083,0.9364461286423842,0.9457316189603723,0.7184548599657741,0.6918921798156117,0.9123388971703125,0.9043323029213115,0.9582362679162577,0.2924294074717911,0.8803146822313597,0.6272712292839949,0.7987345861764896,0.5851195446520739,0.8023305742681568,0.9019369924409594,0.9227172283789282,0.6706809943172702,0.633008999788027,0.5467389808838351,0.7911683975943828,0.8365728402057899,0.6707523426925147,0,0.6749529907796358,0,0,0.7725772944830455,0.8472647283672633,0.8889645963676902,0.940057120022615,0.8795754140166689,0.2882823266277234,0.8204525680121159,0.8865743901639103,0.8951813382318236,0.881403685173272,0.9346783884556097,0.8787180576683563,0.6841817354126519,0.5334961955056248,0.7241853592522763,0.8775045839774448,0.77835955012959,0.650334323032424,0.7172106228895315,0.8670748648962721,0.4184962442299578
arabic,0.694924967177892,1.0,0.5323542090186306,0.6721049935078544,0.8314243823515937,0.810370818895137,0.6692468801729392,0.6999934905529972,0.49382742368958604,0.7357769700363879,0.7813330782666805,0.7179591534435898,0.681085825629417,0.6984425254485894,0.7427967131550844,0.5519648414329527,0.7230857326177733,0.7423040803234852,0.6995337451514066,0.5680673420431617,0.651544909679862,0.730272480632596,0.7648230342121866,0.3733031649695306,0.6118521128810958,0.7806050329443885,0.7473200851856896,0.5503997415885533,0.45002880995827926,0.5183024138313735,0.7137880538421982,0.7783632133075332,0.8003045250805558,0,0.451964544497338,0,0,0.6654271606378847,0.7468120896748199,0.8237395986502636,0.7525835001964938,0.8377983484204412,0.2314660446645472,0.6453531835291926,0.7311539970539093,0.823049248536215,0.7226294758897954,0.6883111665754597,0.7206447694101755,0.8682590282064969,0.48955235478317005,0.6736042617713639,0.8266793092978703,0.7424177089903357,0.5940832533612128,0.6107220016587667,0.8508972955484208,0.5273569373615465
armenian,0.749625226871556,0.5323542090186306,1.0,0.8414680811409265,0.7857843335904108,0.7477826508580869,0.736951174006158,0.6779472972196701,0.4836425530124472,0.8830251751170111,0.8133920969868977,0.8665484568011919,0.7967111271099667,0.8274363198949708,0.8066475742557293,0.921645211069586,0.6207865662624876,0.5937230338717221,0.7440625596720459,0.16918123763908063,0.6432671308665942,0.6374725727970529,0.6282156804614069,0.6224236780815785,0.8287177702337963,0.7287345701652251,0.6871322524850467,0.5808419850215434,0.8956439927674769,0.6532968743363757,0.8417156886142837,0.8186989079413546,0.6801315044600407,0,0.7585654227603872,0,0,0.7943823982527837,0.82121838629155,0.6108897890443853,0.8050812741935208,0.7823883787851309,0.3197840710583963,0.7385372019614341,0.8856443579409082,0.7883371484174264,0.8806419008135631,0.7046908337231665,0.87386039123228,0.6468216035054243,0.6964307206198037,0.8561067863173912,0.7874314070608315,0.5898388960967366,0.7586872807385089,0.6730610386354303,0.7442152875353576,0.4116562782392531
basque,0.7369505661748991,0.6721049935078544,0.8414680811409265,1.0,0.8512808649346406,0.7941905175588687,0.7490714145349568,0.8558929540643359,0.5625930748346629,0.867377511522331,0.8280558671180085,0.8614986655010232,0.7812819909906652,0.7853039578250378,0.9213131780399462,0.8356912055744078,0.6569438532435251,0.6340969330906663,0.7660095929787352,0.37583452871252515,0.6964895533649403,0.5613925653073675,0.6746671955252838,0.6717894173559852,0.8475105445552498,0.7781536393219375,0.6884788902175658,0.5843802675739901,0.7539058804164077,0.780570356079377,0.899666082361077,0.9234235296785788,0.8679702562452484,0,0.7345198835119519,0,0,0.6107884756509967,0.8450519693777412,0.728762310794882,0.8440284696684184,0.8431158477721766,0.3749807273800642,0.7700567410498036,0.8760376909956538,0.8340065814811358,0.8851600145546593,0.7111673446888799,0.8417896953913302,0.8682475969504466,0.8102128507878398,0.7403737236365938,0.864702173734584,0.644497973901425,0.8534212460278965,0.7085887293659037,0.8196887432591479,0.6828648739506731
belarusian,0.8859822402446066,0.8314243823515937,0.7857843335904108,0.8512808649346406,1.0,0.9599247362385567,0.8501956627755007,0.8047845322398833,0.5571854620057289,0.9332153903621444,0.9707500292648649,0.940417809893164,0.8809743245193841,0.9184327403588417,0.8843976815761853,0.7868152353251011,0.8432847493274475,0.7921286049759619,0.8967281118817337,0.41617498467455194,0.7726280858141089,0.6654941305273785,0.8254006841882635,0.608607933589446,0.8578075709452925,0.9190342785246316,0.8416177677161113,0.6242982375087265,0.7313617392654597,0.6566696904218902,0.9293617853624605,0.9579454788173777,0.8764066077310095,0,0.730282494136768,0,0,0.795193804881042,0.9435602479413979,0.8788609581835624,0.9248548393457048,0.9867886122733653,0.36200266061006475,0.8177750089833081,0.9207888337267651,0.9796298625444493,0.9112535829730024,0.8509132521314612,0.9252149107911403,0.8463804589222018,0.6932734004181723,0.791070578684344,0.9914914618984206,0.7846556384810845,0.8232978850418012,0.7688475543027333,0.9377449315283677,0.5906139486341087
bulgarian,0.9014395368651498,0.810370818895137,0.7477826508580869,0.7941905175588687,0.9599247362385567,1.0,0.8658301234053619,0.7511055470737318,0.5198083667284613,0.9242729057571097,0.950633950888787,0.930484155359174,0.8813051301806236,0.9259308354683965,0.7938976646672286,0.7037566269602642,0.8631328100611335,0.8076943102409132,0.886080704736578,0.35950020942419486,0.7458875135287925,0.6622314848492589,0.8638154058811373,0.5558554435429796,0.8502048399830456,0.9120369369260104,0.8573652775166837,0.7198495666992667,0.6545284927679842,0.60755523357001,0.8803158138948964,0.8979571265194054,0.8097366737398772,0,0.6421103591933909,0,0,0.8259653461235581,0.9415430157358544,0.8936800964547515,0.9417405579812406,0.953695972504207,0.3106921036097995,0.8225432256398383,0.9169377622499165,0.9544537028952254,0.9121765988178184,0.8713195309233774,0.9028800338645155,0.7673069641850729,0.6102273805836378,0.7307802696881643,0.9536791439721535,0.8402794885752872,0.7408903759759234,0.7512213686987771,0.9271158182557208,0.5241727747687981
catalan,0.9425116302803025,0.6692468801729392,0.736951174006158,0.7490714145349568,0.8501956627755007,0.8658301234053619,1.0,0.7120937652823329,0.5152953443780608,0.8490396143324535,0.8577523381790256,0.912048506718861,0.9509347011231923,0.9467753951320179,0.7063149083389261,0.6758882178647285,0.9535759400601878,0.9110752647660356,0.9578859741296559,0.2573604216806827,0.9403934022516811,0.6054885511422239,0.7606634585580947,0.673444346125452,0.8205579736661177,0.907693338510337,0.9476332444503351,0.6808491355977657,0.5740184249781656,0.6034918771220253,0.7788452274771761,0.8196390606938007,0.6675214086024563,0,0.6139595928134562,0,0,0.7382654365789187,0.8336973760310015,0.9172773669821763,0.9460808005043881,0.8358653316907948,0.28642931567061297,0.8191780793077432,0.8496032742104476,0.8465281622919453,0.854159100953878,0.9859416348311842,0.8696672775182048,0.6370780316116175,0.5558769655582947,0.7069578038358358,0.8357951291281619,0.7561032505417233,0.6300297994136701,0.7537280207050903,0.8741628363396914,0.43329868916223196
chinese,0.6603596987268175,0.6999934905529972,0.6779472972196701,0.8558929540643359,0.8047845322398833,0.7511055470737318,0.7120937652823329,1.0,0.5450391407811183,0.7365650360168826,0.7628556406325606,0.805448089404323,0.7579613222644491,0.7652410585794084,0.8207061629441702,0.7354053412038705,0.6910817141203172,0.6426071800027618,0.7410800936301065,0.3983449632128622,0.6600322851061216,0.5363139722824792,0.7066005680704335,0.6297521478476067,0.799323673624084,0.7930601817432954,0.6849763671057467,0.6021695203264802,0.6102004646703514,0.80022121671368,0.8297411072734276,0.861420251720296,0.8037605995068277,0,0.6080111736480003,0,0,0.6031598119227181,0.7832814975486729,0.7497881162809426,0.7916147673446494,0.8090658529966571,0.2820714001240619,0.6652261232173805,0.7519670114255554,0.7917743024047584,0.7593041307809988,0.7265902492674748,0.8080112962102143,0.8117051451510856,0.8042785175342297,0.6851130647778222,0.8281146941707936,0.6969948449695127,0.8050683486349897,0.8012095968125922,0.8090694205286532,0.6048464059886353
classical_chinese,0.49761940884773753,0.49382742368958604,0.4836425530124472,0.5625930748346629,0.5571854620057289,0.5198083667284613,0.5152953443780608,0.5450391407811183,1.0,0.5890241151713828,0.5282460668044028,0.5608817672714986,0.5678566778859145,0.5053993226200626,0.5646453299263062,0.6097331325246995,0.4552024027065823,0.3987251636449266,0.5178067662364114,0.23415953078851093,0.48528625349122556,0.35544624774719025,0.44073831719800743,0.4431252619432648,0.5576139784956523,0.49931618564031616,0.42205930071259296,0.280020424587788,0.3771040913021945,0.6130441394204017,0.5819794093496304,0.5537908592133112,0.47637738513059497,0,0.568664927652717,0,0,0.4577600552960042,0.5565002252495123,0.4698121206656084,0.5097672577257892,0.5221271638643552,0.7603993923319965,0.556699555802217,0.5905494533756358,0.5370722351830526,0.569738355613259,0.5086188310596103,0.6292081232119541,0.5643720052625413,0.5745345795067975,0.564891234875418,0.5217906725993221,0.4868525096641511,0.4523383552747531,0.5740007622679776,0.5614610481170849,0.3688241955707482
croatian,0.8852997978134893,0.7357769700363879,0.8830251751170111,0.867377511522331,0.9332153903621444,0.9242729057571097,0.8490396143324535,0.7365650360168826,0.5890241151713828,1.0,0.9382651382303946,0.9338831043861144,0.8697762818139113,0.8949840414829304,0.8523376126866663,0.8203812596292651,0.7671764621742196,0.7228921946081021,0.8561125669187323,0.3176410342579285,0.7263639478173537,0.6590505105117872,0.8050088365101535,0.5841173262255294,0.8687879706699165,0.8486489462457326,0.7978285722824865,0.6960095827942294,0.7446324073835104,0.6743306419236368,0.8959322561561843,0.9006147042597288,0.776352250171228,0,0.7813200200472988,0,0,0.7921594481348304,0.9189353693412173,0.7816756033047683,0.925369320479404,0.9230985482373814,0.3909645263570152,0.828051492811499,0.9897267052973215,0.9278274731938131,0.9761333467674953,0.823273401097831,0.9211870002959603,0.7702137922529269,0.6596395426322913,0.7807651675863776,0.9230999092937401,0.7813706720305187,0.7862008518605497,0.7491385395506036,0.8730556741856322,0.5146830917339337
