,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6753253640888982,0.7750801227679153,0.758334708715507,0.8001943052159869,0.88211956652474,0.9259824966506008,0.6398590844126506,0.4911236906970671,0.8936730302491954,0.872994406393834,0.9357425578642017,0.9504127122425029,0.9652785032978187,0.7782266413816418,0.7556336630160826,0.91930909577709,0.9003702924738177,0.963871616986432,0,0.915599535899479,0.6300281183306763,0.8490810247932005,0.6377358528863882,0.7913004291570727,0.9153606215769735,0.9350135246320844,0.6087698273505902,0.6387205407053844,0.643053029029767,0.8123763026169352,0.8428390486007968,0.6463555509272073,0.8985733396406567,0.7632439817235113,0,0,0.8284414102691005,0.8463131369873392,0.8717323899429228,0.9241159791446779,0.8778200477815868,0.3616442295564165,0,0.8538118800243377,0.8458276319860616,0.81830008204783,0.9483022551268152,0.9260801962623275,0.6857017647719662,0.6577035831055741,0.7551353670436487,0.8809996965275608,0.8116054432452263,0.7745494713006182,0.8252266266322693,0.9320090508546668,0.7555587333517756
arabic,0.6753253640888982,1.0,0.5241967911104664,0.6957384491527697,0.7339685102146352,0.7489554240990682,0.6564991053589238,0.6554602480374396,0.4773498611857185,0.7499198932668081,0.749987257636982,0.7189799819715614,0.6660172784471472,0.699597842532251,0.622199091100879,0.5560544196797899,0.7054616782950461,0.7477945038911202,0.6588882994214421,0,0.6572545611523667,0.7462360064827372,0.7818493744076226,0.3762186570829652,0.6054289889211931,0.752765742403367,0.7655810517467706,0.5800746179870429,0.4602014459131814,0.5300167845340632,0.6604709259845405,0.7680210999921921,0.6452376204002206,0.6025912177330736,0.514183264634883,0,0,0.7100037947387661,0.7260701289290464,0.7996421157052734,0.7400306969359529,0.795967631344394,0.33816844481236097,0,0.7713585836950438,0.7691689723500938,0.6959678891520373,0.6943450467475261,0.718480305100489,0.8009279870608685,0.4921210278632711,0.6737698181703398,0.7773884954212438,0.7418734498262168,0.6274255900603559,0.660477903386973,0.7534850353606671,0.6516175872219832
armenian,0.7750801227679153,0.5241967911104664,1.0,0.8813035594223773,0.8470278558271922,0.7994918774012979,0.6701975760900499,0.6817954824010956,0.4093653845391536,0.8805601222568155,0.8721367793175507,0.8559731175507413,0.7810121242612961,0.8192780778992279,0.9035023600688352,0.9452065377342884,0.64276294469429,0.6014148435371452,0.7672806555452522,0,0.6522814441474092,0.6363318071476359,0.687953886934685,0.6466550319194981,0.7475330608910947,0.6873332641973445,0.7012993292403173,0.48755808191728645,0.8559062040617073,0.7619278809378849,0.8723453720173049,0.8440997550244128,0.7676390230138265,0.8005356060781516,0.8151870638415879,0,0,0.7972009256938821,0.8601998814235204,0.599229376882001,0.824496342866671,0.828640636898874,0.3607993444983218,0,0.8731109248545833,0.8206146862133604,0.87078107579963,0.7162564210426378,0.8254370530586705,0.6986222410337686,0.7774635370682229,0.8755773767122076,0.8609441310172316,0.6180448915894603,0.914416427419969,0.759847669554283,0.744362061821944,0.7459042532107715
basque,0.758334708715507,0.6957384491527697,0.8813035594223773,1.0,0.9052942731490864,0.8502044065621154,0.6875904143266737,0.7890073076688708,0.5286147837315247,0.9132427486754392,0.9038668352651335,0.8509045032276372,0.7708164029120965,0.8080907172916295,0.9218472082428449,0.8788800898572771,0.6554000164733446,0.6532711977290776,0.7720902543028363,0,0.6877234033631934,0.6193221624742561,0.7719161570704695,0.63099160084208,0.7448802961602408,0.737305418434774,0.7132465558909781,0.5644591035236387,0.6879453755378121,0.8340580324375569,0.8974763639015862,0.9369842094145662,0.8652733069330569,0.7395669015462328,0.7463261931281067,0,0,0.7232665448508969,0.8788317755445801,0.6932690667841601,0.8575685850074463,0.8898110935295326,0.4772544254333602,0,0.941022304317397,0.8891393767788792,0.9326412060679307,0.7428762171718244,0.8098581286104839,0.8677620656272736,0.7866157130448068,0.8057803585128976,0.9138677135916521,0.6918874351517715,0.9081131561482851,0.7828089586067561,0.8114108910412212,0.7903891975465598
belarusian,0.8001943052159869,0.7339685102146352,0.8470278558271922,0.9052942731490864,1.0,0.8989057673652153,0.6910922541671005,0.7756706640603623,0.4349723701204316,0.9256069911375656,0.9595817479570474,0.8524832742954068,0.7886644028101727,0.8506660418826516,0.869754843772249,0.8093810244335038,0.731416167566944,0.6877509666514376,0.7887507578294981,0,0.6761124407894099,0.6515001719245209,0.8054204896142623,0.6105893793444148,0.7511686349247265,0.7539892774778896,0.7564595343320606,0.5127504277436732,0.6632171122238812,0.7845968565072209,0.8961158439653852,0.9367616905292985,0.8989274091015533,0.7348308089295819,0.7233897364086391,0,0,0.7855051061244017,0.9554738989052199,0.7598162978645717,0.8983407821335772,0.9277768066229585,0.3632359741760733,0,0.9644878506533607,0.9305173929274951,0.9280223089407181,0.7659337732682349,0.8177856873344013,0.8120329158343831,0.6791085939505203,0.8078020091503905,0.9663215275616625,0.6947386037806307,0.8828677873314565,0.7997888924224659,0.8247928856274884,0.6745868022904927
bulgarian,0.88211956652474,0.7489554240990682,0.7994918774012979,0.8502044065621154,0.8989057673652153,1.0,0.7971805714623377,0.7299200562815761,0.485976006152653,0.9454499818158317,0.9377175926787936,0.9425051375527957,0.8857992123337761,0.9280352426359226,0.8149283904510856,0.7867618757797866,0.8219074708228556,0.7740520833518019,0.865832177012455,0,0.7444924420870509,0.679218612326705,0.9166023771420644,0.5563224851486347,0.8281307793753215,0.8599467655313116,0.855935998922385,0.7136354544524548,0.6597323232485467,0.7231706513133472,0.8701346291064906,0.9007079248558657,0.7592660233947417,0.8012752599014088,0.6890538187327606,0,0,0.8707810677369299,0.9369901247446799,0.8238442118045814,0.9508789335427987,0.9529121437575417,0.410711157030718,0,0.9470285326442777,0.9075315335540887,0.9169197836337517,0.8468415020724186,0.9249591886105929,0.7839711515908699,0.7002760161095526,0.7601300919072328,0.9437963221107307,0.8378635498366517,0.826500041783512,0.8391928205215277,0.8803221956932806,0.7603387725428197
catalan,0.9259824966506008,0.6564991053589238,0.6701975760900499,0.6875904143266737,0.6910922541671005,0.7971805714623377,1.0,0.6505270006888939,0.5177946903856754,0.8038998689546407,0.7617828386624501,0.8800343124047658,0.9448835099704909,0.9318840097224812,0.6718565632972575,0.6720667429964747,0.9423537044518354,0.9225695363107179,0.9436584315251308,0,0.9386325360309339,0.5893644797683195,0.7939763449478958,0.6508008883406314,0.7852627726027535,0.9269023063877836,0.9333028025520764,0.6392454610786898,0.49789753372860307,0.6239345234730821,0.7438590033219158,0.7781224098884273,0.5588629636412429,0.8778684291347678,0.6765829228335352,0,0,0.7463191793212193,0.7613369905876207,0.8938785374111011,0.8807743525321711,0.7832459419281402,0.29638253682841903,0,0.7582295756046966,0.7450648607153844,0.7298535014720354,0.9902509589282654,0.8785708337035412,0.6092635969596246,0.6234505054047128,0.6753509773134135,0.7877271108366294,0.7630196842746185,0.6665410282329304,0.7831157279489291,0.9198884938396391,0.793905533309174
chinese,0.6398590844126506,0.6554602480374396,0.6817954824010956,0.7890073076688708,0.7756706640603623,0.7299200562815761,0.6505270006888939,1.0,0.4899769935198351,0.7655637313924766,0.7709666075247151,0.7335302251772765,0.677715048806192,0.7322065439101828,0.7399368409623622,0.7188881841928486,0.6207859530885975,0.6172152066265219,0.6745586566270365,0,0.6037345652938383,0.5440992706719667,0.7772545102676137,0.5493225534515688,0.7395721928591651,0.6969112112389088,0.6339598707278327,0.6268190140631645,0.503225493035859,0.8478717045433813,0.776621126201108,0.8186697303471875,0.7221024625018294,0.6467493814691938,0.6232621919115975,0,0,0.6241100087689061,0.7600120520881553,0.65115390949272,0.7485914798711447,0.764495347076027,0.31776808623600045,0,0.7738348945984935,0.782318240404297,0.7916160032310321,0.6864385910074785,0.7149511748876736,0.7540045641683767,0.7424869168526104,0.7022280687212391,0.7908697654050901,0.7064389073717308,0.8150102384797399,0.8437443717995893,0.7001686828085608,0.7108479329887846
classical_chinese,0.4911236906970671,0.4773498611857185,0.4093653845391536,0.5286147837315247,0.4349723701204316,0.485976006152653,0.5177946903856754,0.4899769935198351,1.0,0.5629465825240723,0.5218337866365761,0.5592715852215688,0.4708983759458584,0.4593085580290301,0.5756791062519789,0.559403490058582,0.398481630851016,0.40344930117679156,0.4706490646359227,0,0.44448042164518214,0.33585706830681433,0.4638453916959384,0.35703344695159134,0.5097534736501133,0.4837586382246692,0.38715348008017286,0.27160992991961286,0.3061423367930749,0.5062751461172503,0.6383786232036501,0.536462911717225,0.41584088469110325,0.46413234859617647,0.643619888614601,0,0,0.4614449019938958,0.4639958274697171,0.408707420975203,0.4272782179221453,0.5005606123381132,0.8059243103301764,0,0.5156449327889848,0.5919805778803197,0.6007062834187368,0.5016446522875637,0.5637697076586297,0.553149557438053,0.6925159495398046,0.5003573384765843,0.5106055140377561,0.47716009546013655,0.539006732840097,0.5657016157995691,0.47542188595884677,0.567299253726393
croatian,0.8936730302491954,0.7499198932668081,0.8805601222568155,0.9132427486754392,0.9256069911375656,0.9454499818158317,0.8038998689546407,0.7655637313924766,0.5629465825240723,1.0,0.965354960742762,0.9567319863156554,0.8783020678486906,0.9190629488031999,0.9041644999500391,0.8653966094114255,0.7905306724626053,0.7477785517839236,0.8717945725782493,0,0.7652321456566402,0.6771540737165382,0.8717284860002024,0.6047880311549775,0.8411526642318805,0.8410284664555854,0.8307960040373372,0.6464767383252085,0.7097105323471398,0.7818187335113894,0.9121351634152952,0.9304721915249528,0.8012926180136771,0.829812233768073,0.8261978028554741,0,0,0.8592588467381109,0.9451909353785132,0.78135130080006,0.9418933971351044,0.9523282281035034,0.4717072786942169,0,0.9780601082707026,0.9464630995676088,0.9525404816691009,0.853804392000199,0.9337683936651577,0.8114452839925824,0.7531765034386075,0.8336323584321524,0.9697873716382239,0.8200314172433367,0.8971979958664158,0.8587481287977133,0.878314734572816,0.7861537628472289
