,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7259228066737061,0.7767094295984968,0.7646668128945233,0.8446494555439458,0.8706161961368392,0.9269908500661933,0.6181982624670525,0,0.8626214077024204,0.884134546915695,0.8887985183365852,0.9551677645966525,0.938678877237822,0.7836107300565961,0.7394317276225717,0.9009940528285226,0.8754026128904936,0.9631391823154077,0,0.9164291342150245,0.6779373506782959,0.8251399495581399,0.5927745284119188,0.7734769657927704,0.7899932001380131,0.9225646393390303,0.6024209922711142,0.6793703763410271,0.5987896455952315,0.8326292480725215,0.7909077932632842,0.6854597125153284,0,0.7693401649297974,0,0,0.8107590422479436,0.8576075349852712,0.8605578614341037,0.9032122791708174,0.8505743867528971,0,0.7098260851070413,0.8757648316661626,0.8736618262659978,0.8885513141881987,0.9429750647299794,0.8998487444952178,0.7198435728790102,0.6611409343393017,0.7253442801833735,0.8247418454955059,0.7791111783791191,0.7507008296688985,0.7542546261873236,0.8671810226789459,0
arabic,0.7259228066737061,1.0,0.6078691450738681,0.70526747562624,0.8746411026807018,0.8662431641637149,0.7594261093981425,0.6917583026675201,0,0.7480135984164786,0.8408073235895465,0.7169124366220162,0.7054246711419625,0.7345721244909318,0.7421529286852756,0.5723863754202572,0.7347029786887874,0.7396858130362646,0.7460846217480437,0,0.6990869958902372,0.7388545241707698,0.7750645732741285,0.35515871277315836,0.6320211055715184,0.6816626373215441,0.790404439574138,0.5966693470575992,0.5280325145040521,0.5063990936168067,0.8256148393136681,0.7000953445699515,0.7580025263063869,0,0.5734275682435317,0,0,0.756741784091948,0.7680209792172566,0.8006180086756906,0.8518213884033395,0.8548062782460129,0,0.5523800290711051,0.8205814137715643,0.8764710933797214,0.8489756692322982,0.7781920454895738,0.740702507041644,0.8758967608327994,0.5228177888128587,0.6207189617283221,0.8107954004981661,0.7807669210414871,0.697927990565353,0.595090897896344,0.7718488277582203,0
armenian,0.7767094295984968,0.6078691450738681,1.0,0.8819231792755201,0.830011636734337,0.7200184377417429,0.6709948900014535,0.6890508177213358,0,0.8371698184366277,0.8592586771390178,0.8639356342105318,0.785361508518175,0.7999876737698777,0.8964819988611549,0.9245663237449526,0.6184132970417013,0.5982145570604533,0.7775410985177956,0,0.7182379364249647,0.6753971405103838,0.672895631433138,0.6187093105455578,0.774983611375567,0.7963540340920304,0.6582489121058688,0.4901688648278447,0.9108651302986306,0.7463338002741742,0.8332355631205588,0.8183839667531811,0.8349830150611366,0,0.8416739767829963,0,0,0.7969285818263835,0.8301700269625579,0.581275925379297,0.8304392688883303,0.8541616011838227,0,0.6774984193985251,0.8679344712866971,0.830105128558187,0.8548234092532315,0.7307238227422306,0.8139993381385864,0.8045979133408311,0.8504413486899884,0.8599163766965807,0.8711198466443809,0.6551365734315873,0.8936975401676275,0.6195500488274851,0.8146069068224446,0
basque,0.7646668128945233,0.70526747562624,0.8819231792755201,1.0,0.8445234967600543,0.7350388622648187,0.7247601513496242,0.807122471102454,0,0.7832492016256725,0.8345993070567848,0.8914823922844717,0.8068397814780607,0.798020349770897,0.9287664181550132,0.8891616335395564,0.6400721635971934,0.6149036864973836,0.8000789721808775,0,0.7140247034526191,0.6387705226842507,0.7093872265763306,0.6045525442783094,0.7719468496753045,0.7479971773088206,0.6771569801784356,0.5717178067189389,0.7665527568076815,0.8170014287705373,0.8724834477255902,0.8358219802017044,0.8381366908564594,0,0.7974525968722387,0,0,0.7101684893831373,0.7761575902942016,0.6314423020880654,0.8443160955798311,0.8531547380532101,0,0.6880937854543354,0.8568788338516582,0.8345694075858616,0.8615838808430343,0.7678437942074408,0.8043946009593226,0.8591647062877446,0.8693920161245181,0.7806205284763611,0.8593145929901377,0.6955931380422704,0.8869868206553644,0.6680177812078375,0.8647994983504959,0
belarusian,0.8446494555439458,0.8746411026807018,0.830011636734337,0.8445234967600543,1.0,0.9214590845430463,0.8232416771732591,0.777486775970572,0,0.897589785241221,0.9733068998187098,0.880407430102096,0.8296144636289994,0.8740769083426811,0.8745277490456711,0.7886004221865371,0.7729418467750973,0.7370703671779827,0.867771498220545,0,0.7810966193389013,0.7278734876218873,0.8243887670302358,0.5236028455089513,0.8042584505618576,0.8499280095867572,0.8057429601268435,0.6059530504107731,0.7752768469626464,0.6751977082162439,0.9498313683085489,0.8416269751336731,0.8914746295331519,0,0.7457112580459074,0,0,0.8338303146681734,0.9208044571283102,0.7861934659147627,0.955488546739411,0.9806043477021363,0,0.6813566430897849,0.9514098765915151,0.9726152693243224,0.9641214229316951,0.8648766772825034,0.8516133275610039,0.9088796542811742,0.7417657609688584,0.7407320598147434,0.9835655727761834,0.7904622880017387,0.8731131890930812,0.6768368546722399,0.9057862359716732,0
bulgarian,0.8706161961368392,0.8662431641637149,0.7200184377417429,0.7350388622648187,0.9214590845430463,1.0,0.8692011078610538,0.6665132534770661,0,0.9014586660748917,0.9256107421394342,0.8546479776951609,0.8511162273578478,0.8785158479344732,0.7714616278394443,0.6724560176470992,0.8190079670574495,0.7713662829255259,0.881871839246149,0,0.7558445402607811,0.7166550834492337,0.8689772748475184,0.44050417273352444,0.7760670605199155,0.7967264530767058,0.8485160056164057,0.7060368679600798,0.6345499949501421,0.574209099559554,0.8813019121232218,0.7658331118531481,0.7529544814497648,0,0.6607384312739117,0,0,0.8764014552116125,0.9112097189103177,0.8213907783106529,0.9443316924645688,0.9197082637855681,0,0.677070657589591,0.9281830104787849,0.9366032394082481,0.9399586734544649,0.8833680511178306,0.901307459626096,0.7870146781405357,0.608148671152934,0.6711183124040898,0.8811868181300713,0.859682055466725,0.7274829160950963,0.7075758497839232,0.8486079473416509,0
catalan,0.9269908500661933,0.7594261093981425,0.6709948900014535,0.7247601513496242,0.8232416771732591,0.8692011078610538,1.0,0.6693878748057733,0,0.8040228234556657,0.8301042603229488,0.8669521861604385,0.9150074726802394,0.9138107867735419,0.7060411412219073,0.6278403085483636,0.9629695397414512,0.9198339016654833,0.9447701281233438,0,0.9172821940064466,0.6454320463030909,0.8158787253540062,0.5734651603778076,0.7421437716564585,0.7661792639203288,0.9502267445112392,0.6873873383815525,0.5388672554250602,0.5629182682112525,0.8194901550268248,0.6933098482851071,0.644968434382951,0,0.6344269890653124,0,0,0.7911509931995987,0.7890890378936961,0.9436293413586405,0.8953816116275719,0.819037994423511,0,0.7393284784718105,0.8303912552125119,0.8504717789671957,0.8510010493319703,0.9880701379038024,0.8541476761796648,0.6948299179708198,0.5957795641032463,0.6562129624550479,0.7885852967264887,0.7704248222576816,0.671635703426707,0.734223133755706,0.8901511636525269,0
chinese,0.6181982624670525,0.6917583026675201,0.6890508177213358,0.807122471102454,0.777486775970572,0.6665132534770661,0.6693878748057733,1.0,0,0.6655304890604623,0.7463564358079692,0.7663123283781476,0.658695283843794,0.7551446709760649,0.7869164722650712,0.6947650893122536,0.596968837689228,0.5576370639239692,0.6685163683020252,0,0.5992757347772988,0.5522359796364352,0.7523447966996095,0.49627670018454634,0.8272492068568446,0.6677037058248183,0.5887231943365414,0.6412332558648973,0.57262888275281,0.8295258240453347,0.8112388145897358,0.700112573169544,0.7690837781414819,0,0.6113122786651982,0,0,0.653576677038137,0.6494939968560054,0.6374829249913695,0.7500359477478079,0.7621121970200968,0,0.524536995143658,0.7292919855323698,0.775773455870518,0.7716114629965432,0.6989436025258805,0.6657788609728705,0.8196373925484354,0.8151430063319322,0.6776546737684628,0.7831015593607895,0.6678090190533806,0.8333123682930121,0.7559639705160758,0.7843165145239633,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
croatian,0.8626214077024204,0.7480135984164786,0.8371698184366277,0.7832492016256725,0.897589785241221,0.9014586660748917,0.8040228234556657,0.6655304890604623,0,1.0,0.9401831676575063,0.8774434931179643,0.8397993243415595,0.868539570932468,0.8350984591439204,0.7728042744105859,0.7427185633013758,0.7262652947818775,0.8580045120644905,0,0.7612937108128087,0.7089274026080686,0.8007075471106825,0.48428664246391545,0.8004496024100893,0.8860335536876479,0.7804625289632698,0.6112877460256652,0.7888322479286677,0.6561375052540374,0.8726007842176304,0.8620173948421597,0.74630956476786,0,0.8099472200798072,0,0,0.8358862309380393,0.9237846346689351,0.7214390180704277,0.8946405548792186,0.8902853291322362,0,0.6855054016074776,0.9377455417124597,0.9231041697671988,0.9357017472643138,0.8257624302521783,0.9068086181257892,0.782498822043635,0.6854999099835992,0.7349551167524642,0.8828762522067737,0.8277544441687364,0.8403276184055541,0.6935363284349432,0.8422887491893255,0
