,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7001945363181321,0.820337458196149,0.809435375221604,0.9052938902344068,0.839878558584108,0.8804435009580603,0.7005984565622453,0.6490944313249454,0.8910005290880912,0.9049952652452631,0.9358028380388272,0.9160410578369547,0.9174883187587342,0.8491855124970235,0.8254866465249692,0.8428367117436134,0.7827816807335772,0.9265441894890862,0.3410786181177814,0.8482391531395586,0.6759862273477532,0.8250537243891907,0.6796461664459131,0.7992210287847917,0.761799169470472,0.8411437932464676,0.5586448033918562,0.740014429855198,0.6883297358101004,0.8636070347016598,0.8576167287030538,0.7694870208328729,0,0.8404217123683073,0,0.5908001505815405,0.7715405385020855,0.8988366114073596,0.7998977681898374,0.9117877755071504,0.8559675962489597,0.5018041397216351,0.6578200914591108,0.8989020033295084,0.8907692609416552,0.912244916352361,0.8841299135161019,0.8941480139172523,0.7253056866822554,0.7478853766409387,0.7656509543016986,0.8787511874449887,0.8073337230310144,0,0.794814080853064,0.8677889242418332,0
arabic,0.7001945363181321,1.0,0.5579317812566353,0.7634685132265385,0.8429105262581762,0.8787808297716307,0.7066201712671777,0.6548774420641439,0.42486504895884514,0.8524894575009481,0.8160036652317979,0.774154537008398,0.7725139618978087,0.7654334138551075,0.6788805207163632,0.5798933622589844,0.7204514928083635,0.7617530561920334,0.7631497090508537,0.6284188524897992,0.7364366964957684,0.7394932764606019,0.8062665565552593,0.364175898139532,0.6069001928563501,0.6975064027758887,0.8102289494491202,0.6505691013928852,0.53418205953307,0.4948151382289758,0.7080694599927283,0.8319650673487784,0.8401361288328993,0,0.5449156941428697,0,0.46263700360806215,0.7524072243983422,0.7839033987460369,0.8320088867846249,0.8211323585199719,0.8997411483534864,0.3691579064346352,0.5426683160861544,0.848947720093215,0.8682790135161808,0.8564496379794183,0.7457785851345293,0.7894412445162664,0.8916159001554719,0.48281739471645324,0.6846103269178407,0.8517625688656063,0.8475520991584968,0,0.5782540763705171,0.7570189989807057,0
armenian,0.820337458196149,0.5579317812566353,1.0,0.7991147998529518,0.817602909772234,0.669099397897658,0.6222132041961653,0.6535858909482213,0.4982405257958636,0.7884352741250937,0.8495001924415854,0.824006677341013,0.6833356878223512,0.7538140335659365,0.8396970878330179,0.915362846556044,0.5827614498413781,0.4893930985808501,0.7307312349396475,0.29474519193303755,0.6190085527044293,0.6101459768345117,0.6845205405990721,0.6658079885437911,0.7075388856538405,0.522453872206887,0.5987678571520325,0.45405083350830244,0.9066673732660762,0.7145975084530665,0.8349815322713909,0.810426956483322,0.7370614386339736,0,0.7940946686421422,0,0.43480812489040127,0.7684320306852092,0.8233466092968872,0.5436218921789201,0.7611159417948862,0.7918602818066288,0.4249585520041391,0.5331066255467406,0.8053845610772824,0.8054336054550559,0.8146344341259126,0.6313274209157201,0.7465750553681734,0.7096255992159372,0.713679159197898,0.8552609202113215,0.8225949741472394,0.6902407360064193,0,0.6611592481596826,0.8634017163160582,0
basque,0.809435375221604,0.7634685132265385,0.7991147998529518,1.0,0.8572285144316325,0.7302919114538312,0.7277354227571604,0.8206501589876488,0.5346861184990205,0.8487458984908226,0.8803472092820999,0.8553614039726433,0.733773089605986,0.7729085961084295,0.9078153082684934,0.8288731256590388,0.6693621699582706,0.6189999644296629,0.7916068359488841,0.4880834929643468,0.7121104557598971,0.5978968344390687,0.7323575303360312,0.6309304481432594,0.7063156894882736,0.6102850065774196,0.6861246275645082,0.5060911681391101,0.6918464593932508,0.7848559493301804,0.8769618224701685,0.9547670537013415,0.8655492211271218,0,0.7206746287666844,0,0.5244474272140399,0.6897241061647641,0.822595681193334,0.7294000294144692,0.8655630256347234,0.8716729878990438,0.46337082663595464,0.44184285333872547,0.8454059921605785,0.9011862297083548,0.8949238327188991,0.7445074078409181,0.758907403631305,0.9034819508497818,0.7074591328134049,0.7679732641357434,0.9094471467825697,0.7497756440140064,0,0.7004401646599527,0.9206701488447974,0
belarusian,0.9052938902344068,0.8429105262581762,0.817602909772234,0.8572285144316325,1.0,0.8971018158607386,0.8080643217730319,0.7457266011837368,0.5884933505738233,0.966292728348481,0.9549528696793366,0.9423123857519307,0.876150446843855,0.8884124661565703,0.8641870495829892,0.8101563149504146,0.7676226893388736,0.7286619223674887,0.8838463754831584,0.5235246189232118,0.804674647655806,0.7020489632975297,0.8391026684252886,0.6063930775087022,0.7769053223263345,0.7705575744401855,0.8049833689328618,0.6100638413915482,0.7902650480735492,0.6947806979307596,0.8736119008492014,0.9250132988420364,0.867032782163486,0,0.8267225354231225,0,0.5871105337439511,0.7851628324944881,0.924019067061674,0.7804620866627067,0.9166061823962288,0.9579318143808234,0.5071326173597963,0.6674894187103586,0.9675303620099986,0.9645125991484137,0.9601078523538242,0.826305758727891,0.8941304364465689,0.8601397767948573,0.7665962681337326,0.8078079724936129,0.961582282371674,0.8638263561215376,0,0.7413015654248817,0.8922252428429247,0
bulgarian,0.839878558584108,0.8787808297716307,0.669099397897658,0.7302919114538312,0.8971018158607386,1.0,0.795326790054016,0.6229678019772632,0.5029395622319609,0.92211771002993,0.8914312785408703,0.8717273647964303,0.8782307835305707,0.8891012560599006,0.7185157582169241,0.6594906027499169,0.8038606290573773,0.7568319532712604,0.8664522649442916,0.43769173010458956,0.7832727120488597,0.686571018615727,0.8683911462029444,0.4496003935692797,0.7307755714675471,0.7632638524171507,0.8530460353465572,0.7160341164676481,0.6286379756298964,0.5517807373262679,0.784269550855264,0.8225147606807074,0.7971077844514748,0,0.6502602356388305,0,0.5029736393571406,0.844347889317088,0.8970764849552957,0.831370594258013,0.8864046569348817,0.9210389904770032,0.42159231620381143,0.6833474663429907,0.9324752605359482,0.906254047644264,0.9244586902817976,0.8281648138632832,0.9067005531160344,0.7458925465764272,0.5273037945738915,0.688711990654652,0.8889207477841853,0.9109849191249247,0,0.6780944082571212,0.8081829811906096,0
catalan,0.8804435009580603,0.7066201712671777,0.6222132041961653,0.7277354227571604,0.8080643217730319,0.795326790054016,1.0,0.6479457643615546,0.539289534071201,0.8192177771068121,0.7693821290943534,0.881323248965916,0.9497548809949932,0.9041782801999797,0.7078405035367598,0.64483912976025,0.9546635833593938,0.9199658108534476,0.9447405438702325,0.33390179371871265,0.945917234290363,0.6341719758227027,0.7967696918708195,0.6476563258227899,0.7234532787034773,0.8693138101014997,0.9314873674035437,0.6308968928496744,0.5545838579025867,0.5769727165419164,0.6986824999267989,0.753886200152777,0.6719558476655932,0,0.7374776719330647,0,0.49180680670736676,0.7386221197549507,0.7713252502150553,0.9159383516732889,0.8591894149932146,0.767932710265493,0.3580978913007409,0.7191509284478846,0.8169469688633269,0.7913236052172444,0.8149264549718959,0.99619184681341,0.8615817845220624,0.6365301225270086,0.6596689003950357,0.6810065806783557,0.7780549294440036,0.778997303284273,0,0.7240120888835133,0.752848954801484,0
chinese,0.7005984565622453,0.6548774420641439,0.6535858909482213,0.8206501589876488,0.7457266011837368,0.6229678019772632,0.6479457643615546,1.0,0.538254999253533,0.7560390057874486,0.7314676097443837,0.7749897900777484,0.6542997633733758,0.7674313531471724,0.7731074403641196,0.6913847584383814,0.5823557890629645,0.5438721438268892,0.6734332994765542,0.3715291551824483,0.5977966323450234,0.5297097306390822,0.777136573084407,0.5587938802052854,0.8428392732746605,0.5857410270532049,0.5794308200495423,0.6651746229027389,0.5350304939327545,0.8589461022931079,0.7445664750485773,0.8113268792699388,0.728882135021031,0,0.6504223348630809,0,0.46127662889690246,0.6114329699293818,0.6840320029394692,0.6273025490413657,0.7469441456504856,0.7237803139985175,0.44612803274128904,0.37698098176624584,0.7402599266633966,0.7524548145201583,0.7534774355944606,0.6522065787554885,0.6991713646635731,0.740176976636249,0.7329404673151007,0.6761415463906704,0.7752565700859823,0.7461988537694718,0,0.822667107010162,0.7878369852501219,0
classical_chinese,0.6490944313249454,0.42486504895884514,0.4982405257958636,0.5346861184990205,0.5884933505738233,0.5029395622319609,0.539289534071201,0.538254999253533,1.0,0.5760288118427753,0.5218213327906998,0.5966527911366202,0.5487365477754161,0.4963699496638714,0.5948933725363404,0.6136359444451257,0.43433784499885103,0.37572860653908435,0.5139460644754307,0.3596690572164032,0.45228321117791914,0.3826281531614707,0.5264658353629276,0.3749275460723296,0.4997622831217896,0.5167141931164457,0.4095854844212514,0.2684885012373279,0.3076544229910196,0.48206062756918855,0.5690527252819313,0.5575040556754712,0.46556533030783004,0,0.6555525879064287,0,0.8215218350776639,0.45722374884127476,0.541179732613482,0.4370200164095588,0.5124030397017576,0.479902464936185,0.7579721639563474,0.27879412004056536,0.5757296692814539,0.5702104689538559,0.60284415045811,0.5227844130723167,0.5861274473466103,0.49427153224861686,0.6402292534727163,0.5545013178504955,0.478475939258521,0.464652069434199,0,0.6057191624878578,0.5887042816586173,0
croatian,0.8910005290880912,0.8524894575009481,0.7884352741250937,0.8487458984908226,0.966292728348481,0.92211771002993,0.8192177771068121,0.7560390057874486,0.5760288118427753,1.0,0.9343905937238679,0.9427212768016949,0.8796996233098582,0.8953115581282788,0.8523343447800403,0.8055337365668964,0.7709205208488837,0.7264964044574591,0.8835150116031524,0.4809756617112822,0.8020192042286175,0.7052287182611651,0.8568722586362078,0.5545864607267827,0.7759093400839715,0.7478842725518438,0.8126176815333366,0.6419214041494536,0.7407887764901485,0.6714663689352222,0.8362858883972251,0.9132190267896256,0.8451983833780704,0,0.8307476575359147,0,0.554434911408322,0.8116083950533276,0.9133498775302678,0.7760076489613429,0.9062869333994367,0.9447008327798553,0.49455765486815795,0.640527345439014,0.9944514002054553,0.9405978019106059,0.9639151150401908,0.8367178325241842,0.9221542372241492,0.8296680351246974,0.7338563941202152,0.7939735240739033,0.9329971581451153,0.8792210545549509,0,0.7519491027932661,0.8670651443600242,0
