,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7531647676981601,0.7631505674275543,0.7786563260398592,0.8868218771627233,0.9434199517040265,0.9348743833839978,0.6370611030177387,0.507698729483911,0.900580952379914,0.8981042567929313,0.9535588736028859,0.9452560229578721,0.9498727151180517,0.728535026506205,0.7264420409689083,0.8979715779215827,0.8996193295328274,0.9533572946306484,0,0.8747926222621428,0.6500298048548305,0.8533571087304993,0.5967224141105887,0.8291186510605022,0.9188507550082148,0.9079740514704854,0.6960989283681691,0.5813810257295045,0.5617321217959034,0.8420918230927742,0.8257715836480183,0.7323461426432795,0.82236785836102,0.7154812902242116,0,0,0.823574048136245,0.886722389111452,0.8893912336786364,0.9380365310548141,0.8789864329283053,0.3770385106317446,0.8009633281935173,0.9225304284374675,0.8977359526325089,0.9161347221146048,0.944681980973625,0.9212668171386802,0.6943088662400544,0.6455718110588411,0.7599199064562715,0.8966258783741209,0.8411282622377008,0.7638204911499697,0.7393303643145975,0.9191166149249351,0
arabic,0.7531647676981601,1.0,0.5412521202301711,0.7611254273026529,0.8130706514778857,0.8366653556261183,0.6625842642922843,0.6929834988963972,0.3997920163887182,0.7714865173660012,0.7832766201650909,0.7369447936181176,0.7145531401661079,0.7272681324188909,0.6850880095659172,0.5761321078935032,0.7019821923667441,0.7868084670042318,0.7026379465866776,0,0.6943862881963445,0.7549919441827745,0.7660304155348593,0.37935436355563457,0.617383240594584,0.7837352339690171,0.7403532776429125,0.6015087378889569,0.44834323562532186,0.5379693382717999,0.7797250350087023,0.8517748367357652,0.7992111709512061,0.6240698330335717,0.5013039108959217,0,0,0.6948727293459683,0.7725027675232401,0.835831979653742,0.812981608744702,0.8356496818484968,0.3002826347411911,0.5907944509988884,0.7976818635738118,0.7871906219121264,0.7566548818442154,0.6969144427774261,0.7494096192732371,0.885115856985935,0.5034340744949724,0.6998655718636569,0.8371032202683762,0.7465594071194136,0.6456691802281993,0.6113410435864771,0.84784171900449,0
armenian,0.7631505674275543,0.5412521202301711,1.0,0.8628170571892912,0.8217044705354921,0.7297586043465267,0.7241647503353538,0.6501661213611789,0.5468599436743296,0.8421263901942269,0.840661119281095,0.8435684021832839,0.7545918641184303,0.8233118926517999,0.7643601875363245,0.9384406033613623,0.646277491499679,0.5626445958885172,0.7746890700127468,0,0.5785678065037884,0.5812155439086797,0.6114333488291724,0.6662707383319346,0.796503570161562,0.7291564419850869,0.6518415348731105,0.5549773249239575,0.7755367673474289,0.6530313631368438,0.8366425582788968,0.7380175419124978,0.7485858119069126,0.8363030171471195,0.8640040650238161,0,0,0.7532693941712534,0.8262452884193011,0.5980462042891372,0.7967724318739363,0.7853556272525978,0.48812781540031985,0.6337088688204554,0.8549810337848487,0.836572149076306,0.8660739235356388,0.6979235393524879,0.834988691041108,0.6190696654558344,0.8292180789295538,0.7968829430286868,0.7929973750394111,0.5989108184338251,0.8578080462963997,0.707072616185694,0.7814103987542705,0
basque,0.7786563260398592,0.7611254273026529,0.8628170571892912,1.0,0.8833167420490146,0.7933770316149618,0.7272693618601802,0.8046682339858678,0.5217385026825465,0.8767704313160529,0.8594342181897605,0.817327021308576,0.7539677185421303,0.7913681910753912,0.8469140113919905,0.8477377044089283,0.6583696880568631,0.6378968102017769,0.7867217340527975,0,0.6761191006350894,0.5558995530686767,0.6860800364235327,0.6075494611404969,0.7786004195372666,0.762844498285335,0.6687568687402914,0.5990295276347858,0.6193698940003735,0.7560189201762568,0.8992556600475081,0.9034408409001488,0.8863524354389096,0.7710744029955883,0.7751067774268232,0,0,0.6666113016401737,0.8305881870836739,0.719266581810554,0.8746428989896021,0.8794986501660135,0.46335191071695336,0.586224747913395,0.8997304346041519,0.8603552734848796,0.8885832429152295,0.710487304401058,0.8020794777231429,0.8659541559297308,0.763781571981847,0.791275813697271,0.8788082528858976,0.6628262474301264,0.8599217444309526,0.713649288511305,0.8564517333490504,0
belarusian,0.8868218771627233,0.8130706514778857,0.8217044705354921,0.8833167420490146,1.0,0.9316444317799967,0.8033494868992476,0.7873227956756603,0.49105140447024465,0.9109559693225423,0.9561355848318837,0.9179308573230297,0.8667967732991333,0.9084681303632669,0.8734892298072292,0.8346381746434236,0.810527896550087,0.7688287579660719,0.8889129379441978,0,0.7335917479048181,0.6683632540190444,0.773959413434392,0.6342433280955216,0.8540437904349795,0.8779473389656702,0.7911044920061464,0.6204249901150558,0.6654797012879633,0.6623125774022773,0.9423393310236284,0.939290815288965,0.9121407125160652,0.8331133825133007,0.7805138993151441,0,0,0.7902715818038264,0.942061151924955,0.8365675821122608,0.9432948005066039,0.9808566896601106,0.4463438352297314,0.6798125391277369,0.9207968108726453,0.9628795019147206,0.927681520994114,0.8252799256207187,0.9024441110246473,0.8259082815026599,0.7746269565256599,0.7949135640466513,0.9895029750314621,0.755626341815716,0.8859756050520091,0.7633019812422441,0.9279176963491705,0
bulgarian,0.9434199517040265,0.8366653556261183,0.7297586043465267,0.7933770316149618,0.9316444317799967,1.0,0.8395602405648188,0.6822783308577076,0.4729552259682263,0.9177638912041439,0.9222911129638763,0.9276468526257288,0.894929505259031,0.9208617651239103,0.776866811893271,0.7066244499040016,0.8340785340756551,0.8390686731025715,0.880156992712113,0,0.7598113077078358,0.6790245948663443,0.8806568404335361,0.5186317662723336,0.8126997813522892,0.9135389662662262,0.8332752561786799,0.7395838202436419,0.5741104276068711,0.5835329293770781,0.8765687508945889,0.8743744807447059,0.8011734571049223,0.774344547454558,0.6643716086154847,0,0,0.8512564180478797,0.9302961815919621,0.8733002615868527,0.9464544638306338,0.9335486581285606,0.377620275514172,0.7689308946410157,0.9336782642290664,0.9254610860438124,0.9211846658474163,0.872506108188305,0.9134646893577177,0.7536059080286585,0.6305105828444137,0.7439062076347134,0.9432515259639863,0.8794604308049503,0.7634826017245823,0.7335309676908242,0.9393505181468876,0
catalan,0.9348743833839978,0.6625842642922843,0.7241647503353538,0.7272693618601802,0.8033494868992476,0.8395602405648188,1.0,0.6439832495670667,0.4670091289181018,0.7904710225382402,0.8161566162080153,0.9067018162908567,0.9385875991532586,0.9275691622726457,0.6348011913823868,0.6623299825721852,0.9558987239619928,0.9107395607357326,0.9563859470416245,0,0.92143639388151,0.5986089565332039,0.7677942015668949,0.6901635812285427,0.8177381609293501,0.8947328586295897,0.9459095354084862,0.6751855895502943,0.47020344056311625,0.5559976984739334,0.7788456512687988,0.7203047559705058,0.6655505247530997,0.8447420202687667,0.6692915891378343,0,0,0.7355719175566163,0.8097407332226523,0.9106064494545075,0.9109094768246274,0.7907528855688604,0.3190151076649143,0.7648210592601451,0.8276724082684992,0.8204057806662655,0.8399565864341765,0.9902573688787535,0.8789285081171405,0.6038017891737902,0.6205434064363659,0.6992049902127845,0.8018339161473271,0.7515736007864011,0.6889524889259218,0.7211109687233037,0.8727544862273512,0
chinese,0.6370611030177387,0.6929834988963972,0.6501661213611789,0.8046682339858678,0.7873227956756603,0.6822783308577076,0.6439832495670667,1.0,0.48613829938610587,0.7057203037615231,0.7381852576356038,0.7071384002494441,0.6669107687833781,0.7336031369075443,0.7232470056492675,0.6847519636017613,0.6479188554163977,0.5963234405339144,0.690426225117618,0,0.5861069702882598,0.4901227089871912,0.6884216563283111,0.5498691898844331,0.7295343551275304,0.6874876794792144,0.5974019339757942,0.613688224794144,0.4491837905809143,0.8179186047635648,0.8041580076455401,0.7664126585798332,0.7865247576156893,0.6966864272770245,0.6550283719599114,0,0,0.5652712724157909,0.7131207211300744,0.7016916622092009,0.7614864300597946,0.7754745612260061,0.3733199444992931,0.43135537246837075,0.7169038294791854,0.743332433732572,0.7141148385829043,0.6561210249509568,0.7272645608150884,0.7817091962249297,0.7267875972530086,0.6910527660735988,0.7749635292397524,0.6531273217449133,0.7885684097255331,0.8177735125432759,0.7442258100820436,0
classical_chinese,0.507698729483911,0.3997920163887182,0.5468599436743296,0.5217385026825465,0.49105140447024465,0.4729552259682263,0.4670091289181018,0.48613829938610587,1.0,0.5308318626897052,0.5473526588808253,0.5615558550498961,0.4876138228578374,0.48882114730510157,0.4966908808206885,0.614996446392337,0.40960341738520234,0.3735131034231278,0.5149509326114688,0,0.4226757125652981,0.311813794270986,0.3944134298264804,0.39863414940197994,0.4733465183725993,0.47733726603065113,0.385901604098805,0.2176251237551881,0.3338225632972437,0.5264847202433094,0.5724878598858927,0.47331747176092626,0.42036213449090704,0.5218980401775912,0.66844458924939,0,0,0.42993639242617715,0.528624281851705,0.412901444150202,0.4628349265411062,0.4512860435029903,0.6924804097731888,0.36384165019444037,0.529989039946299,0.5385157192744401,0.5076431219407933,0.4823188663704224,0.5522665652305918,0.49007544449175156,0.58942909499712,0.5521191448730693,0.4933362158538285,0.38463790153476807,0.5507036045427699,0.5172772324005969,0.4755398765910213,0
croatian,0.900580952379914,0.7714865173660012,0.8421263901942269,0.8767704313160529,0.9109559693225423,0.9177638912041439,0.7904710225382402,0.7057203037615231,0.5308318626897052,1.0,0.8917440892057908,0.9126408145289762,0.8271184838277591,0.8721755843629846,0.8146210781903253,0.7994096679462965,0.7290979853971329,0.7240199863483125,0.8426730237547196,0,0.7186150481218903,0.6347525441942552,0.81021643384648,0.4984044059974631,0.7832245495841018,0.8247742301879474,0.7462693027272371,0.6971235930904083,0.6515136939200283,0.6554324379319676,0.8812394928367036,0.8840106263540779,0.7948915446760128,0.7862463018578204,0.7881490696549132,0,0,0.7815346196653078,0.8834592568709225,0.7553499507023819,0.9021737974932559,0.8992021857892372,0.4342494799865118,0.6853160577517737,0.9873481512785012,0.8898756712220179,0.9618621053984033,0.7933943351636565,0.8895458661445685,0.8015480416724654,0.6920499161592031,0.7731727430136709,0.9202195619996725,0.8090318631605813,0.8367131752868208,0.7262531988746427,0.8871842575092886,0
