,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6707584009518293,0.7899837186988428,0.7800420130745298,0.7973888490907134,0.8560350729568039,0.9167307008654804,0.5970495913485537,0.5725941333110918,0.8695481707514412,0.8771455409661673,0.9184983983215191,0.9308882817606624,0.9206481467823109,0.7566743848207983,0.7302177236447082,0.8851087210731421,0.8579781313316978,0.9438060377937336,0.19429388351487073,0.9039852345131584,0.5462906645435852,0.8449762306782541,0.6112114982139949,0.7896576762350597,0.513607311751462,0.9009478448693259,0.618570619078194,0.6072818950953309,0.6898310508983199,0.8442256100596847,0.7567817829242982,0.7410389311660867,0,0,0.6028960517577359,0,0.7878767126630639,0.8271716622738603,0.8343951095293648,0.7072631468046214,0.8103608175540141,0.2672787866235063,0,0.8475429398822557,0.8190983310750815,0.8552785527429759,0.9265784100842314,0.8756234969436397,0.7261392523322318,0.6971847399751788,0.7123730245522931,0.7973495787135044,0.8167393423934792,0,0.7321348052199815,0.608308091992067,0.5219018662995765
arabic,0.6707584009518293,1.0,0.555884414976476,0.6887216429854938,0.8111297963137379,0.8118693970171555,0.704485115118339,0.6497119767380914,0.48286624768174935,0.8102478866272739,0.8026791242531602,0.7208098254503592,0.6507945611219484,0.7196798845371379,0.751433735838907,0.5282179307284605,0.6951833503642023,0.7343743588286226,0.6975771720826706,0.5087002980355397,0.6890071312135287,0.7293140479927608,0.7971663071060495,0.2932605927123995,0.623364316871937,0.7356834747272988,0.7503411571380719,0.6059418996296874,0.4781619383656449,0.6654567377838642,0.7066599134349849,0.7161202317917189,0.7352463422335711,0,0,0.41728412531502923,0,0.7252724139463578,0.686810206755317,0.8015758010058861,0.5821968595494024,0.7692142977537462,0.15840509883831466,0,0.8605168445640345,0.7920069392859788,0.7813612148914965,0.7206656939452895,0.6471986986403355,0.8673824816559123,0.5692515914927583,0.6399767913008367,0.7421754107923061,0.7517516247495414,0,0.5832818495412252,0.62796962324661,0.4665486046853963
armenian,0.7899837186988428,0.555884414976476,1.0,0.8270656441516655,0.768565138509989,0.7885877322193372,0.6470766845007748,0.5781276287050985,0.4470016239127841,0.8599063109561341,0.8571143732664738,0.8314042424229622,0.7861467080572968,0.7990406200996002,0.807237451870598,0.9138035135779565,0.6182420704301942,0.5364532676113903,0.7743994257597034,0.0873251329125955,0.6584950674971745,0.5372424866636323,0.6935552194189092,0.5606790396874212,0.7566359381583013,0.5056376383944536,0.6642301887010832,0.49572615914588963,0.865778518317291,0.7362177780579485,0.8817212378571625,0.8302535445281963,0.814028466825415,0,0,0.7617920761054671,0,0.7963548959186971,0.8783230727160632,0.5988714846816585,0.8222326278368022,0.8613390664030741,0.2176604425304147,0,0.7966252983442013,0.8466937347106138,0.8666589902338534,0.7308445334309158,0.8501209851707332,0.6891555774877359,0.6374051768164706,0.8855955303561592,0.8646639137632176,0.6693611013878025,0,0.6262124629552446,0.6062924058907156,0.5928628422892464
basque,0.7800420130745298,0.6887216429854938,0.8270656441516655,1.0,0.7599862253004821,0.7791782180103444,0.7106370020135399,0.7926832905957704,0.579360806830612,0.8993864841249907,0.8432062182429308,0.8268217973053283,0.7972085340010475,0.8061868330319599,0.916817191982883,0.8269087866605532,0.6623118720915905,0.6189571718550776,0.8047695492514325,0.3356233150907134,0.729605486006574,0.5117162953763236,0.7692868650953656,0.6019378521236077,0.7754608476149993,0.7639804145264804,0.6820777609922266,0.576875960179352,0.6083884678500877,0.9050481618279437,0.8979202139691687,0.9278922047437045,0.9115145102077556,0,0,0.7829623111858692,0,0.6617383386884526,0.8476168351977116,0.7223327650826314,0.8422986153342011,0.8715368421573424,0.23459357047776735,0,0.8277267894166888,0.8708532531320432,0.8741764531550532,0.7782994200678427,0.8183215886072748,0.8530421301781095,0.7961283408710815,0.7456169526234088,0.8681834095507235,0.6911092905054206,0,0.7055140102123292,0.737836845188658,0.7125773942773755
belarusian,0.7973888490907134,0.8111297963137379,0.768565138509989,0.7599862253004821,1.0,0.903115616065661,0.7194975758539335,0.6613404968667375,0.42584551501291534,0.906284008058812,0.9500949384516015,0.8226474742756572,0.7587198952031625,0.801551070202276,0.8101661944090076,0.6642114588413753,0.7104304248686626,0.6546106594318706,0.7945671807080285,0.37669306812140735,0.7476799812492203,0.5335567140863507,0.7676996274267934,0.4135889028146363,0.6852172114389806,0.7011723831025755,0.7229910786289613,0.5234403123101686,0.6351553677959282,0.7175047022632031,0.8301730988265141,0.826430843810263,0.8634383049315035,0,0,0.49116588335396427,0,0.7553641289555975,0.8316538261878655,0.7483951364237784,0.7286560409540445,0.8998114786541462,0.20827558745025865,0,0.9234575548682726,0.9269659271748759,0.9265702319840622,0.7756182367207426,0.7475130212682104,0.8482746177266691,0.6235012986924326,0.7326245251559309,0.9198886549578054,0.7237168659036899,0,0.5765088508739029,0.6289213790200968,0.5875198372297649
bulgarian,0.8560350729568039,0.8118693970171555,0.7885877322193372,0.7791782180103444,0.903115616065661,1.0,0.8321390213807655,0.6306376626436888,0.47724826533484166,0.9383487950870036,0.947429091510246,0.9166340116947265,0.8387354547223469,0.9111708920198349,0.7924767031413175,0.6775777121445239,0.7994280322044147,0.7463876984909955,0.8776475687693295,0.29177443436046596,0.779256364207211,0.6071364025058695,0.8785175356869522,0.4350527600731198,0.7979171527605212,0.6562272872539017,0.8385340627862924,0.7016664029441122,0.6264994647461802,0.717107335468551,0.8783596918032534,0.8246095974262703,0.8033953586624487,0,0,0.534224540971836,0,0.8661771233602924,0.8916629891766571,0.8285668543149836,0.807846264302756,0.9191254900288036,0.19503133753297133,0,0.9618684762388764,0.940789622180905,0.9512858769408636,0.8715726317174527,0.8548536249350418,0.7681212419032997,0.5735567335574346,0.7194649101928167,0.9079846710326902,0.8635380870413428,0,0.6950300209895655,0.7116349777697841,0.5223196059877305
catalan,0.9167307008654804,0.704485115118339,0.6470766845007748,0.7106370020135399,0.7194975758539335,0.8321390213807655,1.0,0.5948996422328025,0.4970816784613966,0.7983960297878572,0.7980591553828673,0.872785298050053,0.9169802746296744,0.9308516314624752,0.6697023500293128,0.5726926292484568,0.9635710135784895,0.9278607065671891,0.9400770666753899,0.25871286467010285,0.9388605267296736,0.5350529593313746,0.8416119507760419,0.5934801690647912,0.7640084609580922,0.5487688951962385,0.9563700938180675,0.7025500870715652,0.46234024169438714,0.6419767605972329,0.7577590643995347,0.7013708171066921,0.6606048707941274,0,0,0.47272300920042826,0,0.7718653790134518,0.7496500409819441,0.9291650402635862,0.6573108237796358,0.7498583410186739,0.1547701649916064,0,0.8130933554428111,0.7659712916305874,0.7918888590268374,0.9836605747728882,0.8273474893912812,0.6611048694924577,0.5833411602912041,0.6310928958227718,0.7231697849908884,0.8112136048220098,0,0.7127022756371467,0.6046620332423683,0.5091474251659193
chinese,0.5970495913485537,0.6497119767380914,0.5781276287050985,0.7926832905957704,0.6613404968667375,0.6306376626436888,0.5948996422328025,1.0,0.5025640758629202,0.7187884285027739,0.6875731535112731,0.670617979272669,0.6395634100109914,0.7129436407127592,0.7314227267001155,0.6024254248136311,0.5566878778882589,0.5341112266030592,0.6286082493222961,0.39558210666985977,0.585378205365086,0.4164007341537123,0.7367245179589078,0.4247996391936129,0.7961608822059618,0.7090198919480957,0.5575118942332877,0.697004397190638,0.40584813674423953,0.8244527320727958,0.7157392332994391,0.7617926024495145,0.7689053515065659,0,0,0.5557100058423328,0,0.5346706673775213,0.6563502827216351,0.6363889360235693,0.6287030730389993,0.705168423120571,0.18120924614321016,0,0.686861065227828,0.7050128215391203,0.7032917881578672,0.639646302612846,0.6514814635705679,0.7492402040426365,0.7061455118034043,0.6440395447621867,0.7048689193713957,0.6823539811324271,0,0.7845615730854801,0.598369075516219,0.5941482128392348
classical_chinese,0.5725941333110918,0.48286624768174935,0.4470016239127841,0.579360806830612,0.42584551501291534,0.47724826533484166,0.4970816784613966,0.5025640758629202,1.0,0.601072832796228,0.5212536757103897,0.5496469286467595,0.5421483706304305,0.4791899178285083,0.5680297730855547,0.5779992327420864,0.4399049950873132,0.39519902182801553,0.5234805032837306,0.173151766079754,0.4396845856230271,0.3485764804775765,0.500719251370748,0.35637288023901786,0.5980790513009469,0.348656550366519,0.4284517334132248,0.3116292498666977,0.3131391813953362,0.5647693087763644,0.5852468616617346,0.44018889371386677,0.4922581735542257,0,0,0.692600484747218,0,0.4844210514878792,0.5422391425687573,0.4225525879980455,0.4254104160794107,0.4512512333166024,0.6322548480584399,0,0.503740702009912,0.43723811098889187,0.4959693935821678,0.49339082043087207,0.5868759069864078,0.5302216287671982,0.7639879297975042,0.4772374378389199,0.4047882014594425,0.4882924151152873,0,0.608858132296571,0.44293413011001354,0.2735974272113302
croatian,0.8695481707514412,0.8102478866272739,0.8599063109561341,0.8993864841249907,0.906284008058812,0.9383487950870036,0.7983960297878572,0.7187884285027739,0.601072832796228,1.0,0.9638594320175897,0.9204303543792346,0.8614369318097664,0.8857688226259987,0.9111187674376223,0.8110447057698607,0.7517651066687825,0.6891670814416092,0.8752705568052508,0.3175933227431323,0.7887619261245171,0.5918941805592488,0.8610211553074778,0.5123343359119843,0.819077175271961,0.6824699537428127,0.79244832087381,0.615100297259561,0.6867332808913269,0.8230576656590028,0.9385101761009086,0.8910085767637766,0.8899022498714663,0,0,0.693490166766413,0,0.8176990472797717,0.911933837732907,0.780789015667386,0.8181741986980644,0.9318887014389465,0.24944155522614392,0,0.9695351995813823,0.9467082025320335,0.9620606399320814,0.8520385544823227,0.8978178257516987,0.8596848108633428,0.7254766938530287,0.7820174603388895,0.9193992582696687,0.8291003162812768,0,0.7499472490343281,0.7151885247407986,0.5760942922023149
czech,0.8771455409661673,0.8026791242531602,0.8571143732664738,0.8432062182429308,0.9500949384516015,0.947429091510246,0.7980591553828673,0.6875731535112731,0.5212536757103897,0.9638594320175897,1.0,0.9132047208362222,0.8613433368821226,0.892743771320251,0.8710657297521798,0.7750209213944381,0.7851239352085937,0.71020091707866,0.8818776182047507,0.30424662111305045,0.8032324828295568,0.5886147644794748,0.8279907713551777,0.5062584551242157,0.8002170190189276,0.6760975347040985,0.8054275629346048,0.5899006564659132,0.6856865449185854,0.7696471024735184,0.9398136046383946,0.878770428673959,0.9100083281969554,0,0,0.6194940859224293,0,0.8183912913294648,0.9300445825109661,0.7963603234808709,0.8190898165856011,0.9443504361252651,0.250965970128606,0,0.9495224346256231,0.974458132595613,0.9712494141042762,0.859573566364116,0.8697201631503271,0.8481917020030462,0.6830651533081895,0.7816604332251951,0.9454701390411584,0.7930023508617462,0,0.6998807528645588,0.7031162811883868,0.6033096139274332
