,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.715422075718026,0.7118864410633576,0.7455310602394157,0.8146667367501441,0.8672974867555684,0.9642579695969273,0.6002783813155628,0.5079067438669985,0.8416530087500746,0.8529805012419703,0.9228724636077634,0.9631064995324986,0.9585512628491237,0.7413111503782566,0.666313500886738,0.9337212646561761,0.8980125676123711,0.9631823071107654,0,0.9333513823502936,0.6304684529381652,0.8215574594074833,0.5984413165586825,0.7794376327104734,0.907098646994819,0.9373331736259729,0.6421161995635271,0.5732736024873404,0.5637245525713377,0.8040106114351258,0.8122419474215604,0.7163451878637812,0.8831121817535098,0.7118851777637055,0.6856654105640979,0.6274990462473597,0.7641935302721152,0.8183053523852487,0.890872468512343,0.9129907760421403,0.8267210934924916,0.3770068384188966,0.8786804522017936,0.8334194665416014,0.8487685104096212,0.8689691587260663,0.958825613284743,0.9103821385560305,0.6983097657818322,0.6194882831381542,0.6495785370538296,0.8252224382939864,0.8065403346111788,0,0.6811623843554013,0.913905940229793,0
arabic,0.715422075718026,1.0,0.5915659583939422,0.7270335895145231,0.8655748015936864,0.8450438983989685,0.7124416606637258,0.7053975344784996,0.48294707711180923,0.8186491748293654,0.8427131403316127,0.8001820106736115,0.6895822473586646,0.7262992842360573,0.7785947941285843,0.5600552707010148,0.7299010896720647,0.7634985657393913,0.6979704498173281,0,0.6980408546937633,0.7629434786255042,0.8047599850649408,0.307188905824061,0.6887563315287587,0.7716336736666671,0.7749874044125511,0.6284088631739901,0.49704974013998016,0.5458386980317048,0.778535260894405,0.8100837696140327,0.8126553786103433,0.6055528283000324,0.5161424554717978,0.568187605779281,0.6128495432098364,0.7128856823393976,0.7798134052199834,0.8213442548845353,0.8418939622159635,0.8674709651584688,0.3468021815644674,0.663497650949619,0.8305982877065706,0.8519915274386418,0.8202910185185545,0.7134351613073855,0.7745576316145537,0.8781819119115943,0.5176286536576784,0.6187571636699126,0.8310233685270441,0.7770105842602821,0,0.5702687793241996,0.8130616073179693,0
armenian,0.7118864410633576,0.5915659583939422,1.0,0.8144913826566598,0.7856894796629936,0.7393637282510199,0.6608724889063077,0.5973854099812195,0.45258326634059615,0.8551601994201403,0.8321102825105392,0.8331605714783532,0.6870174091808394,0.7654044802774669,0.8097192656621733,0.9347315134165128,0.5739549696043776,0.516272723061038,0.7221260614897654,0,0.6099353391546479,0.6471998167081127,0.6700633301416684,0.5194683597961572,0.7603174402444727,0.7386897518475878,0.6298009340365003,0.5749525068978217,0.8994558309248505,0.6886359811676854,0.847018911783271,0.8426611179934866,0.7538419128210923,0.796806978554682,0.813613458888754,0.9086959101688927,0.5785637290867519,0.8496514044608537,0.832795389127695,0.5216779752615298,0.7616268221479486,0.7966702680378104,0.4262792722238984,0.7080056923061001,0.854589668943335,0.8221128562778475,0.8366172923595232,0.657515968435666,0.8372072800921256,0.7024303752953462,0.7545211785431135,0.9033146174760175,0.8207614122391971,0.6876303043438821,0,0.6093617255823588,0.7436387098348605,0
basque,0.7455310602394157,0.7270335895145231,0.8144913826566598,1.0,0.8505155569970873,0.7459218793456825,0.7240837921531529,0.8244523400281727,0.6301670266129157,0.884392917367988,0.8520463142477077,0.835861819147738,0.7436296623766959,0.7574539331516469,0.934151080753571,0.8231683376333844,0.6407711062075793,0.6205597279061499,0.7804477049695787,0,0.7255701649179781,0.59498331190962,0.70398387845165,0.5602392847383433,0.7545571046718036,0.8232588835908867,0.6782877706949658,0.6105205962555992,0.6357267942740804,0.8257961459469068,0.8949544684713789,0.9280709203958908,0.8770349773920132,0.7214727289251747,0.8041684582754725,0.8055787295603246,0.6077683160189713,0.6715992781981835,0.8073592843375658,0.6544859310354216,0.841694424928067,0.8419090969060512,0.5126249392356033,0.7612004982823202,0.8959068939013816,0.8494520764383946,0.8556552631387435,0.7340758309289129,0.8262286871970044,0.894309347985093,0.824604404027259,0.6995155165091155,0.8603244211361452,0.7359101835667634,0,0.6659587988077125,0.8575881540200418,0
belarusian,0.8146667367501441,0.8655748015936864,0.7856894796629936,0.8505155569970873,1.0,0.9385119302916843,0.7865914606821232,0.757861016651809,0.5096464198816745,0.9559805641888559,0.9722910776353854,0.9207519143373016,0.7801960297734728,0.8512333563287171,0.8804756076281707,0.7546578056203496,0.7581464389452149,0.7080675429313948,0.8201853673432499,0,0.7438170949453698,0.6930048574739013,0.8471351874074032,0.45736033993922653,0.8136259011514908,0.8773040485838294,0.765154786399589,0.6621401142717106,0.676336735899185,0.6951660693421752,0.9426199713990947,0.9504632689082916,0.925041897887108,0.7445475594269921,0.705617684120985,0.7500433211444739,0.6652431289032888,0.7926543897487159,0.9369980614875694,0.7757146326958525,0.9352142530722963,0.9808130312302764,0.41692746041675466,0.7764895910666784,0.9540875380515783,0.97234927882027,0.9519136237902607,0.7856449914151508,0.8782533281793098,0.876360637702206,0.6936716062830198,0.7107465677876941,0.9900003150274753,0.8064198114432863,0,0.6602035411840126,0.8943582599293884,0
bulgarian,0.8672974867555684,0.8450438983989685,0.7393637282510199,0.7459218793456825,0.9385119302916843,1.0,0.8379434185638552,0.6652683849002684,0.48866368398150656,0.9409953790434596,0.9472219374235329,0.9401209776416846,0.8162676289610351,0.8923081087713063,0.7882117850824275,0.6899454396468159,0.821144614814961,0.7516200118252884,0.8388461454468449,0,0.7461492782980171,0.6935900523844142,0.9205774348056698,0.40159139911265,0.8334189410472203,0.8521077641932412,0.8146396824092228,0.7404633923447432,0.614300551774261,0.5969825056096412,0.8798274090438857,0.8842414774255157,0.8224513800670882,0.7462533750584521,0.6608836776648301,0.7111146009979725,0.7035377127787507,0.8430257277204976,0.91669911578714,0.8181800545280052,0.9463876121744758,0.9415156490285237,0.38966374722870917,0.7541230159794949,0.9304884473625534,0.947719249987853,0.9490907725221515,0.8265395988370252,0.9111845618312584,0.7719793992909647,0.5960124555198957,0.6675103776441862,0.9304599050319895,0.8847687767618728,0,0.6796063180946899,0.8777911602616633,0
catalan,0.9642579695969273,0.7124416606637258,0.6608724889063077,0.7240837921531529,0.7865914606821232,0.8379434185638552,1.0,0.619537399080777,0.49263280432849504,0.7973540982190933,0.812743205703042,0.9060652623653725,0.9693930666877512,0.9556259863433278,0.6965916654858725,0.5965742424512663,0.9624768755037599,0.9218529751723531,0.9502646153284473,0,0.9422370649874238,0.6072001033672614,0.8027982567041566,0.6134626181130194,0.7753236011419593,0.9171903392059185,0.9498348930486475,0.6775169544244064,0.4914677992352507,0.557290451792287,0.7625802442428621,0.7695147440645272,0.6904593910536223,0.8750150396533478,0.6502514543002494,0.6135986376086927,0.5443424873435203,0.7356116445456127,0.7971966466622271,0.9260540499316422,0.9121151143620166,0.7924235207911605,0.3088055426521847,0.8796508484681802,0.7993120182264447,0.8060584118082901,0.826663394520254,0.9955956403590672,0.8958319947316137,0.6667707369431739,0.5802737621424565,0.609451159285804,0.7965165156738204,0.7937339865849365,0,0.6773198173264658,0.9259722159041165,0
chinese,0.6002783813155628,0.7053975344784996,0.5973854099812195,0.8244523400281727,0.757861016651809,0.6652683849002684,0.619537399080777,1.0,0.5761756560051478,0.7423862508663446,0.7402898485928244,0.7214114017495643,0.6059625583924774,0.6856243100515043,0.7804680862412965,0.6167778547887571,0.5740139518960887,0.5551470712480854,0.628738477224959,0,0.6056149198649898,0.5072111866561585,0.7139534934106927,0.41481689597086885,0.7807412081522048,0.7148105109610039,0.5702157436234327,0.6446675248383738,0.42673563867754405,0.8219124654099228,0.7681072152617805,0.7864561995794126,0.7851715727101621,0.5643204841285926,0.5874004982442784,0.5946906028500846,0.47256589029190293,0.5913818149715403,0.6834364477725121,0.627580845355089,0.7457143615065464,0.7509593418693751,0.37236436110285165,0.6180323984381643,0.7336936187700275,0.7456041885507353,0.728590168051349,0.6406667104254246,0.712672891844801,0.7859409012577526,0.679782928018726,0.5741002318565325,0.7597596247237721,0.6845825171315665,0,0.7827411376770419,0.748454282747009,0
classical_chinese,0.5079067438669985,0.48294707711180923,0.45258326634059615,0.6301670266129157,0.5096464198816745,0.48866368398150656,0.49263280432849504,0.5761756560051478,1.0,0.5603276850601332,0.5322651074829648,0.5467733081177293,0.49304689253007156,0.45009449305471605,0.6233726633066218,0.6021309770940012,0.4239591197830856,0.39985582543494813,0.548195763180962,0,0.47027125529814834,0.35344562590104306,0.4452929508444963,0.3733478371394251,0.5072861030385366,0.5024361898521108,0.41054709488956553,0.27567405300769166,0.30378873931434064,0.5734792695239253,0.5722270710534441,0.6038089896956247,0.5147117052170289,0.4649770982762982,0.6496642348964765,0.5499574734978793,0.7022039528697159,0.46521328832070175,0.4991482250424342,0.4428402581889093,0.5024398654247136,0.4884805960788961,0.7687835344559331,0.4187704062588496,0.5659807232285942,0.5436679625398421,0.5511229366743774,0.5086016632159083,0.57656918507281,0.5671310845070545,0.6745288152586564,0.48836186855040614,0.5017511553797341,0.5022303011145558,0,0.5088459201324705,0.5489102279527438,0
croatian,0.8416530087500746,0.8186491748293654,0.8551601994201403,0.884392917367988,0.9559805641888559,0.9409953790434596,0.7973540982190933,0.7423862508663446,0.5603276850601332,1.0,0.9722929867133334,0.9480903712513251,0.8082534212206467,0.8723306059211358,0.9123131962671343,0.8359602859325481,0.7512319759684624,0.6816367639950892,0.8497345369452763,0,0.7363792436190484,0.7093079176331643,0.8624182250669913,0.49133071630101954,0.8556890381892412,0.8683371608190787,0.7725613600066848,0.6978790330763842,0.7162157149231424,0.7197106055745901,0.9509931983049011,0.9716877365111946,0.8937440853066222,0.7812665079304786,0.7965950930460425,0.8592349924212517,0.7262524030773876,0.8279824297924661,0.9352169836922728,0.7346437795913631,0.9381403133140148,0.9628597791493375,0.49934633354828367,0.7994208868952983,0.9848774755096853,0.9724305894296654,0.9789693065098459,0.7985615884672153,0.9309184528336762,0.8463476642209673,0.761907863363295,0.7485748345899814,0.9612702928291462,0.8512411248748866,0,0.712987129666649,0.8901540824667181,0
