,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7008193596464949,0.7321336390836767,0.7251732422543126,0.8401784833501782,0.8763766974011147,0.9484555838797993,0.6368962000108137,0,0.8554844918833333,0.8811017418752183,0.9137840052749463,0.9622397780665756,0.9570402868363772,0.7613140014066724,0.7236418432889589,0.9163707990925933,0.9098978890671183,0.9506087416147332,0,0.9023061722087041,0.6297852864192001,0.8087694539715906,0.6657456624398197,0.8158935404109532,0.8852562625033968,0.9263212796137531,0.694597626235951,0.6189608292910461,0.6058299196955748,0.825146740407153,0.8123337812594859,0.7274078432253687,0,0.7114583069752327,0,0,0.8123246438172924,0.8358313036949089,0.8642170241955242,0.9336588683721677,0.8340823723161135,0,0.8139208458497691,0.8705938985317433,0.8224949341051269,0.8619618813662324,0.9549143285689652,0.8791021465805906,0.6711413473291483,0,0.7204785440539994,0.8584259651467392,0.8242650619349389,0,0.7337129414181894,0.8154878990114933,0
arabic,0.7008193596464949,1.0,0.6334460144900397,0.7314128273000133,0.838818906142535,0.818182596177296,0.7020485014003423,0.7066119182810136,0,0.784349650859925,0.8289211412959323,0.7395726725375599,0.7284719716396442,0.7558329501879272,0.7671858889474664,0.5965118697930513,0.7364896171931534,0.7769813469553124,0.7199172739373615,0,0.6898866423843981,0.7708324845550572,0.8188966244729131,0.42919090867002974,0.6789879945984636,0.7771623080074133,0.7800661959954178,0.6522703613503774,0.5256014392345384,0.6347856948935923,0.8113378244574644,0.8338221814374285,0.8157384402036794,0,0.5328878193415639,0,0,0.7484641327511125,0.8255324794880086,0.8305873874972649,0.8082139166885693,0.8266941865352279,0,0.6424673656444457,0.8126187601220879,0.8271379483629837,0.7883894064721051,0.7502785561515876,0.7329779916279758,0.8915374178084102,0,0.6897156542093462,0.798985361199685,0.8045258316494485,0,0.648191797024022,0.7841684321427379,0
armenian,0.7321336390836767,0.6334460144900397,1.0,0.8862692482180519,0.8850031181384338,0.7345224725163517,0.716078400905891,0.7770698964584523,0,0.9098207464916451,0.8397771686117818,0.8671752409963,0.7082832595047593,0.7882678961539564,0.8689007143886989,0.9118699604362744,0.6234932211844292,0.6398283083460538,0.7079363063646514,0,0.77202110768015,0.686394782207642,0.6757559420081105,0.7371956890681072,0.8332654268727012,0.7570458577474175,0.6652357940876261,0.5290130988312031,0.8494352604108504,0.780708205211719,0.8802747902894573,0.8880570959422892,0.8732429232918631,0,0.9004573549389142,0,0,0.7637292903635357,0.8579986257678397,0.6335765733839767,0.787447063380516,0.8788314352524039,0,0.847398744993882,0.8740863407820827,0.8588032832943675,0.8863379201088474,0.7083913087203932,0.8412236811698645,0.6849764103103989,0,0.8835059171197004,0.8862253855606342,0.6069288631852283,0,0.762152622479617,0.8080719078747992,0
basque,0.7251732422543126,0.7314128273000133,0.8862692482180519,1.0,0.8976550083420719,0.769630538331512,0.7031443229321191,0.8256846105621874,0,0.8872685530533836,0.8505887877673325,0.7876292520997017,0.7062013711064814,0.7612372343488796,0.9411374998867852,0.8118819833778745,0.6351564408252192,0.6431430930942035,0.740836638291453,0,0.8012905331078783,0.59181738503886,0.7169244670835779,0.6580118068109345,0.7628089854111127,0.7172889551381573,0.6455062497649499,0.5894572779587046,0.7332917611164168,0.8507443489272987,0.8754048887395566,0.9164269793488361,0.9092487868152505,0,0.8129979250876717,0,0,0.6790539944785142,0.8447084555320556,0.7106559910783726,0.823244342949703,0.8870510393770201,0,0.7886353734316403,0.8838484517945525,0.8706693764429613,0.9188953944187997,0.7023007508524077,0.7542914586585712,0.8287572099751155,0,0.8101279645396666,0.8481699173731665,0.6735256716748622,0,0.7057844856518887,0.8712286817431166,0
belarusian,0.8401784833501782,0.838818906142535,0.8850031181384338,0.8976550083420719,1.0,0.9102892342810239,0.8170902492918002,0.8249979450024686,0,0.9568726919040317,0.9580016322582249,0.9142973488883446,0.8483579343180071,0.902991448159323,0.9273944317644185,0.8287411159991929,0.7960289027342184,0.7885411655206854,0.8491548751164706,0,0.8379068811304023,0.6982429227101142,0.8634323788396789,0.6878225435485472,0.8622488920796343,0.8823342712637514,0.7947816003040586,0.6728895460280899,0.7499384737208824,0.7788478397646023,0.9595612404299219,0.9769156581194377,0.9479964920039218,0,0.8136967388308998,0,0,0.8426746323664557,0.9667392369309749,0.8362790484567065,0.9218608318059928,0.9836044307059022,0,0.8772692187689686,0.9510981832500696,0.9684062766187548,0.936660410540658,0.8510303033995981,0.8832841498914652,0.8182654113072776,0,0.8441793223485998,0.9717528854455688,0.8134268651244331,0,0.8026160347442126,0.9322380338879575,0
bulgarian,0.8763766974011147,0.818182596177296,0.7345224725163517,0.769630538331512,0.9102892342810239,1.0,0.8282611738366054,0.6783865051982657,0,0.9111216954272171,0.9463585977188427,0.8712733133797601,0.8680540578975456,0.9053752937484025,0.8156151216278694,0.7160971063355661,0.8341722312469767,0.7899819126329146,0.8440782235343511,0,0.7624640577292419,0.6679024960073687,0.9083539158317346,0.5394358786679383,0.809526511945784,0.8582624116049786,0.8271923937714553,0.7431337508927467,0.6229956412842701,0.6460221904636857,0.8883389100504924,0.865718019661281,0.8060926800473432,0,0.6642455322260296,0,0,0.8717199283223618,0.9326441137091989,0.8450810649385267,0.9299067905978484,0.9036735620630033,0,0.7883597998766311,0.9200693313741095,0.90776507593924,0.9099786569065235,0.8747445304270067,0.8799729610704182,0.7367198560515503,0,0.7452546135397399,0.9149916230410428,0.8851384879884772,0,0.7426747475702015,0.8469208336472853,0
catalan,0.9484555838797993,0.7020485014003423,0.716078400905891,0.7031443229321191,0.8170902492918002,0.8282611738366054,1.0,0.6958092627015866,0,0.8221166791857781,0.8271070422577658,0.906559775880263,0.9606961319733673,0.9481481087658866,0.7223429418691379,0.6701176547708353,0.9363787350937779,0.923988668317077,0.9432418652513204,0,0.9165807286742069,0.6133071452227704,0.7809247239792777,0.6817725609849868,0.8499231020221953,0.9156526408475169,0.9399164992461437,0.708342833199657,0.5318198595313579,0.6481729141411501,0.8031381755979285,0.8039647532101617,0.72882651144968,0,0.6696367530460102,0,0,0.7820693307306633,0.8236923288123865,0.8863082604835076,0.9222930795748848,0.8073225024600265,0,0.8001870898807326,0.8236598398268687,0.7813240056715207,0.81987082068668,0.9880432972488344,0.8745280234505087,0.6377772363054487,0,0.6982289287981355,0.8356553037297977,0.8043489951257002,0,0.7583165615440755,0.8024652361490485,0
chinese,0.6368962000108137,0.7066119182810136,0.7770698964584523,0.8256846105621874,0.8249979450024686,0.6783865051982657,0.6958092627015866,1.0,0,0.8029039479523037,0.7530614745519255,0.7718331330589447,0.6695261797283396,0.7335650922274097,0.812878442929002,0.7076229196095241,0.6341013005604687,0.6549311205639431,0.6542809048696407,0,0.7177739478997504,0.5622059126304816,0.7055921303944196,0.5995356580874565,0.8172812382007895,0.7241865830777201,0.6230758148772783,0.6151018532699684,0.6128577285175669,0.8528657931654403,0.8073350578428432,0.8522101412754072,0.851176094160895,0,0.7385690671813275,0,0,0.6530758273949261,0.8003698441574942,0.6834086938914924,0.7712628212928778,0.8129611704919464,0,0.6785774366174199,0.7798454134354149,0.7589634068084925,0.7958513376110724,0.7020280795291403,0.7372900267522304,0.7668941206762225,0,0.7061893908735777,0.7840688211268599,0.6813362716681248,0,0.8147579257720161,0.7439296037993882,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0
croatian,0.8554844918833333,0.784349650859925,0.9098207464916451,0.8872685530533836,0.9568726919040317,0.9111216954272171,0.8221166791857781,0.8029039479523037,0,1.0,0.9514334221534758,0.9401532030839445,0.8284194722817074,0.8892206046471491,0.9062167798818829,0.8753187279441964,0.7453846038160572,0.7427402407196292,0.8135337398418507,0,0.7925136539030729,0.6998120877037788,0.858271343375074,0.6558321796569873,0.8954866636320999,0.8747350750164031,0.7772371585039451,0.6955095730744197,0.7763476431521726,0.7848009092448731,0.9540304426542764,0.9453952763650352,0.9023626569985342,0,0.8485991024553413,0,0,0.8482316556995582,0.9565250615822746,0.7502364504125463,0.9199469652516025,0.9543264677774532,0,0.861285469234042,0.9871826095804878,0.9506723648882779,0.9771436324409941,0.8425430659163115,0.9315752175720391,0.7932347579120593,0,0.8413649694565596,0.9719796394242722,0.8156357469407777,0,0.8230123716374532,0.8561905946098315,0
