,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6283793420365749,0.8374486432834722,0.8254878761269054,0.885236755008169,0.8654461740913197,0.9079012365769531,0.7285810009853194,0,0.8940911275050695,0.9085670957221111,0.9373082296906308,0.9374626656214137,0.9341857576325595,0.8130204869522556,0.8067553328295102,0.8775847980596146,0.8487984499650355,0.9350220953830065,0.27961087931652945,0.8798328560536273,0.6368249160502005,0.7657544577181126,0.7162870699318247,0.8566914821584393,0.8936145807679156,0.8672161248512735,0.6079979654615483,0.6787222741185946,0.6591030439394386,0.8550275809637297,0.8713997978757744,0.7698547299358282,0.8173049112609017,0.8393813345089643,0,0,0.7740386045820594,0.8608039753295643,0.8461559213846009,0.9200663351160038,0.8640573351838761,0.3576645709819608,0.8031360523029959,0.8949895968572642,0.9014506208157722,0.8987535518365194,0.9071370631289553,0.8918912327175069,0.7141940227660715,0.7951963044199818,0.7935057243300285,0.8983634937248719,0.622822627710676,0.8272607289880577,0.7719828135271827,0.889553407344176,0.818500961568246
arabic,0.6283793420365749,1.0,0.5713826688834521,0.7409791387772885,0.7850839202519876,0.7468956675590717,0.6728853141506766,0.6880765443491043,0,0.7081747282724808,0.7466489016841639,0.7050565306622077,0.667633630944282,0.6999380756813909,0.7442092453522852,0.5803467758313247,0.6851834870477413,0.7397228714194825,0.6721195529522223,0.5677025224168903,0.6561512118933968,0.7540310703004979,0.7419220027642744,0.4376423556617494,0.6250219596425681,0.7078273847860121,0.7648606323134134,0.6026054796815814,0.47301803762187433,0.58441413220313,0.7569030771333375,0.7796654493159301,0.8294010848447715,0.6013125660944353,0.5107147029118788,0,0,0.678526519232029,0.7486588039745483,0.7986807126027778,0.7249857225679618,0.7363475421863869,0.18709878663306834,0.6172484560184048,0.743782380163355,0.7721776999988513,0.753402303239734,0.6748672114200948,0.7038411237753394,0.8620363911472987,0.5617409055260872,0.705140853781958,0.7446352660187521,0.6134886398911418,0.6349758872094894,0.604074986284141,0.7964969750417522,0.6621973706323493
armenian,0.8374486432834722,0.5713826688834521,1.0,0.8835181951828719,0.8722206389945386,0.7822498919070826,0.7085307339095183,0.7091266781277308,0,0.914565893001681,0.8793225348415833,0.8447043340556052,0.7941609158990404,0.8372926062840953,0.8633598626732364,0.95052878764769,0.6460968053696009,0.563540865794183,0.775220405059605,0.20448847442971338,0.6540356017055836,0.6633727888347406,0.6716507590892424,0.6824532982601369,0.8081543276158427,0.8061766128862483,0.6865156802300084,0.5255173827676007,0.9120440331849988,0.6982602653983365,0.8810745785960733,0.869679896199858,0.7632393711905991,0.8790932911585243,0.8041752460236448,0,0,0.8152171872942335,0.8697104869905011,0.61069904623044,0.8339057452982359,0.8915946873511962,0.35319047681457577,0.7485783990914326,0.8895767953877107,0.8637297167321497,0.8793361210585023,0.6922398015061343,0.8591576263031381,0.6883447860817157,0.8332870907505907,0.9010017339204109,0.889589694036002,0.5152890562417833,0.9052865305509975,0.7257291070897017,0.8108485495104928,0.740625453818949
basque,0.8254878761269054,0.7409791387772885,0.8835181951828719,1.0,0.9082868935138092,0.7923441574138007,0.7496990577762437,0.8132503741650657,0,0.9326774984535565,0.8807099701777732,0.8254481653563376,0.7767308013894547,0.8069254806350451,0.9446684206405688,0.8712756457640849,0.6752622731022911,0.6341716653415506,0.8047110617794473,0.44019031769778116,0.7156221109695411,0.6118438188074757,0.7175193547077181,0.6798171218608994,0.7817958989186116,0.8036150457058303,0.7152015007836873,0.5961383352981332,0.7374177902003418,0.8028656896041193,0.9110977325370488,0.9344210706451527,0.8892661247034664,0.8162848856180135,0.7312102775909587,0,0,0.7089111415622786,0.8784931444994679,0.7209668074682398,0.8693372855837282,0.9089717651656235,0.34777986327539,0.6910913281610338,0.9165084341735901,0.8914426971196192,0.9131719440916175,0.7274354673124078,0.805272227672393,0.8780293449632735,0.814453612178655,0.8431581121200785,0.9056308286769361,0.5898359210488587,0.8957652809768029,0.7424981422386737,0.8846088055135959,0.7810577223307034
belarusian,0.885236755008169,0.7850839202519876,0.8722206389945386,0.9082868935138092,1.0,0.9242432864121042,0.8292603860006351,0.8156289016535225,0,0.9580252549909309,0.9633749944714217,0.9310775461315426,0.8833324925466728,0.9253147749872086,0.9092491686893006,0.8623892837749559,0.8253045615436774,0.7587534896103221,0.8983678819162901,0.39222925164677247,0.7787250866923623,0.7116582242401194,0.8452024953349693,0.694488720686167,0.8505071565618014,0.8977605793337269,0.841455485292767,0.6604596594942437,0.7511117487600676,0.7246573192017884,0.9588791383688517,0.9697695496131149,0.905534792727267,0.865848504425229,0.7541279070977267,0,0,0.8339913391330614,0.964194018920959,0.8319787019657304,0.9410693013641865,0.9824563478758145,0.329925814542362,0.8158500638487913,0.9365963500488184,0.9711752359890328,0.9538866157199681,0.8419514635951812,0.9087857556018428,0.82285459593799,0.8180791250134362,0.8548186787805334,0.9884920081787171,0.6628743235441698,0.8779433607656062,0.7909340013255612,0.9471053498995934,0.7826032330476915
bulgarian,0.8654461740913197,0.7468956675590717,0.7822498919070826,0.7923441574138007,0.9242432864121042,1.0,0.8216420525266778,0.6901079361626772,0,0.9013907904021078,0.938316605034146,0.9266336839459469,0.8745712021694697,0.9248454959541161,0.8030314660198323,0.7435927280723105,0.8283058276547353,0.7703313878894301,0.8633596727262169,0.3760009200039083,0.7621816746463351,0.6831084699004185,0.9059970289254607,0.5453698551885551,0.8350054490399398,0.8604192816066858,0.8534083532091665,0.7410903770937685,0.6549732501646219,0.6134000053052188,0.8872817777248487,0.8929979655126116,0.8077865552601577,0.7655642400592249,0.6812769927706473,0,0,0.8679670435358896,0.9210328291007956,0.83028226481575,0.916075395162204,0.8905513109855365,0.3153937004277974,0.825370168126715,0.9168316701546184,0.9305260566802532,0.9340333589569799,0.8400580510435437,0.9081257541173297,0.7551885577306143,0.6746555356766298,0.7835648966071482,0.9118176313526031,0.7228554914302253,0.7640593860795293,0.734926386378735,0.8799215666562723,0.693204109429689
catalan,0.9079012365769531,0.6728853141506766,0.7085307339095183,0.7496990577762437,0.8292603860006351,0.8216420525266778,1.0,0.7230899269345501,0,0.8184334752603514,0.8140058590801522,0.9201935120558421,0.9479940223264245,0.9398446005904819,0.7193932513511091,0.6878447190570279,0.9377675838290903,0.9151786230893875,0.9449458155030686,0.28095475327474106,0.9250584398254383,0.6353039626519791,0.8008493073106482,0.6888429541993083,0.8507426093769102,0.8575749561450371,0.9341995130428534,0.7200953235389972,0.5449830454371495,0.6043178146148662,0.7939148645613376,0.7958349566298772,0.7020833715027377,0.7877393880482322,0.7265386608285578,0,0,0.7548864491749333,0.8042084201351918,0.9074403571947723,0.9162138379371652,0.8045658702438571,0.18908941079642977,0.8214804137521681,0.850317518584657,0.8128064717954815,0.8637829652664013,0.9849883060785142,0.8787582743996247,0.6572432434381031,0.6855747300367565,0.7276811696479375,0.8422928396391157,0.6598572323935373,0.6957771442196473,0.7463064206933299,0.892288937316591,0.8567844382716976
chinese,0.7285810009853194,0.6880765443491043,0.7091266781277308,0.8132503741650657,0.8156289016535225,0.6901079361626772,0.7230899269345501,1.0,0,0.7855184394919031,0.7655600476883713,0.7642326289433026,0.7297425807133049,0.7457769223138426,0.8319963031301798,0.7619752496366218,0.661197003859666,0.6232867152398487,0.7326732178271717,0.36976149100747574,0.643349041341299,0.5688141181975371,0.7099363083855065,0.6196872899476706,0.7720350276215229,0.7856857182947243,0.6579327503300004,0.6091955784112733,0.5708202672682027,0.7994197594144109,0.8263062842345217,0.8033501206981026,0.8185740304115197,0.7054643009665739,0.7035969132326487,0,0,0.63367268686647,0.7792254474719453,0.6992410273712812,0.789160435697229,0.8165979100556368,0.25821437193602403,0.6003231764723062,0.7753861946892309,0.7894402508561478,0.7891930232528399,0.7082706116097612,0.7560957353455907,0.7730364672017457,0.8249534638682248,0.7256223582303121,0.8206763208253173,0.6626294372918271,0.8415170446677388,0.8366619121376556,0.804460515678723,0.7919151811844297
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
croatian,0.8940911275050695,0.7081747282724808,0.914565893001681,0.9326774984535565,0.9580252549909309,0.9013907904021078,0.8184334752603514,0.7855184394919031,0,1.0,0.9454773691176036,0.9095309831321958,0.8567327376637918,0.9046707171737763,0.9138961946504639,0.8703730592928913,0.7805912791474177,0.7006082340346539,0.8773276531043525,0.3313286412312135,0.7541771833651332,0.6907924960651739,0.8032314885431056,0.6838370533203754,0.8709010712895625,0.8555419868275804,0.8012821265884897,0.6655040779360587,0.753799121850715,0.7382691233768425,0.9280057585323432,0.9369008091243088,0.8534881969471992,0.8628165192545266,0.7532277218195184,0,0,0.8080092776025988,0.944203622324827,0.7815692643827193,0.9310748047659164,0.960980929370092,0.34166957070954,0.7760106137739673,0.9637116246906282,0.9390497057915719,0.9644788818332214,0.8194907296404488,0.8808428127215141,0.7860424432256115,0.8046657554606723,0.8413705453152427,0.9558679359791492,0.6345137923614044,0.8798769260221206,0.7642867928560797,0.8996701812351029,0.7730564305425297
