,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7105633732845684,0.70818485487836,0.6976338140642918,0.8321439837620426,0.8747200087554899,0.9280339765178419,0.57012207711726,0.4419212998761826,0.8530860032785472,0.8471465651723139,0.9082739909374694,0.939998682283478,0.8527650759834843,0.7367185210420677,0.6040215066466327,0.8940562931926608,0.9025335293422254,0.9228877506056837,0.3428017568610232,0.9148765799885451,0.5263820362867077,0.7560995675023031,0.5294732316226188,0.7573892072511296,0.840756090119084,0.9038637419078265,0.5734991716165913,0.6091077639433068,0.42222964336970853,0.6487395071520635,0.7644664402458089,0.677361887328613,0.8026410226052912,0.6741337333557634,0,0,0.7259826590743773,0.8286308052088761,0.8933797152873776,0.9044730834207864,0.8292523198180548,0.2950136428198547,0.6382256525114227,0.8434662258189379,0.814731609987914,0.8369777944289766,0.9330374673793841,0.8778730282709064,0.6321435907253395,0.5615832877542671,0.6356741119277105,0.8139996372385162,0.7613823750315416,0.6084948729903629,0.5615471123903619,0.9135743824646951,0
arabic,0.7105633732845684,1.0,0.6184982638241764,0.7455996721349377,0.8697944577763483,0.845210839254305,0.7046827198821983,0.7702481270619123,0.4736177918490423,0.8029144313923281,0.8416460989820017,0.7755125302532357,0.72157947316194,0.6841122793871288,0.7968962419480228,0.5447948438089679,0.736028108603613,0.7850981458710786,0.7024262583150035,0.5567733898188528,0.6488691764270288,0.6433245776243688,0.8312302395652985,0.32620707811660676,0.639841030982852,0.8635929993791639,0.7652275772687308,0.5984797991483983,0.48903660925244663,0.4320109057526528,0.6604962434945161,0.8692449953969525,0.8486253907414041,0.6128363281936089,0.46011830877085025,0,0,0.650543225281504,0.7767144771020611,0.8384632028735135,0.8097608843937849,0.8519175004035743,0.4275189777161308,0.43346324005554127,0.7998153274656268,0.9218361887456636,0.9122690139836457,0.7325224365600836,0.7754112636076383,0.8967713213346359,0.5344876488832121,0.6322893900528169,0.8076374077261093,0.778515188433651,0.6327001600755305,0.5085007683710868,0.8817676504104031,0
armenian,0.70818485487836,0.6184982638241764,1.0,0.8394456980373022,0.8219685992807236,0.7476405330227055,0.66306887487981,0.6587909369121877,0.47028674401214593,0.8552161329821515,0.8261573465545028,0.805945486646789,0.7122677383793896,0.6961813529971305,0.8385973822990789,0.8824589257298712,0.594140301907723,0.5370025260629944,0.7148097869680611,0.19608978658896184,0.6802972640981596,0.5290837706285026,0.663386049935579,0.5337807565516389,0.7312609107730844,0.6995680463577023,0.6262592796346547,0.4620858576901706,0.9278714406831907,0.5726736005243255,0.803527678726323,0.808263968082338,0.794685208927066,0.7837291856290345,0.7621967151739835,0,0,0.8237208163218679,0.8133154658385064,0.564992140435602,0.7286538524022151,0.8386309857528206,0.3385338092339899,0.66862057067349,0.8655205609280533,0.7689686888803497,0.7624078535532177,0.6610819842341229,0.8286576924035866,0.6903511618548117,0.7003686928202527,0.9003650049793808,0.8528209343890963,0.6018803701013969,0.7345699325753337,0.5262777778494568,0.7190907280611374,0
basque,0.6976338140642918,0.7455996721349377,0.8394456980373022,1.0,0.8610202111352407,0.7840998822229366,0.7609377159415776,0.841006696668834,0.52862069641617,0.8655383490939487,0.8158128958824038,0.8320417190767745,0.7866642412934589,0.7026100233491426,0.9539688487686756,0.7620311797963825,0.66086391678372,0.6260405955909195,0.7723606288860636,0.344410757457287,0.7395882896853051,0.49793556816979323,0.7595736809260664,0.572748715397731,0.8131658959962539,0.8471967701917615,0.6700838208226152,0.5190458948575424,0.6727559815750969,0.6618563416062736,0.7873791198217225,0.91660854267272,0.9195818320675487,0.6503826325627641,0.6609697741271315,0,0,0.6289033926886224,0.8372763657839438,0.670469845256466,0.8221316789380333,0.8578649460122431,0.4588367043814904,0.7332420841373187,0.8906246556767813,0.8370917999947094,0.8148779823365747,0.7559177904786931,0.8024237650969672,0.8464297190185985,0.7116121137620789,0.8239288790469823,0.8790498012199528,0.6365915440485965,0.7307823982767024,0.5584368963827709,0.8106567860921727,0
belarusian,0.8321439837620426,0.8697944577763483,0.8219685992807236,0.8610202111352407,1.0,0.939851596794635,0.7859717424504552,0.7868804359057769,0.533809032099183,0.9498335400984618,0.9692242862794903,0.8947699176183144,0.8141530630165552,0.7992622717976829,0.8830674493661177,0.731932354955174,0.7794925992970764,0.7478413751345865,0.8173412304646586,0.4216493632530017,0.7457768906449419,0.5764280120831636,0.8598609625225428,0.4879463645285303,0.7602455073978702,0.8872615828977156,0.7844580833732073,0.5995079835427706,0.7198368789357775,0.5612011101750817,0.8305934210788284,0.9416780545942541,0.896942133971251,0.740335342635618,0.7134877003601976,0,0,0.7383377713620688,0.9214925518046886,0.8045800323940406,0.8825141907646618,0.970867554527458,0.4315194391683324,0.6322275971665359,0.9469251171949322,0.9634409933505882,0.9484189118452876,0.8095813820164414,0.9098619536414109,0.8433362081148706,0.6701914248286085,0.7302070543136356,0.9773755399157444,0.7992810039455901,0.7386875884884908,0.5931831331299584,0.9183315130303882,0
bulgarian,0.8747200087554899,0.845210839254305,0.7476405330227055,0.7840998822229366,0.939851596794635,1.0,0.855405278762454,0.6866778088606611,0.4975374354421563,0.9437038674157147,0.9403860582840323,0.9527325869507797,0.871142049646073,0.8141321697700818,0.8254218431711465,0.6485588998476007,0.8086305466060723,0.7784162399371851,0.8294498773145834,0.4362995344058384,0.7299902648246693,0.5722978527826753,0.8818179863785566,0.41250036363813314,0.8177370512761208,0.8997384377831656,0.8095999486334294,0.6646460293471553,0.6327112927093648,0.4860005469094775,0.7473529308035297,0.8606030377291614,0.7970763732901834,0.7337930957117963,0.6545321162563875,0,0,0.7986005495233287,0.9306348416530212,0.8523382753756191,0.929474824605423,0.9228228570160547,0.4035153236015316,0.6294087632649575,0.9457903585831952,0.9333728849847357,0.9410712183513058,0.8764031997359767,0.9189806602044334,0.7419573305294839,0.588645571462203,0.7004662108334742,0.9042566406416532,0.8517459519887277,0.6495712678088219,0.5923449043605271,0.9144243538928628,0
catalan,0.9280339765178419,0.7046827198821983,0.66306887487981,0.7609377159415776,0.7859717424504552,0.855405278762454,1.0,0.6219627295824574,0.46969197241080896,0.8161220069537035,0.7674203929206042,0.9388629932420303,0.9799474130148469,0.8481913813034215,0.7641964422053322,0.5741177649201872,0.9122510060205637,0.8770946130731605,0.9344494900843846,0.36849372791488566,0.9000286230926449,0.5140919806463381,0.7632970271302102,0.5742705740451854,0.8530213241602076,0.8984836839493837,0.8995585169345338,0.6218900495759391,0.5095801387668311,0.46614986217240023,0.6464627827596767,0.7464612945879595,0.6865976160042957,0.7694817231590277,0.5543641686398408,0,0,0.7082088654702025,0.8359776275967707,0.9047671410354076,0.9433192103120706,0.7849382754965681,0.32096451041251095,0.7066584217666966,0.8411221585320969,0.7637643550838512,0.7897683711278822,0.9964306860352427,0.8542504952181279,0.606215246833934,0.5508571745811592,0.6842960482089726,0.7747934989180072,0.74939257315254,0.5406744660335238,0.5819505695160623,0.9035467740512374,0
chinese,0.57012207711726,0.7702481270619123,0.6587909369121877,0.841006696668834,0.7868804359057769,0.6866778088606611,0.6219627295824574,1.0,0.4737755769528126,0.7276350358049168,0.7394495754326041,0.6849833068120833,0.6371994201949528,0.7338721667482553,0.8081980609707785,0.6089980834081742,0.6280773975745267,0.6012701567920368,0.6455361859710019,0.4234361925866319,0.6085425663764988,0.4396196408610644,0.8321774384045075,0.46864277945303534,0.7150387160105028,0.7896824986657236,0.6097033404948081,0.6618558786864928,0.4832038049292301,0.745632511957657,0.6715122479805445,0.8536665571582152,0.8745906888193838,0.5568322876566292,0.5099559183150181,0,0,0.5347658857735055,0.6869946844712738,0.6638581223223928,0.7396588207383143,0.7946757243731991,0.39856243878503433,0.513525903963218,0.7286037348131363,0.8126235747123435,0.7873358012667604,0.6413940911336213,0.7146277771516457,0.8593795941020589,0.6453688817156993,0.6736399350284041,0.8003477163532895,0.7041368920998416,0.7985732840147162,0.7111613873857576,0.7648382872380335,0
classical_chinese,0.4419212998761826,0.4736177918490423,0.47028674401214593,0.52862069641617,0.533809032099183,0.4975374354421563,0.46969197241080896,0.4737755769528126,1.0,0.5195359543303365,0.5192361379196546,0.5108829969480293,0.4948182071041537,0.4198037630602833,0.5667786492446868,0.5707015554651154,0.42496975577675833,0.3402279720123161,0.5064143041301392,0.2180844890797019,0.43758108036883964,0.2987812357700616,0.46942522851665447,0.3750495284390911,0.47314377860244167,0.479312913492954,0.400251660522094,0.23415659628406846,0.3824519169694159,0.3773578314810291,0.6396548811722101,0.5644631343253296,0.5153650955799025,0.44530239318115233,0.573401930374481,0,0,0.39864260831880666,0.4880484983684569,0.3938055472028862,0.4811952057800474,0.4864628554216465,0.8006407497107331,0.34724872818666774,0.5701152203811948,0.5272200448707037,0.5154921887677666,0.45988311452927433,0.588064556864261,0.4905130095434534,0.5857107006988714,0.4957949567871898,0.4744226036964377,0.44382485402466904,0.36359315006038156,0.4545453081596029,0.49703535424354855,0
croatian,0.8530860032785472,0.8029144313923281,0.8552161329821515,0.8655383490939487,0.9498335400984618,0.9437038674157147,0.8161220069537035,0.7276350358049168,0.5195359543303365,1.0,0.9563909784212794,0.9229721004154935,0.8390343641407565,0.8065782525356431,0.8981108745399895,0.7355848915752071,0.7414768439901583,0.7080690627983547,0.8213920576935139,0.37211073129603023,0.7529663010176486,0.5610796322343664,0.8364551094598041,0.4603641522564353,0.8399877460738359,0.8457804058896888,0.754907373951523,0.6110844144550962,0.7330297580973972,0.582314639829804,0.8005288400956125,0.8911431614589037,0.835710230243488,0.7325889027249642,0.7599717353708044,0,0,0.7665354164421266,0.9281084448714594,0.7738620649793327,0.8824491559258009,0.9380405198366375,0.4181585685904945,0.692423725901788,0.9764842005032669,0.9236859102152463,0.9306895575013927,0.8253795442575822,0.9070269550387894,0.7854998111422113,0.6492648946719366,0.7796354434614036,0.9380577003096535,0.7983060445012075,0.7473193371188882,0.6102689468047909,0.880302087692388,0
czech,0.8471465651723139,0.8416460989820017,0.8261573465545028,0.8158128958824038,0.9692242862794903,0.9403860582840323,0.7674203929206042,0.7394495754326041,0.5192361379196546,0.9563909784212794,1.0,0.8894008156118072,0.8099290856999422,0.7876835010985673,0.8658668281010911,0.7248891375390312,0.7528774574850323,0.7261547060367424,0.8002730021325664,0.3966197219514632,0.7382471106026711,0.5636413123106762,0.839104497001424,0.44148972966193734,0.7581620343556573,0.8487113866666848,0.7612234310058462,0.5762262782853123,0.7259724920512571,0.5228069591595437,0.8100799757481099,0.9046813203280347,0.8632227528385639,0.7402570946564402,0.7464929351712115,0,0,0.7603594513115931,0.9132967072560885,0.7840974806138671,0.8626909394434698,0.9664547615155474,0.42154118204405205,0.6186954666138409,0.9399119288372051,0.961412330496083,0.9503816686640493,0.789391906021244,0.9090399823070615,0.8142823821958765,0.6378411943836575,0.7219158629281133,0.9510936475005406,0.7919103866606219,0.7648852809363101,0.5802485896827262,0.8890932239422622,0
danish,0.9082739909374694,0.7755125302532357,0.805945486646789,0.8320417190767745,0.8947699176183144,0.9527325869507797,0.9388629932420303,0.6849833068120833,0.5108829969480293,0.9229721004154935,0.8894008156118072,1.0,0.9488425813610163,0.8463445251203755,0.8542167617007704,0.7047369985098125,0.8501784287062444,0.8020921167793895,0.9016141109257451,0.3814267733571013,0.8196291238195896,0.5827579212824777,0.8415459903801145,0.5235758749358386,0.8920853563993075,0.9236141927838518,0.8525688184188823,0.6635812738140174,0.6748396136292136,0.5124046658692606,0.7503803187940904,0.8379941470594133,0.7885220330917021,0.7916669677238218,0.6685676315407701,0,0,0.8257917014990824,0.9287042498782233,0.855846690715424,0.9629611785178597,0.8975362805153834,0.3748984566106336,0.7179227228700361,0.9498350990314051,0.8746121697464595,0.8897134623015877,0.944955751173428,0.9396982497386636,0.7015751529681284,0.6601474857355715,0.7832682131798119,0.8822873782491695,0.8129071030140423,0.6463966189936785,0.6158691593000707,0.9122252370611884,0
dutch,0.939998682283478,0.72157947316194,0.7122677383793896,0.7866642412934589,0.8141530630165552,0.871142049646073,0.9799474130148469,0.6371994201949528,0.4948182071041537,0.8390343641407565,0.8099290856999422,0.9488425813610163,1.0,0.8522217185937704,0.8053310976457302,0.6359987662827925,0.9081438552105346,0.8740517871930028,0.9559670667986551,0.37129899447985565,0.9298631815378874,0.5323693648372373,0.7772341808721264,0.5930585552574288,0.8474921950455594,0.9158814591583281,0.9055553940926089,0.5978209448407156,0.5785834678050373,0.4719878105489323,0.6851355189655567,0.7981501899336905,0.7373099722264531,0.7959513507186642,0.6178546165122196,0,0,0.7358400950845653,0.8522638322431736,0.8951566251439433,0.9526777803700323,0.826992415748176,0.39628397729466125,0.7395684894328389,0.8631773507128541,0.8052116104888274,0.8205586653402464,0.9795249706444559,0.8954053922002965,0.6524725856495044,0.6156284490873066,0.7182880440313066,0.8065800554151716,0.7481040913267819,0.5929244440313197,0.5808183783054987,0.9126171698445987,0
english,0.8527650759834843,0.6841122793871288,0.6961813529971305,0.7026100233491426,0.7992622717976829,0.8141321697700818,0.8481913813034215,0.7338721667482553,0.4198037630602833,0.8065782525356431,0.7876835010985673,0.8463445251203755,0.8522217185937704,1.0,0.7146302994792562,0.6332019545062737,0.8400152701546362,0.7891093881151923,0.848907863684475,0.32807272925402114,0.8079404877352215,0.527378948445315,0.8897801044969238,0.5505798337655181,0.860701849278519,0.8194034182748338,0.8405091433100531,0.837409583605471,0.5990800534523,0.7536251675336741,0.6850450122837368,0.7521948588291775,0.7040942588901961,0.7666834137046985,0.5799697762475169,0,0,0.6988151356035428,0.7915403831074823,0.812245777068025,0.8570592090997508,0.8161385866282678,0.3054359928803207,0.6267246186327787,0.7950827039563433,0.7692082600110401,0.7885471739375407,0.8615072944868096,0.8561218344208048,0.6074468326107476,0.6183324242834322,0.7011423346848802,0.8300195320931465,0.9117290020366607,0.6968787049982502,0.8586297697783457,0.8491618836437577,0
estonian,0.7367185210420677,0.7968962419480228,0.8385973822990789,0.9539688487686756,0.8830674493661177,0.8254218431711465,0.7641964422053322,0.8081980609707785,0.5667786492446868,0.8981108745399895,0.8658668281010911,0.8542167617007704,0.8053310976457302,0.7146302994792562,1.0,0.790362303337348,0.6578299037230518,0.6305020777308425,0.7907776380778421,0.3890002171548761,0.7458381667822884,0.5085109643755403,0.7601369918816636,0.4909408179216709,0.8162523689416924,0.8499762548845118,0.6872519872203375,0.51394911860718,0.6877349339243336,0.6027733278392577,0.7975280778763342,0.9258276940758964,0.9163201884491802,0.6753651038536023,0.659076882734618,0,0,0.6717267819080552,0.8549697854440754,0.6843933162563313,0.837213720841694,0.8914520960232745,0.4883982338996016,0.6771872023485997,0.9092769048716529,0.8832049200768105,0.8756995010106391,0.7650261741771757,0.8421512115010155,0.8684006440625468,0.7101057388264381,0.8259097313113796,0.8771037983606087,0.6847037922283419,0.7285578072737227,0.5663380688395024,0.8411708629311847,0
finnish,0.6040215066466327,0.5447948438089679,0.8824589257298712,0.7620311797963825,0.731932354955174,0.6485588998476007,0.5741177649201872,0.6089980834081742,0.5707015554651154,0.7355848915752071,0.7248891375390312,0.7047369985098125,0.6359987662827925,0.6332019545062737,0.790362303337348,1.0,0.5902183869656019,0.45156278997190247,0.7323747284214549,0.16850320955047307,0.6171852023766089,0.5447969155564256,0.5951079260816884,0.6040602949155589,0.6344303994299922,0.6390700279585493,0.6264661358588498,0.40075125535114997,0.8442219383466057,0.5450286470483985,0.7768292072575484,0.7821076327775814,0.7402549801620504,0.7570908538197122,0.6975521686748042,0,0,0.7132315507746094,0.7044719485104383,0.46895222226345373,0.6466370561195207,0.753487034304024,0.46263519154221594,0.6064251100049739,0.7646043171456467,0.6805151466270455,0.6803260335891776,0.5744167925088032,0.8313546913059533,0.61321926194189,0.7108802208864808,0.80883478144638,0.7643284671619662,0.5467141247740411,0.5984043579540218,0.5241701457765912,0.6532183487493878,0
french,0.8940562931926608,0.736028108603613,0.594140301907723,0.66086391678372,0.7794925992970764,0.8086305466060723,0.9122510060205637,0.6280773975745267,0.42496975577675833,0.7414768439901583,0.7528774574850323,0.8501784287062444,0.9081438552105346,0.8400152701546362,0.6578299037230518,0.5902183869656019,1.0,0.9227139738893709,0.9384292294649444,0.3786521082564345,0.8936013984555136,0.6129508688383631,0.7627101293073674,0.6235708298938789,0.7019842914409563,0.8709325767431395,0.9736691637142916,0.599673352268217,0.4781722368003162,0.4270672284823813,0.6418389222202374,0.7518484591651212,0.6907180964566928,0.7869020448551658,0.5173450495564219,0,0,0.6547371046169117,0.7646919890599152,0.9413411423529955,0.9006292567305524,0.7807799230459255,0.3323402209504491,0.627866178571015,0.7516272281151265,0.7593925410089372,0.7793234334174797,0.9290094774049374,0.8617301080315503,0.6081931907045958,0.4970995089578808,0.5719736927606475,0.7718557888202127,0.7269019947266564,0.5421984557596354,0.5597265545040659,0.90340457447775,0
