,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6968634820428126,0.6846126305934994,0.767399441915244,0.8341003037496891,0.8934151780110795,0.948310690406606,0.6464194259314936,0.4158597435127042,0.8895573403140005,0.8313897800088743,0.9154194362942556,0.9295578692199175,0.9503881378412063,0.6457203506458646,0.6778515214790835,0.9117247868966161,0.8903334093495995,0.9530156625674638,0,0.9248998040600164,0.6341343949345074,0.73305700958689,0.5869128786283087,0.7970113633568287,0.7836590828449062,0.9262595304816996,0.5912575140075302,0.6627532976499073,0.5505025427383442,0.4306594928853785,0.8363592799083762,0.7567519922621154,0.6362533690086349,0.688043963634372,0.45842796413478853,0,0.789569270010479,0.8498258284451877,0.8992609521971947,0.9218915269489983,0.8680099567080336,0.253295180079267,0.7634326770117454,0.882668396766581,0.8507294783290063,0.8532967692629044,0.9509513649684277,0.879005076672916,0.6863325426732384,0.6572618673036716,0.7283120770590459,0.8728358922421484,0.7788067364929623,0.5889056571929168,0.6689418638535517,0.8738520050729784,0.4871816652612464
arabic,0.6968634820428126,1.0,0.39451381378564576,0.6605640826639809,0.7458743065429165,0.8060704719265497,0.6448488580424759,0.6520454093667147,0.5173086702148164,0.7996676184190871,0.6961745892293646,0.7122893055798106,0.5834527828065414,0.6599187561172923,0.534192744472833,0.4531048462877174,0.7087073891242155,0.7301482925094246,0.6695013012921643,0,0.6875798975344756,0.6804023067974341,0.5579063284197939,0.239668443364424,0.5946473497152025,0.45470301722787476,0.7434079324204539,0.5064802179998389,0.37753899937432245,0.38861025476486855,0.37854223233059614,0.7844406640998366,0.7718023823754655,0.2630678490109821,0.3443415675716556,0.23696908050935608,0,0.6500018767236408,0.6722632180549191,0.803733527627929,0.7629578011260447,0.7718654208730734,0.17345047390420404,0.47153889342140015,0.7979648326425939,0.7169632900566216,0.6869039038590319,0.6846294934581034,0.6542887417777216,0.7865459384708067,0.4551886476046447,0.5758564820256442,0.7672903640793524,0.6554489597184785,0.40592122163795147,0.5275046616453876,0.7303790094422297,0.27658486383417386
armenian,0.6846126305934994,0.39451381378564576,1.0,0.8314099450343766,0.8258508553869901,0.6757233593921342,0.574517928113834,0.6516558413587464,0.3956558614001778,0.750469832667715,0.8737152210225927,0.7430039405802292,0.7934730523032548,0.6919283202735856,0.7981297875320604,0.8541138484706725,0.5020207299729197,0.45217914754610944,0.6517523418345703,0,0.6036301284644726,0.5471107848903011,0.8854345655207942,0.6031203982986617,0.7764035171379229,0.7804911304382107,0.5511323779346529,0.38980733327037664,0.9105958069826241,0.7441852290453632,0.6162311465404433,0.7839151078429772,0.7692726316085056,0.6589625566182841,0.7624926800241331,0.7279095419290683,0,0.7170175782988223,0.8169219531522698,0.5522870967816107,0.7092631935900975,0.8078789549354598,0.3139440196926222,0.7038298172012838,0.7351787097210452,0.8394243935767416,0.8174186333696076,0.5599992330634036,0.8253665525344296,0.7056346744851169,0.6930332605051343,0.8293713692573544,0.8070650259108993,0.7518060690026036,0.7083724243307026,0.48964593463597106,0.6607894347666735,0.8231147882441673
basque,0.767399441915244,0.6605640826639809,0.8314099450343766,1.0,0.8875780066734708,0.7698001921558691,0.7184537857488336,0.8566587028168469,0.5953021961937456,0.8604746493682647,0.920794686554781,0.8483520593873269,0.8166379974356465,0.7635136991877743,0.870679724023611,0.8206659295557477,0.64374881892959,0.645305806026336,0.7788583032970359,0,0.754339238374183,0.5618794577666446,0.8892677912984146,0.6069940929807385,0.808234412645574,0.801463838603644,0.6731595498201928,0.5247465394846638,0.7235505797691371,0.7735409834014393,0.5675105399752969,0.9202547902852108,0.9178631336748333,0.6279477978757873,0.7656266947484657,0.6336865287621988,0,0.6924254177102718,0.8408600842239563,0.711583271684311,0.8637954597580124,0.886551011092065,0.3668508295618146,0.7267519283114112,0.8729147935615764,0.8974479481024601,0.8683773092583233,0.7071231717544263,0.8551754068199106,0.8954514381588875,0.8019304073280463,0.7800110163656452,0.8936577035892369,0.7969504360415756,0.6937305478395258,0.6278739180413914,0.8439542109935608,0.698922602629968
belarusian,0.8341003037496891,0.7458743065429165,0.8258508553869901,0.8875780066734708,1.0,0.886564028504789,0.7280970152870975,0.7848413781425678,0.495392287132436,0.9293064041487191,0.9566052762844829,0.8655489399129283,0.839636151950704,0.8183044204510579,0.7821142730402719,0.7425370082107787,0.7082790126878844,0.6829616972334192,0.804049688021133,0,0.7516129473923961,0.6322789181545236,0.8860129793504758,0.5279619116347724,0.8275661815384235,0.7921332970592361,0.733672225114806,0.5354834113986399,0.7774511563719623,0.6964233011112653,0.5080921424288083,0.9422707584392596,0.9215617829542119,0.6067455277922855,0.6767366060114329,0.5752878024421104,0,0.7495565800139143,0.9317990140564855,0.7830889701384555,0.8772176436145934,0.96624815305637,0.29317336683004885,0.7285382998782628,0.9160033990018748,0.9388944852399597,0.9150084085560526,0.7475365157314957,0.875842864605526,0.8717996744131774,0.7217280159402306,0.7649211378956067,0.9831553247567895,0.8313472965373523,0.6702862256805528,0.5934011341617825,0.8291503391461625,0.6670082970680732
bulgarian,0.8934151780110795,0.8060704719265497,0.6757233593921342,0.7698001921558691,0.886564028504789,1.0,0.826392462793115,0.6803478275568403,0.5172102175674603,0.9649127341581062,0.883208511162285,0.9254481813607588,0.8410354102415317,0.8776397848044745,0.6990480212520936,0.669609454513908,0.8033216218493694,0.7402926636115437,0.8485354263171992,0,0.7740992758075409,0.657648473104732,0.7920790037607666,0.45206807681129463,0.8412335160079225,0.6796462293746444,0.8189579608321989,0.6465846131252707,0.6288193863345432,0.5700980167184934,0.5213918503582876,0.8842898087403103,0.8163078343371906,0.49890728038103327,0.5892131970192644,0.47777344106554787,0,0.8252682568699947,0.910401761311103,0.8469739714246647,0.9144125483896448,0.9302170267765452,0.3148534709520753,0.7595643361082757,0.9445078701360247,0.9106900590740867,0.9236761247131073,0.8578331740997446,0.9043918433562887,0.718892798883991,0.6273442007322623,0.7067003265942531,0.9296651909869735,0.881765571760243,0.5752919539363175,0.6807295866941454,0.8467420329454285,0.527757011627405
catalan,0.948310690406606,0.6448488580424759,0.574517928113834,0.7184537857488336,0.7280970152870975,0.826392462793115,1.0,0.6200393436168601,0.4288758422690828,0.8206316312249643,0.7325764190464988,0.8931592450559351,0.9058626153189716,0.9393450891163173,0.5747921388073178,0.6087032666492388,0.950833989695872,0.9136496212535834,0.9469244592893302,0,0.9321972518510633,0.5924423163112633,0.6586024276191387,0.6167416336776004,0.7612840402798613,0.7747053414763728,0.9383408276035486,0.6306632944436582,0.5362426759449664,0.5223556171079693,0.3855018744042056,0.7325023066534117,0.6652045906835945,0.595956913243966,0.6423455111696185,0.41661647948333624,0,0.747703742177051,0.7760894920837164,0.9094993175753312,0.9059638974444819,0.775517415662337,0.2503408671215508,0.7444239799070516,0.8161537362908627,0.7537374558742975,0.7890014100605535,0.9930325006099989,0.8285945978777289,0.5863916839519117,0.6316413804957939,0.6642254075032429,0.7839336639854577,0.7173275938873079,0.5202403350381859,0.6965414068890597,0.8648033312394443,0.42838394903514215
chinese,0.6464194259314936,0.6520454093667147,0.6516558413587464,0.8566587028168469,0.7848413781425678,0.6803478275568403,0.6200393436168601,1.0,0.5883356714072481,0.7520861984450551,0.8336407368752708,0.759269243739124,0.6798465063770994,0.713529353642216,0.7387583302143665,0.6940662674982904,0.5997454465465959,0.598875963940028,0.6885301851058153,0,0.657118123497587,0.5028653503863431,0.7938693745055517,0.5097650266322608,0.8154365373974198,0.6903592173783674,0.5950919995351823,0.6411631370395895,0.5666659121972283,0.785150181486511,0.4290169663363516,0.8250721655439882,0.8469872697664278,0.5483020039050667,0.5910891448950237,0.5644122938217047,0,0.6612062909694435,0.7177099363161676,0.6719510666221574,0.7738755987699103,0.8056041228893634,0.39888321137169547,0.5655512633148838,0.7588332327178666,0.7807468221157867,0.7805699317320309,0.6334007368244022,0.7636646942463796,0.8643033303594366,0.7949881065264198,0.6928259943783776,0.7965007490650394,0.7310877231554288,0.8102065660359717,0.7400747910866807,0.7381545826677449,0.5142820032979699
classical_chinese,0.4158597435127042,0.5173086702148164,0.3956558614001778,0.5953021961937456,0.495392287132436,0.5172102175674603,0.4288758422690828,0.5883356714072481,1.0,0.5509140245257075,0.5319111899271071,0.5899309383150323,0.43372538814145717,0.38508511187284117,0.6686261835356441,0.5523440363100341,0.39153020725028065,0.4047926607605688,0.46692793853175363,0,0.44047732643842424,0.30307963485168193,0.49498457333940893,0.3677111407336618,0.4604924937436809,0.36788771090590977,0.36207673263105,0.2354730559957646,0.29564123086744803,0.4486933169566481,0.48070575914256297,0.6085706883959857,0.5898142083739046,0.41795237812335934,0.535135692781823,0.5191865527287741,0,0.41245619353520696,0.49228649628823135,0.4317250837429976,0.4681134775326329,0.5219555635073947,0.6834086182827903,0.3485145326293092,0.5786003701507161,0.5906453971154931,0.568846978038041,0.4384724969228198,0.5366842753293858,0.5313066257822595,0.5491691383513774,0.5092574410215698,0.5344044723187407,0.5462522272095325,0.5078767611192216,0.43572126377241777,0.558169428736147,0.3026274437962994
croatian,0.8895573403140005,0.7996676184190871,0.750469832667715,0.8604746493682647,0.9293064041487191,0.9649127341581062,0.8206316312249643,0.7520861984450551,0.5509140245257075,1.0,0.9236097619671836,0.947936533032358,0.8529459865107962,0.8730402912105303,0.782383047213835,0.7559401306639136,0.7732197506930342,0.7300251190785892,0.8625034906879221,0,0.79083462863192,0.664441691848018,0.8418192562935911,0.4973912613763983,0.8569624420559431,0.7344135437883629,0.8006179998954507,0.6472952025275365,0.7040248457973962,0.6418177690923755,0.5291674673458875,0.9385875949228187,0.8721301071371469,0.5796945927877993,0.6945362066206577,0.5680989768695104,0,0.8157985864250041,0.9226713924155081,0.8199577197567768,0.9303171327668601,0.9675612015485644,0.3743997994282155,0.7879014007802729,0.9819182572968989,0.9510820102812709,0.9420949993553557,0.836803461582796,0.9348536207091163,0.7979945344539264,0.7235814564335769,0.7641800743038718,0.9651251213941648,0.893566449515306,0.6609330160734278,0.6801797486863862,0.8693542893438492,0.5532822203077935
