,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6102196045767883,0.7099438309001824,0.6716096984494788,0.6826587638667378,0.9030295536763423,0.9300021569159492,0.568843128501209,0.45122502502322165,0.9153638517905893,0.9028706973276128,0.9296219570853265,0.9332905774041118,0.9026163413773548,0.7472165041958053,0.68079866945788,0.84200878554752,0.8361883270080644,0.9175377297469206,0,0.845303770902211,0.592449122316686,0.7502337638547224,0.5125535553203442,0.7729268635722872,0.8215903541754132,0.855051948153393,0.579615142309692,0.603930009759685,0.4668680302245772,0.7956321434500917,0.7331943982486396,0.6311231159956031,0.8346109893025946,0.6824758620965478,0,0,0.7772518971985274,0.8552937389075768,0.812098422442059,0.9091229647330873,0.8502510194865458,0.3428808781260365,0,0.9047750539963689,0.7812442242658134,0.851923562205072,0.9243293893418164,0.89323474856674,0.546873670005311,0.5879374629633568,0.6984943967193885,0.8231319836226336,0.7492391190230444,0,0.6271129704376766,0.7754869878707126,0
arabic,0.6102196045767883,1.0,0.4295144806976843,0.6880637540442803,0.562766044728025,0.777901109988406,0.6073415852223237,0.6255252493222541,0.42009682654547853,0.7134689617195246,0.7508951877407349,0.7067110151073013,0.6392069904864274,0.6072200197760553,0.6898219821109385,0.4604834066802133,0.6910884664060564,0.8355568216223137,0.6763764076481602,0,0.6430003524772966,0.6767431311352994,0.6890703142046549,0.24318317936479067,0.5230605899167459,0.7529962722421812,0.7243363176195803,0.4960283603540699,0.340376058859934,0.3651542048478811,0.6910874946227173,0.7959872746098974,0.7932394893758201,0.6112940165215758,0.39271495972063825,0,0,0.6117687333255576,0.7093197380959172,0.7986861673816021,0.6789679935611435,0.8182700116858941,0.3440311211804317,0,0.7182065816134785,0.8303924930232328,0.7302194186795111,0.6581006023997982,0.750348758323134,0.865414855818136,0.37616039226907877,0.565517228482001,0.7437288319184377,0.6552529464117587,0,0.5090459628296097,0.8282632647098891,0
armenian,0.7099438309001824,0.4295144806976843,1.0,0.8510627915877564,0.8037534623380898,0.6540756048636513,0.6883720906875133,0.6684549677178571,0.3341644280188604,0.7406745490613922,0.8047359996423985,0.7555762819511515,0.7046614814739992,0.7573889529053136,0.8368547811254582,0.7961387058391313,0.5312916127720272,0.47473541308083334,0.6441163480177733,0,0.5856514766472323,0.5209605323997093,0.4729769317001867,0.5010115501534065,0.7465368157167245,0.6806085187925581,0.5550378775403979,0.43545818160166316,0.6693242375870817,0.5859913700739067,0.7463409472258575,0.6733135724948363,0.7090856650702236,0.6728284132334957,0.5753867640856758,0,0,0.7371283676058171,0.8003455604915276,0.5729112328009115,0.8077515074320142,0.7368695457053938,0.3218218830185706,0,0.8053596648405003,0.7058286494863469,0.7662973013138386,0.6538697809254274,0.6886420534988759,0.5526364476321578,0.632280892314108,0.850607701743711,0.7644600108880655,0.4413219723208818,0,0.49502758976473027,0.643498292782026,0
basque,0.6716096984494788,0.6880637540442803,0.8510627915877564,1.0,0.8237724593966756,0.7042791524737392,0.6996284921458615,0.827460841035087,0.40965840124189035,0.766623082951192,0.8225814403315915,0.7762127402953928,0.7077141787986303,0.7314092461480173,0.9246785986569621,0.7043738496019257,0.6192997499076633,0.6522388346229075,0.7066959621970498,0,0.6853021045785127,0.4790810128394647,0.5400925712546579,0.4679130559540204,0.6991372011894257,0.8002850142896893,0.6123430559856196,0.4790564331891052,0.4779891867721585,0.6343159065963979,0.7720798975838771,0.8423818884948291,0.909006275117573,0.6099808521662536,0.5612986938010005,0,0,0.6242693551661904,0.8159194728992041,0.7177741379213941,0.834498648147185,0.8306374015832985,0.3736042287399687,0,0.8192746614855722,0.8420367593294356,0.8143898615379055,0.6852352698545915,0.7302026788112003,0.8314295318752263,0.6208166862229447,0.760537541938432,0.844354151602394,0.5095679048550549,0,0.5447873802208671,0.8262463776352331,0
belarusian,0.6826587638667378,0.562766044728025,0.8037534623380898,0.8237724593966756,1.0,0.7265407128874494,0.6484345202576044,0.7842586449016614,0.40947190019352253,0.7289354235551742,0.8410212227082698,0.7428125958676784,0.6524627695845749,0.7381745354006367,0.7447453116566706,0.7274603123439232,0.6706250872473339,0.6009501715964972,0.733852761536222,0,0.5890540032947501,0.5685564665718562,0.5208766436939315,0.5467118296135784,0.5612891878610112,0.7537088576361617,0.6228912129960433,0.4370501035124259,0.5177001678926051,0.5623652545664581,0.8311573051274177,0.7792415902922812,0.8045516215000595,0.6669172099427003,0.6003930740560834,0,0,0.6288918007594483,0.8384621960095857,0.6840699868516636,0.746097273165506,0.8337772783020615,0.4190783519951162,0,0.7413025464165128,0.8356101303339764,0.8280509708197564,0.6685813011094554,0.7359804104299653,0.6617712065108504,0.6447924036862087,0.6258204319555976,0.9042515056076937,0.48571875554399524,0,0.5353359537520999,0.7879059602149922,0
bulgarian,0.9030295536763423,0.777901109988406,0.6540756048636513,0.7042791524737392,0.7265407128874494,1.0,0.8385650830895992,0.6067980377540206,0.44871142986491513,0.9165216708125985,0.9422939924383666,0.9045829165995815,0.8685017149544891,0.8493001248421053,0.7594209532986721,0.6052970808515511,0.8141503949686244,0.8525940558856897,0.858908843564078,0,0.7476378809573396,0.6086536209662907,0.8147112461198606,0.39642612688821544,0.739042407105066,0.8571212808517411,0.8070568211602138,0.6044687382638719,0.519992534009795,0.4344077870878336,0.84886377551081,0.8069324783021228,0.7275363549638354,0.8230048712444777,0.5712466706147518,0,0,0.8203748686645334,0.9008353338272583,0.8421551635164062,0.8810248808793362,0.9278494612518727,0.36905448295723553,0,0.9093489183380439,0.8945219771465837,0.8742510928689915,0.8748893049364115,0.8969471642129676,0.6742238066176224,0.49353167473459214,0.6706563076292025,0.8777017130210535,0.7927501181872456,0,0.6151434409288894,0.8602180822653549,0
catalan,0.9300021569159492,0.6073415852223237,0.6883720906875133,0.6996284921458615,0.6484345202576044,0.8385650830895992,1.0,0.6011303844818965,0.4593966512053072,0.8667573215958466,0.83971427917437,0.9218647314248112,0.9605030960710086,0.931848730413142,0.7337337754275418,0.6240065628713847,0.899286200874278,0.85282993429855,0.923357017629934,0,0.9179951387310057,0.5711540202583656,0.7257020614981057,0.5637211607975491,0.8152216250335594,0.8426552660636081,0.9099726525023795,0.629363893130741,0.47992319790689614,0.5250029991551954,0.7354005703842822,0.6924124025859264,0.6283510196443478,0.8260372813444963,0.6114037781046185,0,0,0.7362171343840467,0.8376806032270268,0.8799679087459316,0.9153548396164167,0.8140833651143293,0.29927076388559404,0,0.8700387380577128,0.7221648972909889,0.8094779349312264,0.9848875926602707,0.8669653154059879,0.5254292703514055,0.551740511357047,0.7033295334708165,0.7685137461537968,0.7381035568180406,0,0.6637742263425057,0.7996941608225169,0
chinese,0.568843128501209,0.6255252493222541,0.6684549677178571,0.827460841035087,0.7842586449016614,0.6067980377540206,0.6011303844818965,1.0,0.4546286875698951,0.657208518964143,0.7424266723155581,0.7137564546283985,0.611559473732536,0.743816419697798,0.753385307001357,0.6958776861466904,0.6426910842735981,0.6143193106027287,0.7012759598190985,0,0.5863335823379999,0.49673072098240845,0.5830766788656229,0.5215642064348922,0.6126151756052284,0.7455992466049639,0.5957079818086931,0.5883699261057723,0.39590899347771297,0.7386646251758324,0.7390087259187211,0.8002600626317979,0.854673721910048,0.5947287667944231,0.5981219943975205,0,0,0.545705910699262,0.7384268185326137,0.6610678339870669,0.6854247305404829,0.7794867456713082,0.34480237697747224,0,0.6787188539936664,0.7984085726403968,0.7584321746207116,0.6387645892437837,0.7328672907592839,0.7669046871996392,0.7484373858238625,0.6290735381668959,0.8279170852162611,0.5575191648240649,0,0.7337506523010332,0.8041614530630284,0
classical_chinese,0.45122502502322165,0.42009682654547853,0.3341644280188604,0.40965840124189035,0.40947190019352253,0.44871142986491513,0.4593966512053072,0.4546286875698951,1.0,0.5499461610397043,0.4804024797702506,0.5605286962116697,0.523017043139411,0.47170472218457926,0.48134141629061034,0.5808470176972025,0.42048750684138453,0.3944513587026581,0.5426437234445797,0,0.41540922132040536,0.30415086528205515,0.397844471736968,0.38227460695185145,0.48612154480061043,0.45707046795803125,0.3848089254251582,0.24739857860593129,0.2663813256425011,0.4841431604471431,0.601577931131723,0.5114994749121177,0.42922691114793643,0.38046820911472923,0.6425639319512503,0,0,0.3898919972499684,0.5135650208334017,0.3862719379754563,0.4217821696364036,0.5146935620877076,0.8423820784107888,0,0.5333516912191232,0.4409662949226047,0.5107573140835747,0.4818563258540848,0.5521510699468458,0.3986286772520958,0.6533808981064895,0.4428570233592685,0.4795647337323346,0.3789677563860646,0,0.4904198913515449,0.4781031926857025,0
croatian,0.9153638517905893,0.7134689617195246,0.7406745490613922,0.766623082951192,0.7289354235551742,0.9165216708125985,0.8667573215958466,0.657208518964143,0.5499461610397043,1.0,0.9299682193350449,0.9407607626758141,0.8642555634145862,0.8629897035146494,0.8355663683879804,0.7443456014329677,0.7465138207206075,0.7751748143137956,0.8744766985797421,0,0.7423738361733426,0.5966418322596525,0.7822982732902134,0.43630013102345017,0.7875744439197802,0.8104802390158647,0.7610207849303996,0.6433795767035189,0.6081393057591955,0.5648688639793342,0.8599442937769756,0.8146231276805672,0.7257942699065262,0.785555374583578,0.7344752197826543,0,0,0.780209418982545,0.8917759898916782,0.75213947486922,0.9090952810464471,0.9088528776595525,0.45781110631082117,0,0.9782388339271282,0.8520104718950097,0.9441973023746969,0.8611855824592494,0.9108929600790084,0.6741936760990129,0.6397282689118591,0.7430777959562808,0.8696430965033014,0.7903574345125187,0,0.666258975044097,0.8150965979638981,0
