,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7565922975835602,0.7240902939094511,0.7539261172785222,0.8685433144053845,0.8987694090873057,0.9365612736176742,0.5744321743848047,0.5335947334589914,0.8864691172045667,0.8653715362748137,0.9486347940569223,0.9266973504191065,0.903627194142705,0.7431084975715984,0.6894203876370658,0.90079715951964,0.8610133366437607,0.9358122652923453,0.1768367483914172,0.8902420413118216,0.6072713085685618,0.813913936843011,0.5587036401185692,0.7798572298774792,0.8450800099601116,0.9099159442429671,0.5581348610094092,0.6304451937900665,0.5276211719487786,0.5780351764419752,0.8064708634133302,0.6937490641091097,0.8043312754516366,0.7203148788038205,0.4381955078380189,0.3904760529441153,0.7592403542638434,0.8516937995032093,0.8679113794128323,0.9067560026211915,0.8574594094623299,0,0.8027095398701113,0.8725575598771492,0.8598415945857538,0.8860499465025187,0.9375837246965869,0.8854170024022612,0.7024072513923934,0.5294439806701822,0.7030732095179432,0.8613709362939773,0.7846036392727765,0.7187858699658038,0.680597144410761,0.8824259429691503,0.4915156112150622
arabic,0.7565922975835602,1.0,0.589867786369863,0.772229079141659,0.9079635618454227,0.8733974967985951,0.7554029696148855,0.74946578283567,0.5476581177628996,0.8466151077147251,0.8678194118801178,0.8267873832828464,0.7248656737174604,0.7384162102954843,0.7882691768687188,0.6016559092882434,0.7796692717550148,0.7843496851396853,0.7364616060508123,0.31992661284918983,0.6865184958471758,0.6895660470248198,0.881137375920775,0.343543355998451,0.6593553304132597,0.870322852900555,0.7988349450582207,0.590160609451155,0.5167487642115222,0.4996659209993148,0.5622904439433025,0.8829555976581949,0.8334158541610698,0.631538528898808,0.5303448973148285,0.39119065172346107,0.35822086116879787,0.6881625493455819,0.8122099026747337,0.845136252978417,0.8485759260414264,0.8919671222527393,0,0.716874519281475,0.8201177606475383,0.921636700255794,0.8927756731462997,0.7664155578232411,0.8257363846825052,0.8965114917374255,0.5194737295309341,0.6614347785565636,0.8616553482213539,0.8186899084021608,0.8291881347945105,0.6080152030942044,0.8854087395493359,0.5281235178580514
armenian,0.7240902939094511,0.589867786369863,1.0,0.842872115981578,0.761842463545409,0.7475151180366206,0.6118783695556859,0.5573675251000464,0.4021209822224267,0.8232536860094192,0.8292362791579045,0.7780681748666276,0.7354934963221149,0.7553275749510443,0.8415318724500596,0.9252046827561695,0.5553284944382726,0.47108636302601314,0.7050478798785265,0.14350129524064442,0.652527491143374,0.5940162976921869,0.6267426891382886,0.5424921947217055,0.7614723071723616,0.6726985413382439,0.615702970092484,0.43621421542530897,0.9104048993290492,0.6402185836355985,0.7010863879665102,0.8018660198601578,0.7701297573216315,0.8038605264138068,0.7711815666282548,0.8188328540533237,0.3548491925000024,0.8168900415513863,0.838987585801123,0.5199856782748624,0.7572520956201093,0.8000544600708112,0,0.6670682502026731,0.8612632630930055,0.7675549123484181,0.7762580201831007,0.6211784108845231,0.812557262777167,0.6884470588124993,0.65311915972572,0.9051504513163177,0.8166256752072949,0.5992211019499055,0.7668860981449324,0.6317840081243973,0.7211803065961983,0.5722074863403518
basque,0.7539261172785222,0.772229079141659,0.842872115981578,1.0,0.8507433993776728,0.8017227433375171,0.7179810132356194,0.7933533874008944,0.527016433759277,0.8590803348871732,0.8962559333091947,0.8196235861240397,0.8013550777971744,0.8007015972680683,0.9537883067133954,0.8250546120959775,0.6723512439261131,0.626599847601811,0.7879397081035391,0.2621452649339269,0.7796508996496618,0.5786765442800241,0.7487941646642409,0.5886538985857163,0.8118069857122193,0.8455969152850613,0.707712445861953,0.48979277981307323,0.6891771812231884,0.7385296879674423,0.7141742182151417,0.9353181151420635,0.943026395385336,0.740708775826315,0.7203330369402804,0.7016877456842707,0.4277790283176545,0.6756905832192919,0.8804486761074544,0.6919138169620088,0.8566964358493281,0.8624854844105732,0,0.7251308126814189,0.9053431773976505,0.8670414170014539,0.8421508050864641,0.7249745092359853,0.8516603039086986,0.8794338616850496,0.651682609303933,0.8381161220852384,0.8868987797119308,0.6606563412240846,0.8725424419928483,0.6832416143052833,0.868821678255128,0.6965523366226808
belarusian,0.8685433144053845,0.9079635618454227,0.761842463545409,0.8507433993776728,1.0,0.9589825171267695,0.811686733983683,0.7143048711509687,0.5480371056012231,0.9611598898931883,0.9616052145827543,0.9198348323779272,0.8264513914025219,0.8417347608826711,0.8698032015756902,0.7529211606418718,0.7965805742428013,0.7410783829253533,0.8354972261468735,0.2638831965548311,0.7491663707451708,0.6481813373461429,0.8987458387886087,0.45586935402261625,0.7627119677259723,0.8983235578975921,0.8124457659051604,0.5803365562343215,0.7051274246575348,0.5914724068364646,0.6605619738570567,0.945165130469954,0.8622110591811325,0.7463867323950877,0.7103780085831444,0.5455923364805589,0.40616515721190016,0.767640752895552,0.9406345935517271,0.8060588299507231,0.9190933144884136,0.9664851338489451,0,0.7799789583831149,0.9432115823965729,0.9696737723014104,0.9633283594018918,0.82410934759096,0.9133963106690162,0.8607411484106734,0.5946118162052844,0.7475307669456929,0.9794788499296703,0.8268690887742507,0.8681314128534905,0.6769338439801049,0.9209054853619381,0.5655302584952457
bulgarian,0.8987694090873057,0.8733974967985951,0.7475151180366206,0.8017227433375171,0.9589825171267695,1.0,0.851453944080659,0.6578217976744648,0.5315814162695203,0.9576507946489882,0.9512832285128934,0.9471939738001448,0.8600956647699072,0.8791940798141687,0.8248794189239291,0.7282960654143066,0.833625545861208,0.7520862218371981,0.8489571213269373,0.21323303036865546,0.7426828100868144,0.6527624717879461,0.9254004355812977,0.45394302647880774,0.8114768771436363,0.889220625628372,0.8397153346076148,0.6295459019797957,0.6595044334848943,0.5723777755288653,0.6687984564941926,0.8990754211121035,0.8064910720375729,0.7571330471526726,0.6686252384439795,0.5036484066415842,0.4272570367823102,0.8151115302968608,0.9459677777079025,0.8361484647341177,0.9404696717088653,0.9479776242048641,0,0.8069221062295112,0.9429475254427561,0.9565777506764314,0.948156498030019,0.8647758574496991,0.9323825544557282,0.7722857560847182,0.5091351529400009,0.7441652078381108,0.9451525147990999,0.861908105660848,0.7994485212429893,0.7009480022357006,0.9108000979945647,0.5752596029731909
catalan,0.9365612736176742,0.7554029696148855,0.6118783695556859,0.7179810132356194,0.811686733983683,0.851453944080659,1.0,0.5996116097374901,0.5290517041521352,0.804351304179819,0.8001532705114169,0.9375412316763423,0.9495259994191249,0.9224350079553766,0.668878723559332,0.6108774304613103,0.9613921609861605,0.9226900735363222,0.947355908430081,0.1893120007034386,0.9106647788011741,0.5800116913025717,0.8197813033757458,0.5920825524449127,0.7770829171052077,0.892281590319849,0.9480662753449686,0.6364463832456675,0.5114566791529669,0.5115456522964305,0.537880733824588,0.7592891417287208,0.6566491486654278,0.8012950554952603,0.5993276569838762,0.41145487007963594,0.3774691694713926,0.7216458869491607,0.7933355502615786,0.930619524783296,0.9133159815960064,0.8086389169832715,0,0.8346342698082971,0.8184529650457995,0.8093949154783511,0.8253422834652984,0.9982856008354922,0.8738406278103911,0.6413818002180708,0.5079423799224073,0.6614548481407737,0.79795898947061,0.785249970546628,0.6394886701663123,0.6942803514644978,0.907332550103304,0.5012688162649256
chinese,0.5744321743848047,0.74946578283567,0.5573675251000464,0.7933533874008944,0.7143048711509687,0.6578217976744648,0.5996116097374901,1.0,0.5281614560061417,0.6983879313829479,0.738740392791231,0.6635494501339122,0.6031864667796424,0.7126364796326679,0.7780585608809979,0.5995238589282892,0.5867899584813452,0.5655179069921331,0.6057203542123859,0.2703227719949083,0.601287197098407,0.45186448673588747,0.779469906455046,0.41359822932497925,0.7337046937199436,0.7282915930582946,0.5879986585857904,0.682522101441571,0.419561469908616,0.8074465021376219,0.5593113870133527,0.7933049175755712,0.8126395315934587,0.5698295924677961,0.49740235274828576,0.44432367667617445,0.34623565086798974,0.5262173775096368,0.6637479692444929,0.642454154276762,0.7164866231158274,0.7254707747078157,0,0.5229028584615069,0.6849535599665655,0.7613998894345242,0.7248910575695099,0.6092150277704048,0.7012058328091625,0.8126809699089468,0.5142272495686755,0.6462399451631757,0.7300894930330135,0.7248277413657583,0.842648637773972,0.8052574146640249,0.7445229316204137,0.5971132761030392
classical_chinese,0.5335947334589914,0.5476581177628996,0.4021209822224267,0.527016433759277,0.5480371056012231,0.5315814162695203,0.5290517041521352,0.5281614560061417,1.0,0.5247455445032878,0.5243916483899328,0.5607702674236424,0.5025295136442323,0.4346156076896474,0.5359006544171644,0.4972415551901136,0.46168687046408713,0.4614575218127656,0.5060144463713059,0.25991599840974644,0.48883864847036135,0.31347224838454246,0.4728847962435353,0.3599801706008078,0.4591713667916171,0.5072299904697236,0.4379515135485817,0.27641691147337405,0.33180339377324575,0.43131452496114137,0.39787356861519124,0.542059290538366,0.47030526850766224,0.43622521904665496,0.6227745896611192,0.3461938579263324,0.7599428867178637,0.45600294280320686,0.5243044637427461,0.4733599449681051,0.4919583854361678,0.4981491184656463,0,0.5316199992013118,0.546588708590114,0.5445202418792281,0.543592636511627,0.5161022449307295,0.5602399024266648,0.5575242752324947,0.5181355223063319,0.4528680968429172,0.4929156624337679,0.48126685959805704,0.5433760315126697,0.5039908962471348,0.5316522283504836,0.5656149721086713
croatian,0.8864691172045667,0.8466151077147251,0.8232536860094192,0.8590803348871732,0.9611598898931883,0.9576507946489882,0.804351304179819,0.6983879313829479,0.5247455445032878,1.0,0.9545044932950746,0.9247308914167107,0.8251763807317547,0.8615437042257433,0.8767268011721255,0.7753036656116777,0.7721167321866353,0.6881633260171256,0.8314338926219983,0.21589818145158554,0.7398813569166612,0.6477515369008461,0.8780094086915182,0.46111394849281157,0.8269029052606521,0.8357333199872337,0.7896301951822984,0.5980836736538487,0.7131673073569618,0.6401025418252447,0.6791569442432291,0.9138122324065421,0.8259737741834025,0.758106181921946,0.7621602320127745,0.54132280100676,0.38960188492530884,0.7935253844479655,0.9473108847357304,0.7717111314534346,0.912605119972738,0.946448655208478,0,0.7483080160044123,0.9602707212270982,0.9508576140462411,0.9685824873343721,0.8154274196222608,0.9074974903736029,0.8193631738789131,0.5621411573497108,0.7800417950563568,0.9654202489751582,0.8295983887754048,0.8611843658226194,0.7097378859082601,0.8818118608603254,0.5787181781778632
