,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.720941057324516,0.7949069682170641,0.8194072494202818,0.8701212162030971,0.8995945169975542,0.9445192636056563,0.7045123043295121,0.5530192020554271,0.8810152616785039,0.8953270186923119,0.9535864040720744,0.9719560141838988,0.9633782375417249,0.7783305652369967,0.7498799710732529,0.9213133701012465,0.8794214984322303,0.972210138907688,0,0.954925625841299,0.623286479142116,0.8039533936364552,0.6120180931209961,0.8029110910142294,0.9175852279146192,0.9390047447421094,0.5812638614007368,0.6399884573311879,0.6170936099073794,0.30563546567079725,0.8040078411328321,0.7686698741579615,0.8669781518392439,0.715567087714075,0,0,0.8351704236244819,0.8626848685602565,0.8894619693194208,0.9554730532469488,0.8712039217063092,0,0.9107456383806182,0.8832317340604918,0.885689546318864,0.8881057971798537,0.9536466501023791,0.941683690915545,0.6986514290004963,0.7002295913504271,0.8003518350508592,0.8774279527721477,0.8081604930029663,0.4263678111298505,0.7783203516626649,0.938355711938174,0
arabic,0.720941057324516,1.0,0.5861629824448148,0.7437384839735183,0.826198135596805,0.8376159936614593,0.6965619225621373,0.7814642811884461,0.5417743414415909,0.789402464767413,0.8248628696808451,0.7689420153581497,0.7195662495290955,0.6912327169663629,0.7536236856121081,0.5475652022875268,0.7224041078206335,0.7740996431130996,0.6871179932811136,0,0.7118791958672138,0.7271472347041839,0.7721622408822241,0.3343350781213881,0.6596570508632964,0.8000696480212498,0.7523519763410944,0.5603758957691566,0.4991784512674501,0.5846582908747974,0.27531107143192735,0.8257728969574042,0.8128147378161868,0.5963852462498156,0.5253321030563538,0,0,0.7203523176425174,0.781152938364002,0.8138548491084469,0.7922410813949137,0.8218420562503485,0,0.656081136235873,0.8153157075346898,0.8366462166430753,0.7926409171690019,0.7105863704729315,0.7560859132836127,0.9123560984124449,0.5975023656720116,0.6958492491341337,0.8393223640515769,0.7346995660014142,0.4683895004942607,0.6019771277495722,0.807510523061477,0
armenian,0.7949069682170641,0.5861629824448148,1.0,0.8753398557999376,0.8516386959473088,0.7836961646051853,0.7724631616508777,0.6753634899118808,0.4971018587618758,0.8899002930583092,0.8569774783697292,0.8502902371551465,0.8016796664108685,0.8509780531670504,0.8436520331731117,0.9332063274460899,0.6342137196692027,0.5408838754359032,0.7857690030621017,0,0.7264631131246954,0.6213896632609794,0.6806767097940105,0.5514422519720767,0.7939322563169349,0.7177254115643594,0.6851520642834855,0.5107052315291544,0.893432132637923,0.6861107413381052,0.3729255286142267,0.7768454386502482,0.7701847278292957,0.8246767066607537,0.8052169459541892,0,0,0.8663522850195968,0.8371689269095284,0.5769684391951082,0.8393929397062939,0.8522629705839261,0,0.7365205458900121,0.8794814489269316,0.8228808064455126,0.8874314534690422,0.7189559284136366,0.8947633470855225,0.6068973892295932,0.7835149217647126,0.9031259851006662,0.8424983576230395,0.7095932998996864,0.5728822108892001,0.6833171956858959,0.7727704181858276,0
basque,0.8194072494202818,0.7437384839735183,0.8753398557999376,1.0,0.9081794399979267,0.8195443651754382,0.8248357261934385,0.8351895849288505,0.564933821877156,0.9046134402233753,0.8945249699669618,0.8678377172422609,0.8316992819529262,0.8443379065935447,0.9419419606274775,0.8586520234725087,0.6822883038408305,0.6290417095852693,0.8358420028027348,0,0.7928855515253503,0.5796487696440581,0.7283331175051074,0.5786029685545108,0.7921681405274167,0.8003085288359438,0.7248530287139752,0.5378555485005924,0.7344455369208004,0.7919188719578076,0.3575354135331049,0.8838533929362626,0.8486902672606034,0.7762247596987609,0.770507157453682,0,0,0.748225663022596,0.8445731094446557,0.6893768540120248,0.8854320226543514,0.8983842001579079,0,0.7556225313739825,0.9132241685589595,0.9038251097216226,0.9170319174157158,0.7725826151417838,0.875043015234323,0.8200629554476735,0.8213831195734047,0.8000435793421331,0.9011557059740437,0.7307501512789114,0.4801555141668886,0.7035448942074599,0.8595825467023899,0
belarusian,0.8701212162030971,0.826198135596805,0.8516386959473088,0.9081794399979267,1.0,0.9440642183041346,0.8435417534579474,0.805127865300215,0.5262809222264403,0.9725432391817648,0.9683804190469343,0.9127598197965449,0.8661025333190518,0.8769710838717414,0.9074100582202382,0.8076274376390465,0.7597969105033816,0.7000920014519716,0.8526970603361508,0,0.8214354144789643,0.6436494897489068,0.8183252310636141,0.5171711558152494,0.8262233287831858,0.8485971748263134,0.7885670536654444,0.5452354125598046,0.7523056619229043,0.7225188886873765,0.35300364136308987,0.9285078266582529,0.914264659849968,0.7872313201853638,0.7487256757314719,0,0,0.8371579706825081,0.9487958820948734,0.7622616792796738,0.9279171876024257,0.9792484916856635,0,0.7920124424291609,0.957374673847348,0.9584624642656734,0.9707479867166992,0.8107104886645117,0.9294193804056606,0.8167723756884488,0.7403450935732564,0.8250180942760245,0.9916471077767642,0.7924851189568825,0.5012689596267349,0.7133970670025273,0.8858303064105889,0
bulgarian,0.8995945169975542,0.8376159936614593,0.7836961646051853,0.8195443651754382,0.9440642183041346,1.0,0.8646616671275803,0.7481152131297772,0.5323850970544315,0.9416104893266359,0.9492475971918534,0.9311540247784508,0.890402892364397,0.892298597019958,0.8190327460189132,0.7202255017766116,0.8301397769407454,0.7819794960424284,0.8579161503107593,0,0.8310763623501524,0.6518359780440176,0.89383915383303,0.4596155203500845,0.8387035857469273,0.880268797155691,0.8558828052759477,0.6714699200544989,0.6565630298913264,0.6443640277792841,0.35553272739188074,0.8643418690040396,0.859005206865425,0.7568935284952604,0.6481063520444126,0,0,0.8929443550803008,0.946641545844908,0.829890039000418,0.9497838654700661,0.9484558641936401,0,0.8276257323527798,0.9447747609948417,0.9229041775175703,0.947475782716163,0.8638713539218673,0.9344967890069387,0.7673346412399884,0.6567967559421931,0.7872349593980636,0.9568822072971477,0.894514520374878,0.46075979581160387,0.7380043752203457,0.9019641269298342,0
catalan,0.9445192636056563,0.6965619225621373,0.7724631616508777,0.8248357261934385,0.8435417534579474,0.8646616671275803,1.0,0.7450144894495219,0.5480142966597564,0.8485416013965981,0.8515723548083939,0.92934856468811,0.9625823230221315,0.9482654471389259,0.7775432872597953,0.7315355158286645,0.9232755690620983,0.8597825574879179,0.9553665007230556,0,0.9251213612150359,0.614963174635619,0.7973837119414854,0.6657430959559243,0.8289368528226458,0.8974452888272715,0.9187882558653465,0.6224850043346778,0.5888423888254354,0.6850098786199192,0.2815219395583076,0.7490568721835875,0.7247724627738978,0.8619835743241663,0.6615801700197975,0,0,0.7998946930736444,0.8483393244186995,0.8943813900092886,0.9395855208386162,0.8396309399650322,0,0.8956338495352126,0.8547122066868611,0.8666338989340927,0.86187788234171,0.9733674244123407,0.919045420000786,0.6637531877050433,0.6932033338828963,0.787319948172416,0.8587096186891313,0.7862819375868247,0.4577134885934077,0.7834369190176917,0.9330509584143383,0
chinese,0.7045123043295121,0.7814642811884461,0.6753634899118808,0.8351895849288505,0.805127865300215,0.7481152131297772,0.7450144894495219,1.0,0.5620941982277717,0.785793791014131,0.7848574706853426,0.7917873137875325,0.7511015062580874,0.7707633007981255,0.828306312748856,0.700459382990282,0.6616605647379386,0.6124798251492717,0.7330441914466835,0,0.6781400302690611,0.5222879027004323,0.7574673516900031,0.48944416358079923,0.8138699601181684,0.7542720434300044,0.6507272118070251,0.6068374848866761,0.4992922107591451,0.812790127939944,0.34555954092185437,0.7962205938289791,0.7805402483250364,0.6725159392570251,0.5917864828963885,0,0,0.6711775578781612,0.7396066539171069,0.6999128677647036,0.806998979267879,0.7986814474823112,0,0.6117301301639817,0.8107795994579773,0.8419466861282009,0.8120436764787299,0.7152367338390172,0.780029914405317,0.8113748794059026,0.7468377730661162,0.6912986818254784,0.8121295528722294,0.6646865321306988,0.4258065721594203,0.7581030335024842,0.7865477666708584,0
classical_chinese,0.5530192020554271,0.5417743414415909,0.4971018587618758,0.564933821877156,0.5262809222264403,0.5323850970544315,0.5480142966597564,0.5620941982277717,1.0,0.5906975537970702,0.5752955960092028,0.5945814700620433,0.5299119686769277,0.5231476303799623,0.6754768271732798,0.6007248187278965,0.44996885388280133,0.40095251832007583,0.5391857577404673,0,0.43722455422934375,0.380375624437727,0.4983290926687688,0.38233822574221793,0.539968328250758,0.5164633375946838,0.4375511564765695,0.32293318732179,0.3073239180740428,0.6149309606046853,0.5297450976454117,0.5600549020587676,0.5297839371838554,0.4583741378888654,0.6165201861749695,0,0,0.4996329555597748,0.5359325517866826,0.4776088944039801,0.5686021036703877,0.4857098819346957,0,0.4857369940897058,0.585631546318651,0.5917456532799735,0.5701578653150149,0.5376090113513545,0.5847398778762117,0.6107445979970777,0.6260708989416226,0.5922822733228713,0.49955532766783844,0.4738874515244573,0.40663697101238233,0.5770879321946467,0.5760754787105532,0
croatian,0.8810152616785039,0.789402464767413,0.8899002930583092,0.9046134402233753,0.9725432391817648,0.9416104893266359,0.8485416013965981,0.785793791014131,0.5906975537970702,1.0,0.9747681592441837,0.9241942259512433,0.8703526692521196,0.8941024325425562,0.9098852372026532,0.8515140727291814,0.7538164388575784,0.674059417914596,0.8536318096944382,0,0.8100574509846408,0.6530583257269796,0.8086074045812105,0.5220518963747096,0.85509722394217,0.8264537970856314,0.7825961099872488,0.5561677142610835,0.7543646711474148,0.7295847046222362,0.43114676130598667,0.9141735984846555,0.910932862846991,0.7957309208764365,0.8006204132907933,0,0,0.8658049076484937,0.9472714038816704,0.7405122395788869,0.9349671336026142,0.9601557488502255,0,0.7965495789718808,0.9802511643536447,0.947827877870145,0.9847217860649472,0.8151551579093859,0.9511298655853307,0.7809149019643443,0.7513500586933249,0.84273253036945,0.968730563651214,0.7995613263774622,0.5078600218887674,0.7514594364632506,0.8747711354683495,0
czech,0.8953270186923119,0.8248628696808451,0.8569774783697292,0.8945249699669618,0.9683804190469343,0.9492475971918534,0.8515723548083939,0.7848574706853426,0.5752955960092028,0.9747681592441837,1.0,0.9248049911397458,0.870860940738231,0.8859226631167392,0.8952183920318668,0.8124672653518786,0.7677100089371123,0.7139555432024889,0.8542809268846495,0,0.8305014487197693,0.6521965418747026,0.826375913563646,0.48853801929049173,0.8355046259390828,0.8524199821126907,0.7993291630636844,0.5573213346147189,0.7379630188046737,0.6967956351378698,0.37218863296532884,0.921880108259825,0.9245552663852984,0.7846411192873086,0.7569277508211103,0,0,0.8666903288462042,0.9581354562715386,0.7663730900401696,0.9339797051718445,0.9601436740056768,0,0.7993713958028545,0.9617963927065425,0.9654455256986434,0.9663597667447527,0.8228124872286828,0.9393799031434954,0.8247311220320227,0.7337531176451407,0.8333285774089911,0.9703000387329879,0.8048884773312794,0.507384819993779,0.7261207868952618,0.8862286777813557,0
danish,0.9535864040720744,0.7689420153581497,0.8502902371551465,0.8678377172422609,0.9127598197965449,0.9311540247784508,0.92934856468811,0.7917873137875325,0.5945814700620433,0.9241942259512433,0.9248049911397458,1.0,0.9700862493706749,0.969023597336367,0.8448789844464721,0.8218822885907405,0.889466923490432,0.8192596616827091,0.9507393880361338,0,0.9023168941511163,0.6637603939945612,0.8371682662875846,0.5909111808619228,0.854451392923663,0.9177622853993247,0.9038633741256107,0.6529167986379261,0.6827022030455848,0.6661121051774245,0.3578187241957812,0.8122000143870979,0.7938059348791829,0.8569453501397771,0.7461168084253578,0,0,0.8840829748275015,0.8985964766869017,0.8566361766836699,0.9688090934661441,0.9124799884302962,0,0.8821938662960203,0.9474456023132231,0.9165574960669661,0.9413615220155902,0.9386341600058519,0.9732196366168638,0.7380859932540728,0.7719924326344558,0.8245988372918966,0.9233968646104342,0.8619802476612126,0.43252846089937796,0.799964186094883,0.9301273363321383,0
dutch,0.9719560141838988,0.7195662495290955,0.8016796664108685,0.8316992819529262,0.8661025333190518,0.890402892364397,0.9625823230221315,0.7511015062580874,0.5299119686769277,0.8703526692521196,0.870860940738231,0.9700862493706749,1.0,0.981042266206765,0.7940561862049046,0.7663703503818162,0.9404319791210914,0.8675858326935633,0.983713607472974,0,0.9534254256320124,0.6281603077999537,0.8041729162499841,0.6544419742599368,0.8220875363650525,0.9330388703184653,0.9485001764805652,0.6174161455233448,0.6368054593669714,0.637229104789328,0.32887354512555167,0.7759712559867664,0.7475780580189724,0.8862296470310741,0.7004686384529892,0,0,0.8397343224907675,0.8544162321974443,0.9021535825641314,0.9666205481798807,0.8757741317983186,0,0.9273904629140373,0.8899726068898614,0.8763174570138235,0.8870869149246741,0.9709681658982171,0.9545607665764817,0.6744485920286583,0.7215980094978911,0.7937584161661919,0.8792698489963972,0.8133697571141306,0.4171168509026896,0.7893902679349522,0.9384927067572587,0
