,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7288427360126931,0.6938824915499596,0.7339281094097597,0.8515145715120499,0.8930285640706177,0.8931259481106025,0.5792882363956345,0,0.8872849978900306,0.8902861268091536,0.9326196805279043,0.9264192324038963,0.9184937144591602,0.7474642594894182,0.6740683335697586,0.8502036532734226,0.8606745585632056,0.9107617001450596,0,0.8716936568271333,0.6079425997986958,0.6572216422189797,0.4869671310084138,0.7777101264875232,0.8646599461699545,0.873721104850206,0.643238318593572,0,0.43220571649895845,0.5817895105307334,0.7949054410202951,0.6597551898439935,0.7429003588104897,0.6361661024679685,0,0,0.8187431125273302,0.8412151816529153,0.8293715620901967,0.8888271149680264,0.8483404135060169,0,0.7679115370426387,0.8668692066587609,0.8753659845198394,0.8384344257297468,0.9070791647475049,0.894547126978147,0.6751816949073882,0,0.748534418955923,0.8286806316678454,0.5329889875461559,0,0.6557445151908601,0.8105412810567483,0
arabic,0.7288427360126931,1.0,0.5077707137982093,0.7157105827591728,0.8736584239591101,0.8518327419092152,0.6341755266775395,0.702323835074687,0,0.7683225386763824,0.8203944241789521,0.7858967485826768,0.6835901355547656,0.7068852173996348,0.6935951001909222,0.5222055269563923,0.7246784249332866,0.8147951693321953,0.7219268695218783,0,0.6779266086168385,0.7151234254538194,0.5596643431534052,0.2949582489175934,0.6138869945753457,0.6934727411287658,0.7626818370682663,0.5653464143654084,0,0.40801438780779076,0.6015489213956684,0.8045222569737052,0.7649811057482666,0.5424947245781803,0.3970188755389008,0,0,0.6625413653395712,0.7525879996308511,0.8379742956288114,0.8085454358161664,0.8323801902750986,0,0.5236994176763393,0.7371625432248055,0.8491927477164827,0.7210116336854483,0.679029891449747,0.7512177154967199,0.844072696211217,0,0.6168564910736394,0.8250265051080837,0.5104798596915662,0,0.5704512308531878,0.8105120680036626,0
armenian,0.6938824915499596,0.5077707137982093,1.0,0.7881919545872899,0.704337024661851,0.6348340456083785,0.6296696877786924,0.5817996035579792,0,0.8237822481363344,0.7802685068586945,0.7631512719419259,0.7108225653316222,0.7761646492110632,0.8006285273935938,0.9054034518878502,0.5418018889526991,0.5073165995247244,0.6674041896538015,0,0.6379688622410679,0.5941534121421621,0.492512681716455,0.5322630773893342,0.729620404766165,0.6365281224707615,0.5840452324639138,0.49283800342927714,0,0.5081912179776114,0.635988553763827,0.7572937116216945,0.6946668444614212,0.7985988751377027,0.6406839471498572,0,0,0.8404529762226689,0.787486482111503,0.5008583776530868,0.716565160868008,0.765900402813654,0,0.7074165354795083,0.8283714581334999,0.7467892349959863,0.801106502828055,0.6447039136006879,0.8035995570204739,0.6753278362994222,0,0.9192667031581219,0.7442510024392345,0.4996577355405285,0,0.6082493952697862,0.690952785032863,0
basque,0.7339281094097597,0.7157105827591728,0.7881919545872899,1.0,0.8500977507463336,0.7518962348654468,0.7062933060587885,0.7932938699822998,0,0.8994585178142639,0.854257483375156,0.8330681249373785,0.7473435822957067,0.7727832152481025,0.8802582972119083,0.8007417173603626,0.6454918613869277,0.6368166127284114,0.7638026952623611,0,0.7408271027228902,0.5264082168638206,0.5318335693071387,0.5357797684427686,0.7284826978107577,0.7325794819117205,0.6653233699011475,0.5434705457433141,0,0.637647101261708,0.6773257289742931,0.9154400189486135,0.84347043457209,0.7001834914518916,0.6719911083820392,0,0,0.6559445383049834,0.826713430550491,0.666986947377962,0.8338215425767928,0.8419162508630027,0,0.6727667783213257,0.8962236426197777,0.8415860051926106,0.8662679815742967,0.7110304465871993,0.7939184166197474,0.9043394473498659,0,0.7988248772898753,0.8684008439829514,0.603731991671955,0,0.6650059091346113,0.8162549603242948,0
belarusian,0.8515145715120499,0.8736584239591101,0.704337024661851,0.8500977507463336,1.0,0.9449183312945101,0.7198833162189888,0.7340450037896034,0,0.9231857710746686,0.9477875029182821,0.8976802821263274,0.8049416130681264,0.8365179560344315,0.846248601604991,0.7198398116446382,0.7611803445697668,0.7891728843889092,0.8500138830289287,0,0.7715429639520925,0.6100681784036127,0.6433777943578946,0.4415632996831494,0.7190247904787646,0.7863984033882822,0.7695622443753094,0.5952868807594898,0,0.5036899290144278,0.6843886046756189,0.9400084020540146,0.8571510457130642,0.6843701820971433,0.5770626388775223,0,0,0.7617295848623344,0.9103558241981097,0.8048044268513447,0.9038732292225087,0.9530357282331254,0,0.6591217549744658,0.888115885305578,0.9636967081746748,0.8594811208145493,0.7766178782903188,0.8788671920780061,0.8808545897055617,0,0.7694357911467289,0.9743734047565883,0.6130713564845263,0,0.6523691270057759,0.9212940774453139,0
bulgarian,0.8930285640706177,0.8518327419092152,0.6348340456083785,0.7518962348654468,0.9449183312945101,1.0,0.754669371890617,0.6317726637193033,0,0.8988990566811619,0.9198363573593775,0.8880959647437722,0.8184827415448724,0.8373874434198717,0.7517654522079285,0.6032541471532733,0.7712098597013954,0.7997147748753527,0.8174172101415792,0,0.7531304220640985,0.5832447798360276,0.6513166220833884,0.3635824359761008,0.7521545761566836,0.8145419656508269,0.7795356701493514,0.6196851277258486,0,0.42588852804899097,0.618447463849245,0.8467671159687848,0.7623897696735423,0.6267158203002794,0.5152094172808821,0,0,0.7895093249297382,0.8859238019475136,0.8368834236264775,0.8936116066022667,0.9063149391680856,0,0.685666872302312,0.8597242101887745,0.9247595185209471,0.8049132156821323,0.8001901260642649,0.8404242013987552,0.756566770214449,0,0.7263636302025562,0.9045637367005978,0.5625413637271732,0,0.6035665711625244,0.8577056299663118,0
catalan,0.8931259481106025,0.6341755266775395,0.6296696877786924,0.7062933060587885,0.7198833162189888,0.754669371890617,1.0,0.6017910433364525,0,0.7963825093413384,0.7893607259448036,0.8932568265675044,0.9619446029583583,0.9408573224742138,0.6376716940407037,0.5980689010445682,0.9186335917829499,0.8753784772874779,0.9252938928227535,0,0.9243772215784595,0.5552169478797814,0.6301350249740523,0.5735835995170697,0.7744549631225169,0.9010248056699532,0.9238338253452975,0.6806198806594904,0,0.4723724511351014,0.5442893956336554,0.7149776845838987,0.580649810132874,0.7845941856482759,0.5699195441623411,0,0,0.7502259790889688,0.7617206043770712,0.8664079691676814,0.8666081326505303,0.7509373338920533,0,0.7949773231184294,0.8019676768954085,0.7522963134739136,0.7564501117893746,0.9879075920353916,0.8548814061814,0.5881340567032206,0,0.7090309193275347,0.7042373329195102,0.5085674820468393,0,0.6960597011196004,0.7590027172336915,0
chinese,0.5792882363956345,0.702323835074687,0.5817996035579792,0.7932938699822998,0.7340450037896034,0.6317726637193033,0.6017910433364525,1.0,0,0.7230702065050012,0.7586106018798705,0.7213720189893853,0.6333945325229628,0.7088720427383167,0.7163590636039302,0.6440259792067649,0.6214316858894116,0.6064803732497972,0.669288678723505,0,0.6007786803709035,0.46595191424697396,0.6815145811496597,0.4686674890217079,0.6999435006036976,0.6360438423799637,0.5804287917136892,0.6170441678383207,0,0.7486209808715922,0.5807642967097784,0.8190681059842099,0.7935414359438063,0.6212600420779832,0.5735712070113687,0,0,0.5724949374876896,0.6906932397462227,0.6511190958404356,0.7681823139308045,0.7853817032974779,0,0.514966027434661,0.6882764344755693,0.7756790664582294,0.7277744162971197,0.6299423665003673,0.7177487427011008,0.8332179676823789,0,0.6713210268374733,0.7728680494403861,0.7483917414615874,0,0.7893001657730263,0.7479798532759717,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0
croatian,0.8872849978900306,0.7683225386763824,0.8237822481363344,0.8994585178142639,0.9231857710746686,0.8988990566811619,0.7963825093413384,0.7230702065050012,0,1.0,0.9539002671233764,0.9269253091665,0.8530453345487025,0.8923000745740388,0.8681775388564728,0.8156228930267981,0.7512719806313167,0.7280413045105817,0.8511658174037665,0,0.7818382774222907,0.6373979268793291,0.6454960182239858,0.5275365332764188,0.813445260754702,0.7938666571990536,0.7689706135523174,0.6408528311511599,0,0.581710371997683,0.7330930714680018,0.9240288093878348,0.8134516256144355,0.7706836566424966,0.707067705758576,0,0,0.8121657212094059,0.9383901404962111,0.7523655949410871,0.9045536164515356,0.9331066566932362,0,0.729157377291367,0.9605909620914747,0.9382450592986782,0.9242615191736802,0.8252787744311987,0.9068024725035362,0.8213364547168376,0,0.8316214121024347,0.9322267344681111,0.6100778967219534,0,0.7169812208971864,0.8570829934972181,0
