,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.6094400681103412,0.745208947750491,0.7035847991295728,0.7727439914372082,0.8245413771900006,0.8537718651257676,0.5473271225811666,0,0.8058313484905288,0.8518234712702225,0.8415868719860196,0.8914500537449164,0.875739821237561,0.683773017746579,0.6381938668863467,0.7708446057296671,0.7503197380157486,0.8047280040617839,0,0.8298936202391219,0.5153210021724991,0,0.5370333084545895,0.8608228437342794,0.879654245218712,0.7847972060926084,0.5036141231305571,0,0.41062789858088133,0.3382052497172842,0.7093194704243755,0.6619371232886726,0.7088060155678025,0.6537079991860665,0,0,0.7713341368542125,0.8259821037959687,0.7824212206060672,0.8214850197081683,0.7809629923039648,0,0.8639001197527103,0.8362568251553837,0.7936275900388908,0.739991615991378,0.8637844072213624,0.7862585410155503,0.5653174243017802,0,0.7746273502982802,0.7686892760112829,0.44001048098193046,0,0.5931624543816464,0.7182741664276359,0
arabic,0.6094400681103412,1.0,0.4574235027408254,0.7502400524438286,0.7620010793761826,0.8512389061806782,0.66084359790423,0.6788542118507098,0,0.7941144163605853,0.8204976078104761,0.738968717795708,0.678600801021279,0.720955290378721,0.728147423875931,0.5407778163169465,0.7336780700994752,0.7794117544966207,0.7342971370007202,0,0.715948762673105,0.7145663905091165,0,0.32653065955958543,0.6109741399594835,0.7565113821749865,0.7763051682556749,0.5825174242378555,0,0.40347025984428797,0.3929607590013531,0.7833846699209515,0.7841909209377331,0.5517140997137766,0.38953530240926326,0,0,0.6731483494066116,0.7833247377313611,0.8221328439552343,0.7986069875903425,0.8497554466853048,0,0.468468025870263,0.7714665491802052,0.8520842960973032,0.7678635793588131,0.696728644963135,0.7536145136852133,0.8840797479776075,0,0.6022840618579985,0.8489525685217381,0.42915799406546623,0,0.5756361436615758,0.8067738542053098,0
armenian,0.745208947750491,0.4574235027408254,1.0,0.7486495683532687,0.8427838042451419,0.654223587699468,0.5996115176585595,0.597332535045118,0,0.785694050013052,0.7794758427059248,0.7255101545185488,0.6856397533521927,0.7131645206990724,0.7432512114139077,0.8194859259286986,0.511675796694116,0.4393248559427938,0.5868663763801113,0,0.6045980932167835,0.4875048673232802,0,0.5880711075505354,0.8097577145177759,0.7321500012421408,0.5272817747604884,0.3728834172935262,0,0.4999326083154283,0.5069110073066205,0.7404146859962359,0.7583583309660176,0.7112041212167269,0.7752317969035478,0,0,0.7245852118213666,0.7903628718663216,0.5054523298187997,0.659081071176746,0.7426968500599418,0,0.7566376526815818,0.7912050017297135,0.737105365444858,0.7008163169682786,0.6184329020219868,0.7142528014991578,0.5082539452628148,0,0.8501442589476567,0.714267572263765,0.4293141909084665,0,0.5756765527952389,0.5984441321663854,0
basque,0.7035847991295728,0.7502400524438286,0.7486495683532687,1.0,0.8383374505626012,0.7997040945712633,0.7330162561558636,0.7839401363774021,0,0.9101530077626201,0.8468597147693963,0.8258478929479036,0.7555334415028998,0.7684418095772884,0.8407244054893045,0.8041107617117207,0.6446723900326882,0.6511139741109995,0.7478475810653783,0,0.7536458773654644,0.48989984271373826,0,0.5215333796040156,0.7545122329524326,0.7958069273866345,0.6749859640949424,0.5597072726819843,0,0.6041285928867989,0.41741276472579275,0.8705090971039698,0.859164550886106,0.7174927949423557,0.7075396103784533,0,0,0.6714144648930539,0.826537202896624,0.6826627829121781,0.8244614876220784,0.8623210865101575,0,0.647321599348107,0.9206174306466214,0.8567153203169589,0.8708589508855218,0.7143966384299805,0.7890033851647367,0.8621792970153312,0,0.7924037375837331,0.8610958746012208,0.510169985834806,0,0.6548021938574553,0.7897423349544471,0
belarusian,0.7727439914372082,0.7620010793761826,0.8427838042451419,0.8383374505626012,1.0,0.8995421375703464,0.7171225830396467,0.7478102723911143,0,0.932025677160808,0.9371716958893576,0.8506985849123274,0.7834939297158015,0.8298895559257292,0.8273025734716026,0.7927284352256748,0.7378317438064057,0.6825301973007023,0.8072232695788107,0,0.7487462136455733,0.5910152496977373,0,0.5748879227626611,0.7772865481693622,0.8657374784463331,0.7280382065294849,0.5245227533202819,0,0.5226435365636078,0.5210872733556977,0.920138625641866,0.8811504148878682,0.7367739733651404,0.7607022779007684,0,0,0.7512638757357872,0.9342625333786828,0.7534473757364708,0.8315624892866715,0.9382873860000543,0,0.6303030667420401,0.8660432912687146,0.945772207904301,0.8565874440075784,0.7612327399864434,0.8701385359096666,0.7613493445574906,0,0.7661821207341502,0.9524662250681744,0.5226194692314832,0,0.6762109532768729,0.8348959744535968,0
bulgarian,0.8245413771900006,0.8512389061806782,0.654223587699468,0.7997040945712633,0.8995421375703464,1.0,0.8052248510935526,0.6827441534818588,0,0.936507376073226,0.9477545642293498,0.8784003524474392,0.8394999382653973,0.8764129905595386,0.7845792866123941,0.6729051917139788,0.8045243322944615,0.778025945909593,0.8468280785777159,0,0.7796088402312275,0.5949692465583962,0,0.45394240180114875,0.7804054660054758,0.8844190884947544,0.8020787055191245,0.6383411979977125,0,0.4569037427413945,0.4209669847433938,0.8380699014358884,0.7841559640607451,0.6920561034475603,0.6264237042300034,0,0,0.82178292955295,0.9251140665432513,0.8456446850179654,0.9032777428544613,0.9340141465658094,0,0.6291081900357133,0.8861777685294383,0.9440155415932572,0.8865840793121654,0.8369175712187501,0.8871046205015268,0.7765896020992342,0,0.7127299908520406,0.9349714931204617,0.5020247044637599,0,0.6719776954955725,0.8689870292827901,0
catalan,0.8537718651257676,0.66084359790423,0.5996115176585595,0.7330162561558636,0.7171225830396467,0.8052248510935526,1.0,0.6159881103856042,0,0.8120540378589638,0.8091898920924319,0.899065479384008,0.9628582279547885,0.9526421704231611,0.57629608951892,0.6202457986647029,0.9229550943743478,0.8968424126846914,0.9094999335460848,0,0.8944987830240237,0.5208382292867985,0,0.5991237224529395,0.7996455352963147,0.9105811875460117,0.9213012216544116,0.6514724730367304,0,0.45703935296727105,0.3279997589756859,0.6759236726600365,0.6154873206183196,0.8086645622046472,0.6126892067280308,0,0,0.7327109522297428,0.7957367007746643,0.8988464987020459,0.9097280672454432,0.7694638491844671,0,0.7560793445176619,0.8251724681948389,0.7830040792646448,0.7889011435353304,0.9850640626073678,0.8182170391231297,0.5786022448724859,0,0.688837283428172,0.7617944104834061,0.43589029379002725,0,0.6899322765367302,0.7811641161357902,0
chinese,0.5473271225811666,0.6788542118507098,0.597332535045118,0.7839401363774021,0.7478102723911143,0.6827441534818588,0.6159881103856042,1.0,0,0.7138371040164981,0.7309069545205754,0.7127633982881024,0.649558971026166,0.7195820458335086,0.6999462859223265,0.6850463192187195,0.6388113162074531,0.605956551673445,0.6729559331155521,0,0.6223710374547464,0.4433196434794772,0,0.5142913941503255,0.7290391689406628,0.709939681499583,0.5982707166030738,0.6186432924387648,0,0.7353096101741023,0.3485165231222135,0.8158283482293027,0.8057947921541998,0.6642255881936869,0.6166385526587549,0,0,0.587705347892138,0.7038791635521346,0.6588420645149695,0.7331841534102529,0.7850577910756024,0,0.5088782578906316,0.7163522083269397,0.7913772672771855,0.742939958158439,0.633347851148724,0.7348451245088139,0.7632105871499598,0,0.6864299856230194,0.7643680478276051,0.6756489781148308,0,0.8061367993694,0.7878262666508277,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0
croatian,0.8058313484905288,0.7941144163605853,0.785694050013052,0.9101530077626201,0.932025677160808,0.936507376073226,0.8120540378589638,0.7138371040164981,0,1.0,0.9511333658536901,0.9185743678400415,0.8433361755444451,0.8776298548338729,0.8359026430700469,0.8164273125504672,0.747517532860166,0.7223678194593179,0.8341756446081582,0,0.772370200626449,0.6017013056916556,0,0.5286519101123429,0.8119127124958151,0.8817322560181349,0.7715715300891017,0.6427635057860132,0,0.5518558492598065,0.49168366879699094,0.8757849438969789,0.8194339453731752,0.7711487090888827,0.7339859168104479,0,0,0.807819184479764,0.9359377210543396,0.762684339263172,0.8882267850074724,0.9388018867847658,0,0.663673789664825,0.9545527442605225,0.9386197371050582,0.9390943863225388,0.8226373480497328,0.8978010491347592,0.7818531361522473,0,0.7917165491268994,0.9399453753391803,0.5192150601080737,0,0.711294075697554,0.8374239037285058,0
