,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.5288985578943888,0.6039940436554505,0.5228724549682068,0.5887443681340406,0.5925057348128397,0.49060512004971046,0.37162979490314024,0.6351836059412146,0.6072845315497194,0.6467647808403454,0.584352231394862,0.5892662213760147,0.6202390162552851,0.5849744393135531,0.6384215509172553,0.4675432613355304,0.467512000931494,0.592227793753681,0,0.497064386804438,0.43521757193874666,0.5465279537466488,0.40825942547771077,0.5591986609995052,0.5012314074264538,0.5127115238185966,0.354754604658387,0.5250555790508046,0.44215688057167757,0.6116253875810735,0.6135003674102457,0.5774095052726087,0.5146735750831676,0.6140251331475587,0,0,0.5711366711350865,0.5897105365319866,0.5082170534914121,0.5652613440568586,0.6214031074257521,0.6492344540642356,0.6591086726968797,0.6025491461202392,0.7070363512071448,0.6621890350812358,0.5119393514564652,0.644118502661084,0.5152502403341744,0.5399728274234551,0.6002038871206106,0.6190882651270605,0.569135879451102,0.5779643842028053,0.4862403978733937,0.6033993227042469,0
arabic,0.5288985578943888,1.0,0.65266533406466,0.751099053839256,0.8335987492346052,0.8605889609074316,0.7200541162099343,0.6893798469194856,0.5735498291298027,0.8542007620904978,0.8479254816912309,0.7793986476395857,0.7552468310843294,0.817779791206679,0.739464815832586,0.6508821436477673,0.7408142644292998,0.7835882769274504,0.7620045369072851,0,0.7025426208054613,0.8056937517649585,0.8348889211984605,0.4522198764464131,0.7531853931410097,0.8265435346955279,0.8029558725917644,0.6721965160464927,0.5822505804985895,0.6167072540272387,0.7667605809241219,0.845984190716024,0.8078114707998874,0.658507992769319,0.61015948066202,0,0,0.776450844484523,0.7837846233380106,0.8314998266316158,0.835109702399076,0.8733180441682529,0.32491720431645654,0.6327369875132876,0.8544513876898782,0.86125084352459,0.7984558428147944,0.73440922553635,0.7742116285307409,0.8456208643180393,0.5347139802371508,0.7198628638923507,0.8607168994643762,0.806006082571474,0.7022759151703726,0.6579791811701217,0.8633922603738592,0
armenian,0.6039940436554505,0.65266533406466,1.0,0.850292510592669,0.8662641170250139,0.8285663995442082,0.6635553868473388,0.6308209628202045,0.4490428493392995,0.8835320401970527,0.891715521601186,0.7780885832911706,0.7501065586966259,0.832687151431531,0.8950373080084755,0.9100287408981647,0.5806844011838485,0.5531686168636243,0.7564271097556364,0,0.6695277428667089,0.6152267873596147,0.6562475764770475,0.6369436314336848,0.808187629593989,0.6888994686319467,0.7226053936575371,0.47466568933891523,0.8615434443491505,0.7939546334671245,0.8758004409164787,0.8367621817347121,0.8394591618644884,0.7172683129830644,0.8572999491058364,0,0,0.8388945220042163,0.894136319364271,0.6641939464451594,0.8137871176481316,0.8580941604967639,0.31793813331246906,0.5352699620046415,0.8860514849529254,0.8522276624749077,0.9087887852886516,0.6504668621707398,0.8583525838220845,0.6016170253915047,0.6906199776328281,0.8490932583860125,0.8710929868665207,0.6256706658591717,0.847838132142795,0.7052634767226602,0.8153024409996198,0
basque,0.5228724549682068,0.751099053839256,0.850292510592669,1.0,0.9227605986104185,0.8626877512734972,0.7357280489863343,0.823902624008711,0.5304242897493793,0.9055847573432559,0.8750959798688568,0.8088756015423411,0.8102942399599052,0.8494237043756505,0.958022471594063,0.8576079476321437,0.6557915264801534,0.6578898831591163,0.8098811325856653,0,0.7757682883391229,0.5997279530915985,0.7845417004356898,0.6876823057252388,0.8596317148612043,0.8327484499472986,0.7971822389253551,0.6248104645410201,0.7189928883020577,0.8802951966242751,0.8722784244320031,0.9330551541962945,0.9192737093067437,0.723572625707741,0.812704245860776,0,0,0.7527340595190375,0.9010316879741219,0.7761707661391796,0.9124636823541743,0.9105002684343029,0.3972652648303957,0.5673063585488484,0.9154930199156656,0.8423991256281106,0.9008120213376998,0.7258379478726876,0.8348004962041776,0.8182425216311426,0.7954866582812904,0.7874052222168796,0.917963179749338,0.6772946078575418,0.8898606603870571,0.7724091185927578,0.8931955672953856,0
belarusian,0.5887443681340406,0.8335987492346052,0.8662641170250139,0.9227605986104185,1.0,0.9571901716219312,0.8291913637374376,0.8009555194393917,0.5843898583924277,0.9702127074848127,0.956287244600045,0.9254506504843841,0.9046215707190151,0.9472910678808405,0.916162888978867,0.8518574381771897,0.7880007607278107,0.7688544965923818,0.908668659612769,0,0.8202232980623422,0.6833090352878727,0.8474389125861085,0.6845350451712978,0.9172551830232265,0.8941352445723775,0.8843662958458451,0.656673275318276,0.7569036321158937,0.8277360790555793,0.892464902681074,0.9575037955492887,0.9314815053841137,0.8015993970372057,0.8405298738497807,0,0,0.8532447877882832,0.9433653362215729,0.8592876867667433,0.9721347494844631,0.9773950093241145,0.4206058916297274,0.6613750825108119,0.9695068727366322,0.9429709371243504,0.9656608160062106,0.826802916471794,0.9348040326712469,0.7868386816450852,0.7955697964365113,0.8151955914155027,0.9761717767671718,0.7886892082070717,0.894820734370284,0.8138430631325005,0.9480674610293409,0
bulgarian,0.5925057348128397,0.8605889609074316,0.8285663995442082,0.8626877512734972,0.9571901716219312,1.0,0.8375258135937266,0.7398445936547846,0.5917573067728357,0.9648881935012011,0.9572649798662617,0.919649398451801,0.8890857500973413,0.9607382338312839,0.8627105590992897,0.7859271681216189,0.808000347482573,0.7742574433826845,0.9017530145375318,0,0.7851680848600786,0.686068763675519,0.8883203590733036,0.5999621759960598,0.9182070434961042,0.8955063917361111,0.8711521306436347,0.7358435623806373,0.6902599966469388,0.7700256838769602,0.8753742321994952,0.929249345046268,0.8759687735825678,0.804604101123001,0.7511895620624688,0,0,0.8928616015505765,0.9270400618527491,0.8655895453680921,0.9610523941965161,0.9582445787268754,0.40292827351722427,0.6990228962731792,0.9618341917602431,0.9504829080671023,0.9552121233894992,0.8401383323567947,0.9273133317846451,0.7345197642873752,0.6744051747313832,0.7681726414357074,0.9573197631987288,0.8590656558083597,0.8056990301801202,0.8037745858058664,0.960966263782735,0
catalan,0.49060512004971046,0.7200541162099343,0.6635553868473388,0.7357280489863343,0.8291913637374376,0.8375258135937266,1.0,0.6678343698940146,0.5644539906849139,0.800146570664287,0.7951830058354226,0.9113641671131358,0.9634092549575651,0.9244867290814952,0.693783681940941,0.6563202152929576,0.9586183966657039,0.9179593816789989,0.9526077964257181,0,0.9419964000197399,0.5992949617896258,0.7831930827465445,0.7275864965650829,0.83151725469309,0.9016828245482412,0.9347099249708071,0.6595809161736231,0.5439272698109866,0.6382584642396325,0.698873555228062,0.8149714748851173,0.7090913641752205,0.9129781889190066,0.7423709170807581,0,0,0.7682537224819039,0.7643570933867031,0.933241354798264,0.8894596775225628,0.7992525583892702,0.29897499172024483,0.684258367335227,0.7968225370408729,0.7882716472973147,0.7931747993939704,0.996895241166476,0.8717456836091994,0.5884152182281162,0.6414267398286586,0.7262286118962958,0.7964892250812432,0.8082805679723337,0.6930725137688929,0.7972678552459181,0.8781625247811646,0
chinese,0.37162979490314024,0.6893798469194856,0.6308209628202045,0.823902624008711,0.8009555194393917,0.7398445936547846,0.6678343698940146,1.0,0.5872740719301152,0.7771113232013093,0.7294463481839698,0.7298446715596429,0.7186180990610429,0.7426817306010983,0.7647222543826226,0.6879265800799591,0.6195684523995497,0.611001572416624,0.690733827789498,0,0.6523237465768813,0.5156998446775821,0.8127133212400401,0.5618918051047214,0.8213967341382099,0.7228235203454034,0.6869219985023461,0.6655194753990891,0.520522670393493,0.8151824856512822,0.7264833322353484,0.7931684466414805,0.784368860888701,0.5996076000045725,0.6780247294506333,0,0,0.6503798301159114,0.7452363627109406,0.6957353111016457,0.8087460029223359,0.7698603753528973,0.3854281870112415,0.4320626340637968,0.7730858848246713,0.7053025354298116,0.7265020009149684,0.6591919350548974,0.7347072339586685,0.793965203422085,0.7708062933829488,0.6920970320068668,0.7722275802032245,0.6767735638106839,0.8199616664923769,0.8338042300347381,0.7665083921944038,0
classical_chinese,0.6351836059412146,0.5735498291298027,0.4490428493392995,0.5304242897493793,0.5843898583924277,0.5917573067728357,0.5644539906849139,0.5872740719301152,1.0,0.5914834913022489,0.5700590024355563,0.6205107276001244,0.5870354208786029,0.5696283975569261,0.5597036545780062,0.5863019962055609,0.49667176199334734,0.4710842504895232,0.5841845057358509,0,0.4822715422025648,0.40117130697245124,0.617952666413036,0.39525808956306274,0.5985596983142292,0.5272985806487868,0.4533017781102103,0.39411101614295857,0.35714040642796896,0.432439760265966,0.6075035079523613,0.5887039913934817,0.5318562709889548,0.4760286960982012,0.5902982771819695,0,0,0.5501640551604693,0.5407198770215799,0.5185115211794455,0.5912494343074303,0.5729347128381876,0.6848504748561272,0.5627011874236398,0.5787231844543292,0.5990758387133472,0.5820708898187649,0.5932920421346115,0.6358967473714435,0.6448296539252554,0.6618286861682504,0.60204294370095,0.5536491641606135,0.6267035273927409,0.6017298324513847,0.5958760610897859,0.6032681377270458,0
croatian,0.6072845315497194,0.8542007620904978,0.8835320401970527,0.9055847573432559,0.9702127074848127,0.9648881935012011,0.800146570664287,0.7771113232013093,0.5914834913022489,1.0,0.9751021853270485,0.9070044634341402,0.8763470018613998,0.9411335690233199,0.9214593523932044,0.8508842102316113,0.7490603106822359,0.7278150002458564,0.8841388028050859,0,0.774155062739906,0.6790145628606714,0.8533217600404249,0.6263920193646227,0.9031257313339535,0.8654860511125925,0.8376302292287948,0.6562348995909788,0.7444636431433653,0.8037656181882402,0.9180901947956425,0.9605201125437315,0.9183961848051636,0.7902090310311023,0.8260588405493208,0,0,0.8789671963931059,0.9353383858726271,0.8226379283211561,0.9555950972111048,0.9749304993037041,0.4092751715488726,0.6682097798102098,0.9975551164923973,0.9591707943852117,0.969478238351686,0.8011988900182023,0.9397397032237772,0.7826760337956086,0.709402013598191,0.8113926601947483,0.9721747482756569,0.8173268242516711,0.8681947545831231,0.7938074272925836,0.9445714881760433,0
