,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7001506244410458,0.7551997157905961,0.7489584026871935,0.7649887431617006,0.8475594808077541,0.9208991330257901,0.5698546691246437,0.5408985212674833,0.8608543960871721,0.8399750778790486,0.9143887222507607,0.9701953655876939,0.9132424049536486,0.7770789410427839,0.7571232460633112,0.8965289506816998,0.8566363299432102,0.9659414323421149,0,0.9330858148472515,0.6741823393488685,0.8101397711771061,0.5733515489359393,0.7553562381698031,0.8832807350928398,0.8952556700538392,0.5689487340899562,0.6321042094477746,0.5851262478584667,0.7777004236021768,0.7966141861879256,0.6988651760472246,0,0.7830019799771998,0,0,0.7448106226562767,0.6353453768809036,0.8279926222174159,0.8730030046737962,0.8587665041533332,0.4003519013585891,0,0.8434718095931062,0.774687978851925,0.8645388637461593,0.9145944732429289,0.8945944566799694,0.6849617765477671,0.6362098392701265,0.755409362217637,0.8657752663880753,0.7859076950792275,0,0.6810884076154439,0.8222749644268708,0
arabic,0.7001506244410458,1.0,0.6566276459970315,0.8044742074330387,0.892832775005835,0.8743717387084773,0.7592263935207312,0.6962420035914434,0.5356847041846605,0.8590763009013627,0.8818643728833934,0.8068555400410565,0.7670790120723737,0.7578362628352712,0.7351938195247826,0.5973381719117604,0.7480342670153707,0.8278403892939591,0.7439153153524568,0,0.8164154953284163,0.7220275278018498,0.8460941117443526,0.3610521217948876,0.6484701752887395,0.833679969248333,0.8079862470698154,0.6016440754697372,0.5220897591489444,0.5942912723836925,0.878585963962465,0.8376633785649764,0.821612672031561,0,0.536120135053807,0,0,0.7489528208720132,0.7122873835709185,0.8235962136777931,0.8119985226186237,0.8540845756563411,0.4182112211903942,0,0.8847755710151054,0.9103028502502835,0.8640657211409696,0.7512050861514353,0.7409501954114713,0.8802901534398837,0.5272659145667414,0.7257931572349119,0.874299938389539,0.785348439937322,0,0.5835254141790206,0.8076422696682427,0
armenian,0.7551997157905961,0.6566276459970315,1.0,0.8395791494160616,0.7936875269806088,0.7255374095090407,0.649973102320665,0.642969318721783,0.5877386645934022,0.8218162045834093,0.8636356928924309,0.8673046799482254,0.7719697186006873,0.785689221787186,0.8640844298475785,0.8861483587402419,0.6120861707723189,0.5931294281217978,0.7599581981607122,0,0.7469487521761425,0.6748450634017427,0.7030574347369208,0.5327150996496208,0.7969356672100435,0.7184673300041882,0.6098999613140089,0.5197372336014398,0.8300446959198017,0.7471086054561148,0.8094934239511956,0.8566835318049789,0.8091084982212025,0,0.8059298988787412,0,0,0.8270655305329938,0.7774701587607848,0.5439726573354712,0.8505279961918842,0.8625919638689631,0.5176500079694607,0,0.8293096195307538,0.8023193094448284,0.8561593941266777,0.6466260177189923,0.8566154162878793,0.7512592536146513,0.745619606388441,0.9251892292049859,0.833443562439511,0.6661727717159704,0,0.6794543145522807,0.7420122133835215,0
basque,0.7489584026871935,0.8044742074330387,0.8395791494160616,1.0,0.8789408110801706,0.7522565769614772,0.7185345418924567,0.7888902114632651,0.6402883257304839,0.8741238852076995,0.8765582108739048,0.8506376478752931,0.7918983996000344,0.7742860962365783,0.8989547354534746,0.811059964075592,0.6567191391666222,0.6997372268085359,0.7790870136309311,0,0.8221119696495416,0.6311988732530318,0.7685687766452628,0.5065979371029992,0.7301466095961069,0.7749793932236967,0.6800159516578607,0.5655784239258769,0.6408121754810697,0.7646030811081426,0.8589680498239601,0.9102721662641624,0.8841740143757706,0,0.791797642618752,0,0,0.6939080830174944,0.7501000224750135,0.6583782673995775,0.8215347199975089,0.8537843328554319,0.5212661102771196,0,0.8753615049892509,0.8906834401044054,0.8900398540823687,0.7286860632216626,0.8272947636968763,0.9185196034923355,0.7748894909799463,0.7792113253440779,0.8624811520607383,0.7076308546557225,0,0.6630124359396367,0.8094198974339792,0
belarusian,0.7649887431617006,0.892832775005835,0.7936875269806088,0.8789408110801706,1.0,0.8608842518100988,0.7631235125971461,0.8075951016610422,0.5716523047157801,0.8938630055544997,0.9546564623319751,0.8941213592443161,0.8124380319888269,0.8298020881249748,0.8363343088162835,0.7404066106831909,0.7453084225245673,0.786729961194097,0.8037239472658272,0,0.8555245061395598,0.6845089722738056,0.8355022014902083,0.48423972232981655,0.7887359579681067,0.8512737875118349,0.7346924844071908,0.5778854593157058,0.6171200451310128,0.7296607154929199,0.9520921269278284,0.9367009010011051,0.9062131643911606,0,0.7038838773702044,0,0,0.7550299268566062,0.8529360614142516,0.7561254534317582,0.920735125805899,0.9236640908499899,0.4343654892407982,0,0.938852677238583,0.9542433663027824,0.9295718199063006,0.7735562402199294,0.825743990681284,0.9210661130658725,0.7127898191877519,0.7928806673630191,0.9642723650866748,0.725361618981354,0,0.6526764502165489,0.8505081697708708,0
bulgarian,0.8475594808077541,0.8743717387084773,0.7255374095090407,0.7522565769614772,0.8608842518100988,1.0,0.879925445431522,0.6355884010582055,0.5451749822667847,0.926462791211036,0.9020661764172513,0.9190065521223053,0.8875784433525696,0.8845378635056877,0.7497463683519773,0.669708608566988,0.8330473671653955,0.8280248550895267,0.87909325389155,0,0.8642711402288505,0.6956719176006362,0.9222007750034061,0.3972317134691135,0.7409164018321279,0.9141954039502836,0.8535687715031633,0.7203779420277332,0.5750871212888238,0.5828264196832752,0.8474213472000947,0.8237616171717568,0.7296617969603405,0,0.6250982822141471,0,0,0.8394592181025549,0.6757023908136545,0.8324056540984995,0.8918660787888767,0.9139145961446571,0.4020679285250658,0,0.9385995767962326,0.8683211899585431,0.9384755484587552,0.8568776186924306,0.8782472674785625,0.7500221472952175,0.5533539746307603,0.7430428731946935,0.9210463391210797,0.9084674204596832,0,0.674960616265163,0.855311718729327,0
catalan,0.9208991330257901,0.7592263935207312,0.649973102320665,0.7185345418924567,0.7631235125971461,0.879925445431522,1.0,0.6157411524525147,0.5222092319618885,0.8479308673297761,0.7942796299416321,0.875167411024551,0.9452097958866981,0.9006981730992719,0.6958325541812423,0.634884187560658,0.9603936448862334,0.9155842363030259,0.9403187021915506,0,0.9209053497129792,0.6509417939455964,0.854926296028384,0.5437927667668028,0.7099603341751772,0.8994070732703406,0.9534348763991722,0.6917798519500925,0.49979519732576877,0.5580411478751265,0.7403529736534724,0.7585892895679969,0.6515603285428071,0,0.6549803022614203,0,0,0.7578588804484707,0.6020601291104283,0.9219112941352856,0.8153551374305742,0.8171551824829064,0.33953125430267567,0,0.8370776105517521,0.7581364832453639,0.8478562447569157,0.9952146829619576,0.8557269961183356,0.6667868185977466,0.5857626135905416,0.6860219625019803,0.8437538922448582,0.8119306752373676,0,0.6781513172988252,0.8528360303417047,0
chinese,0.5698546691246437,0.6962420035914434,0.642969318721783,0.7888902114632651,0.8075951016610422,0.6355884010582055,0.6157411524525147,1.0,0.5516276535394515,0.7049005824249344,0.7343395766505131,0.6972783576560765,0.6285021588707023,0.7649281863537555,0.7278125889599885,0.6222858670644016,0.5987841277265823,0.617841670033304,0.6260004024930226,0,0.6704744897110904,0.536918931942412,0.7434339118825963,0.4374567094743556,0.8085382613724338,0.650110436496173,0.5676310166924037,0.6565257706036339,0.43268649436337603,0.8497718561205603,0.7470551679369015,0.8093439922961623,0.7484318581437531,0,0.6305463351984691,0,0,0.5927325924821196,0.6781117616825233,0.6223184597270132,0.6948079215399002,0.7018458921097163,0.38567359949551,0,0.7274298232116615,0.7607070088993394,0.7449541912370031,0.6437427969571079,0.6902659987983102,0.8046382675357495,0.7446395240192715,0.6414619798824585,0.7490666202898008,0.5776776887227634,0,0.7873887160137308,0.708505144951289,0
classical_chinese,0.5408985212674833,0.5356847041846605,0.5877386645934022,0.6402883257304839,0.5716523047157801,0.5451749822667847,0.5222092319618885,0.5516276535394515,1.0,0.6451926812432386,0.5887943370330024,0.6575334212584716,0.5587024273220087,0.510477462188646,0.6339300440856589,0.5649362429822399,0.4472039364873327,0.3617345869209054,0.5573983284672738,0,0.5328542706589592,0.4310941402557941,0.46369401899525575,0.33156175066149957,0.4906789921132653,0.5230113051961774,0.45213502694574714,0.274723420483591,0.3430097644543634,0.499502788817169,0.5457619857920711,0.5870444924733667,0.5322716604399834,0,0.6532317376034096,0,0,0.5388639637689041,0.3726565590341773,0.4531015956441717,0.545351389890449,0.5384334406884,0.8683645438560422,0,0.5955408532959989,0.5605751263167961,0.616556399830495,0.5335064864044949,0.6611137819001873,0.5594063148001251,0.6364587145373184,0.5747735063117695,0.5373306205824773,0.48920739733096613,0,0.5741578794705798,0.6425886165319061,0
croatian,0.8608543960871721,0.8590763009013627,0.8218162045834093,0.8741238852076995,0.8938630055544997,0.926462791211036,0.8479308673297761,0.7049005824249344,0.6451926812432386,1.0,0.9277376634633604,0.9631835115145156,0.9105277530671921,0.8856678003893729,0.8810363128274522,0.8199885125701983,0.793159172576622,0.790534170693677,0.9032049878241878,0,0.8950105977366267,0.724629562363171,0.8854779217595155,0.4698797390944217,0.7922013036058997,0.9176180292076997,0.8092777577963419,0.696494068368724,0.6897894895308386,0.665983523835558,0.8797440787618586,0.9061710296056057,0.8460286601063601,0,0.7616572780444277,0,0,0.8291168523522743,0.7137624597749447,0.764110317431456,0.9141266695753119,0.9398229690923068,0.53175412218787,0,0.9706349348532738,0.906550811963279,0.9643409793197596,0.8361704250674815,0.9361280785895175,0.8308951105844018,0.7193572565237814,0.8106894574442535,0.9417350086540321,0.8812876838795217,0,0.7142810570488796,0.9071922439226386,0
