,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7243924491834708,0.70275249345449,0.6445103913048323,0.8240338115424409,0.8407518276723812,0.9204756128782103,0.5171574219606725,0,0.8061490787138585,0.7861868408349212,0.8985978717286213,0.9240061343707936,0.9307353062422237,0.728991893761229,0.6631770093199593,0.9075703303363514,0.9042105447553808,0.9168542052530875,0,0.9460827527522423,0.47085089030153654,0.7366819628395483,0.6005731533402888,0.7600462744132522,0.8789908556674215,0.9232099811753044,0.5246775600559752,0.4783230063612828,0.46214179545013573,0.7866891399265764,0.6798873475897332,0.6405700100750898,0.761277632904134,0.6484374729201111,0.5514820289439937,0,0.6784739032803387,0.7955317702435267,0.9049038264486812,0.874352138613026,0.8233837059386327,0,0.6023999662828182,0.7888674810870938,0.8408366294126078,0.6765354048337403,0.9373560292778279,0.8563110788386666,0.6092538417960386,0.43597706495783556,0.603824719133844,0.8181046503329653,0.7608648410398978,0,0.6483163022940154,0.8950309610615976,0
arabic,0.7243924491834708,1.0,0.6498452523020033,0.7188521803592726,0.8844083062237836,0.867358923355246,0.7075000608845406,0.6844477342528206,0,0.8219331780991017,0.7471483203198843,0.7545255456261898,0.7262803921144633,0.7727793994731625,0.8255194667051929,0.6168033440223292,0.7047835139251776,0.776755747514616,0.7094434580478823,0,0.7075315716104569,0.7001960883542614,0.7760484443086406,0.3752772570889221,0.701500840484505,0.8161072700766802,0.7977380873005276,0.6018094813928252,0.46734728740542486,0.5099963647112062,0.8085146178723112,0.8659360791463399,0.7974198885193158,0.5846014704903855,0.5535503618396385,0.571821052852352,0,0.6897479756281119,0.8195461168754317,0.82677241768285,0.8461740575826756,0.8680689949611785,0,0.44857262976862244,0.838539694974204,0.8792708004146259,0.692521747027084,0.7495288849351256,0.8062494934066596,0.8743632285122438,0.2955183549613422,0.6102918033346462,0.8611687025587744,0.7747763551780468,0,0.5975716499370527,0.8468408693527282,0
armenian,0.70275249345449,0.6498452523020033,1.0,0.8496783541197824,0.8393595618762795,0.7830830650069235,0.7130995988678714,0.5767037872835944,0,0.8851086306114646,0.8704264013582601,0.8678215284975871,0.7560642910698501,0.7664003046861254,0.8336101835167978,0.947975509874655,0.6321587806050277,0.5675796035974315,0.7513646906080691,0,0.6879077835048621,0.5171900068129348,0.6244893844706811,0.5859387277424701,0.7764033125161588,0.6796326233745342,0.6567190962400883,0.4927726300140786,0.8445758957625678,0.6220070377865785,0.8820439770769576,0.7209327760864077,0.735702657485013,0.7889465455585918,0.8153449659066273,0.7924480216243989,0,0.8077781469886935,0.8495708114410705,0.5812382945893716,0.763888274157104,0.8516777159108285,0,0.5799784427335712,0.8764487492494386,0.83931535674975,0.8535868925423371,0.7009431810202122,0.8693041009385614,0.6808382914613136,0.47432743627396184,0.867084921745029,0.8600497219761014,0.7203354471362369,0,0.6493723934812968,0.7759961169608582,0
basque,0.6445103913048323,0.7188521803592726,0.8496783541197824,1.0,0.8732385586958953,0.764094983019954,0.7219649665195658,0.7827402297080404,0,0.8599955585501307,0.8236333552575119,0.8193606706695906,0.7754898632482017,0.7640926373069471,0.9073160866258271,0.873785079458975,0.6489794161135485,0.6005520895845118,0.7813356162646654,0,0.7103894338954042,0.461855668679236,0.6431290858843761,0.6098271807557747,0.8088772334390634,0.7200049991151115,0.6616618674994795,0.5852067338103356,0.6885978708366661,0.7367145068811045,0.9059319236881994,0.8949121519905604,0.9003796392049394,0.7323894518600261,0.7357965432039234,0.7046569106032503,0,0.6151481465579294,0.8335230045566787,0.6353729565184064,0.7716725132386791,0.878975970755121,0,0.569546760810741,0.9035730204865335,0.8505151108581743,0.9121080202115007,0.705271508811358,0.8169473595612226,0.8684845519893021,0.5274259614958073,0.7928586280501222,0.8901280277170519,0.7216699544879474,0,0.7006174928207904,0.8320649349248228,0
belarusian,0.8240338115424409,0.8844083062237836,0.8393595618762795,0.8732385586958953,1.0,0.9572230131160717,0.826306478480614,0.7201510382894009,0,0.963632826942938,0.9129126513493184,0.9288440064158241,0.8630145132629898,0.8911088155883138,0.9225793844675659,0.8268907066535282,0.7814347217936987,0.7516478383185974,0.8650939626184027,0,0.8028692959726718,0.5592675587596319,0.8166956034687746,0.5557478743954846,0.854163758687257,0.8925072456905703,0.813530793983651,0.6253378235580089,0.6457643162133847,0.6236808984598959,0.957333728253144,0.9115044695024699,0.8749493381917998,0.7439257211475754,0.737439011106262,0.734540001079526,0,0.7722296954360965,0.9543241558463941,0.8036030990989087,0.93362046917241,0.9839279215886046,0,0.6054020829189976,0.9680999454851497,0.9778065075970526,0.8759278260902288,0.8474129580472768,0.9458400664867391,0.852039024597251,0.45779991329533454,0.7503621655487743,0.9894881864497675,0.8509190024309856,0,0.7195959326541282,0.9276541515025162,0
bulgarian,0.8407518276723812,0.867358923355246,0.7830830650069235,0.764094983019954,0.9572230131160717,1.0,0.821015582501377,0.6266083860894817,0,0.9367495566839444,0.8862600065126107,0.9020470606899202,0.8418999243745885,0.8932248187342543,0.8346095900360929,0.7343121752488386,0.7865629477995839,0.7676118147900742,0.8307160020414401,0,0.7759891905168291,0.5590132654135679,0.8592351313168815,0.46063658624177156,0.8286028797401959,0.8959649247168803,0.8316614537543843,0.6705671309361163,0.5469729493707578,0.5410646135902731,0.9032924031628304,0.821513105298131,0.7828435042465656,0.6838247866075778,0.6367313023814279,0.6580842711940367,0,0.7837390292352889,0.9360621952333552,0.8189214958763227,0.9490226532969165,0.946993945703239,0,0.5860143592376296,0.9298786321645163,0.953508619185119,0.8172177665102319,0.8585970509584757,0.9373474388767409,0.754678132104384,0.3602468385712427,0.6562923360384801,0.9450010020802891,0.8626477718154681,0,0.670082170636215,0.8993975223990412,0
catalan,0.9204756128782103,0.7075000608845406,0.7130995988678714,0.7219649665195658,0.826306478480614,0.821015582501377,1.0,0.6149287967113132,0,0.8011497742594078,0.7439971479629152,0.9009242062979337,0.9753529320349626,0.9629253394807856,0.7335571268078277,0.7089185172822693,0.9458152414250612,0.8938964737170875,0.9435395850182968,0,0.9254511214101234,0.49101234894502876,0.7661749288702698,0.6798469552457169,0.871042589766023,0.8987921162057827,0.9284721060643387,0.6277472444984433,0.47781771973931497,0.5475176991894695,0.8079069147879239,0.6990475807046057,0.700594629820197,0.8113777138684817,0.5888800041747326,0.5151321483062297,0,0.6978097613978101,0.8125415505974859,0.9111642164817646,0.8432260096445846,0.8152238546964693,0,0.6830022671850594,0.8162797466823315,0.8017945494322657,0.7360245875994015,0.9906817385785937,0.8770909059151294,0.6232643202804083,0.5269976935880033,0.683078303676647,0.8236930249966281,0.7509975806374369,0,0.7279658131394059,0.9310215034984952,0
chinese,0.5171574219606725,0.6844477342528206,0.5767037872835944,0.7827402297080404,0.7201510382894009,0.6266083860894817,0.6149287967113132,1.0,0,0.6732156547808257,0.6108968926826057,0.610336750580295,0.6299861575128293,0.6914591225770427,0.7599406054631617,0.6188727987149842,0.5594060851635084,0.5456063139486669,0.6176640048982791,0,0.5828148378893143,0.37170088659852174,0.6996769617595398,0.47325991239811827,0.7442112408795261,0.6384215083867929,0.5504245830368929,0.7086845499708383,0.45594998879076354,0.8567575560341558,0.735727263022653,0.8055286695661144,0.7766061972247164,0.5730323272832016,0.49249905747984124,0.5222627774234981,0,0.5149451796580242,0.6591544077551242,0.6106753514826282,0.6231502286967248,0.7058896604901332,0,0.37845186344099757,0.7057753866595676,0.6851575801064606,0.6741323525080622,0.6132390020125387,0.6560908062593106,0.7796502297580459,0.43936040609070764,0.6271386691993016,0.7297879939067988,0.7595763924426154,0,0.8361379700059617,0.7210497272311315,0
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
croatian,0.8061490787138585,0.8219331780991017,0.8851086306114646,0.8599955585501307,0.963632826942938,0.9367495566839444,0.8011497742594078,0.6732156547808257,0,1.0,0.9245207593611923,0.930091462817104,0.8288232770441761,0.8598088175185075,0.898778440429996,0.8593639317290573,0.7463416198299773,0.7011266646582821,0.8418105503089568,0,0.7714835752257502,0.5496941646223994,0.7742606424285038,0.5469978245179722,0.8515428887963087,0.8382699638051515,0.7682909045591048,0.5945281094552713,0.678359076815042,0.6373663861127048,0.9501767337199909,0.8460666188996795,0.8121386014569164,0.7395241422774611,0.8151053474800224,0.7920711792931785,0,0.7528769071265876,0.941707000409745,0.7360542134975949,0.9180522008154104,0.9532628663643257,0,0.6242956225755998,0.9651638725851819,0.9555245459408975,0.8786248631358383,0.8171818012688415,0.9416956299074746,0.7905661425927665,0.5157704700193101,0.755520493237156,0.9596126968854701,0.850496524028204,0,0.7233656332445179,0.874585868771069,0
