,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7664337740971701,0.7191181653730025,0.721113357967175,0.8813759987336462,0.8962617231600856,0.9305546883077939,0.5874623419615037,0.6268140224713993,0.8773936264419517,0.879317225625642,0.9401656648759342,0.9019514865473706,0.9340594641467803,0.7838734492747503,0.6247381730426645,0.900074328218376,0.8768106510224412,0.8846413871041299,0.38391277637278065,0.8994732545850863,0.5814214228549671,0.784737979692717,0.5678147417518544,0.8116816362836996,0.8118968609500646,0.9125862563807027,0.5616570919129696,0.608843123393025,0.4673127449999764,0.747371163855522,0.7855911277422005,0.7251770776510411,0.812851005584193,0.6890871456489683,0.4758598746707362,0.4812166858104645,0.7923558288895939,0.8129513786511411,0.8811012476029632,0.8930695188018767,0.8690981069846107,0.3353544676808142,0.8631323519832499,0.8719250704796375,0.8622476899751099,0.8667140354245817,0.933101336081149,0.884285745445086,0.6966562382818897,0.5707761169102882,0.7404415479371798,0.8429896125069434,0.7787399520052064,0.5382923848629774,0.6645474629865671,0.8621816458054548,0.44087035864725965
arabic,0.7664337740971701,1.0,0.5727634433393932,0.7484490282172258,0.9209415286474626,0.898321635494576,0.7460267129748076,0.7643249534739462,0.643227353435672,0.8198397543480174,0.8513095365872564,0.8119118241657428,0.71882429294424,0.7496620682670201,0.8138240642982387,0.5191616862405609,0.7552944647066077,0.8143363006009416,0.6984377426426683,0.6511791921494061,0.6896220185965412,0.6689148267262673,0.8154645815826831,0.339392708037705,0.6659428284099714,0.6915054960721019,0.8042830604381803,0.6009537407974418,0.5012816034725451,0.4675325685365574,0.6939636912932011,0.8158757711055753,0.8364043350200765,0.6074001563233578,0.5200185224492152,0.3967201300813275,0.46471236742852384,0.7244607244815844,0.7877952843169408,0.8299697341782448,0.8169079652092014,0.8797938469318256,0.2935880179111719,0.7176238454016349,0.831543494387132,0.8994442010899684,0.8555943666962081,0.725521344377672,0.7749019887304907,0.8759333597917137,0.53488340383893,0.6762849624996617,0.8250672748550191,0.8144744770986337,0.5182514283716533,0.5939247991327916,0.8370055018990169,0.6206963361405236
armenian,0.7191181653730025,0.5727634433393932,1.0,0.8638582559873671,0.7589130483278196,0.688797761136276,0.6475246250239987,0.6165585562889615,0.4677435524558031,0.8719498438413963,0.8488251284126919,0.7985838185865943,0.7345482482193405,0.7499951931596639,0.8395003635336135,0.9132365086511216,0.6310296851951706,0.5225210202689934,0.7142157646852294,0.33665600570111665,0.6512503769674313,0.5340910677063586,0.7364429923462482,0.5907215122087908,0.7793646886936011,0.6218521970574357,0.6401132117790548,0.4445187375274331,0.8925442467050032,0.5747683591352264,0.8455530637508402,0.8510523294956184,0.7812993848193518,0.8035513732403101,0.7752952194942416,0.853646616362365,0.46577974567126196,0.815920049535433,0.855003733392674,0.5607627733212974,0.8257907087072417,0.8259941489253813,0.40541102710303434,0.7323692231470564,0.8664826511969083,0.7996013398117674,0.8516064620088869,0.6588014222362731,0.8851487157090808,0.6982793329384318,0.7296584048007875,0.9098374004799012,0.8527123891313189,0.6137294320960731,0.7956125567805881,0.6081907243029588,0.7740805157274075,0.5744468895287355
basque,0.721113357967175,0.7484490282172258,0.8638582559873671,1.0,0.8473684262445371,0.7495230152080384,0.7090495579020678,0.8310904148576963,0.5886798800918883,0.8987449619290921,0.8864780271090074,0.8062491333965666,0.7955462105471378,0.7651902484190494,0.9250692633308548,0.8184119287011016,0.6910711933928594,0.6314541457253472,0.7584771499865842,0.5380332264538615,0.721719717328843,0.48716170260836206,0.8451744784794235,0.5908268350550927,0.8059346578798563,0.7019367037443422,0.6970928739121652,0.493046215405438,0.6662827802256192,0.6682510187921622,0.8676190788772548,0.9451539342853802,0.9261582873977996,0.7144833136694043,0.689933935437367,0.7381682163020886,0.48893584778853866,0.7048395203222674,0.9017855820657396,0.6872680321499168,0.8964144401787572,0.8749937378165253,0.4250665025082069,0.7366796994774968,0.9103313788437689,0.8574456701674631,0.9066976368287188,0.7103582033761258,0.8734277561849983,0.8495777108081037,0.7026786302360482,0.829063536099398,0.9000678224055559,0.6902681352720177,0.7690776188531127,0.6297770116650843,0.8919308216553389,0.7316196559718423
belarusian,0.8813759987336462,0.9209415286474626,0.7589130483278196,0.8473684262445371,1.0,0.9619673364284445,0.829062991170692,0.7602321524880221,0.6964828548934464,0.9470804611413984,0.9615342688349138,0.9247110604050788,0.8226299940860949,0.8647480432656925,0.9096639615433961,0.6999660041817919,0.8109981820737704,0.7862892558122874,0.8159517710156236,0.5752126762902524,0.7656431768329048,0.6094557806824359,0.8839125680105602,0.47840973828806543,0.7891473864730796,0.7560825419645982,0.8327197610653738,0.6040295693430607,0.6683654778973811,0.5513973218039738,0.8330891954923442,0.9215838292026968,0.8790871075994724,0.7424330384238522,0.7152517508652889,0.550756817169658,0.5428466897617948,0.8170313103613809,0.911152824258723,0.8213201535127459,0.9174570266259067,0.9714765362152072,0.41223014933989166,0.8152382148665346,0.947697005160955,0.9694996768012525,0.9547226961971826,0.8204782886139582,0.9178103259319543,0.8568166055038257,0.6678753470135605,0.7879890609509014,0.9501227806086139,0.8464125237283372,0.6286432039071119,0.6853100127794415,0.9073968846808992,0.5931024396518287
bulgarian,0.8962617231600856,0.898321635494576,0.688797761136276,0.7495230152080384,0.9619673364284445,1.0,0.8507459396518506,0.6722001113448344,0.6544778134297949,0.9148142247283316,0.9315334715741193,0.9346155202387166,0.8295296605487562,0.8754087346515519,0.8212277579922141,0.6255216071343,0.8294283477584877,0.7904733714206661,0.8007416388394735,0.4689669741056457,0.7323286548410115,0.6156323386002888,0.8771114611762104,0.4280680822781986,0.7949160193965014,0.7412249860860379,0.8488903278428791,0.6622213711124977,0.5968939755605562,0.4828378875561153,0.7871711296061743,0.8284069892101575,0.7868035832640524,0.7265602728757946,0.6184481399206574,0.48120568452180423,0.5051803384526338,0.8440973354293277,0.881893115566586,0.8440126526810395,0.9024195719649993,0.9378664579296628,0.36256567257418637,0.8160954863556896,0.9191581106828651,0.9401192459074145,0.9152097264301069,0.8389855206827666,0.8937708782527268,0.7537709115760657,0.5774347613770953,0.7341099964318567,0.899103218814809,0.8740031749674687,0.5523765754102236,0.6823827688624641,0.8790278996761536,0.502157199658246
catalan,0.9305546883077939,0.7460267129748076,0.6475246250239987,0.7090495579020678,0.829062991170692,0.8507459396518506,1.0,0.6225745383019503,0.6052411574008727,0.8148075620049351,0.807737498848215,0.9328642136204179,0.9430667147808094,0.9584454729953874,0.7255766201967032,0.5905110546199633,0.9515737350467393,0.9000768318236374,0.9029304416552585,0.37845664460471673,0.9092350266361159,0.5723886051952943,0.7873668473326504,0.6273064370743529,0.850099744514496,0.8871464792858726,0.9378118653642297,0.6441359370879093,0.5204768889488195,0.4862754512864839,0.6952583556160349,0.7374506620805221,0.7035416781764475,0.8267059524300476,0.5556485120971026,0.4587513331201825,0.41627408604479055,0.7684669528435917,0.8001269292443952,0.9250490718345176,0.8972937872928719,0.8123138818369326,0.2949689245730919,0.9138063621231031,0.8293568940205224,0.8011617962681952,0.8063536625815715,0.9938300904472064,0.852237857806027,0.6405713004559691,0.5897350969105858,0.7114317996419246,0.7967266542990638,0.7830226625139594,0.5005360938559416,0.6919290197704719,0.8893741751467461,0.46157067381614725
chinese,0.5874623419615037,0.7643249534739462,0.6165585562889615,0.8310904148576963,0.7602321524880221,0.6722001113448344,0.6225745383019503,1.0,0.5826637687592832,0.7285912510900425,0.7539076775774698,0.6744143594373293,0.6358986263724173,0.686567838189166,0.7879361101911204,0.6196316249071622,0.6325258061337105,0.6180054216715967,0.631212140545701,0.5336801503637724,0.6305856979013814,0.3986969714968797,0.8082196149147377,0.45923728198216535,0.7020999956680082,0.5993616096785509,0.6188965176483235,0.5781971010708563,0.4347801681922181,0.7411125128605457,0.7219488164886003,0.8203200457032607,0.8645842856599029,0.5792953951088815,0.48031109369244285,0.571514481221292,0.3841543021687077,0.5866172414094997,0.7391932952273788,0.674000334245146,0.7827684252992616,0.7793191174330808,0.31684579900706045,0.5888228726822807,0.7374921464894973,0.7705857288487692,0.7924078064625645,0.6171003756883355,0.7258367012062542,0.8116675982973278,0.6474974740805124,0.6696134431910021,0.7732013483827616,0.705874019395208,0.714982114215518,0.7053284458088641,0.8033673707165878,0.6683864924017893
classical_chinese,0.6268140224713993,0.643227353435672,0.4677435524558031,0.5886798800918883,0.6964828548934464,0.6544778134297949,0.6052411574008727,0.5826637687592832,1.0,0.6553469618824017,0.642119534743138,0.6762177003296067,0.6217692534579689,0.5641501944080346,0.6588303064519028,0.48008615343106475,0.5494925303526064,0.501699736932533,0.5726096132733494,0.5257497279245862,0.5513536165585519,0.3973744168166789,0.5376751133458902,0.362021527664908,0.5830233072525732,0.64782696686647,0.5208879550246732,0.3816929267623874,0.40089492667438326,0.4675243116206685,0.5734335359416937,0.6466080064581989,0.5975942084363077,0.46486694734261896,0.6664919780286086,0.46568158265897397,0.7515678636157375,0.600903120279853,0.577865924911087,0.5595529161693578,0.592120428305995,0.6117837726392492,0.7689713568668384,0.5991025910207648,0.6512449948211658,0.6501078099466536,0.6376863587347794,0.5757312236112372,0.6335918299544363,0.6673303833749812,0.6823921140526181,0.6010361802995061,0.5581068780007437,0.5485182032064485,0.3870801116923482,0.5578525440520955,0.5755960190306905,0.5050530744583034
croatian,0.8773936264419517,0.8198397543480174,0.8719498438413963,0.8987449619290921,0.9470804611413984,0.9148142247283316,0.8148075620049351,0.7285912510900425,0.6553469618824017,1.0,0.9648373209271786,0.932849037838387,0.8518947116221441,0.8713200956360722,0.91334396471021,0.7762604616668163,0.785361311550642,0.715763704960046,0.8267633573325519,0.4639440939150165,0.7523631200675281,0.602468013783059,0.868154039862336,0.537941307448471,0.8631401429211372,0.7454811782071997,0.7981782916396164,0.616459889297022,0.7209436630271833,0.6095867564954766,0.8611258452833889,0.9194173493535194,0.8588299053843286,0.769504040036252,0.7958189902927181,0.6659980523545207,0.5682250941475454,0.8329855490882019,0.9317412382736446,0.7654466067009359,0.9354474908363517,0.9526537357472918,0.43905058312702716,0.8172628283554562,0.9895727298474846,0.9447919818273294,0.9734325166151111,0.8178518283237307,0.9416273620257886,0.8139482862207776,0.7086749064435834,0.8405925327632339,0.9517964753171972,0.8235948183118498,0.7092682023193542,0.7069585441189958,0.8873671510442975,0.631771584153787
