,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7765840897697163,0.7256536127864852,0.7515191262946695,0.8269919251514716,0.8992990442978552,0.9621145484399599,0.6059854949858171,0.5380018353422872,0.8812379521042247,0.8780149275535248,0.9461275218031299,0.9551034783822785,0.946381993081264,0.760181341902298,0.6981904449590581,0.9217189831346914,0.8889585863956899,0.9657502558284881,0.35283766533293853,0.9063763718170407,0.6142778562775997,0.7934092908549193,0.5614646818301765,0.7806138830272168,0.8737247908069595,0.9254540090611632,0.5620165750505296,0.5896635407095495,0.49345639951976145,0.7475816629500149,0.800408001742178,0.7479389247108373,0.7907584604102855,0.7289153845366696,0.7049921387396755,0.6752810346026641,0.8057697631929696,0.8266608507757546,0.8943134555669772,0.926482283790734,0.849467169608063,0.3668641425587807,0.7860730935918513,0.8904611871278295,0.859876417528252,0.8818089814123863,0.9594885976000048,0.9213575381497704,0.6803745434563783,0.625459029351656,0.7397702121210403,0.8425121971100922,0.7996431971039437,0.5690756061725031,0.6780633399006819,0.9076704495332745,0.46124592202755954
arabic,0.7765840897697163,1.0,0.5851504475645515,0.7397838100561609,0.836007883675631,0.8859825421041604,0.747061526456272,0.7681828353967258,0.5693352145650575,0.8430854833029294,0.853226440482268,0.8061268030991711,0.7416206255603323,0.7556033251136126,0.834848427040666,0.5924211004444457,0.7595734422854643,0.8259395828089582,0.7580117281961817,0.6104751954463822,0.6795975158490302,0.7181925411269677,0.8276079180812741,0.32888934322908936,0.6642026213085057,0.8195999034429072,0.792032589678995,0.570371402087649,0.4883376964228886,0.4626202039052538,0.719155031440729,0.8926381595915038,0.8381591332486612,0.580720178039895,0.5351165256121139,0.5623096827458467,0.6411828979661663,0.7305712481635013,0.7745293313345537,0.8317029589196133,0.8678731997331858,0.8670450630375472,0.39483494816187503,0.6252077120736703,0.8481804290807617,0.8679579713829186,0.7985543018145954,0.7534690705028193,0.7983283476571565,0.8869826407532954,0.5555309854688008,0.6877057403417378,0.8669796909190325,0.817172003562056,0.4945721375439049,0.5827498881730576,0.8753656622253919,0.4327615820769467
armenian,0.7256536127864852,0.5851504475645515,1.0,0.8251172398362339,0.8211070608951213,0.7217636255799912,0.6596323096484364,0.5455910396899545,0.4918230217079497,0.8455559181716539,0.8314661240920184,0.8203698340978606,0.7505961898385295,0.7623814368519481,0.7708383081386107,0.9355037114113662,0.5533279918822447,0.47901878297205536,0.7117876552015919,0.21890547081452025,0.5902757753585127,0.569616555532413,0.7014556945041142,0.5351086201467685,0.7195954737134225,0.6625241632134317,0.5845636660241009,0.39598584025893635,0.892582124228826,0.5812544089014723,0.8209775803146113,0.7319031535357795,0.7278132853035518,0.8057953249246859,0.837239734588911,0.9074255633532643,0.5823978490803206,0.8466188595503434,0.8271972373058528,0.5197959297589546,0.7345358785802087,0.8003026746368263,0.36802512727961545,0.7404138380902962,0.8504775929512451,0.808748794531183,0.8444199355075648,0.6301389529102419,0.8346288139115005,0.6288268984543784,0.7114875506640034,0.9035819557617398,0.7915710017951878,0.7287636689567264,0.7065712887683974,0.5581594750706734,0.7072619003139068,0.5592895382661132
basque,0.7515191262946695,0.7397838100561609,0.8251172398362339,1.0,0.883679913942208,0.7531085618910301,0.7447755096829806,0.8305222674742895,0.5976195870587189,0.8792532723564798,0.8754291853942723,0.8616656634410503,0.8102099319122427,0.7859575512166033,0.9280167058717111,0.8374062317768632,0.6530183250711334,0.6158293174088133,0.7851909839820366,0.4933196511795566,0.678532082091601,0.5682675372521716,0.867054076483578,0.5974429838463872,0.7902535796309696,0.8338987400398299,0.6536562477179073,0.5152338216207781,0.6311513042816199,0.7225377136093813,0.8752474778866672,0.912307041351095,0.9135986318176645,0.709296942453195,0.8119603500535186,0.8232796257473451,0.6180313495901175,0.7205459515883582,0.8686235062739386,0.6559719935433638,0.8552039402109715,0.8728562114330255,0.48450214741469344,0.8097817694322029,0.8949736850606442,0.8892136161770383,0.857655444636953,0.7171629478864762,0.8378552554875928,0.8647941779330784,0.8076084937420192,0.7956854328070232,0.8956113636884314,0.8353979682215463,0.7232622277100169,0.6506808730631488,0.862161240952782,0.6976328709962631
belarusian,0.8269919251514716,0.836007883675631,0.8211070608951213,0.883679913942208,1.0,0.9115835854787433,0.766000980072321,0.7567865175825905,0.5680141086820378,0.9581653695564408,0.9751019634282982,0.903098562692093,0.838549160522986,0.8414841561366738,0.9154749817042523,0.777653576290024,0.7201575337919818,0.6910329562031741,0.8147253865400503,0.4427219423506961,0.6973040672304563,0.6208078957798323,0.8832177154021259,0.516403762878523,0.7597704519256229,0.8370695021601425,0.72374589667744,0.4723950358224396,0.6597458392137935,0.6108999070797373,0.9198745043827158,0.9342243651222102,0.8944014224204805,0.7464804964815892,0.7746139006137535,0.7796960431422144,0.6215512822625341,0.7847371526531977,0.9495132480279588,0.7380472254345364,0.9008525498139297,0.9634901541744618,0.43969817061897587,0.7914029978399338,0.9546743587486203,0.9690231650776404,0.940291764517008,0.7566741573539788,0.8751037211161704,0.8425446521407856,0.6708105195223562,0.795132449536118,0.9859267553275608,0.9031277695704527,0.6726131546711165,0.604254649657372,0.895756910008829,0.6444667615744801
bulgarian,0.8992990442978552,0.8859825421041604,0.7217636255799912,0.7531085618910301,0.9115835854787433,1.0,0.8465986123845306,0.6635461261181543,0.5409252096704502,0.9457850617632327,0.9451877905948821,0.9242696016892185,0.8513199416088011,0.8856851095125053,0.8167508447771358,0.6832554248794961,0.8033495015663162,0.7869728298873653,0.8536528079873198,0.4115560303809,0.7084740700765153,0.6383783319571193,0.8622282863587843,0.4049693172441809,0.7703495323330113,0.8370452685047344,0.808953391714371,0.6090587933840634,0.59128398555984,0.49232743736304757,0.7992782785241901,0.8672464855243067,0.8061695683135562,0.6912488622634347,0.6615258319642731,0.6858006000307107,0.6905071550290013,0.8423167100068377,0.8926889931743319,0.8160063026338754,0.9352141540958785,0.9280363934581219,0.3783180406218815,0.7228095550142366,0.9461930931392241,0.9321166085723892,0.9270617834301311,0.8456561456587963,0.9126653877268168,0.7486804288583113,0.578975846600881,0.7364045075064544,0.9245345715121862,0.8943520487279825,0.561580200753984,0.64529343799777,0.8990441609985156,0.4827976832873799
catalan,0.9621145484399599,0.747061526456272,0.6596323096484364,0.7447755096829806,0.766000980072321,0.8465986123845306,1.0,0.6270558118310922,0.4963435526685712,0.8234846527588878,0.8157505539266402,0.9299643775954616,0.9552127126978871,0.9430929250776781,0.7179301377413725,0.6409121119996178,0.9522666576326547,0.8967404215533629,0.9541151510333811,0.34042552795420067,0.9124234888141387,0.5957887167232604,0.7945193672478258,0.5882280852859212,0.8015501968543155,0.888623366469812,0.936498933574713,0.6240186604922784,0.4990644264833486,0.5142783751686031,0.7027293874472595,0.7609644189871708,0.7246895800988506,0.7676992058153074,0.6539402506946439,0.6288132910189373,0.6017260316809097,0.7824325574596743,0.7968929830211822,0.9209905840746232,0.9266746148884661,0.797736141174433,0.3196812832845508,0.7876453445824462,0.8441129831412437,0.8039571459975511,0.8179792557867908,0.9952904565821731,0.8889106501442122,0.6441307038296455,0.6071717729617473,0.7060391063263338,0.8036203833065305,0.7827064708347803,0.520256054890845,0.6896378118213521,0.910669485552186,0.5154050198788162
chinese,0.6059854949858171,0.7681828353967258,0.5455910396899545,0.8305222674742895,0.7567865175825905,0.6635461261181543,0.6270558118310922,1.0,0.5969964317264814,0.7301491529358781,0.7389146804786763,0.7087979098570277,0.6650801654544846,0.6958857750509747,0.8488572055897233,0.618346530147757,0.6085549875788019,0.6190451001542788,0.6556446876002748,0.6136800896790273,0.5816379303021981,0.46545498898681065,0.8569992754869792,0.4459648172232545,0.7222871637295066,0.7793166811386777,0.5772622447801219,0.6186183147039838,0.382138464748689,0.7628588006534291,0.7293115345372302,0.8712812796583814,0.8678437568704809,0.543782441321578,0.5495377257965869,0.5787508353907377,0.5053059939359335,0.5977460638970268,0.7012126464829764,0.6520434563696731,0.7730925459970074,0.7801768212320233,0.44384650509342116,0.6397635449801744,0.7211399406055284,0.7885230198483315,0.6889936039179442,0.6306188934331044,0.6876209678146841,0.8722410283857235,0.6904972043840463,0.6556334741853418,0.8061106822225692,0.8095102126980588,0.6866454561304484,0.7171610721319167,0.7986072776601622,0.5957131290640484
classical_chinese,0.5380018353422872,0.5693352145650575,0.4918230217079497,0.5976195870587189,0.5680141086820378,0.5409252096704502,0.4963435526685712,0.5969964317264814,1.0,0.6070572004005231,0.5976836429965731,0.5965274409008423,0.5635495841216434,0.4928654663964631,0.6125841730890073,0.5879952757665748,0.44687661902181064,0.411561624444844,0.5480376399505732,0.5155410236361329,0.44714153500101717,0.3213537125318335,0.48752520668425886,0.4056768286398769,0.5661321701270119,0.5702512417371072,0.4286119924885236,0.2554271015137188,0.32434848404458305,0.48071635599299617,0.5932613987070186,0.6430291548407687,0.5992791860284251,0.4296020045791035,0.6126742019787932,0.6213365988984881,0.8280855774756887,0.5210177053009442,0.5242193916496041,0.464162242702206,0.5433245194862331,0.5579149648167575,0.7309571143010721,0.48084655025986495,0.6012706510967543,0.6238944828743757,0.5596490221735836,0.4996725652688471,0.5904631379864084,0.5824437780332365,0.6062200806056515,0.587575153516514,0.5311340430700687,0.5189859226445899,0.5794458174933262,0.5197405469456216,0.5496499545369347,0.23844729961970484
croatian,0.8812379521042247,0.8430854833029294,0.8455559181716539,0.8792532723564798,0.9581653695564408,0.9457850617632327,0.8234846527588878,0.7301491529358781,0.6070572004005231,1.0,0.9722850469817399,0.9377516524892943,0.8628457146916458,0.8852004986118905,0.8948394369757526,0.8061409746570821,0.7520600927043025,0.7172467725204569,0.8604894437251801,0.43284865133820233,0.7144158735175934,0.6449459980029824,0.8754702526189221,0.49879002248807697,0.812696460928569,0.8474296264521622,0.7610066044679249,0.570236919473485,0.6817462047140835,0.6168101281941507,0.8658485264010658,0.9081796255014122,0.8693648312547181,0.750226235170575,0.8177985306479463,0.8224084825210298,0.7291186637932499,0.829421641924895,0.9267799078173815,0.7515297794064985,0.9260473234056625,0.9540060983888913,0.4425616105212963,0.8081458624523684,0.9883720350842791,0.9683337554166817,0.978147684929828,0.8079948089548455,0.9299049571771846,0.806752761113066,0.7128981456720727,0.8097024178897038,0.9553225006610311,0.9048166863067679,0.7156551839747898,0.6771603224332046,0.8928154977191478,0.6104107001653253
