,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7988321515339692,0.7289085885010665,0.7466822571178592,0.8564739150197799,0.9260849585918147,0.9217961869412424,0.6524409679666627,0.4686142069257321,0.9190966374506259,0.9189955117439588,0.9454793691688018,0.9504465108810854,0.9290788393339303,0.7682173092330392,0.6979129565521248,0.900497979829198,0.8768356865739505,0.9462715883579089,0,0.9149298623337052,0.7254280191526358,0.6480969391821673,0.5638103976845575,0.7933681852148593,0.9229435277737202,0.9068817206238535,0.6195117081727615,0.6528992673330029,0.5850157225410058,0.5927564119807087,0.8759833545979171,0.764051899161079,0,0.733753716575194,0.68819872145947,0.43494006375301114,0.8137288877072826,0.8865085967884994,0.8634571310712917,0.9319137907366147,0.9003144046839056,0.3387838995876797,0.7550016120104172,0.9229135453010278,0.9247403216878103,0.9264858925377344,0.9262628504450785,0.9108647963376637,0.7227884580103405,0.6386213094723762,0.7781812849789227,0.9025210634120151,0.8320067668120802,0.6012278773464581,0.7356488780257048,0.868815870193659,0
arabic,0.7988321515339692,1.0,0.5265502080989152,0.6578696766664215,0.738819153310605,0.8262470950640467,0.7648520253925306,0.6970284037852228,0.41696379377124604,0.8360211560685847,0.8552130851474633,0.8091046867947583,0.7601139361643089,0.7342408427924606,0.6499501896918409,0.5179647969422491,0.7529882286871487,0.7900755841299831,0.7442003532492169,0,0.7787103115878766,0.6844629530118665,0.6878740907606476,0.3406426304350386,0.6582081869062846,0.791906361026341,0.7663501765485731,0.616071931775145,0.5008163753403876,0.48936135749754983,0.4837163574071879,0.8187160381557431,0.7329605749589079,0,0.5074932915345443,0.5135905333447125,0.4642804267092447,0.767541246363636,0.7420941212983042,0.8362925548579573,0.7821182668050302,0.8410743361523935,0.32608500778250976,0.6290371874206367,0.8512626257617536,0.8065030437845799,0.8463311172118232,0.7590731746401909,0.7741080463402252,0.8738516031588168,0.5445147156372742,0.6730418256831671,0.8419268124239139,0.80319141028335,0.46820745227331384,0.6052299332183102,0.6770609728073446,0
armenian,0.7289085885010665,0.5265502080989152,1.0,0.912933639388984,0.8480919139516041,0.7937234606130764,0.7012222558429583,0.6429483770209861,0.44202918842651556,0.8289716291943198,0.7784752151032058,0.7763847311563394,0.7623563503891663,0.8025596844978815,0.9189353663432115,0.8867683804067145,0.5630593959353271,0.486683980429481,0.7484231132670343,0,0.6502443998775634,0.6874808861695257,0.5284470179109085,0.6695751231394144,0.7451628707836253,0.8073536886630248,0.5916826998870003,0.43740645805782524,0.8690114570953821,0.7691580101593308,0.6493096539311356,0.841089692916651,0.8620880174809354,0,0.8315105088764897,0.7922833558016407,0.3624367855582212,0.6563382731956263,0.8545148024249692,0.5169698038164867,0.8045048438948049,0.8319721439290639,0.34920489449515346,0.7609053739695667,0.7887632528355178,0.8181319499662728,0.8159806418505376,0.6344239123513031,0.7628869021096518,0.6538752944579487,0.7574756928263567,0.8976826619462881,0.8450174793104335,0.5637557585017458,0.8143748787921365,0.6008475611967763,0.7498592480167847,0
basque,0.7466822571178592,0.6578696766664215,0.912933639388984,1.0,0.8495139628550287,0.8148867256994025,0.7877225787865673,0.8022445706717849,0.5378767481850504,0.8396238853958965,0.8177153106277618,0.80783875115551,0.8012871713983912,0.8100503332532135,0.9488210013974728,0.8857058178781925,0.6315471670767502,0.5875429342090387,0.7796257153320537,0,0.7389836107435451,0.6837141756550346,0.6410336897524008,0.697802600255426,0.7610323728390732,0.8386588189422081,0.6319210555678545,0.48064932864006893,0.7356644443992848,0.8342891354272084,0.587889004554593,0.8946263437492886,0.924902059945286,0,0.8226445228239702,0.7996150562127382,0.45237608424056736,0.6314094436318868,0.8487841560549324,0.6407807528255809,0.831297399539486,0.8518870016609903,0.4406770961480258,0.7954953662962048,0.8223368259918497,0.8249190552361556,0.8560240740025685,0.7190572354546994,0.767166493337815,0.8166545126732988,0.8206114251757585,0.8773555955696538,0.8903610956594264,0.6127270833329983,0.8430791850303715,0.6649286268952638,0.787274203937561,0
belarusian,0.8564739150197799,0.738819153310605,0.8480919139516041,0.8495139628550287,1.0,0.9006951590850502,0.7846040932634051,0.6709919157984918,0.5321166481498727,0.9238655309109894,0.936658985741848,0.8402812326132147,0.825582144416267,0.8314715134821791,0.8468357847699085,0.7552347528296021,0.6997999536137754,0.6570805906273808,0.7931871553893984,0,0.7520013508909907,0.7183665192474938,0.6808241182637177,0.5894275311426358,0.7553880926428023,0.8522324563774286,0.6761618798252544,0.4282570464965269,0.7189238116505394,0.6800384156670086,0.6209401798214275,0.9027481292966729,0.8784528505367001,0,0.8672737759211858,0.7511380586739329,0.5098144850546815,0.7074055818663102,0.9028898673820974,0.6816722999405929,0.8358408562225648,0.8908305430013792,0.44895113314517654,0.8075217984133833,0.8927821013083591,0.9279113361712856,0.8942226564257044,0.7434972521979978,0.7996614836047408,0.7471675048175707,0.6739136267463665,0.8383665186648763,0.9272847089502322,0.648104118773053,0.7641538826724141,0.6301841683794898,0.8748066698071758,0
bulgarian,0.9260849585918147,0.8262470950640467,0.7937234606130764,0.8148867256994025,0.9006951590850502,1.0,0.8843499676254688,0.7090976254587669,0.502444018493903,0.9642493942712925,0.9450494641747166,0.9453285030785492,0.920104752579976,0.9142210016171932,0.8310427739255116,0.764091140479251,0.8175619405214308,0.7571156422389779,0.9095634567002198,0,0.8218967944401305,0.7514177667432226,0.6978383716179589,0.5584799593936377,0.8355884170907124,0.9314242767532913,0.8197523602691185,0.6630249200197953,0.6989038554148559,0.6727632685059793,0.6268878613847984,0.916423119259966,0.852977864250756,0,0.7457639077846719,0.7261769686645494,0.46353709860253883,0.8499065240433266,0.9356985690055615,0.8034771093487477,0.9547786893573613,0.9454420096975187,0.4507421796091151,0.8115722833766061,0.968664948326762,0.9522153647520727,0.9617437614316823,0.8506125658709862,0.9366616901420941,0.7723558772893762,0.7003284570888011,0.8129415175339761,0.9507743397975204,0.840857538771957,0.6732129465695109,0.7368763775451259,0.8298873923504808,0
catalan,0.9217961869412424,0.7648520253925306,0.7012222558429583,0.7877225787865673,0.7846040932634051,0.8843499676254688,1.0,0.7408234942353921,0.483744751759202,0.8441511523079402,0.835153776918625,0.9339986790314099,0.9552312276631698,0.9275506154728953,0.7553744565179394,0.6932769991332856,0.948698674599736,0.901763058548302,0.9468188555499467,0,0.9352411719572185,0.6926618907255561,0.6322899723064903,0.6674241133100357,0.813208455418159,0.9260513961073712,0.9266619780873769,0.6777135577829214,0.5910592497604147,0.6478308774664316,0.5019782358564981,0.8194546092294747,0.7706098311289596,0,0.699809325865937,0.6968900044437214,0.3568825248464973,0.7785819373131441,0.8580390173320263,0.9290942597251987,0.9297652644158857,0.8583994582009203,0.3610635732723167,0.7991094253573563,0.8691999671510728,0.8516211934403264,0.8869914836784836,0.9858660238850141,0.8799108865755895,0.7152472821290423,0.6968997187539951,0.7729312148251193,0.8853378376011937,0.8055066613319514,0.6661260616708707,0.760930544277357,0.8735225040520439,0
chinese,0.6524409679666627,0.6970284037852228,0.6429483770209861,0.8022445706717849,0.6709919157984918,0.7090976254587669,0.7408234942353921,1.0,0.47814354262437825,0.7128775457809858,0.7115661606465992,0.7312803975185393,0.7004660917800342,0.7894404694862895,0.7507198784326059,0.6670690473577249,0.6107289200968772,0.5939207540107927,0.6711943278754124,0,0.6668253699290173,0.5680779573382332,0.8186320640893702,0.5403550477642536,0.8397169059548752,0.7118880416984443,0.5941658577931183,0.6400661118016203,0.5181398581024779,0.8305981265861494,0.46551271809123124,0.7521373661886915,0.7757713536904921,0,0.6092221567871078,0.6600307698131008,0.3425329682056815,0.6374402364234932,0.7013386547737652,0.6606064962696574,0.7275941019409576,0.7610347286893718,0.35192447757934314,0.6265345245638061,0.7175257941908455,0.7005138145029949,0.7630343102516686,0.6844632905408345,0.6741996965401461,0.7791218098529635,0.7219006176777832,0.7306813599545171,0.8019295421341736,0.6789663652243806,0.7596100861566718,0.8155352523756018,0.6259548593082596,0
classical_chinese,0.4686142069257321,0.41696379377124604,0.44202918842651556,0.5378767481850504,0.5321166481498727,0.502444018493903,0.483744751759202,0.47814354262437825,1.0,0.49889502253239404,0.5060005188293633,0.4885232330901557,0.5102740503351852,0.4130161139955429,0.584504126357407,0.5457372214686613,0.41282972198363477,0.33573237474272993,0.4580840162565952,0,0.44291931481025804,0.388701341458588,0.5456750602688873,0.39890094852204344,0.4328425541718528,0.5089779274742949,0.3702382922066311,0.20050806462226284,0.2703384453655508,0.4855561612926863,0.6648020575875492,0.5922032439300544,0.513174507194108,0,0.6260913339181899,0.5368912338357386,0.6040526622989414,0.4696883267492258,0.5116294807118936,0.3843981008800542,0.4478130789699193,0.42369888327626837,0.7212110113406384,0.43835838120258797,0.5032671039350856,0.48347485824518144,0.4648492310439714,0.495334718328367,0.4555605321735774,0.5510030466223234,0.5773928115685576,0.5210651137121202,0.4677490529176465,0.40982440074125326,0.3940327826245381,0.5163286921822929,0.43412881492867056,0
croatian,0.9190966374506259,0.8360211560685847,0.8289716291943198,0.8396238853958965,0.9238655309109894,0.9642493942712925,0.8441511523079402,0.7128775457809858,0.49889502253239404,1.0,0.9601324925635188,0.9375105693466668,0.8931787221694641,0.9051702384968314,0.8783728496461917,0.7897244145852496,0.7748319831184431,0.7182826517879637,0.893713448916728,0,0.8234072908859876,0.7241022039043457,0.686576792280719,0.5398340552954483,0.8209772807544509,0.9226760486913455,0.7877653473653717,0.5961678190699117,0.7377034885476212,0.6721419583908033,0.6793564635466717,0.9421817543104556,0.8676352319128255,0,0.7724678115612794,0.7271762059321231,0.5249635911909836,0.8234785760998067,0.9256957363570736,0.7518035679967678,0.9348997825902463,0.9612255209106094,0.38300962121939464,0.77469530374239,0.9807441352162604,0.9596701102165035,0.9802761604137962,0.8222389879461269,0.9186207725442697,0.8079909554246009,0.7020358324323125,0.8474371198879532,0.9634063923462339,0.8028768856956411,0.6808396131779859,0.7165854438255301,0.8334383364223327,0
