,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7512818512080598,0.7305852174123849,0.70934147367118,0.8511650310136734,0.8962725090566058,0.9413372808626541,0.551343879462899,0.3860688495867341,0.8847393311439661,0.894395033274994,0.9157334268720861,0.9133659523175003,0.9167922400879337,0.7764430214338789,0.703429729490794,0.8902026843468536,0.8890071568544295,0.9512588908657131,0.45533423322463407,0.8903095131084312,0.6136134791313429,0.835642403583038,0.5406791756758121,0.8192644773451196,0.6069536671673192,0.907881681684271,0.5826724408509761,0.6186824708800174,0.48705816265701923,0.7746987903993189,0.7746665018611264,0.6933723642321288,0.8001888160736738,0.6729397207198042,0.4813311554149708,0,0.8177778513327791,0.8461335016835012,0.8742314615187817,0.9133920607085496,0.8575541922606228,0.4040725972172274,0.8273680488288426,0.8787929851519807,0.865718177543996,0.8535712716981271,0.9415807875625463,0.9178665515254073,0.7005605085120084,0.6225883340780322,0.7117245758606316,0.8052460705894492,0.7960295950997629,0.6254407631877011,0.6297186451203174,0.9087434921765186,0.4292325305159768
arabic,0.7512818512080598,1.0,0.5580619269483754,0.7610350854076791,0.8615492761110868,0.8734124204162391,0.7266076522509031,0.7205115468971606,0.4236036133225585,0.8303173678115411,0.8646428773132092,0.8159457610997964,0.7312194495232218,0.7295308410647506,0.8268363594341736,0.594820135132256,0.7595920659124179,0.803387045864404,0.7417472031940969,0.5096442996416554,0.6862680867638672,0.6949436552291371,0.8058527493163646,0.37697234003462127,0.6976211411191843,0.48606555909597127,0.7748475388469054,0.5679123961565262,0.5041213742508108,0.4802403537325627,0.7219599128799983,0.8501862066649557,0.8426832548723193,0.6222986503284648,0.4794254197102745,0.4574711735551165,0,0.7133086620762659,0.8000687656785263,0.840621614237418,0.8551828489129486,0.8628546795509144,0.45959192713747615,0.6694712289262856,0.8309592474803372,0.8449865385590357,0.8249611518235358,0.7457934906651592,0.7769720855796944,0.9092999560644457,0.5581827459346609,0.6758275822706122,0.8001160353672113,0.7650171889814874,0.6136783738500204,0.5255083894034726,0.8950026408969269,0.4900407549359835
armenian,0.7305852174123849,0.5580619269483754,1.0,0.7639439433395876,0.7901556482006085,0.7183928751575178,0.6365030278675932,0.505852809304557,0.41120601243523225,0.841237527529082,0.8034156503320925,0.792934170093482,0.7206875947016051,0.725380667136917,0.78105806948257,0.934282929746739,0.5205247501153542,0.5072491644421195,0.6938038803280945,0.4605254983400634,0.6384017322025834,0.5523497764456088,0.6199729372523296,0.5158513453106629,0.7044749528187302,0.58520388379974,0.5862577079445952,0.41314721094859025,0.9223046052626246,0.5686330466456538,0.8090060758343561,0.7640751885678013,0.6958450113310387,0.836440848822938,0.7835059566492173,0.6866790497375129,0,0.8344506999090228,0.7971350279200478,0.5116215090826652,0.70277073201068,0.7783222281980103,0.43530787428410894,0.6927781908167354,0.8410532878981859,0.8169716803748698,0.8308661108747611,0.618586060264112,0.8174810598391268,0.6618447307665909,0.702165790228025,0.8604303906259693,0.7940824597465967,0.5630477596713717,0.7748498606769322,0.5232506762182613,0.6710374562067017,0.5265211405032152
basque,0.70934147367118,0.7610350854076791,0.7639439433395876,1.0,0.878889273613432,0.7586733833713566,0.7320328774574164,0.7891797122797396,0.5005378231538995,0.8583116058128168,0.8400481756837123,0.8657200601507384,0.8238848242325431,0.7699409578698794,0.9240719096398171,0.8170355148446455,0.6363389682141978,0.6110284804124938,0.7750259348863201,0.48503156237065337,0.7275079173553842,0.5491379476021225,0.6961772999172985,0.6498296909689735,0.7992423323182708,0.7291401767134899,0.6668025166912148,0.5035740772461353,0.730118097404335,0.7280231129042138,0.8435082450387222,0.9442184772992155,0.9422325405867643,0.726278474891409,0.659750762946057,0.7998845001309827,0,0.6645321306261031,0.8460644656028196,0.6774950718017441,0.8200054571945801,0.8692369820845307,0.5245784633449891,0.7426530783205815,0.8851092257992872,0.8762347473803166,0.9175768126282582,0.721915072905871,0.8348454707103133,0.8477488680130024,0.772372691122255,0.7252874797450429,0.9008442385430745,0.6300552965865532,0.7692921578722188,0.6086299878008526,0.8348227378711749,0.7669657775858763
belarusian,0.8511650310136734,0.8615492761110868,0.7901556482006085,0.878889273613432,1.0,0.946174384219828,0.7987138946746423,0.7214611355221998,0.45614061262370814,0.9588143915346424,0.9760644671608761,0.9288257155574418,0.8632622669757373,0.8555966325628894,0.9104195063138201,0.7953736613198134,0.7465095131347307,0.736279974302562,0.8453119272451171,0.5034453277242946,0.7553420655724529,0.6409121300708492,0.8433224198366104,0.5427621252730404,0.825398832171541,0.6682330052088038,0.767542519335232,0.5510852146074944,0.7586005984642815,0.6129600314229313,0.8839625710208427,0.9442631034770408,0.906301112699254,0.7885745761452416,0.6863920537560797,0.6972568555083015,0,0.8046017947421569,0.9519747260063101,0.7830746396163697,0.91531662687711,0.974066680228136,0.492968514423752,0.7934446494334968,0.9636141151981679,0.9798328698621797,0.9728233467913929,0.8054719112939543,0.9164775184675412,0.8553642600102453,0.7208885110767294,0.7472702089351745,0.9773994057191472,0.7641945276462624,0.7574418489507136,0.6094388412756241,0.9088908503925971,0.6593383795973146
bulgarian,0.8962725090566058,0.8734124204162391,0.7183928751575178,0.7586733833713566,0.946174384219828,1.0,0.828402679229644,0.638556949414781,0.4310969343993895,0.9479991359459484,0.9673728970853571,0.9232082616332531,0.8451763955714315,0.8617351616280658,0.8225830782298148,0.7037059330884962,0.7931786591510751,0.7840769289699914,0.8439385258588237,0.4327754624348337,0.7297916157484229,0.6379035841308504,0.9010138662311963,0.4428218770892374,0.8228825936773646,0.575455533290126,0.798783367707866,0.6101089015686656,0.6402794139276031,0.514035180756021,0.8324776676249698,0.8615056207653602,0.8054529451812549,0.7755906272067117,0.6256245279054521,0.5564091448946005,0,0.8538821352771149,0.9276350792120884,0.8276574563835423,0.936677209829736,0.9368560276629574,0.44470847790368623,0.8002033649321395,0.9383406835277551,0.9431987137925466,0.9159086055975085,0.843918903374305,0.9070349807291497,0.7801877090765718,0.5874105340202991,0.7023052523037332,0.8978783765726756,0.8339084509230708,0.6834296882068568,0.5960624217039597,0.9126600322331201,0.5419732470885505
catalan,0.9413372808626541,0.7266076522509031,0.6365030278675932,0.7320328774574164,0.7987138946746423,0.828402679229644,1.0,0.5992718811450183,0.3660737620232519,0.8107737354354309,0.8210058994453392,0.9136702811475135,0.9460562341335249,0.9237965065540513,0.7307070300386758,0.6407872009725712,0.9484765088636024,0.9116340641219115,0.9609840768619965,0.36732121369008425,0.9286268981726448,0.5877054893114129,0.7946902440152998,0.6349811960318931,0.8373727034499194,0.6823192284640079,0.9407267018154237,0.6094577087153973,0.5490107076504056,0.5221137532677895,0.7145923958414758,0.7497730230176246,0.6933055462832781,0.7957332234665988,0.601365806663819,0.5013047704781506,0,0.7630702883633921,0.8074911345001068,0.9227370980799772,0.9184033584575383,0.8131442598115466,0.3491007012334494,0.842120489128772,0.8209236146288603,0.8079818034325031,0.8077118974929568,0.997241310780471,0.8960169761315186,0.6491004387092109,0.6184001918498583,0.6794026693373195,0.7798801452825553,0.7716199044883381,0.5827975634434227,0.6486198840261155,0.9160727214284443,0.4813745492200361
chinese,0.551343879462899,0.7205115468971606,0.505852809304557,0.7891797122797396,0.7214611355221998,0.638556949414781,0.5992718811450183,1.0,0.37970295440025115,0.711004051416596,0.703022542713469,0.6961500432697079,0.6231458282997767,0.7305799484386313,0.7771966042421906,0.603009275538262,0.5606436615881386,0.552460747517062,0.616247568699896,0.38713477537976315,0.5729382469881941,0.4376951716044866,0.678163604353161,0.4619148518435061,0.7493286917918064,0.5084419614546563,0.5531536238164058,0.6680079544994745,0.48330529924529203,0.8247347507152198,0.6522307893547435,0.7751569807292089,0.798886115662093,0.5502412832675555,0.4694905228464373,0.5141574201328866,0,0.533558356556278,0.6563655525555907,0.6179319346397495,0.6949543368760785,0.7230976399005957,0.3698604410414163,0.49969271651976366,0.6837324819109439,0.7163036339491183,0.7403498066417709,0.601074123505353,0.6791082946070752,0.7754761558701807,0.6646508812114377,0.6085916502051633,0.7485764421907857,0.6711835266838287,0.7008191178333453,0.7868558079547283,0.7264400240403486,0.5249515358230734
classical_chinese,0.3860688495867341,0.4236036133225585,0.41120601243523225,0.5005378231538995,0.45614061262370814,0.4310969343993895,0.3660737620232519,0.37970295440025115,1.0,0.5027081933659056,0.4688576385658414,0.4541380854169072,0.4918138229865534,0.3786663513149696,0.5148124287111144,0.49962076366026964,0.3096855935310718,0.23295322498151752,0.41195815684067094,0.3398790141915175,0.36769571034791726,0.29439962947953685,0.3914877926150683,0.40179028333875816,0.44695386635842366,0.35840077760680017,0.3192280153828838,0.1483307239650973,0.2895170913168519,0.44326187766800795,0.6477787057743276,0.5406171092202023,0.4942151671064993,0.38275034599051594,0.5692470028066245,0.591859205850432,0,0.44389894375130723,0.4756938731462021,0.34356179872527864,0.4021290352609541,0.4192820313564233,0.9245211060992135,0.4691689808725667,0.5206158332028805,0.4773245840918053,0.48183149817114623,0.36431465031849475,0.4845331516444677,0.4374733097345734,0.4260684045490808,0.41978096791321184,0.39001857328941664,0.338698473414225,0.5372826273569744,0.40113962406024906,0.41329439533263324,0.5783819386166127
croatian,0.8847393311439661,0.8303173678115411,0.841237527529082,0.8583116058128168,0.9588143915346424,0.9479991359459484,0.8107737354354309,0.711004051416596,0.5027081933659056,1.0,0.9746566420775397,0.9319993863573701,0.851872580073663,0.8765126112680659,0.8999558364627332,0.825314033894758,0.7327035099172099,0.7187636604157192,0.8486924969912338,0.4902732039576206,0.7463376286183958,0.6410237255958103,0.8556960476637423,0.5189310942224591,0.8599026255351835,0.6057294062093216,0.7617773681521646,0.6129930640509633,0.7306562304639077,0.6425860583401434,0.8893297999254981,0.9150722346925004,0.8504764894975227,0.8078361496667178,0.7714456318514614,0.6467061803617687,0,0.8367506780539244,0.936358744566899,0.7603707308574867,0.9182931932258996,0.9450878039225135,0.5160259528100635,0.8023722470538817,0.9867075681823796,0.9687165800291853,0.9723144505789224,0.8116004673468913,0.9332900020769112,0.8277225873893554,0.7246208244597867,0.7654109099199444,0.9296602967770895,0.8024071451442264,0.8009582584693963,0.6722062718633868,0.8900125161492533,0.5857854607252494
