,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7675681983898943,0.653799215765782,0.7240182037075916,0.8217118995272519,0.8511355909056519,0.9653009521303361,0.5476285535276427,0,0.8056793051752756,0.8022273759668644,0.9048049356912333,0.958048205195911,0.9302766073947255,0.6295088734414737,0.6203595846003239,0.9554154886687491,0.9180860367137279,0.9658219079278488,0.3203564995486961,0.9643686951981453,0.5714245384740011,0.8357852800300961,0.6349730729521745,0.766525182377222,0.7681204538194808,0.9551002968001228,0.5978864718247978,0.5327084837826054,0.490611182680328,0.7028812764157794,0.7911896306358165,0.7431196323830986,0.8334415624361641,0.644054422490116,0.5327105623294197,0.41841750024209307,0.7575263208767236,0.7816947450733674,0.9245722555396924,0.8767343807983168,0.8221238244387553,0.3368437863511844,0.756607979370368,0.8247146635585871,0.7756763362760144,0.8163859540059993,0.955278066118444,0.8871871367440581,0.6557137223701636,0.5763670621815781,0.6564140158423907,0.8156796538155151,0.7879790317834556,0.525473360359112,0.6389732227067854,0.9015573020515345,0.7850528084395686
arabic,0.7675681983898943,1.0,0.6343403005451865,0.7655215109506376,0.9126792410362218,0.9024234940095995,0.7788188300390583,0.6913683900095218,0,0.8741852959797513,0.8868667050592799,0.8716223602676876,0.8397663127869562,0.801001683303396,0.69243861886012,0.5995055767627028,0.7961968879180552,0.822120216907243,0.7965355111610137,0.40969332447926843,0.7406546665700116,0.6845107971053246,0.8840205163077516,0.4082091601017157,0.7002248475212267,0.7356704761392141,0.8226780224401602,0.6422695385373055,0.5368724048056573,0.49365082744629996,0.720445867370317,0.8818962861523459,0.8739834321146459,0.6173296595124658,0.6006070327824545,0.5072108454431646,0.46088885783257055,0.747660392318941,0.8185520573302262,0.8496782148977621,0.8818758751140993,0.894516147877872,0.3505849382657937,0.6550939876332349,0.8836996205466588,0.8571349016382371,0.8216009423698912,0.8202701994246389,0.8454131668193073,0.8856651105003309,0.5756465626736764,0.6242325815967992,0.8739287079423977,0.8436122961285863,0.569021124006024,0.5739966545459791,0.9043318580013538,0.7186595164553401
armenian,0.653799215765782,0.6343403005451865,1.0,0.8780825669375311,0.833874619892238,0.7279673623916448,0.6921084786585966,0.6408109495351291,0,0.8681231114747233,0.7891512782058971,0.7594847658722952,0.7625249713672636,0.7768078412730955,0.786382010178204,0.8664976590483092,0.6252992686813537,0.49451039280162806,0.7306176109959118,0.28442407110544365,0.6877380092336556,0.6519279266906147,0.6651263513053777,0.6466549521340504,0.696759489212136,0.6320008449016001,0.632728083885842,0.4395809883524057,0.8517223925331998,0.6848911103793096,0.8327817291592717,0.8229664366357345,0.8250867314396582,0.7293768631676117,0.8265163877911165,0.8954113016899354,0.4163163143384426,0.8369089537523461,0.8871343096311782,0.5448140905633932,0.8093834625235256,0.8612141756420979,0.4089586428483458,0.7549975566650824,0.8448884020810402,0.8676373458327589,0.8810366931807501,0.701189513804981,0.7969164477631043,0.6732983895284594,0.7781858693779143,0.8915701541278731,0.8840932774268969,0.6183442113669144,0.6939670726126518,0.5930244898974197,0.7240377048989608,0.7087077477215954
basque,0.7240182037075916,0.7655215109506376,0.8780825669375311,1.0,0.87505078849907,0.7566119571839253,0.7691614848602012,0.8401705928566194,0,0.8835210938822945,0.7812761555154469,0.8253676632779463,0.8246316984626406,0.8296970760270446,0.8409521461665567,0.8049568009513706,0.720425002250993,0.6104154139568969,0.7964537517880649,0.3986817214947097,0.7489616471523346,0.601709390160269,0.7664571928528157,0.686658561397349,0.7422283324509497,0.7555901632095363,0.7215977240517519,0.5494787340555426,0.6579558248058593,0.7786953155281363,0.8322552763351911,0.92326795322961,0.9268503383724992,0.7063796713582662,0.745197366459843,0.8098199020252949,0.5151290653451436,0.7361046616204711,0.8894327385240637,0.6777377379936075,0.8861964371961419,0.8787899116487277,0.5184811814847348,0.7493299471705905,0.8692754105287548,0.8646755715081527,0.8648723433321318,0.7711338395923176,0.8495942457966599,0.8330663819313564,0.7984470974885053,0.8546166549413786,0.9001943867623745,0.6934782013403256,0.6209675491693492,0.6925598099256208,0.8746165836569321,0.8254446121204645
belarusian,0.8217118995272519,0.9126792410362218,0.833874619892238,0.87505078849907,1.0,0.9524317232314226,0.8375576057233871,0.7221438235600293,0,0.9712544233180915,0.9588955565446998,0.921955153210807,0.904152309910145,0.8921552800565882,0.7976551803659722,0.7475757472088794,0.8096488439084429,0.7381171787840458,0.8751902992127935,0.38720057150967774,0.7942482784016703,0.6708436709736879,0.8939516012686277,0.5564358770715419,0.7622323638777557,0.7572722917293235,0.8127060766999531,0.6052076451686093,0.6842606178395818,0.6236620387557377,0.873961937316103,0.9418098136838533,0.9360065642052213,0.7283032683940215,0.7758415169734223,0.7143909173569291,0.5038841257969279,0.8608631888794926,0.9476484700474013,0.7933665445455611,0.9585012059461362,0.9855196735023802,0.44343399648606,0.7657886031302517,0.9709640383923346,0.9713718126309623,0.945404036986948,0.8680444578167679,0.9246569232397868,0.8270612217648803,0.6840235022967981,0.7636597742888418,0.9891401046969481,0.8408288426498269,0.6805060034126711,0.6406556550483433,0.929097092671185,0.7447731169726309
bulgarian,0.8511355909056519,0.9024234940095995,0.7279673623916448,0.7566119571839253,0.9524317232314226,1.0,0.8657612318161596,0.6216279050440876,0,0.936422380360861,0.944931014541797,0.933853850047781,0.9097383171237555,0.8974316553869438,0.7054076268370673,0.6628478193847872,0.8376612144702582,0.7832248335555299,0.8862633469052733,0.3674698922869358,0.7838957162244719,0.6330231207067697,0.9335248988306616,0.4694353722274737,0.8035474390822892,0.7323200188757054,0.8410262008633226,0.6867297224793787,0.5970027576352709,0.5336065446464617,0.804945322300461,0.8639966257769272,0.8439627949604792,0.704743750716577,0.6948141253000695,0.5804583944146678,0.48561438037081095,0.8645077469325959,0.8963064181753078,0.8330434652303631,0.9364857732599828,0.939873986253914,0.3732556514706533,0.7664964761306584,0.9522982829445984,0.9105981399514261,0.9101422445080111,0.9042325627933969,0.9272149506787714,0.7360056575558053,0.5715743651416161,0.672214772096239,0.9300070731288456,0.9028374460871933,0.6156648022556456,0.6351616497679291,0.8998589867556873,0.71226587540935
catalan,0.9653009521303361,0.7788188300390583,0.6921084786585966,0.7691614848602012,0.8375576057233871,0.8657612318161596,1.0,0.6039146002811365,0,0.8290818626947666,0.7857764222125985,0.9215761761115799,0.9687354172424854,0.946247349105229,0.6456913052643272,0.6257650050573799,0.9597126178533367,0.890849927536289,0.9573675537093709,0.2850194650658553,0.9294024926994094,0.5845434277020785,0.8454646110677255,0.6564871630924695,0.8173897310578615,0.7679340613848017,0.9510958816357865,0.6622778942164669,0.522309901440108,0.5350366825412265,0.7233491747671054,0.7951604012721918,0.7628257238584161,0.8297286607369697,0.617036975172393,0.5837620911698824,0.4232604525267691,0.7741487184194702,0.8277402753838138,0.9250611768942951,0.914969104415651,0.840397479745221,0.3122251592020126,0.8259577304340767,0.8424841073403826,0.7774148520317833,0.8300814657846148,0.9900607228009174,0.9105629855461879,0.6569863269843859,0.6057500654797916,0.6906635940991556,0.843068858521859,0.8019569916180604,0.5158721651001397,0.6692209473167375,0.917363749841499,0.8208747967295531
chinese,0.5476285535276427,0.6913683900095218,0.6408109495351291,0.8401705928566194,0.7221438235600293,0.6216279050440876,0.6039146002811365,1.0,0,0.7355019622146327,0.6397188450344476,0.6964732557208974,0.6593141279003907,0.7243857055502013,0.7407755660908936,0.5871457956787097,0.5956908684365646,0.5254969780864053,0.5999954832120152,0.3306058047301136,0.5680255475293151,0.4602474679118953,0.6900409355611806,0.5190534825128462,0.663584992586684,0.6958074072293811,0.5782479086713895,0.6039133900670486,0.43339755013147674,0.8462255139117015,0.636980983964968,0.7798539610972878,0.7989789969439346,0.5104989019392887,0.5352302331084072,0.6143406685119521,0.44366654553550916,0.5584403933834003,0.709686868271267,0.5878668757303473,0.7176883504347628,0.7149672020798957,0.3781236209849758,0.5263929681925176,0.6777755361570015,0.6981021785698003,0.6609329643956561,0.6236777727105459,0.6923876812871473,0.7681270661144373,0.6908710053797236,0.676085654168961,0.7430656828916765,0.620494183825449,0.5489191125717148,0.7915286311449923,0.7391730250264908,0.7107955299559087
classical_chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
croatian,0.8056793051752756,0.8741852959797513,0.8681231114747233,0.8835210938822945,0.9712544233180915,0.936422380360861,0.8290818626947666,0.7355019622146327,0,1.0,0.9606759069517743,0.9140776825065591,0.8920326837666899,0.8927272343880126,0.8074801548760085,0.7691009924754091,0.7890315473244963,0.7069735047554299,0.8600777448712293,0.3672646442665871,0.7894270516176444,0.6717382465615187,0.8804767091614094,0.5591457065638331,0.8001138409145877,0.769079189905514,0.7897945770023073,0.6199049862327654,0.6956836293166998,0.6661775645389567,0.8546192355092714,0.9378945472386441,0.9195426887819688,0.7160891939892451,0.8235775599163633,0.7284318199303719,0.5286221024432908,0.8672092084391996,0.9355862405735544,0.7628937703260614,0.9396011578867203,0.9709762356086248,0.45013283136598614,0.7676131953411622,0.980034003657106,0.9706044482376809,0.9579200346569505,0.8611503317957131,0.9213860521239866,0.8102076358743066,0.709292689571669,0.78807918978149,0.9754676407915676,0.8410924501205921,0.7510534838328704,0.6758889451126033,0.8951294317393466,0.7581301305296738
