,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7204277801375526,0.7173019962390762,0.7524181793649902,0.7872545581838373,0.8553981412379666,0.962606785695488,0.5891487089961748,0.487129709192124,0.8633327027808502,0.8560623102851026,0.9377734050238182,0.9649280815855125,0.9548035425622137,0.6873338821669976,0.6957676190630532,0.9303749560964568,0.9103100761841516,0.9707499118595262,0.32441521724301275,0.9348601341049615,0.5612461149570201,0.7653404474184253,0.5992904930740858,0.7478708221213592,0.9099481631326076,0.9345514031440678,0.5827157325505967,0.6039862191516073,0.4847987255790411,0.8187892463631707,0.780143524935211,0.6953587826865577,0.7980312242485089,0.7495398773732878,0.5600804259921712,0.5136011302162183,0.7599736212411874,0.837125735701194,0.8863562463585933,0.9056307801208396,0.8186496137961874,0,0.8819481119418477,0.8606162588614696,0.8445769780762539,0.846830800491672,0.9494530183173933,0.9100824578901197,0.6400445300832742,0.6562219050167869,0.7041690398911413,0.836981768086816,0.8335970282412245,0.6891356538489675,0.6654474636740821,0.9350479495215746,0.5711674740910979
arabic,0.7204277801375526,1.0,0.5521425443495834,0.6691495118310079,0.8751675836263948,0.8730233318492544,0.6910665160734538,0.7027706781130859,0.4549235448270449,0.8366665599711298,0.8525602072041716,0.7792409527767544,0.6884786535183431,0.7151836349933383,0.809527505648818,0.5282781803775426,0.7348960031124073,0.780503092243405,0.7182643693896401,0.630464071760731,0.6791461738891158,0.690873920719656,0.7618513497462633,0.2671646374155998,0.6142838701011746,0.7084617652698605,0.7776684732286803,0.5502856921114403,0.4684467138940331,0.4045468411137667,0.7884377990478773,0.8388808921841916,0.7357445543708406,0.5748921368703488,0.5477264321760155,0.4092027800935007,0.46838429833056217,0.687403182811243,0.7757604900617544,0.8255997668267883,0.8357724696161732,0.8642356134168689,0,0.6711553554533697,0.8371209039308338,0.8397713083450385,0.7942956051433203,0.703928336359907,0.7566961019822848,0.8058984876550646,0.5036871735651829,0.6476641940313781,0.8348247745419275,0.7938087590936681,0.6319202972277342,0.514708281955391,0.8301988726111347,0.29894730340450903
armenian,0.7173019962390762,0.5521425443495834,1.0,0.8376633309904453,0.7620864344341642,0.7393760673463547,0.6237198882224227,0.5584355698366217,0.4430632512864531,0.8093268194878238,0.8228262786596999,0.7863136641456442,0.6751984836502021,0.7463580569029056,0.703093878861794,0.9372092953524925,0.6103089659490659,0.5116119003455041,0.6950086664723015,0.18321276589188246,0.636933487912363,0.5417968765321701,0.6238915511958586,0.516303546966194,0.7071538844298161,0.6627367247816767,0.6055409258354718,0.39354011599596517,0.9320284190582302,0.5935755023937664,0.8691311798873835,0.7716597121720491,0.782928230555408,0.8135358109277606,0.8553451525456438,0.9027319364952082,0.4844352516758081,0.8221697920862873,0.8242055517054838,0.5156711106362202,0.7451239064879793,0.8017032794425013,0,0.7192672972722263,0.8076157382245677,0.8362750678042752,0.8529201593458452,0.5908150336932579,0.8003485898610474,0.6328863657185538,0.6943928764807267,0.8792515472523188,0.8214308523147555,0.6547744303372576,0.8570369366432717,0.5911029251682074,0.7356753182166709,0.6042884975254287
basque,0.7524181793649902,0.6691495118310079,0.8376633309904453,1.0,0.8700154529256119,0.7680266399501573,0.7006233077790966,0.802107755854827,0.5924255768380762,0.8678452386698265,0.8447763258541989,0.8178155156669694,0.7220628819580293,0.7625923771602324,0.8740772066217362,0.8420612870136142,0.6819991439070351,0.5971584413868877,0.7646564072013537,0.49481045352375025,0.7223293096556902,0.5058020144714278,0.7112394792339575,0.5631729211319307,0.7431676235370722,0.7370429820493188,0.6453409564508163,0.5021549193205697,0.6997789695695763,0.7170366961060118,0.8846671835201539,0.9199066627075984,0.9035188898598827,0.7264194970313304,0.8214288313097191,0.7163222101418134,0.567619334907934,0.679091244024777,0.8292429570928783,0.6459472441433859,0.8501310304892439,0.8659567129150708,0,0.7184498554359349,0.8859147869185205,0.8823094789823863,0.8824193637929888,0.658256464776162,0.7894764588891467,0.8471633400423207,0.7583551424442645,0.7561064476255069,0.894313710765976,0.7251528578312426,0.8935606000458458,0.664378769977828,0.8453520038086757,0.6638220490614789
belarusian,0.7872545581838373,0.8751675836263948,0.7620864344341642,0.8700154529256119,1.0,0.929292922108459,0.7249927044516362,0.795781938256307,0.5132282604638209,0.9273761868509088,0.9506314430806109,0.8478895347478845,0.747500470143398,0.790104150763513,0.9116571719568128,0.7160167867628209,0.7512446758695309,0.7138836374755652,0.8019852173910197,0.6074189494053678,0.7491285020303861,0.5436158610334372,0.7716709148199539,0.412823958704818,0.6983122220411048,0.75783738456923,0.7299012226939472,0.4906178991915265,0.6453289500739541,0.5735645704945366,0.9442867176888377,0.9750927946915706,0.9052728392269929,0.7086507252661431,0.7187723019731327,0.6303467762681894,0.5247674756027686,0.7302633248399001,0.8821051670315951,0.7782952711001571,0.8970447049451089,0.9736345198774785,0,0.7166354727270526,0.9290914148119,0.965586022253544,0.9366182579131749,0.7178778208539764,0.811145616797048,0.8713534138801806,0.6213355303227968,0.7381334197559449,0.9788587737794862,0.7859574481081207,0.8435276251341404,0.5837847020247978,0.8923925072856196,0.5368198205640182
bulgarian,0.8553981412379666,0.8730233318492544,0.7393760673463547,0.7680266399501573,0.929292922108459,1.0,0.8054376559064219,0.6707443815373373,0.47601858341595116,0.945664164644508,0.9640805924394846,0.9170267984403967,0.816008318584719,0.8651175583619051,0.7801749854835002,0.6807139479726619,0.8130884974393163,0.7729142556332121,0.8306836098315301,0.4332737694798383,0.7387645218890903,0.5966186396780779,0.8466916883235942,0.39423646320854727,0.7706361886511831,0.8082434702928886,0.8097204502985739,0.6251074667238145,0.6209962267949454,0.5016825378473786,0.9029942079839977,0.8774228351826762,0.8002230118733137,0.7135661838519085,0.6866047076465478,0.5765770237068559,0.5341677210571601,0.8182831699666752,0.9251254534283886,0.8186405814491045,0.9415177510444974,0.9462255517246605,0,0.7936190268097938,0.9348442662288955,0.9494189639756949,0.928740255155769,0.81061558512232,0.8916680291669621,0.7285044572999568,0.5923613496200966,0.7064858193834576,0.9371771454436408,0.8915891784257027,0.7481641848863114,0.6232307122538849,0.8873170484657243,0.44925258171588606
catalan,0.962606785695488,0.6910665160734538,0.6237198882224227,0.7006233077790966,0.7249927044516362,0.8054376559064219,1.0,0.6023802209220881,0.4790373193407629,0.8018400101097649,0.7770451717921664,0.9118346865187267,0.975178221220949,0.9469121226674755,0.6322450707512968,0.6133219461953676,0.9553808331374188,0.9233470663718097,0.9563388645314823,0.33344861994122865,0.9296132962595424,0.5398229960732165,0.7495648091235464,0.6027767186299998,0.7682105927470727,0.9452526677073615,0.9415638960617329,0.636211794830547,0.4983988516883324,0.4769617235765907,0.7307314658243599,0.7219757261433071,0.64409116259195,0.7563224188839239,0.6393817847421462,0.4795387465902706,0.4547861488002597,0.7340728474318997,0.7939914297283994,0.9152701662402263,0.8912254312054273,0.753931593585332,0,0.8766727838648818,0.8060567844636564,0.7712242427142667,0.775631481818746,0.9932747716128327,0.8821378125673364,0.6053251038175808,0.6329246260394742,0.6602005207393024,0.7815078951175282,0.8042024680257399,0.6091679868501226,0.6670312005412539,0.9214029345195802,0.5628350133074462
chinese,0.5891487089961748,0.7027706781130859,0.5584355698366217,0.802107755854827,0.795781938256307,0.6707443815373373,0.6023802209220881,1.0,0.5356625583074868,0.7135889024930854,0.7052871854370202,0.688290116882452,0.6001791761303419,0.6763323009149252,0.8359055048760594,0.5916672971875601,0.6120498743419788,0.5717772821980893,0.6458113325765559,0.6851192138659542,0.6087737772656477,0.4155648454016918,0.7381611511025609,0.3935475109801181,0.6962513916067413,0.6653589731013135,0.5638870692067275,0.6029972512492034,0.4342492465304648,0.7586783298157573,0.7317597141257467,0.8536137881880477,0.827412769838458,0.53424294137195,0.5097139393736804,0.4457077182940278,0.39711065663884865,0.5622272240185552,0.6689037942266879,0.6524321375444443,0.7579352491862046,0.7878192755939711,0,0.5399138439243273,0.7343263938722641,0.7523843155281004,0.712713519074277,0.5911811029782468,0.6586213694511754,0.8800924238621025,0.6836990540417963,0.6296323320722671,0.785177342875881,0.6882844467743963,0.8097003076509965,0.7308601469932203,0.7489498733550592,0.5233699178272448
classical_chinese,0.487129709192124,0.4549235448270449,0.4430632512864531,0.5924255768380762,0.5132282604638209,0.47601858341595116,0.4790373193407629,0.5356625583074868,1.0,0.5080133964540082,0.5211692971951247,0.5624948544120013,0.46096591734541853,0.45786182586200913,0.5656442359379004,0.5699308518202632,0.40818331779669786,0.3410352076425651,0.4880929187649798,0.42379012504381525,0.39516260878760456,0.30185122646675466,0.4569889510261893,0.3784268950644849,0.5364677382859824,0.46300979847309426,0.3836174907949979,0.2541289933413368,0.29567629883919333,0.47068510066111163,0.5231491453834196,0.5686603265593977,0.4517757085674017,0.4236421490568545,0.5564627080481068,0.29281659276333244,0.8361139680130975,0.46424414617038845,0.5287159744773096,0.4161194589570711,0.5431097557355145,0.4917193118004968,0,0.4558237828183579,0.5330079930916695,0.5316825605902875,0.4185473471196262,0.458202508037902,0.5669700448718541,0.4904083186316144,0.6088413142848914,0.5372902664757727,0.49357601291416486,0.4752875776099139,0.4971728272747872,0.5236737537226599,0.5611159407736629,0.2488010537834457
croatian,0.8633327027808502,0.8366665599711298,0.8093268194878238,0.8678452386698265,0.9273761868509088,0.945664164644508,0.8018400101097649,0.7135889024930854,0.5080133964540082,1.0,0.9597661373521856,0.9272893863789571,0.8016615819150025,0.8633187362609399,0.8307708088484019,0.7690390909677889,0.7646555047468688,0.7413213906043715,0.8338703553378892,0.45338805392140025,0.7517403127419916,0.593182133925824,0.8469075103777517,0.4359542494752424,0.7860200323805526,0.8017485347991873,0.77296489575048,0.6586275175736047,0.7069947682731296,0.5939170385879372,0.9314086461785209,0.9032192922208155,0.8245514882566035,0.7484432351656347,0.8108406542471002,0.6769593796839114,0.558111571139959,0.7917464830668728,0.9193393248148509,0.7574297092808586,0.9392833075979409,0.9358109718937418,0,0.7838594417165493,0.9933660100249292,0.9523586807121527,0.9694247818737839,0.783636260815599,0.8962223534063729,0.7808534496092222,0.7026302321960576,0.7675373015010547,0.9505894129529896,0.897194903482752,0.831290338510072,0.6682351579239812,0.8939715269455653,0.4995274348026027
