,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7148376370879113,0.6589618156964796,0.7363831667163373,0.8019948452422128,0.8420107578253595,0.9573013983428103,0.5766759991066439,0.5185108346334416,0.8137746507019695,0.8401965368819596,0.897990131621715,0.9585368612713018,0.9480430284460041,0.6558594339074324,0.6465086086971031,0.9346430600078718,0.9170106113594858,0.9542086734095182,0.3599991055575069,0.9295030854220754,0.5683019310328131,0.7879723180597294,0.5994631064969733,0.7188205436795863,0.913998646331299,0.9269578049054492,0.5824686021547419,0.5569100501392003,0.465614101058513,0.7457893086571912,0.7658498387103844,0.6931846410402505,0.8733440615349018,0.7453362351822063,0.6703634755854856,0.5863095997888232,0.7584669821386916,0.799950287712268,0.8807897672435363,0.8902922005063447,0.8127434054041724,0.38187547472175776,0.5848209613087367,0.8139290482473455,0.8441878355828017,0.8497538321264436,0.9592974184913705,0.8687950407613533,0.6649783624962964,0.5621777209700817,0.6652600911944324,0.8146468735998948,0.7784189633730009,0.5592065250519164,0.7036244291834044,0.861294081803417,0.7494607785109726
arabic,0.7148376370879113,1.0,0.5615325032407981,0.7596473889796457,0.8739552889367306,0.8703825812820295,0.7613769691552535,0.6811759407053246,0.45841489290863113,0.8433136858916045,0.8827869898066368,0.8044021965453929,0.7074785435140942,0.7390152277423994,0.7137532340707584,0.5387212620985803,0.7426473996760063,0.7678688370715018,0.6916585117834037,0.5090027935319082,0.7320537393879587,0.6951817669078466,0.7969099574953483,0.30264232340620995,0.665018187208233,0.7883557878354034,0.7782607377514605,0.6040425842547622,0.49795178653576716,0.429153946826263,0.7876352439770602,0.8073837579049316,0.8274134355063144,0.6197684090621027,0.5609068502310741,0.5314425186896478,0.5487907251498909,0.7477531099638492,0.8135850545043439,0.8398251646377496,0.8545609307829174,0.86624179628291,0.38858348402231413,0.3998440362026262,0.8556165455735159,0.865662996889662,0.8130594938482605,0.7457129092801043,0.765256686458641,0.8837318784400449,0.4890470476172045,0.6529218788068902,0.8442780261763159,0.8008117005936763,0.5366223078303125,0.6102581103962099,0.8319318761233031,0.6453887227908519
armenian,0.6589618156964796,0.5615325032407981,1.0,0.7752056233928124,0.7834108205590835,0.7024257417828342,0.6539232861824131,0.546247960947298,0.4327233070060568,0.8296459255208215,0.7915699109938246,0.7715593806721062,0.6466150506317957,0.7296417245821687,0.7712699513175493,0.8958418156587795,0.5652482097662285,0.5205927777886944,0.6715724552656425,0.32524920601302665,0.5519492306426979,0.5668818252099928,0.6065696179211004,0.49544985410181047,0.6704603701629523,0.6452119472901844,0.5949049786084784,0.460219028965528,0.8844900333614644,0.570492707812342,0.8418713274658525,0.816024514721316,0.7388828830550584,0.7915313095732713,0.8290092371600187,0.8373645340530719,0.492804890627808,0.8097706203773805,0.8054045677819279,0.5071715974342592,0.7191889774400216,0.8112391022952249,0.3729434598138688,0.6997589232194361,0.8039756651676004,0.804475020420885,0.8313903460434556,0.630040789874359,0.7861823095642403,0.6518712020214684,0.6837788525214834,0.8716679280466652,0.8191525451560729,0.6000464763238498,0.8701022364191376,0.569253584755202,0.6802747192102121,0.6601445667606094
basque,0.7363831667163373,0.7596473889796457,0.7752056233928124,1.0,0.8849566506675142,0.7734764671904605,0.7710490324562852,0.7780042719413343,0.5807391611196697,0.8758433485761542,0.8710250867821927,0.8382351243694824,0.7689151905318783,0.7756506468356211,0.8992240591380537,0.8249699903018154,0.6832797177465666,0.6720466193532679,0.7873648539083793,0.5810162652918411,0.7509943165686515,0.5508826905882875,0.7035373056464008,0.5463495946443856,0.713731699023834,0.8175620675889775,0.7004306788582497,0.567721413249192,0.6451837303382382,0.6734575224445998,0.8921852664110425,0.9321698263976449,0.8943699873376714,0.7389660503028924,0.7683949637674503,0.7789412440465938,0.6356907254338453,0.6958207386137737,0.8224302155368095,0.6805851191721786,0.8461337254581083,0.8708002968875832,0.5242995385647389,0.6996651697516053,0.8828530897991228,0.8721889327721899,0.8741989633138896,0.7551862382851323,0.8326327155153259,0.8993043462143766,0.7505734542827766,0.7415110585200361,0.8823988995794276,0.7234491190374811,0.7672768965129079,0.6731484557069263,0.8624525947285365,0.8431811651584097
belarusian,0.8019948452422128,0.8739552889367306,0.7834108205590835,0.8849566506675142,1.0,0.9217097016567519,0.8359477551253662,0.7406423273238735,0.540428018671186,0.9520842475289442,0.9727787317479201,0.909437008246044,0.8000716553058276,0.8512589627161502,0.8508420197444413,0.7612545156753152,0.7763956595655294,0.7475746601428076,0.8142326162395515,0.4766518120223076,0.7564838820198921,0.6096157131362644,0.8050734506893159,0.4867202284033728,0.7702095048581874,0.8606576164141807,0.7815567441730386,0.5943035305454965,0.6607001972638897,0.5810459630209024,0.9488877741676313,0.9555890015323101,0.9236262678557978,0.7697856856841169,0.7546483851133413,0.7272265922618498,0.6060485208352719,0.805408296872576,0.9431683861840495,0.7946768115509932,0.9215990505743744,0.9727082507738828,0.4748177247818487,0.6496999004139963,0.9711692974238784,0.9655540220902107,0.9443862424082383,0.8181945308701748,0.8781182698987954,0.8702833271658216,0.6633835522234898,0.7456668000706976,0.9879676547689263,0.7884630383260721,0.7845629321505382,0.6981481766083247,0.8986139979195704,0.7484293443383935
bulgarian,0.8420107578253595,0.8703825812820295,0.7024257417828342,0.7734764671904605,0.9217097016567519,1.0,0.8827869996325687,0.6595035218453107,0.5143053733784486,0.936894653671341,0.9431572839997112,0.9408666119759154,0.8393808034646116,0.8925939231371812,0.747574076826575,0.661737705639288,0.8337488021199521,0.78299047769181,0.8345710163413682,0.42008491732928155,0.7655646880210131,0.6167469645566779,0.9084600768080178,0.3993747028749197,0.7955374193994378,0.8686139321079801,0.8326403983008493,0.7383791534448861,0.592887431931936,0.48892607286757966,0.8448759887218965,0.8457496103523177,0.8172477619502183,0.7683153435177349,0.6702040611110835,0.6725508626070152,0.612788256473482,0.8644608628758695,0.920787603360458,0.843310794426201,0.9609328491556683,0.9329587336966805,0.4103473997633163,0.5528088756922052,0.9318438516240566,0.9287047884904402,0.9272372409457134,0.8629262386287446,0.9133138426201152,0.7776941298704241,0.5637391685709359,0.6820112398633155,0.9214818425473624,0.9010238662610661,0.617890984802912,0.7295000697630991,0.8752590036837127,0.6855636287175048
catalan,0.9573013983428103,0.7613769691552535,0.6539232861824131,0.7710490324562852,0.8359477551253662,0.8827869996325687,1.0,0.6423466262054845,0.5215764471924421,0.8350927571217562,0.8609113831281521,0.9329783429173173,0.9640180585827097,0.9675183238965517,0.684492006863211,0.6531236489245746,0.9600553077447662,0.9167279212136327,0.9559472772601582,0.34955114225564093,0.9293332610925209,0.5906493582569068,0.8193115617487684,0.5939373300746003,0.7648334641105299,0.9477402934948388,0.9464209419542019,0.6700380338460133,0.5316307405237801,0.5070698377955744,0.774437154669681,0.783348445877164,0.7305143720873508,0.8788931762795519,0.7144210011630406,0.670129325034797,0.5768137437421247,0.786354117541075,0.8413881011678231,0.9147686778698532,0.9399575305046147,0.8431300185589857,0.3641389317870788,0.6113343723821786,0.8403620436439573,0.8547258280101607,0.8690439237246969,0.9973714022454896,0.906294560716807,0.697649117509907,0.5571697564960846,0.6712657505488229,0.8484307375390175,0.8195487698843834,0.5578139979246237,0.7419378481342849,0.896284863177412,0.7791392113003549
chinese,0.5766759991066439,0.6811759407053246,0.546247960947298,0.7780042719413343,0.7406423273238735,0.6595035218453107,0.6423466262054845,1.0,0.5063500355627761,0.7086883824769963,0.7158469594142669,0.7042236780993665,0.6133752738224438,0.6871612169144865,0.7644721257145048,0.6309279574322569,0.5893865819728313,0.5690333875617116,0.6190576999772182,0.38066339530890697,0.5991002123974614,0.4497853290798052,0.7107655841986533,0.40599193500627023,0.8282392011107025,0.6956102281484282,0.5732463048417044,0.6574690609761805,0.4124078814782498,0.7847882680232885,0.712288816733872,0.7662054033561803,0.7491575380630605,0.5776910911680683,0.5470223081792885,0.6088810544073896,0.48940378176777444,0.5910414014749492,0.6779208097926482,0.6171958826433124,0.7172457496598502,0.7122602521157645,0.39148516205794714,0.5135652432958765,0.7003461030754138,0.7129614051069684,0.6993990444020884,0.6335117289761031,0.7021335193428775,0.7643221273659555,0.6306297616407727,0.586728161153936,0.736500297892094,0.6827291330874765,0.5910585054779723,0.8132079545603548,0.7193360602379018,0.6918845437123272
classical_chinese,0.5185108346334416,0.45841489290863113,0.4327233070060568,0.5807391611196697,0.540428018671186,0.5143053733784486,0.5215764471924421,0.5063500355627761,1.0,0.574709655443075,0.5584683899067828,0.5963684517460696,0.5372979283695617,0.4841293840037335,0.5451323963151258,0.6380702057927466,0.4600724228149523,0.3644187590065106,0.5560119860647883,0.4386328543865733,0.4445060582709089,0.3829172445345903,0.4403420069827236,0.3575438061550272,0.5287147522161186,0.5026758506711756,0.40496693775807685,0.29445431575151343,0.3472558219013942,0.47631592067715034,0.5381618482314898,0.5675824750391792,0.5095181769543902,0.5432176811504722,0.6472292950801783,0.6919218344747835,0.8479488630734452,0.4871972002275498,0.5243290232096062,0.4100022207001146,0.5404033547679157,0.47239126095612544,0.8436001128590418,0.48080561668397903,0.5725904277985244,0.59750780877437,0.6183170798094817,0.5173336112181111,0.6127715608352887,0.5428332250015688,0.7175772536488542,0.5292722454295082,0.4875928419598736,0.47031482140430736,0.41976612959380927,0.5609151917903578,0.4671181464991929,0.6119631852107859
croatian,0.8137746507019695,0.8433136858916045,0.8296459255208215,0.8758433485761542,0.9520842475289442,0.936894653671341,0.8350927571217562,0.7086883824769963,0.574709655443075,1.0,0.9703205167981676,0.9274453622219686,0.8101753891718665,0.862638963078737,0.864110278129784,0.8051344724056848,0.7573199020657891,0.7014095553570311,0.8286630787465058,0.49446662676730274,0.7413008107174535,0.6288170815621152,0.8259051571031939,0.4562102646423186,0.800996146377962,0.8388293879079194,0.7724834094165619,0.6250300692873458,0.7115357449937431,0.5768838059798858,0.9269545009120438,0.9334383358470009,0.8761471935967917,0.798485239196615,0.813457737934042,0.8033475813967565,0.6699163326979553,0.8375528836800215,0.9362336601775033,0.7466773503722269,0.9288114782630679,0.9666310244600864,0.49474113016654053,0.6406650471051967,0.9831101207112305,0.9733941985441382,0.9843599468677172,0.8155570050204183,0.9154774664113784,0.847967568677646,0.6816974100670398,0.7796705156114165,0.958113239519229,0.8248451518219315,0.7596144408843045,0.7269935566053654,0.8537142223899147,0.7276041846205009
