,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7772190812518858,0.7564638161413166,0.7560769826123542,0.860924460161546,0.8932557771168913,0.9276624541690276,0.5640096021485221,0.4897593727350757,0.8611728202735804,0.8587302895773075,0.9382486578399679,0.9262679969289643,0.9310454433183992,0.7087621654925677,0.6774114752889527,0.9126635989066377,0.8829375602457649,0.9625011159264061,0,0.9195308308403402,0.596207287469414,0.7996851366183905,0.5509078449904219,0.7739970756378143,0.8810182971942617,0.9090968761867596,0.5825339946980718,0.6243106143047449,0.5055130996250654,0.7795297860330007,0.7824690121658331,0.7416655981275179,0.793771027282108,0.7191715436684105,0.5868751074459974,0.4755534453793155,0.7822448150567863,0.8267498242818153,0.8929418316151553,0.9146270868808617,0.8730553178274452,0.41434038349042374,0.8484405455038702,0.8756627880975254,0.8401838851990934,0.8701684220266304,0.9462056112988086,0.9197852032357111,0.6592223598603896,0.6072973645378245,0.7011603438297102,0.8674904379812078,0.7462242008912757,0.7295280808302065,0.616223686526212,0.8889558688435966,0.7115271544961489
arabic,0.7772190812518858,1.0,0.617115025372113,0.7836009390123609,0.8822223347966207,0.8984363434316223,0.7077087855425912,0.7174595354917482,0.45839957428308437,0.8376781850334187,0.8383246397769066,0.8016232941224245,0.7130868343048606,0.7602482181423577,0.711564105362787,0.5896516374493307,0.7615897989808328,0.814287358203305,0.7595941644693318,0,0.6972993538393474,0.6988847271743256,0.8228184728689828,0.34797214198720067,0.6786716500423824,0.7994126397944832,0.7828356703462735,0.5989969346434051,0.5194681646447528,0.4797918722772435,0.769493186802223,0.8628392500295868,0.8200961072661849,0.6184855090842794,0.540385873771443,0.4673179656737666,0.42181207183047004,0.729034947957404,0.7925568606952317,0.8426968403152972,0.8838399556966517,0.8952006008906096,0.3774887579126804,0.7173375731079839,0.8359961561813537,0.8673117766753653,0.835139664712038,0.7511499352989068,0.8084034341308931,0.8775572824850221,0.5458910217688725,0.6675878980342882,0.858716322940393,0.743272516466524,0.7342044838070116,0.5505135870054225,0.8510544896207127,0.8234648516258153
armenian,0.7564638161413166,0.617115025372113,1.0,0.8468603977416579,0.8389657204055504,0.7611731663152795,0.6608951255713058,0.6000656704229803,0.49108232377915295,0.8812339256045434,0.8750361522821061,0.8620743434073225,0.7906898301208326,0.7539257901266273,0.8404302365032903,0.920074649380577,0.609216505514256,0.5014030601121399,0.7616098186683943,0,0.6735033808501308,0.5697962197821547,0.6362162073025799,0.5926258945799157,0.7642637482425617,0.7280804985647249,0.6268690969715598,0.4580239425693023,0.9228193786273602,0.6377233439745073,0.8638920876247295,0.8050595762860617,0.8117773475278606,0.786208314473267,0.853626787785843,0.838284717957818,0.4814728345753098,0.8538648345368446,0.8519842298637346,0.5635145275248002,0.7677014578672642,0.8334978143778023,0.4869350283408287,0.6568253992478289,0.8821902593727764,0.8326606369800843,0.8786390782817829,0.6627182846547292,0.8683815039727312,0.671092148314509,0.7654072451879164,0.9029120644960973,0.8612033544279261,0.4904148183313048,0.8826761216703074,0.5997823302888913,0.7834591007199427,0.6751349890339635
basque,0.7560769826123542,0.7836009390123609,0.8468603977416579,1.0,0.9074774885475373,0.808984710535178,0.7149232505887304,0.8469849998432608,0.5863586943919528,0.910266518178042,0.9011149643352927,0.8746994611816973,0.8197600000037669,0.7895281036688109,0.9239925265002511,0.8534354446136712,0.6891036457681836,0.6216990877561679,0.808303661673172,0,0.7435598433314514,0.5414360188147711,0.7344028585950816,0.6177262829515738,0.7826829720133064,0.8493126461078633,0.6867245766885582,0.5584729976444597,0.7432032359566256,0.7535434556351482,0.8964596891290025,0.9622168371213001,0.9396074633244567,0.7113372702468367,0.7919271377205575,0.7460526633762434,0.5561422266227776,0.7345296673758906,0.8704750401090262,0.6826556526160651,0.8686228419779901,0.8950847599188975,0.5487644652197085,0.7341288659049179,0.9002945886321067,0.8988359410067676,0.9015772239656107,0.718706630421371,0.8579375746629145,0.9052159321377952,0.8180970324422054,0.8367335121417736,0.9088453560468741,0.5680876272788014,0.9448237924783236,0.6687591191910084,0.9062682508767027,0.8735811158024226
belarusian,0.860924460161546,0.8822223347966207,0.8389657204055504,0.9074774885475373,1.0,0.9492602574924547,0.7736454744437251,0.7548681521569474,0.528739156492159,0.9726407917389035,0.9637657429380544,0.9303798242058134,0.850778139356034,0.8554335655543636,0.8580588266048729,0.8081688028901709,0.7841749878239106,0.7242687981055159,0.872073951789876,0,0.761372541298049,0.6238117406435387,0.8268393269204282,0.551806165835343,0.7938466348712718,0.8651626403740782,0.7789220358930962,0.581913266519887,0.7598666009128595,0.6296015909115558,0.9243454294117612,0.9540814602978748,0.9179087451643861,0.7452993661173944,0.7636270834012542,0.6742678330081099,0.5089422530950725,0.8148117774807644,0.9396214940799154,0.7797402219173944,0.9336308761478154,0.9818490026867707,0.4835345527050326,0.7566958739767508,0.953340523634533,0.9658583886588711,0.9588237089271691,0.8011795174318711,0.9403224322096948,0.8525349341536926,0.7338687490321654,0.7994064050866314,0.9944080699240612,0.6839832967452373,0.8890692391289409,0.6399237110116175,0.9341594011238888,0.8316533534709335
bulgarian,0.8932557771168913,0.8984363434316223,0.7611731663152795,0.808984710535178,0.9492602574924547,1.0,0.8116481051551052,0.6683830925323389,0.5109037090756247,0.9428092270125632,0.9287582823549637,0.9300164406983631,0.837522332621346,0.8724611482452095,0.7662341498786284,0.7071532383941639,0.8102859176077343,0.7732704013182314,0.8646592672117597,0,0.7376582741254534,0.6259136552284632,0.8888746114831891,0.4518413960692417,0.8037878255522292,0.8536539536140603,0.8007450953800761,0.6535214951838806,0.6459183076038498,0.5413042884545743,0.8575009609198648,0.8732103864543597,0.8364700032886249,0.7205899957013737,0.6845923653163486,0.5778862954914646,0.5189766131557572,0.8402558545932339,0.9129809506522687,0.825083945952057,0.9464770401314289,0.950632052278028,0.4403826089467198,0.7616724984893671,0.94042080054306,0.9256540675181034,0.9292246241014226,0.8466883107672458,0.9385357797453515,0.7585936455727488,0.6323407803101377,0.7345534545222242,0.9435590618802029,0.7930264589212781,0.7836505271783109,0.6399311555304383,0.8931787000513371,0.8087647548173064
catalan,0.9276624541690276,0.7077087855425912,0.6608951255713058,0.7149232505887304,0.7736454744437251,0.8116481051551052,1.0,0.5864457203454349,0.483750361778491,0.7649815062102199,0.7874084369383895,0.9066045940407664,0.9423429031811961,0.9220724852585639,0.6636068960653326,0.6014027380438111,0.9441412782613064,0.8845420544060668,0.9433843616117974,0,0.9131967476236089,0.5493925557333155,0.764359768204069,0.6035673168629125,0.8246364788609488,0.917252340202253,0.9135249958176215,0.627337782934289,0.5223592937058705,0.5218117720294462,0.6853221693596853,0.7119063709488743,0.6892541442866238,0.7697864564545617,0.6024057203674604,0.489904295477509,0.4577204675784936,0.7261685137873589,0.794141581818043,0.9117931777294138,0.8991455223683192,0.7803767634210782,0.3602201938138532,0.8987623288565961,0.7927849130250093,0.7229482127414019,0.7605027106413585,0.9939683060902698,0.8576911958664535,0.5984975578687619,0.6015636179736361,0.691031377600197,0.7734758894249255,0.7185413089477287,0.6542623024255483,0.6242981566801903,0.858882412427756,0.7590654604913321
chinese,0.5640096021485221,0.7174595354917482,0.6000656704229803,0.8469849998432608,0.7548681521569474,0.6683830925323389,0.5864457203454349,1.0,0.5138504020962898,0.7547509718346102,0.7274250998911369,0.6834827157324727,0.650051429202979,0.723148295899269,0.7720767667142076,0.6544083559122801,0.598200538389983,0.5460547338519718,0.6455235591128665,0,0.5835227665492032,0.4287045798044387,0.7590199440669999,0.49623129727265713,0.7211717193866906,0.7105340266873855,0.5734820700779683,0.6785103763869323,0.519434914499436,0.8264143225821644,0.7340180211189427,0.828899762373626,0.817171804759367,0.5712192725612419,0.5242038046971802,0.47423974001307323,0.4109953735557709,0.5870795895081455,0.6994814483235159,0.6121782698402946,0.7528686371267562,0.7554588655460401,0.3774557790062232,0.5917664519483901,0.6864966143153864,0.740737795270019,0.7167111700482822,0.5991947959357754,0.678396164098981,0.8303854815371966,0.712254321839071,0.7133075326206515,0.752192810814435,0.5783355977461597,0.84187133990223,0.7797297698898074,0.7714614779374578,0.7678529644211374
classical_chinese,0.4897593727350757,0.45839957428308437,0.49108232377915295,0.5863586943919528,0.528739156492159,0.5109037090756247,0.483750361778491,0.5138504020962898,1.0,0.536218719714972,0.545533533257358,0.5868132670130981,0.5281168612747822,0.4761429795209623,0.5446792793655051,0.5625158347344191,0.4429980936607468,0.3717750367164725,0.5284839890696165,0,0.46604904798263885,0.3235167310565522,0.42310890219622554,0.42955322356952635,0.4903279953556973,0.5247448184063677,0.41927951661067936,0.2522540758609438,0.3268013408189677,0.5166786488825954,0.6071444141095228,0.5635378387706913,0.5146193775691933,0.4627800677253457,0.6347112567667055,0.5351891150712387,0.8686056853699844,0.4819953140390177,0.5220576906840106,0.44317617950514815,0.49298510042821886,0.49809623197842273,0.7808126892232856,0.45567867477954127,0.569345458194376,0.5411751053717667,0.5298582618192872,0.48338656666724084,0.5672918435156991,0.5097998423982018,0.6036736155637432,0.5189532638400047,0.5162159477350988,0.3793547011307458,0.5669016610557237,0.49640734996861485,0.5593508997297422,0.5756686198029057
croatian,0.8611728202735804,0.8376781850334187,0.8812339256045434,0.910266518178042,0.9726407917389035,0.9428092270125632,0.7649815062102199,0.7547509718346102,0.536218719714972,1.0,0.9646774350182835,0.9394243453406053,0.8517221463683182,0.8698765166928857,0.8693897318369794,0.8346001339470349,0.7573861774313745,0.6762884597043473,0.8612678404542495,0,0.7425294550426462,0.6252303965034743,0.8405537310249899,0.5484119529850919,0.8286964502128248,0.8354879305331075,0.7523226312539495,0.617961133513509,0.7658301035067238,0.6826032560860557,0.9331288765107412,0.9284385640281699,0.9013191004698097,0.7518849452234356,0.8142398771348461,0.6978186712337805,0.5204192444313793,0.8324501909196298,0.9350268967701127,0.7475119148765018,0.9235203512679669,0.9672245690622059,0.4887875116950661,0.7226028897384308,0.9716077890909537,0.9616914239517788,0.9798022153781681,0.7887649974726091,0.950562433189369,0.8063111281302152,0.7387099054364784,0.8252649181871359,0.9815324706104015,0.6914760819076465,0.9020703530663854,0.7034123288841398,0.9113729982080997,0.7990543613459467
