,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7709984460146068,0.7037032469186651,0.7380931881883565,0.8456551760077556,0.8826189376777355,0.9525433992436725,0.5615827320712679,0.47560682001171267,0.8408071369147693,0.8440421611238941,0.9363417325889888,0.9573184662168228,0.920012788677642,0.7311946876071181,0.6674484114751432,0.919129316601372,0.9135415477857121,0.958706451757881,0.3483601499202298,0.928885959329588,0.5763072582949387,0.8146655574316287,0.5567866239885216,0.7835644347606545,0.918422823604533,0.9230563059185084,0.5797986068260581,0.6011810053036425,0.4754700733061172,0.6969040507686322,0.7908397463166956,0.7308248041639096,0.8174425548274818,0.7023543664690696,0.5963357605678714,0.5846143203425985,0.7949903998370321,0.8234110540882273,0.8990122966306959,0.919821359317855,0.8327942350082479,0.3420409270597172,0.8878036596207329,0.8658510507240867,0.8237901337243,0.8836860416439647,0.9582504900842469,0.9276710994745784,0.6677616635729535,0.5807813213331894,0.7228210072959657,0.8072727813604713,0.8206467157548769,0.5437624135957262,0.6301387257870622,0.9074404523053545,0.7968389313772143
arabic,0.7709984460146068,1.0,0.5971833124576356,0.74876047367701,0.8854549533634992,0.9069926232383223,0.7325603183959294,0.7117166875834565,0.5198427560382757,0.8267683261114479,0.8405828084521042,0.8254974170848156,0.7359031505581377,0.7457868733243058,0.7832881449536718,0.5850373312306113,0.7481457048379497,0.7855298139299012,0.752311086634014,0.5662575896372264,0.7207985127536503,0.6849755055923112,0.8439145493559651,0.32471806983819257,0.6971907740307511,0.8504350101308691,0.775730091312886,0.5963341956768264,0.5179956249950151,0.4515022435282412,0.6840761027999496,0.891484458555065,0.8715750538492781,0.6294436435035723,0.5462496776580681,0.5002121809885828,0.5664626347302989,0.7680139732627969,0.8018756079719386,0.841548551081517,0.8646246970129415,0.8772994663421048,0.4386059849824816,0.6970808632330988,0.8840514583872916,0.9012757130782499,0.8789634499301093,0.7678463856223728,0.8409528041412322,0.9021236556698471,0.5470116470306219,0.6896981299492897,0.830770110283042,0.7966798321685553,0.5886408326792876,0.5579198496170932,0.89773371836563,0.7318849713417488
armenian,0.7037032469186651,0.5971833124576356,1.0,0.8495800273483262,0.8186201407391575,0.7231154769851005,0.6581086799157032,0.56563326073313,0.4621818778383939,0.8741697434230875,0.8560381766484387,0.8146770130007288,0.7437447143273822,0.7605952583528331,0.8079910557848698,0.9302424221382579,0.5748044113202604,0.5365664840128178,0.7280126184930877,0.14835514875464184,0.6491997229832162,0.5574920749573269,0.6905945599650206,0.5591769864201777,0.746844602622163,0.6769282875344242,0.5886163964795084,0.41071507648291194,0.9290413598181687,0.6252116611902312,0.8004743907634088,0.7836702329576434,0.7553640552864079,0.7898352372308584,0.8062742773591953,0.8770345889755552,0.543675464890566,0.8425208996939267,0.8439169274100723,0.5288928951086346,0.761265796537299,0.8272134034203656,0.36595038433430777,0.6906856077723772,0.8212929130218914,0.7948087539717453,0.7696033823835784,0.6375132576132974,0.8151906466999759,0.6424024991943875,0.6834008689629966,0.9323630026801722,0.84582674280823,0.5894974308012405,0.7818253314580933,0.5778361971646865,0.7006863786389047,0.6941823757217139
basque,0.7380931881883565,0.74876047367701,0.8495800273483262,1.0,0.8893525963602786,0.7760877675711796,0.7359395552480282,0.7822867577053985,0.5745833518392972,0.9217629756469299,0.9058147443058905,0.8425240290711219,0.8069389732725603,0.7933211437368085,0.9464851642195471,0.8525778110298322,0.6664409650005773,0.632069008785512,0.8045400481627245,0.35304288328669203,0.7398874971706428,0.5485668528277692,0.7857691191226315,0.6036883440221523,0.7771035867318188,0.8029526798540131,0.6714463191549399,0.4970354764428417,0.6933080738252223,0.7148663719350814,0.8483872331532795,0.9307299275794185,0.9118997530041568,0.6945810802258711,0.7712330150610627,0.8083441638849668,0.5899894783377481,0.7244522950466847,0.8843943017689601,0.6669340154652302,0.8666540081169647,0.8945671591562709,0.5295910784962818,0.7630126231830716,0.9020753299727254,0.9029416496251383,0.8416169089581195,0.7218747747254963,0.8249715941309932,0.8439307140277569,0.7118207870782336,0.8281669390820535,0.9195950813426534,0.6438022269320514,0.827354382756714,0.6349471741319205,0.8486073633205742,0.826789853293501
belarusian,0.8456551760077556,0.8854549533634992,0.8186201407391575,0.8893525963602786,1.0,0.9510688074988426,0.7961325302232994,0.7212151429253614,0.5319103651142842,0.9709988643196018,0.9729973961669611,0.924501486001608,0.8471194453627896,0.8575230078668208,0.8859961743814664,0.7828953723743526,0.7632169104629567,0.7435823115273791,0.8530190604441411,0.41584730244102963,0.7811264655209669,0.6288446490491265,0.8937903733407565,0.5008373726289742,0.8004056126597469,0.871740634800471,0.7636280241021453,0.564009574569954,0.7238416000901232,0.6014967042400554,0.8382975953218822,0.9528343021162325,0.9094305131426458,0.7568269450671373,0.743327955311952,0.7197956348275381,0.6153057750879963,0.8408262912515644,0.9474299473581312,0.7840976081658064,0.9294140419628829,0.9767649073527507,0.4617365936404027,0.7752135927835789,0.9646894415113517,0.9802246014592579,0.9420114734083183,0.807402510136511,0.9275488168064264,0.8440780179655261,0.6641586711963736,0.8105714173679864,0.9803928759285002,0.7927863177308238,0.759377251622438,0.6305492320921228,0.9174207971925828,0.7711219309712006
bulgarian,0.8826189376777355,0.9069926232383223,0.7231154769851005,0.7760877675711796,0.9510688074988426,1.0,0.828307128593983,0.6483659515826605,0.5076499554591284,0.9278618189429776,0.929774470576315,0.9384334886137427,0.844798071283804,0.8619534830608646,0.7872845469091299,0.6846286499007304,0.7979901906091759,0.7824562778626732,0.8443664628111731,0.44725300918574457,0.7624891153453007,0.6227999524136096,0.9168934791225154,0.40776220589462286,0.8123836771811745,0.8868201356598974,0.7962908804664409,0.6431761756441916,0.6280817183158529,0.5083522434013902,0.7678562643188759,0.8852318459606191,0.8316047026224643,0.7378422937612913,0.6518124288891061,0.6121067780343343,0.6268585329710432,0.8709009662512295,0.9118438678194852,0.8346234193323085,0.9382993646421008,0.9329549537344869,0.4134076359952282,0.7727394732188424,0.9489287300560735,0.9400636197828695,0.9444409651012647,0.854123404302422,0.9393204628262074,0.7732845419329168,0.5707147053313869,0.7455558776213195,0.9053924369568337,0.8808165572819471,0.6287884285118178,0.6254728110107373,0.9196318811483583,0.7344700647276299
catalan,0.9525433992436725,0.7325603183959294,0.6581086799157032,0.7359395552480282,0.7961325302232994,0.828307128593983,1.0,0.6007286382811815,0.49110515780699576,0.7937470491677189,0.8037554743749389,0.9204299373378002,0.968970511077087,0.922279191534755,0.6970400871269258,0.6277630739355143,0.9496356013754892,0.9156128669166803,0.9616406140096202,0.3601136806438704,0.920951868876046,0.5610149414819788,0.7821691168080857,0.6180219000635414,0.8217033910103634,0.943716313263423,0.9317686034520793,0.6119055660082304,0.5257115269797918,0.5072867548306161,0.6616219865027521,0.7530453226437535,0.7077846135188685,0.7702685885683375,0.6435824122197238,0.5785888798242437,0.5406385700335611,0.7624155755746279,0.8112519894705824,0.9192490289342324,0.9185229646519453,0.7890833182589422,0.32573417268177723,0.9291183835502528,0.8229003246870487,0.7766203850647745,0.8043939378033965,0.9956265470904411,0.8900161613524544,0.6240961458621783,0.5778012615361875,0.7123579424738818,0.7761742398283439,0.7764073444586764,0.5732915349663198,0.6486689104708396,0.9050241311746935,0.8361175085622587
chinese,0.5615827320712679,0.7117166875834565,0.56563326073313,0.7822867577053985,0.7212151429253614,0.6483659515826605,0.6007286382811815,1.0,0.5735265907646747,0.7174196013744822,0.7013114191665246,0.6732963867160646,0.6251077624101775,0.7250233677759003,0.7752156032267742,0.6061798938013784,0.5654446379496629,0.5474432360627068,0.6364702558378474,0.4273114287770372,0.5832995615712036,0.4282569500329513,0.7868484486789928,0.42978274081577356,0.7405609295535791,0.6844701290125595,0.5525353376414276,0.6663947727413173,0.42216791956673166,0.8098480222131456,0.6506299570267586,0.7988944702095444,0.8040501704896438,0.5057979255335829,0.5404097825300269,0.5780806020655336,0.4809747714051238,0.5821972067777855,0.6752765045675934,0.6135128194286997,0.7184894908552131,0.7271396776667618,0.43914713138837225,0.5693141792122963,0.7152758855552996,0.7481253554418639,0.6978349620757534,0.6141461572244368,0.6687698807606586,0.7934464018472426,0.6352094238970775,0.6744534385627017,0.743854975086938,0.639729756874676,0.7352213386136259,0.7912100657389779,0.7328377245810404,0.6968306966617303
classical_chinese,0.47560682001171267,0.5198427560382757,0.4621818778383939,0.5745833518392972,0.5319103651142842,0.5076499554591284,0.49110515780699576,0.5735265907646747,1.0,0.5740067202407808,0.5098797612433966,0.560734069808015,0.5181580599682133,0.47473189417677475,0.615533413336898,0.5592168032587753,0.4228964633233764,0.38433053317063975,0.5174027446152673,0.26600050798906577,0.44718002688509007,0.31148410879773786,0.47507381854913683,0.4000390655325157,0.5143719150715721,0.5387790364367401,0.4105230509556554,0.2700214323759986,0.3219222416919658,0.4673860682114579,0.5980860331477122,0.5599910858646867,0.564598035999403,0.42374008481366776,0.6382904439375303,0.5831810518654856,0.8320810323018633,0.46996106521131725,0.5054660764685999,0.44183105432541925,0.5145811726850916,0.48950526087562296,0.7906222048239417,0.5071940530630638,0.5838961684154127,0.542804329775311,0.5686687890270096,0.49664095717444723,0.5863346482509905,0.5285858698444245,0.6202035911610551,0.5448680819701146,0.4861813708244743,0.45464296956046835,0.5274137647033843,0.5331288267890689,0.5229818364332902,0.6021962322833757
croatian,0.8408071369147693,0.8267683261114479,0.8741697434230875,0.9217629756469299,0.9709988643196018,0.9278618189429776,0.7937470491677189,0.7174196013744822,0.5740067202407808,1.0,0.9768606881433948,0.9375624257535504,0.8574661879408064,0.8779850493738308,0.9087734130370214,0.8532000726019974,0.7393947177905855,0.6962515440285334,0.8544678584825454,0.3478456033724782,0.763453068045103,0.6276004027133024,0.8934582120034011,0.5420164502486627,0.8528079882568967,0.8480963778873232,0.742782444969627,0.5777648336627189,0.7457229185942961,0.6694395458693725,0.8849817444530776,0.9320842823234343,0.890493742422489,0.7745167114713359,0.7960523037193274,0.8038149946427053,0.6723796455883522,0.8491599640636213,0.9555935957826198,0.737498606631169,0.9287997397838628,0.9647658749589414,0.5067870110701729,0.7908934589112842,0.9723086563635254,0.9627020270346354,0.9432908348523794,0.7970750106567476,0.9361964224404211,0.7959573190722551,0.6939848099125604,0.8507643910558755,0.9676872774717628,0.7972369120751419,0.781185001125352,0.6888191547386907,0.8888771519459888,0.7848949698363216
