,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7309571310721313,0.745347332747762,0.7791724399997776,0.8394822915716853,0.8977484622943729,0.9293988216992942,0.6531606345005124,0.4916256775767601,0.8524645210565509,0.858822837098142,0.925759857179068,0.9537086736123862,0.9174871421972138,0.740769891320496,0.74757172140591,0.9012750922879523,0.8811680787730034,0.9382258686067275,0.2663469839334417,0.909256144435261,0.6190663127481651,0.8556330773723289,0.5550990694748725,0.8031677120066458,0.8273849746682578,0.9223636695445983,0.6616678211494739,0.6251059166916828,0.5855884227109535,0.8131465947437866,0.5982383957682524,0.6872935159060234,0,0.7609385098071095,0.6472348394722316,0.5337012252774218,0.8142865809328381,0.8417330743810505,0.866466940281748,0.922992303740898,0.7668969836021395,0.4031105039829733,0.8618323699409708,0.8679294229432466,0.8888813904502713,0.8985532300811433,0.9395612991046313,0.9180767563556169,0.6565152380916244,0.6335026634659329,0.7755099002714699,0.8376814570438587,0.6943474113673219,0.6296277007705137,0.7802400289507382,0.8776818891983708,0.27843889983223463
arabic,0.7309571310721313,1.0,0.5344570508301273,0.7220774389311867,0.8119347034301269,0.8474088142902374,0.7228151111686768,0.6968381568933499,0.3798703417104396,0.8002694673785394,0.8583453134172231,0.737152801286251,0.7233599701279401,0.7510414369561786,0.7137404423993886,0.5434866370042691,0.7457626612346748,0.7414054616189178,0.7382947433255608,0.5654243421430877,0.7194109306225102,0.7138937430723085,0.8342114112985624,0.32447594128341584,0.6522325154311596,0.7801902233587152,0.786890321609656,0.675157886689689,0.47826032794008944,0.5314623511628994,0.754889510698501,0.5614653106385358,0.8153042548174343,0,0.4881642804618825,0.49119634644011423,0.5485066947613879,0.7688457016378859,0.7735579007740694,0.841525480409051,0.844034434817284,0.7389199117416002,0.33334585388898175,0.7536120535850339,0.7977513350875984,0.8343002957185314,0.8362050445430824,0.7585084042340092,0.7535874545544927,0.8739132986739413,0.49290766795488683,0.6795896000311177,0.8325812735930354,0.6384742957935629,0.5304394323713556,0.6314435813402612,0.8375055838536446,0.23144517845235096
armenian,0.745347332747762,0.5344570508301273,1.0,0.8518339092202758,0.8396579244600704,0.7762701160626104,0.6828005207576943,0.7260221132263338,0.48954180035823786,0.8404526082796423,0.7944920273407848,0.8663803278859844,0.8090623308432209,0.8179790949483212,0.8506947256218834,0.9173043753896782,0.635759969775264,0.5754345889277229,0.7911337790459515,0.14131576376313054,0.715705380059424,0.618068541275241,0.7014733919907227,0.6370278146791447,0.7398674656906528,0.8163877914734385,0.6641436778751076,0.6106997615687424,0.8832976671817849,0.7376208857853769,0.8646248645440431,0.812719457208778,0.7388360776012591,0,0.8688139337232458,0.881588581331445,0.4980635577980367,0.8033577830864296,0.8258485654309926,0.5469610395648123,0.7781159974855771,0.8569671669094732,0.4711803453844551,0.7618704816215363,0.8655199330945257,0.8337849576900191,0.8084012144334216,0.653446022246687,0.8727425499600486,0.6220532675364953,0.8176178590245593,0.9008565337752059,0.8254072728577446,0.6460240304900138,0.9001288263659808,0.7121894465603321,0.7720814054107251,0.5661604815337989
basque,0.7791724399997776,0.7220774389311867,0.8518339092202758,1.0,0.859453001814492,0.81646009549586,0.7534593409282838,0.8751716176694198,0.6161386093705635,0.8933500806697897,0.8794416869855386,0.8656945156246376,0.8354271722113533,0.8261838346959278,0.9365598770635896,0.887240479579865,0.6882027163993338,0.6365658284547876,0.8184495696447338,0.4102826485679892,0.7888907775526116,0.5848324137004672,0.7519911588701013,0.6079224861247284,0.7523880374080308,0.882967396336196,0.7061537084547809,0.6104146556367825,0.6928258008309343,0.8368207744766394,0.9001055171516434,0.8059071547220243,0.8942581102555288,0,0.8623105115518529,0.7833980502044136,0.7135784711688233,0.744096525724951,0.8392159760378078,0.68366732664813,0.854734867975618,0.8619671596479997,0.5436764006760395,0.7559557050884778,0.898359043171663,0.8763223339370896,0.8650258238975183,0.7440822979785403,0.8659005915339516,0.8600207439788605,0.8167164722297403,0.8283694862648445,0.8766829720689706,0.7105722590802882,0.8487197110253115,0.7736256620673058,0.8640296902847825,0.4621536218524727
belarusian,0.8394822915716853,0.8119347034301269,0.8396579244600704,0.859453001814492,1.0,0.9449630482328116,0.7824407219964938,0.7909347519572911,0.48275426219612655,0.9674454292977348,0.9731004417268474,0.9117340243603382,0.867354047077792,0.9015292502409104,0.891294336610545,0.8215453325748665,0.7782861655319917,0.6993337281429564,0.8847680147101175,0.34876808353844213,0.803917192070856,0.6755618051011484,0.8407212877633603,0.5571787066891651,0.8058022523085601,0.9086819349396843,0.7910853619668021,0.675264466332522,0.7373012792161926,0.7318535384316659,0.9368656487860101,0.8331173321925298,0.8991430122971492,0,0.7668395788364363,0.7875472990620341,0.5469159241533272,0.8675649690938964,0.9526270745533532,0.7620533692972753,0.9273041497334578,0.957201455565539,0.458362720070823,0.8400443951492694,0.9682344941245336,0.9734236007272387,0.9691818957050522,0.7845212848567222,0.9161431091869442,0.7942033292532962,0.7293361615358609,0.8536518057908733,0.987353969971468,0.7001297204603312,0.815979258021234,0.7647050687529297,0.8862071369281818,0.5332817637242104
bulgarian,0.8977484622943729,0.8474088142902374,0.7762701160626104,0.81646009549586,0.9449630482328116,1.0,0.8397575407996241,0.7509576951980096,0.4815244526128986,0.9291413306200155,0.9388426809428235,0.9259128068805079,0.8896195883689964,0.91757323636686,0.8127951996887289,0.7471362959390482,0.8355955248556723,0.7660826622374622,0.9036443406961888,0.35053422306242915,0.8094896502491561,0.6760260774297164,0.9218282101536673,0.48158490244463653,0.8271399429546592,0.8876235101269336,0.8479492032765792,0.7772524819810356,0.6429255365129675,0.6520393351809272,0.8949802978418835,0.7123285586838267,0.8219384933791678,0,0.7087539178083109,0.6679855536667365,0.5765281435346651,0.8924288430953002,0.9217176249824792,0.8337540149992775,0.9594395326231887,0.8705553515156108,0.4324627361631412,0.8738695022952344,0.9444272982589256,0.955626641904556,0.9635058151042875,0.8531739830865298,0.9369816921072425,0.7428118651685004,0.6561735253942566,0.7903733147015684,0.9346098923382844,0.743430978002274,0.702377504369382,0.7951474708373871,0.919886825095089,0.38612838428532636
catalan,0.9293988216992942,0.7228151111686768,0.6828005207576943,0.7534593409282838,0.7824407219964938,0.8397575407996241,1.0,0.6929676303477228,0.43857413994628996,0.7840197175737258,0.7982663449797465,0.902311577293527,0.9515204235561542,0.9205601943802222,0.7190534242858357,0.661915729435687,0.9720526797431465,0.9260139996531794,0.9443070273143415,0.29014145630713367,0.951999552502036,0.5978101948207216,0.8262172651245774,0.63978939352024,0.792671033973412,0.8387380335172433,0.956143439311069,0.7001577518238192,0.5177396881432021,0.5861377845375609,0.764342792100419,0.6127043670550397,0.6934896899007473,0,0.6590537448677024,0.5578785366768267,0.47731015065451937,0.7721570310354754,0.7874445459061856,0.9309169071979585,0.92070082312193,0.7390637622778236,0.32890924870718774,0.8507102791802046,0.8049896482634827,0.8316095006680921,0.8218138004366301,0.9948372183572533,0.8768910527849454,0.6240846617019783,0.6106417239943472,0.7325779999900233,0.8081998736519668,0.6931933960256432,0.5812181117798155,0.7588312606469149,0.9042647626362746,0.358042611981473
chinese,0.6531606345005124,0.6968381568933499,0.7260221132263338,0.8751716176694198,0.7909347519572911,0.7509576951980096,0.6929676303477228,1.0,0.520895605284753,0.8000552047574694,0.7981355592108084,0.8036216357321894,0.7447016600769616,0.7940770487654603,0.8670423990125988,0.735598358797382,0.6456880396407977,0.5797272383983775,0.7235848523233844,0.40308382179096347,0.6877285193390842,0.5496693434004319,0.7324248972772088,0.560798663039587,0.7939418694273435,0.8108670302634334,0.6301011697639783,0.6684405186266049,0.5571525213495105,0.8313747830141642,0.8254938004082099,0.7780636464502261,0.8620856561901422,0,0.6915927508366864,0.6109317897213831,0.6295589005803904,0.6848058443700271,0.7608286741466949,0.6631014383754513,0.7834737831467952,0.8058716390317843,0.42736615894044855,0.6753833242668367,0.8001393977780362,0.7929462223001993,0.7879264212932973,0.6820400530081993,0.786812245985606,0.7918917879035868,0.7857837055118565,0.7293857943358821,0.8265169219468529,0.7440434607881796,0.806212375266756,0.7935627909574268,0.8058284345491531,0.4911912575174129
classical_chinese,0.4916256775767601,0.3798703417104396,0.48954180035823786,0.6161386093705635,0.48275426219612655,0.4815244526128986,0.43857413994628996,0.520895605284753,1.0,0.509568525409025,0.4920573717719618,0.5560281760567576,0.5212973494485031,0.46856728039926493,0.535642315804407,0.5919340311745006,0.39999046288511975,0.3029590850586793,0.5038587840382066,0.20584851664788956,0.3954041709338398,0.34304440521912766,0.4339065934424136,0.4275762551947708,0.4713855596530434,0.5928635928642767,0.3585963394704845,0.2704127770951933,0.3453680995779013,0.6050675071779721,0.5984643720050828,0.4783257892715314,0.5246873588331399,0,0.6448684009705806,0.46568899496121263,0.7700762402112943,0.4660929378410371,0.4967317932625977,0.37930880420272284,0.4905333066066823,0.4826416230603573,0.8835553433044554,0.4375347367420814,0.5338900299519794,0.5389819029838431,0.49954999844364145,0.444405026521602,0.576016753948927,0.4437367788944819,0.582598775117517,0.5094661973403707,0.435057559094256,0.49714377998264114,0.5416068702225406,0.5836393047404528,0.48942547993136126,0.15331582157577187
croatian,0.8524645210565509,0.8002694673785394,0.8404526082796423,0.8933500806697897,0.9674454292977348,0.9291413306200155,0.7840197175737258,0.8000552047574694,0.509568525409025,1.0,0.9751362946612999,0.9088807395690015,0.8780970634310248,0.8964409780236244,0.9108862097685665,0.8605223570701565,0.7669877399654431,0.6829846969935426,0.8858949504229118,0.3468980083910377,0.8147321570376699,0.6629150240343608,0.8208419374043571,0.5627119543007535,0.7988892802399739,0.905892023968151,0.7843781815182629,0.6232507850514211,0.734160298686676,0.7457063323070336,0.9363625693554659,0.7995219384575544,0.8847229359195461,0,0.8179272097626926,0.8156304546728874,0.6135222346502344,0.8608679297018103,0.9350460130093463,0.7459268226810966,0.9305800436711031,0.932262885399174,0.47134877983873386,0.8105576712435058,0.9899498144342681,0.9681179427617387,0.9789108126728997,0.7841627949206857,0.9301132836025278,0.8070133135214203,0.7041304646599024,0.8607615654894578,0.9681365529838708,0.6959208736481534,0.8302970760659321,0.7781629727696082,0.8733771593263036,0.48012936956463914
