,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7525699608505865,0.8052607032538333,0.7756492552357445,0.8725870095060643,0.8916885675229416,0.9223836053499399,0.5771032993071671,0.5098276348871937,0.8732594644884053,0.8929960500909652,0.9431656949616122,0.9492659871466924,0.9281069525108953,0.800386271054922,0.7708573352465875,0.8840877525958929,0.864065037019179,0.9515708075856634,0.41313884508766086,0.888282816932621,0.6934197933135431,0.8083255806217142,0.6056485771990137,0.8607889190712232,0.8855180687457741,0.9096910673261497,0.6255661652880761,0.6576944858655097,0.5491125533422635,0.5215353492884733,0.8303067541430994,0.7488921360821745,0.5584747570709585,0.7033113313901721,0.5240262231634343,0.5621333285099315,0.8168428698025303,0.8851680688304405,0.8386845630947697,0.9328450694905928,0.8824635713646937,0.3443067259089567,0.8827311298130334,0.8946934397670274,0.882181568180027,0.888981851111201,0.92403024742712,0.9057045754652109,0.74026716907614,0.6822068512660284,0.762758743272181,0.8730072398437073,0.7729383978947472,0.7571295189673907,0.730736475370213,0.9142265048064387,0.763968526199929
arabic,0.7525699608505865,1.0,0.6219479110099159,0.7140116324175537,0.8833667414492296,0.8445029903619942,0.7532373349961275,0.7229745904949578,0.3963289113720266,0.8449928853340233,0.8778317812953395,0.8014039952921685,0.7636301754892607,0.7758497912068788,0.7553325858266368,0.5994100728674984,0.7721771338494554,0.792844370086032,0.7514718979298096,0.5835954537713784,0.731418566410893,0.759754230026004,0.7759435451656778,0.39678743854940113,0.6962052453665721,0.8131018985547229,0.8004731988888816,0.6286213111733441,0.5308032374722605,0.5178715687141839,0.4663119434521966,0.806208440324006,0.8001869479754308,0.425036461003236,0.49697410090081495,0.31727618477248914,0.473389894599504,0.7482187139019155,0.8114594999098158,0.847367717344167,0.8456970656351712,0.8955967496176,0.23860188829997073,0.766042806641751,0.8555684940210606,0.8796372866474718,0.8265880563996385,0.7606650627296762,0.7839009459406304,0.8595862906027129,0.6018809511159481,0.7129467391085239,0.8855080398963389,0.747399093537911,0.691963120734257,0.5960723833608914,0.8699489464119844,0.7391668622880779
armenian,0.8052607032538333,0.6219479110099159,1.0,0.8850400125078541,0.848806854719159,0.7867837764042868,0.7339302192481582,0.553748958085516,0.4986494686668654,0.8869125702936287,0.8409600489674421,0.8910323515792269,0.7820449899867706,0.8196539760465229,0.8879371199328788,0.9434730012441006,0.6409292194591131,0.5833367832614377,0.7809262959731392,0.3074947559190515,0.7673720004670403,0.6488568856019317,0.6451707650326142,0.6549793283880265,0.8462421781782085,0.7447596841950512,0.6987217703964822,0.5112947254818249,0.8659994103265747,0.6370370899158662,0.6902177792856139,0.8815312556045596,0.8314919559479345,0.683299785153612,0.816304569233464,0.6655886604238148,0.5894186600296332,0.8016940723450457,0.8651385959587721,0.5816209604454452,0.804563182119426,0.8129857146589533,0.41310634353616443,0.8257632014830315,0.882295383871813,0.8597933115297354,0.9018592721031357,0.7194245865093617,0.872111791716397,0.7898506424312122,0.7583861567568532,0.8680923030266,0.8385584828826063,0.6083094041947167,0.8586659804384883,0.6908500329429484,0.8290938426729089,0.8033134095490562
basque,0.7756492552357445,0.7140116324175537,0.8850400125078541,1.0,0.8649250961715163,0.7413864996045819,0.7551192819459382,0.7228524175413661,0.5638549244741187,0.8637258876927774,0.8283522693703855,0.8565082519212633,0.7863424010847267,0.8093692113755985,0.918062562387394,0.8854028840420085,0.6646941751352784,0.6359403900288381,0.8051214710511022,0.5113710669809202,0.7919242255792049,0.5955799336534022,0.6645613842728139,0.6703704648385892,0.8295133782708066,0.7641307718155419,0.7138818509713307,0.5360394930602957,0.7261862607237916,0.7214893049867569,0.6434063306908494,0.9333794975117018,0.8840641610074558,0.6372846845555933,0.7721979221219052,0.6380984458690129,0.6156908630348515,0.685573150558084,0.8186655428344765,0.6622777969782662,0.8333087259217303,0.8458615241574899,0.4690926061742706,0.8234355083180621,0.8735347146993285,0.8892535812582243,0.9184141724705677,0.739177709692449,0.8357066590083064,0.884970973726423,0.8447284604487812,0.806540038670368,0.8653467023733744,0.6172033166786774,0.8611614008605192,0.7137679202776434,0.8752926929887566,0.8716078216655345
belarusian,0.8725870095060643,0.8833667414492296,0.848806854719159,0.8649250961715163,1.0,0.9366539434317895,0.831304133284952,0.7215466962377379,0.47301820519552373,0.9750357189881637,0.9758750586394599,0.9254688078271006,0.8564149332911724,0.8900612013134889,0.913899728373421,0.8102912787150639,0.7947084139924809,0.754548616826697,0.8631675090493149,0.4774178884631895,0.8386646230262631,0.6961993227573555,0.7961739427727167,0.589527848536394,0.8480226421287751,0.8625645261688174,0.8154659954397192,0.6010341765416856,0.7184064049890809,0.6308231680438399,0.6521735822161188,0.9552692532707814,0.913368530643159,0.5811886703019171,0.6876751567731367,0.5215255072557353,0.5382234627682064,0.8093123896760279,0.9415905058294558,0.8042068830832347,0.9184358051610102,0.9712380003120247,0.3608470632211447,0.8886714141627972,0.9608070617552668,0.9729902694428592,0.9650289947595562,0.8301827523231372,0.9003175650413389,0.9008755085730932,0.7250240404037586,0.812917405121721,0.990414050107784,0.7376501643911748,0.8573696196260149,0.7086008966636586,0.9472646908149137,0.801463818954385
bulgarian,0.8916885675229416,0.8445029903619942,0.7867837764042868,0.7413864996045819,0.9366539434317895,1.0,0.8341295478651775,0.5955679645837947,0.4000538601726682,0.9379976217983155,0.9603188474194184,0.9069698770396327,0.8684260776140964,0.8889789150400954,0.8356480640781796,0.7191281246223521,0.8216900140061699,0.7545445105060923,0.8611693783942801,0.39303265498122,0.8212888095290074,0.6953140364161189,0.8348411925814064,0.48545647414135834,0.8277646715478346,0.8637314749271234,0.8490021873631926,0.6588230139485182,0.6369220482798456,0.5488912551759302,0.6356268499859986,0.859122480557628,0.817734198588768,0.46568708761406885,0.6127943986069959,0.46725428147150616,0.4977616392673713,0.8394203134495875,0.9256430732787757,0.8144134354849581,0.9226863869713023,0.9348695588519249,0.3738433581956247,0.8575305860831367,0.9319799443530001,0.914477175480608,0.9062904527977715,0.8362899019075433,0.8992056480101829,0.7786171175459671,0.5674678174222244,0.7441461156835731,0.9325280931609213,0.7955069863349983,0.7565306090145697,0.6601968106290704,0.9052303317923086,0.6923192772745833
catalan,0.9223836053499399,0.7532373349961275,0.7339302192481582,0.7551192819459382,0.831304133284952,0.8341295478651775,1.0,0.6434326432361857,0.4811914382563222,0.8003554262493281,0.8127433360191997,0.9094120439681612,0.9632986296892945,0.9437411046150946,0.7264376180116531,0.6682262845364347,0.9548376004223962,0.9206612617563275,0.9551663344980972,0.3657131453145226,0.9160937730354112,0.6537643838191859,0.8169740035652647,0.6495760344750889,0.8189505428281557,0.9085767019771684,0.9513543824270645,0.7058680031650358,0.5304843630480861,0.5596674317379668,0.49358637307897785,0.7985855240627521,0.7029041695647399,0.5315119042631409,0.6195516154175484,0.4388642583775326,0.49956041964420234,0.7748331625934216,0.8374425059166317,0.9231717025584946,0.9318479919610073,0.8340855564403312,0.2799412935680716,0.8726212669583349,0.8547310290696636,0.8300095297761628,0.8431222499589296,0.995357504437774,0.8776104065534479,0.673956947383553,0.6201061801813798,0.7290513673692451,0.8269806843553432,0.78666164345165,0.677034914710073,0.7374338663554979,0.9027099701443112,0.8202288023781387
chinese,0.5771032993071671,0.7229745904949578,0.553748958085516,0.7228524175413661,0.7215466962377379,0.5955679645837947,0.6434326432361857,1.0,0.4697884047349676,0.6909274734453913,0.6804200743442386,0.6660016631974538,0.6261141121712407,0.7234842151370744,0.6668912710398868,0.5692028049749522,0.5762439847727917,0.5764330488860169,0.6270681729421844,0.4739104636764251,0.5967677396173074,0.4681912500410643,0.7148380345441805,0.39536343614210095,0.6551136737773268,0.6065680068562391,0.579939440853463,0.6004613336472805,0.39698736084733277,0.7788853577129039,0.41425269182565605,0.716194413562534,0.7000537126263021,0.43541975071366723,0.5007814186422928,0.4721840060633595,0.43097788889099103,0.5503639958987872,0.6174604335756657,0.6522199423870315,0.6974366849847254,0.7154330821042267,0.3106679161806542,0.5504135225656311,0.7022930889695088,0.7327453767879192,0.7260632190560591,0.627377435028524,0.6820652954107244,0.7343971845991439,0.691029346917509,0.632482216627218,0.7460034202130672,0.6833715211212118,0.7108600466702909,0.756120064268265,0.7053269728752342,0.7216777961410354
classical_chinese,0.5098276348871937,0.3963289113720266,0.4986494686668654,0.5638549244741187,0.47301820519552373,0.4000538601726682,0.4811914382563222,0.4697884047349676,1.0,0.4902841232857274,0.4656058405244827,0.5892004522400506,0.49749419629038605,0.456573015493577,0.4902557148057798,0.5748727183404133,0.3915199364427768,0.40051979894978895,0.5067425020888209,0.43977543749423537,0.40597249244490197,0.35608238184962226,0.3637198641075239,0.39726829515041,0.559002946498981,0.47565070696578887,0.3831842553713506,0.2535753334628862,0.349324079878095,0.508870996460283,0.3800975015851002,0.5286960595006621,0.4619731153374768,0.5117524607935193,0.6566944462221772,0.6316156172357672,0.8546604288330376,0.4241301104085271,0.49330634617063923,0.3754629739249103,0.5000323765873513,0.4266102300451452,0.6691303521248846,0.49481945135704447,0.5452029316035942,0.5261536391308078,0.5381835954443293,0.48952356744636727,0.5702786976596164,0.44468120501548136,0.697094682867139,0.5179385870720734,0.4828814987863085,0.4006550986745806,0.5336156708347911,0.5245727700835595,0.4994526037243924,0.5923678302014453
croatian,0.8732594644884053,0.8449928853340233,0.8869125702936287,0.8637258876927774,0.9750357189881637,0.9379976217983155,0.8003554262493281,0.6909274734453913,0.4902841232857274,1.0,0.9762441037861377,0.9379331278812134,0.8419692047702838,0.8753714598226232,0.9220301076265692,0.8411703823079869,0.7495347819522067,0.7054636993926225,0.8473246628198122,0.4525256735162331,0.8195972334783733,0.6982868849434688,0.7727274576439873,0.5549463326041101,0.8570502406043523,0.8212958889616564,0.782755538105302,0.5903121877533047,0.7428296354551034,0.6429617724218252,0.6428164352791281,0.9382631571798712,0.8993181740478975,0.6202828568747203,0.761805339636442,0.5912012984773819,0.589609912055611,0.8165153811856979,0.9377058987018416,0.7458261701222685,0.9106440210976812,0.9501993162711513,0.38682387311783806,0.8581705685428542,0.9779762106510742,0.9670623781188973,0.9744873477373343,0.7989256422864477,0.911663427467083,0.8959648926236784,0.7283006960690578,0.8111807527137527,0.9766239164248984,0.7356585428528601,0.8818798024614326,0.7025536133691155,0.9239476353465126,0.7695950748153928
