,afrikaans,arabic,armenian,basque,belarusian,bulgarian,catalan,chinese,classical_chinese,croatian,czech,danish,dutch,english,estonian,finnish,french,galician,german,gothic,greek,hebrew,hindi,hungarian,indonesian,irish,italian,japanese,kazakh,korean,latin,latvian,lithuanian,maltese,marathi,north_sami,old_church_slavonic,persian,polish,portuguese,romanian,russian,sanskrit,scottish_gaelic,serbian,slovak,slovenian,spanish,swedish,tamil,telugu,turkish,ukrainian,urdu,uyghur,vietnamese,welsh,wolof
afrikaans,1.0,0.7164997598155913,0.7033952783487044,0.7220635716853229,0.8275665264739317,0.8591530338793733,0.9639944201949155,0.5001737047493365,0.4896343187934114,0.8758445610497091,0.8575615430541949,0.9571626911886297,0.9591112688134367,0.9353038626066812,0.7267982582349307,0.6595152304037967,0.9074775291359324,0.9009408864446612,0.9636255103390926,0,0.9172979709069554,0.5693523980030134,0.8084490910858031,0.5897699180341875,0.7603415354748747,0.9120859041634677,0.9201084591924364,0.6163063927305388,0.5808185057576829,0.4045733553538712,0.806480685102555,0.73721010941158,0.6514357204466905,0.8461625515989837,0.6676280677354411,0.46713611299241486,0,0.7715951010230888,0.8074001549872838,0.8720338918932067,0.8919246197145695,0.8417631544263542,0.19685931820402003,0.832680245431111,0.8740727116054492,0.8528209403369794,0.8705185179279259,0.9516735600790033,0.9122126994992723,0.6301936319902411,0.6597757094257976,0.70901815817962,0.8217451773185225,0.7892596251783954,0.7147590096725621,0.663621807571451,0.9153812271436719,0.8151698946025131
arabic,0.7164997598155913,1.0,0.5683568152350534,0.7037023492829945,0.8784919735793666,0.8605817643326682,0.6903369909942078,0.5931870818347398,0.4973001659553624,0.8138312888826952,0.8461872194839438,0.7892973758907096,0.6822704869788925,0.7301233985380251,0.7971750924747012,0.5485460425394282,0.7401885846064736,0.7886092837497723,0.7500683708819357,0,0.6958311020591693,0.7256031159003657,0.7562079782236102,0.30892266905804977,0.6612071020357336,0.7214416678751601,0.7868279087013373,0.5841836717076709,0.46561869055273075,0.38913315373849744,0.780257455599334,0.8572818469717001,0.80209015824944,0.6164740688091376,0.4961816130843155,0.36032197873678157,0,0.7332455222768963,0.7746516917214568,0.822479598000931,0.8404503444763387,0.8620300950376619,0.108017687231083,0.6064373784051795,0.805205589852166,0.8510519412682269,0.782394997992514,0.7130362286917334,0.7565568720350533,0.8574042775388862,0.510932436071945,0.6741158539840214,0.8658305085162238,0.7395794870145784,0.68185413833511,0.55237977671721,0.8433630775575464,0.699229039254988
armenian,0.7033952783487044,0.5683568152350534,1.0,0.7885938531127695,0.7753384102203158,0.6919651717367845,0.648742657293091,0.4753096239920545,0.5178253253629108,0.7926304209697765,0.8006739434937725,0.7890055142387794,0.7115743008521888,0.7596752050033607,0.800903817339424,0.9640182560618976,0.5471930691423261,0.5005687633408279,0.7182602647200272,0,0.6116060120360193,0.5519418891906953,0.6280313306425644,0.5271746218336174,0.745656035404816,0.654890218595207,0.5731666775075833,0.4260188145013981,0.9294734803729436,0.5217329008900432,0.8590130449106381,0.7392650557247729,0.7158545889867826,0.7986739018469404,0.7850034948235546,0.8239173970658421,0,0.804964349167532,0.823412683479579,0.49614425300518317,0.7371796537540506,0.7970291312110253,0.2520752452516966,0.7895885745639338,0.8032113784363771,0.8040568492611646,0.806601169866418,0.6484375967345775,0.824496957769006,0.6158852170570686,0.7555836278338602,0.9222115347369518,0.7771207017333948,0.6163389309581311,0.8760224639821187,0.621067330423184,0.710527337089655,0.6903726536350485
basque,0.7220635716853229,0.7037023492829945,0.7885938531127695,1.0,0.8602250505348665,0.7074841521546995,0.7257479970299157,0.6937901195390314,0.5671653365339799,0.8325377882690458,0.800639096274658,0.8172634832664206,0.7257234794333098,0.756758628503737,0.9297009049393437,0.8170222220020242,0.6185610381600949,0.585634469888732,0.7678940636404039,0,0.7076292974220121,0.5163306594144956,0.6715169338032138,0.5448000539331336,0.7555199918243536,0.7288478227558054,0.6192118061006626,0.5668214186697645,0.6906340420259417,0.6612304107025989,0.8790951676362515,0.8792707698690063,0.8879024030241066,0.6870455811607726,0.76774944503152,0.6486586345659543,0,0.6212774053263362,0.8269284916344617,0.6228682533628438,0.8524963062546601,0.8429140786076276,0.28981666601199063,0.7683985200251531,0.8440375595639572,0.8296946651483248,0.8655806334748433,0.6976492093071867,0.7957038649417874,0.8693591720001451,0.7740595867273202,0.7697664043703298,0.8469937943242767,0.6805469731178883,0.8724296703727711,0.6743464216251056,0.824306359466382,0.8409066294957293
belarusian,0.8275665264739317,0.8784919735793666,0.7753384102203158,0.8602250505348665,1.0,0.9383640033664873,0.7839783803476509,0.6292243315921023,0.5577568607145216,0.9341610165332477,0.9674699751676815,0.9157065870134057,0.8053849614882005,0.8663280534940004,0.9210891548796892,0.7470225975353774,0.7698741827473301,0.7530858138088324,0.8789691041370572,0,0.7716058791083065,0.6090548672726696,0.8033953924274473,0.4720596258738559,0.791043420838295,0.8147079496770221,0.7735990665358332,0.587168361312615,0.678504272617083,0.531082032516082,0.9362662943861648,0.9580587990360412,0.8959178416621064,0.7618216652635383,0.6741454795041657,0.573911700192418,0,0.7964531488645336,0.9342906141450819,0.7953363889982877,0.9396369566809029,0.9788404184405888,0.2040233182832104,0.8034395320044065,0.920005188505842,0.9732818003026199,0.9126004076490281,0.8041955373093796,0.8872626862503491,0.8634035756285834,0.6668724962130831,0.7957476673079122,0.9908881226246699,0.7829658116053081,0.8512975371488739,0.6606173609286651,0.9143404931836747,0.7728333094739644
bulgarian,0.8591530338793733,0.8605817643326682,0.6919651717367845,0.7074841521546995,0.9383640033664873,1.0,0.8033755484388891,0.5318967325231763,0.5094732738587836,0.9382983003600448,0.9557420681717076,0.9114404931331478,0.807216847064484,0.8680302880720806,0.7780212365673183,0.6375129704861358,0.7892433371814906,0.785003856770288,0.8656881997706497,0,0.7290693402206858,0.6054859933714201,0.8585225395636255,0.37462551907194663,0.7682184162605453,0.7891880446990868,0.8046566460501035,0.6458967985659475,0.5832535853892422,0.4191955650484706,0.8551670144270915,0.8496370796174222,0.7400346801172212,0.7321848307862988,0.6027764227217816,0.44409901912395106,0,0.8457959429980322,0.8950168792769548,0.8096732132151045,0.9216444951466978,0.9409689808297261,0.17867234206159496,0.7225971619179197,0.9197522213408512,0.9422117156707093,0.9025899943846221,0.8239166945867669,0.8905464799016525,0.720688166729486,0.5492619295678105,0.716789512459914,0.9385618715280009,0.8348217475789061,0.7402453958167313,0.6282271946030349,0.8771514481859679,0.6878364171687991
catalan,0.9639944201949155,0.6903369909942078,0.648742657293091,0.7257479970299157,0.7839783803476509,0.8033755484388891,1.0,0.5554190567715762,0.47581599259556173,0.8146859634041885,0.7847540012474253,0.9299657520515545,0.9631687742042828,0.9351574511820536,0.6900057833516513,0.6220401340104195,0.9373474547303398,0.9038841704746483,0.9515689905209553,0,0.9273748507971868,0.5578077484431637,0.8086642055208085,0.6285631005474326,0.7866859953980171,0.9478937991032922,0.9285890489751865,0.684668434189256,0.502205076937388,0.4612148565755696,0.7523523725336874,0.6862061261758264,0.6361765983966032,0.8379381907892771,0.622039887509484,0.43183550576961244,0,0.737935254643157,0.780833214705409,0.8916980995915662,0.8897840507369066,0.793915949800897,0.19158344337562094,0.8456718850961308,0.819345116699537,0.7913476693993938,0.8212920911844936,0.9855498575332791,0.8854585570627362,0.6073192753221804,0.6452617867033439,0.6906439596315864,0.7673393315713785,0.7963545789084456,0.6619151289216574,0.704775009203485,0.9240536353051765,0.8581611675054877
chinese,0.5001737047493365,0.5931870818347398,0.4753096239920545,0.6937901195390314,0.6292243315921023,0.5318967325231763,0.5554190567715762,1.0,0.5198539542170836,0.5953439025291313,0.5743392945133416,0.5987908436570455,0.5409912373597658,0.668539977634551,0.6757446257465803,0.518280600461609,0.4993897616613278,0.47925660756414457,0.5572463985845989,0,0.5156716066006483,0.354975752339919,0.6616495899976192,0.35852102742075265,0.659322642270108,0.5641510500253774,0.47826368420927523,0.6841042597384468,0.3431701188713694,0.8190991899631009,0.6174641662478567,0.6521470459994904,0.664314720951077,0.4827069276461841,0.5289732009199823,0.36724664440243726,0,0.473338834594442,0.5651221395410914,0.5291721606203571,0.6384224196546219,0.6205442501795692,0.17051335796522227,0.4573750563059837,0.5880678079432343,0.6094855718773351,0.5978888837982093,0.5609181337758805,0.6055296702122412,0.6904819971138727,0.5820993526575948,0.5818416890321685,0.6263238861732361,0.6619335981866727,0.7195024477868159,0.8356377188400652,0.6375582954174462,0.6826374486119369
classical_chinese,0.4896343187934114,0.4973001659553624,0.5178253253629108,0.5671653365339799,0.5577568607145216,0.5094732738587836,0.47581599259556173,0.5198539542170836,1.0,0.5448493343871238,0.5404081520644273,0.5789520173372165,0.5241882902139681,0.4972454506679924,0.6334588917934032,0.6109119359327987,0.4148481396663281,0.3691650607158144,0.5065769492871623,0,0.4184114663729957,0.32952127462370456,0.4376286369082553,0.3872588750673145,0.5457640281725918,0.49084049952421027,0.3950677186051394,0.2501532478312822,0.31459461207961004,0.484367965611689,0.5849761480987409,0.601389652888718,0.548770479328738,0.44101310679513206,0.6683375330717601,0.36998974465003054,0,0.4655741393152562,0.5551720994552202,0.4303092291417446,0.5258029572419689,0.5636101750369737,0.5443698466458178,0.44742579346822353,0.5650855162283671,0.5699348995852032,0.5746080595990989,0.48239660888184693,0.6026349790641595,0.5605330318167755,0.5182304263407335,0.5501163725457754,0.5406024100310444,0.4779971869070655,0.5844142441301489,0.5322011379121462,0.5658831465273322,0.5839197961966169
croatian,0.8758445610497091,0.8138312888826952,0.7926304209697765,0.8325377882690458,0.9341610165332477,0.9382983003600448,0.8146859634041885,0.5953439025291313,0.5448493343871238,1.0,0.9552972216769368,0.9360377441590954,0.8197410594746226,0.8632663591619796,0.8599745363275544,0.7602581014981,0.7312864241880679,0.7217716060851997,0.8655863780637497,0,0.7400952767080244,0.5998182606254454,0.8242165108088777,0.42678481514167793,0.779202509624277,0.7662461191095529,0.7616299231646381,0.635105985433503,0.6913935765486249,0.4980907982434327,0.8991991440303104,0.8758385202065924,0.7741064114944034,0.755071336958405,0.745841612864973,0.5526708672824829,0,0.7997147009919152,0.8995159484700784,0.7325288227046927,0.9278163041799383,0.937562537096808,0.21061868286483396,0.7447533378887649,0.991590590444815,0.9496145567168298,0.9827577049865717,0.8001072082628244,0.9151887391981357,0.767411617549332,0.6835237393862443,0.766558520665548,0.9414575913254873,0.8080464830317418,0.856412542147304,0.6716870368789556,0.8693333534169551,0.76258087339662
